winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19,winner_position
2,110,139,137,133,0,"[12, 0, 15, 11]","[0, 11, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 13]","[0, 11, 11, 13]","[10, 0, 12, 13]","[0, 12, 10, 11]","[11, 10, 10, 0]","[10, 10, 0, 10]","[10, 0, 11, 10]","[0, 11, 10, 10]","[11, 11, 10, 0]","[10, 0, 0, 0]","[0, 13, 12, 10]","[11, 11, 0, 12]","[0, 0, 0, 11]","[12, 0, 11, 13]","[14, 10, 13, 0]","[12, 0, 14, 0]",2
3,147,132,161,151,1,"[0, 0, 12, 0]","[15, 0, 0, 11]","[11, 0, 12, 15]","[11, 13, 0, 12]","[0, 13, 11, 11]","[0, 10, 11, 12]","[11, 10, 11, 0]","[0, 10, 10, 11]","[12, 0, 10, 10]","[10, 10, 10, 0]","[10, 10, 0, 10]","[0, 0, 10, 10]","[0, 13, 11, 10]","[10, 11, 0, 12]","[11, 11, 0, 13]","[11, 11, 12, 0]","[11, 12, 0, 0]","[13, 0, 12, 13]","[15, 13, 0, 11]",2
3,115,135,140,137,2,"[11, 0, 14, 12]","[0, 12, 13, 12]","[11, 12, 12, 0]","[13, 0, 11, 11]","[0, 0, 11, 11]","[12, 11, 0, 10]","[0, 10, 0, 10]","[11, 0, 11, 10]","[11, 11, 0, 10]","[0, 10, 10, 10]","[10, 10, 10, 0]","[0, 0, 10, 0]","[10, 0, 0, 10]","[11, 10, 13, 0]","[11, 0, 10, 0]","[0, 0, 0, 11]","[13, 14, 0, 10]","[13, 0, 0, 0]","[0, 15, 10, 13]",1
0,136,120,114,155,3,"[0, 18, 10, 12]","[14, 0, 0, 12]","[0, 0, 12, 0]","[10, 0, 0, 13]","[11, 0, 0, 0]","[10, 10, 0, 13]","[11, 10, 0, 11]","[12, 10, 0, 10]","[10, 10, 10, 0]","[10, 0, 10, 10]","[11, 0, 10, 11]","[0, 10, 10, 10]","[0, 11, 0, 0]","[10, 11, 11, 0]","[11, 10, 11, 0]","[13, 11, 11, 0]","[12, 13, 12, 0]","[0, 0, 0, 12]","[10, 12, 13, 0]",1
1,171,111,137,77,0,"[0, 13, 0, 10]","[0, 13, 13, 12]","[12, 11, 0, 13]","[0, 11, 0, 0]","[0, 10, 12, 0]","[10, 0, 0, 0]","[0, 10, 10, 12]","[10, 0, 10, 11]","[0, 11, 0, 0]","[0, 11, 10, 10]","[10, 10, 0, 11]","[0, 11, 10, 11]","[13, 10, 0, 10]","[0, 12, 0, 0]","[0, 13, 10, 11]","[11, 0, 0, 0]","[0, 12, 12, 12]","[11, 0, 13, 0]","[0, 13, 11, 14]",1
2,103,173,113,166,1,"[11, 0, 15, 11]","[0, 0, 11, 13]","[11, 12, 12, 0]","[0, 0, 13, 0]","[12, 0, 13, 10]","[10, 0, 13, 12]","[0, 11, 0, 0]","[11, 0, 10, 0]","[10, 0, 11, 11]","[10, 0, 10, 10]","[11, 11, 10, 0]","[0, 10, 0, 11]","[12, 10, 10, 0]","[11, 0, 11, 12]","[11, 11, 0, 0]","[10, 12, 12, 0]","[11, 13, 12, 0]","[12, 0, 10, 12]","[13, 13, 0, 11]",1
3,133,146,157,152,2,"[0, 12, 0, 11]","[11, 0, 11, 11]","[15, 13, 10, 0]","[13, 13, 11, 0]","[0, 10, 14, 12]","[12, 0, 11, 11]","[0, 10, 0, 12]","[0, 10, 10, 10]","[10, 10, 0, 0]","[10, 10, 0, 10]","[10, 0, 11, 10]","[11, 10, 0, 0]","[10, 0, 10, 0]","[11, 11, 0, 11]","[0, 13, 10, 12]","[0, 11, 12, 11]","[11, 0, 12, 12]","[12, 0, 14, 12]","[16, 0, 10, 12]",1
1,159,135,133,114,3,"[0, 12, 16, 11]","[0, 0, 10, 12]","[0, 12, 12, 0]","[11, 0, 0, 0]","[0, 11, 0, 11]","[0, 10, 13, 10]","[10, 10, 0, 12]","[10, 11, 10, 0]","[10, 11, 11, 0]","[10, 10, 10, 0]","[10, 10, 0, 10]","[10, 10, 12, 0]","[10, 0, 11, 13]","[11, 0, 10, 13]","[11, 13, 10, 0]","[0, 14, 0, 0]","[0, 13, 0, 11]","[11, 0, 10, 16]","[0, 12, 0, 14]",2
2,166,168,127,108,0,"[0, 13, 0, 10]","[0, 0, 10, 13]","[11, 10, 0, 14]","[11, 0, 13, 12]","[10, 13, 0, 10]","[0, 10, 11, 11]","[11, 10, 13, 0]","[10, 11, 0, 11]","[11, 10, 10, 0]","[0, 10, 10, 10]","[10, 11, 10, 0]","[10, 10, 13, 0]","[0, 0, 11, 11]","[0, 13, 10, 12]","[0, 11, 11, 13]","[0, 0, 10, 0]","[12, 11, 12, 0]","[0, 13, 11, 0]","[12, 10, 13, 0]",2
1,147,135,115,122,1,"[12, 0, 13, 11]","[10, 12, 0, 15]","[13, 11, 12, 0]","[0, 10, 11, 14]","[0, 12, 12, 10]","[11, 0, 11, 10]","[12, 0, 0, 0]","[13, 0, 10, 10]","[0, 10, 0, 10]","[10, 10, 10, 0]","[11, 10, 10, 0]","[10, 10, 0, 11]","[0, 0, 10, 0]","[0, 13, 0, 0]","[10, 11, 12, 0]","[0, 11, 12, 13]","[0, 12, 0, 0]","[0, 15, 0, 11]","[10, 0, 12, 0]",4
1,151,82,141,149,2,"[12, 0, 0, 12]","[11, 11, 0, 0]","[0, 0, 0, 13]","[11, 11, 0, 0]","[0, 0, 0, 0]","[10, 12, 10, 0]","[0, 0, 10, 11]","[13, 10, 10, 0]","[0, 10, 10, 10]","[10, 11, 10, 0]","[10, 10, 10, 0]","[11, 10, 0, 11]","[11, 11, 0, 11]","[0, 11, 10, 11]","[11, 0, 0, 15]","[14, 10, 0, 12]","[11, 10, 0, 13]","[14, 11, 0, 11]","[0, 13, 12, 11]",3
0,108,108,110,139,3,"[14, 11, 0, 11]","[0, 0, 0, 12]","[0, 10, 12, 11]","[0, 11, 10, 0]","[11, 10, 0, 0]","[0, 0, 10, 11]","[0, 10, 10, 12]","[0, 10, 0, 0]","[11, 10, 10, 0]","[0, 11, 10, 10]","[11, 0, 11, 10]","[10, 0, 0, 10]","[10, 0, 0, 0]","[11, 0, 10, 0]","[11, 10, 0, 12]","[11, 15, 0, 11]","[12, 0, 12, 0]","[14, 0, 13, 0]","[13, 0, 0, 0]",1
1,151,144,122,113,0,"[13, 0, 0, 11]","[0, 14, 0, 0]","[0, 11, 0, 0]","[11, 14, 11, 0]","[0, 12, 11, 12]","[0, 11, 12, 10]","[0, 0, 10, 12]","[10, 0, 12, 10]","[11, 10, 10, 0]","[10, 11, 10, 0]","[11, 0, 10, 10]","[0, 10, 11, 11]","[10, 0, 11, 10]","[12, 12, 11, 0]","[0, 0, 14, 11]","[11, 13, 11, 0]","[0, 12, 0, 12]","[14, 10, 0, 13]","[0, 11, 0, 0]",1
0,133,126,127,164,1,"[11, 0, 13, 0]","[0, 0, 14, 0]","[11, 0, 12, 0]","[11, 11, 12, 0]","[12, 12, 0, 12]","[0, 10, 11, 0]","[10, 11, 0, 0]","[10, 10, 0, 12]","[10, 0, 10, 12]","[11, 10, 0, 10]","[0, 10, 10, 12]","[10, 10, 0, 11]","[10, 11, 11, 0]","[0, 0, 10, 10]","[12, 0, 10, 13]","[11, 12, 0, 10]","[11, 0, 0, 14]","[13, 12, 0, 11]","[11, 14, 13, 0]",3
2,108,178,135,96,2,"[0, 0, 11, 11]","[11, 0, 0, 0]","[0, 12, 12, 13]","[0, 0, 10, 11]","[12, 0, 11, 0]","[0, 10, 0, 0]","[0, 0, 10, 0]","[11, 10, 10, 0]","[0, 10, 10, 10]","[10, 11, 10, 0]","[10, 10, 0, 10]","[11, 0, 11, 10]","[0, 10, 11, 11]","[10, 0, 10, 0]","[0, 11, 13, 10]","[0, 12, 11, 12]","[0, 12, 12, 12]","[10, 0, 15, 11]","[11, 0, 11, 14]",4
0,89,124,129,151,3,"[11, 0, 0, 13]","[0, 13, 12, 11]","[14, 10, 12, 0]","[0, 11, 12, 14]","[0, 0, 0, 12]","[13, 0, 11, 11]","[11, 0, 10, 0]","[0, 0, 0, 0]","[10, 0, 10, 12]","[10, 0, 10, 10]","[11, 0, 0, 0]","[10, 12, 0, 11]","[12, 10, 10, 0]","[0, 10, 0, 0]","[12, 12, 12, 0]","[11, 0, 0, 0]","[13, 0, 12, 11]","[0, 0, 13, 11]","[13, 11, 0, 13]",1
2,146,147,109,75,0,"[0, 12, 0, 0]","[0, 13, 0, 0]","[11, 0, 13, 12]","[12, 0, 10, 13]","[10, 11, 11, 0]","[0, 0, 12, 0]","[0, 12, 10, 0]","[0, 10, 12, 10]","[10, 10, 0, 10]","[10, 0, 10, 10]","[0, 10, 10, 10]","[0, 11, 11, 10]","[0, 10, 0, 0]","[0, 11, 12, 10]","[0, 11, 12, 12]","[12, 0, 11, 0]","[0, 0, 0, 0]","[10, 13, 0, 0]","[0, 12, 13, 12]",2
2,123,162,102,139,1,"[10, 0, 11, 0]","[0, 11, 0, 14]","[11, 0, 12, 11]","[11, 0, 10, 13]","[10, 0, 0, 0]","[0, 11, 14, 10]","[10, 11, 0, 10]","[11, 0, 10, 11]","[11, 11, 10, 0]","[10, 10, 10, 0]","[10, 10, 12, 0]","[0, 10, 12, 11]","[10, 0, 10, 0]","[12, 0, 0, 11]","[0, 12, 12, 0]","[13, 10, 12, 0]","[10, 0, 15, 0]","[0, 12, 0, 0]","[0, 15, 12, 11]",1
0,130,132,131,176,2,"[15, 11, 11, 0]","[12, 0, 14, 10]","[13, 10, 0, 0]","[0, 10, 12, 11]","[12, 11, 0, 0]","[12, 10, 11, 0]","[10, 10, 0, 11]","[10, 0, 0, 10]","[0, 11, 10, 11]","[10, 0, 10, 10]","[10, 10, 11, 0]","[10, 0, 10, 11]","[11, 12, 11, 0]","[12, 0, 11, 10]","[0, 0, 0, 13]","[11, 11, 11, 0]","[13, 13, 0, 11]","[15, 0, 10, 12]","[0, 11, 0, 11]",2
0,98,137,142,149,3,"[12, 0, 0, 0]","[10, 11, 0, 12]","[10, 12, 14, 0]","[11, 11, 14, 0]","[11, 0, 11, 11]","[13, 10, 0, 11]","[12, 0, 10, 11]","[12, 0, 10, 10]","[10, 0, 11, 10]","[0, 10, 11, 10]","[0, 0, 10, 10]","[11, 0, 11, 11]","[12, 10, 10, 0]","[0, 0, 0, 11]","[0, 11, 14, 10]","[11, 12, 0, 13]","[14, 11, 0, 12]","[0, 0, 11, 0]","[0, 0, 0, 0]",1
3,114,137,172,146,0,"[0, 13, 13, 12]","[13, 13, 0, 13]","[12, 0, 12, 13]","[11, 0, 11, 0]","[12, 0, 10, 13]","[11, 0, 12, 11]","[0, 0, 0, 10]","[10, 11, 0, 10]","[0, 10, 11, 11]","[10, 10, 10, 0]","[11, 0, 11, 10]","[10, 12, 0, 10]","[0, 10, 10, 13]","[10, 0, 11, 12]","[0, 12, 13, 11]","[11, 0, 0, 0]","[12, 0, 13, 11]","[0, 11, 0, 0]","[13, 12, 0, 12]",3
3,126,96,153,137,1,"[13, 0, 0, 11]","[0, 15, 10, 12]","[12, 0, 12, 13]","[0, 14, 10, 11]","[13, 11, 0, 12]","[10, 0, 12, 11]","[11, 10, 0, 0]","[0, 0, 0, 10]","[10, 0, 11, 10]","[11, 10, 10, 0]","[11, 0, 10, 10]","[0, 11, 10, 10]","[0, 11, 11, 11]","[11, 11, 0, 11]","[12, 12, 0, 10]","[0, 10, 0, 0]","[11, 0, 0, 0]","[12, 11, 0, 0]","[0, 0, 0, 11]",2
2,125,167,123,142,2,"[12, 0, 13, 13]","[0, 13, 0, 0]","[0, 0, 11, 10]","[0, 0, 11, 0]","[0, 11, 10, 0]","[10, 11, 14, 0]","[0, 11, 10, 12]","[12, 10, 10, 0]","[10, 0, 12, 10]","[10, 10, 0, 10]","[11, 0, 11, 10]","[11, 0, 10, 10]","[11, 0, 10, 10]","[11, 0, 0, 11]","[12, 11, 12, 0]","[11, 12, 11, 0]","[10, 11, 0, 15]","[0, 11, 11, 12]","[11, 14, 11, 0]",4
2,146,149,132,111,3,"[0, 0, 12, 11]","[0, 11, 0, 10]","[15, 11, 0, 11]","[0, 10, 13, 0]","[11, 12, 12, 0]","[13, 11, 10, 0]","[11, 0, 11, 10]","[0, 11, 12, 10]","[10, 10, 0, 12]","[10, 0, 10, 10]","[10, 0, 10, 0]","[0, 11, 10, 10]","[10, 12, 12, 0]","[0, 11, 11, 0]","[0, 11, 0, 0]","[11, 0, 13, 12]","[0, 12, 13, 12]","[10, 13, 0, 13]","[0, 0, 0, 11]",3
0,125,108,99,152,0,"[11, 0, 0, 0]","[11, 0, 0, 0]","[0, 12, 0, 0]","[13, 0, 0, 10]","[10, 0, 12, 11]","[10, 0, 12, 11]","[0, 11, 0, 10]","[10, 11, 11, 0]","[10, 0, 10, 10]","[10, 0, 10, 11]","[10, 11, 0, 11]","[10, 0, 10, 0]","[10, 11, 11, 0]","[0, 11, 0, 0]","[11, 13, 11, 0]","[0, 11, 10, 14]","[12, 12, 0, 11]","[0, 11, 0, 0]","[14, 11, 11, 0]",4
1,142,102,136,128,1,"[11, 0, 0, 0]","[12, 13, 0, 13]","[12, 12, 14, 0]","[10, 12, 0, 10]","[13, 10, 0, 0]","[12, 0, 13, 10]","[0, 11, 0, 0]","[0, 10, 11, 11]","[11, 0, 11, 10]","[0, 0, 11, 10]","[10, 10, 0, 12]","[13, 10, 10, 0]","[12, 0, 10, 10]","[0, 10, 0, 0]","[0, 12, 0, 0]","[0, 11, 11, 11]","[12, 10, 0, 12]","[0, 0, 0, 13]","[0, 11, 11, 14]",4
1,196,123,100,130,2,"[15, 10, 14, 0]","[12, 12, 0, 10]","[10, 12, 0, 12]","[10, 11, 12, 0]","[13, 10, 0, 11]","[11, 10, 13, 0]","[0, 12, 10, 11]","[10, 12, 0, 11]","[0, 10, 0, 0]","[10, 11, 10, 0]","[0, 10, 10, 11]","[0, 10, 10, 10]","[13, 10, 10, 0]","[0, 10, 10, 0]","[0, 11, 12, 0]","[0, 12, 0, 0]","[14, 12, 0, 10]","[0, 0, 0, 14]","[12, 11, 12, 0]",3
1,150,89,113,141,3,"[11, 14, 12, 0]","[10, 0, 0, 0]","[11, 13, 0, 10]","[12, 11, 0, 11]","[0, 10, 12, 14]","[0, 12, 0, 0]","[11, 11, 0, 10]","[10, 0, 0, 0]","[0, 0, 0, 11]","[0, 11, 10, 10]","[10, 0, 10, 0]","[10, 0, 0, 10]","[12, 11, 10, 0]","[10, 13, 0, 10]","[11, 12, 11, 0]","[0, 10, 12, 12]","[12, 12, 12, 0]","[11, 10, 0, 0]","[0, 0, 0, 15]",2
2,100,154,113,138,0,"[13, 13, 11, 0]","[0, 10, 0, 0]","[0, 11, 10, 0]","[12, 0, 13, 11]","[11, 0, 11, 10]","[11, 0, 0, 10]","[0, 0, 10, 10]","[10, 0, 10, 0]","[10, 11, 0, 10]","[10, 0, 10, 10]","[10, 0, 0, 0]","[10, 0, 10, 0]","[0, 0, 11, 0]","[10, 11, 10, 0]","[10, 0, 12, 12]","[0, 11, 12, 11]","[11, 12, 12, 0]","[0, 10, 12, 13]","[10, 11, 0, 16]",2
0,93,135,146,190,1,"[12, 17, 10, 0]","[11, 0, 11, 15]","[13, 11, 0, 11]","[0, 12, 10, 0]","[10, 10, 11, 0]","[11, 0, 0, 10]","[10, 0, 10, 11]","[12, 0, 0, 0]","[10, 0, 10, 10]","[10, 0, 11, 10]","[10, 0, 11, 11]","[12, 10, 0, 11]","[10, 0, 11, 11]","[11, 0, 10, 10]","[11, 0, 14, 10]","[13, 12, 0, 12]","[12, 11, 0, 0]","[0, 10, 16, 0]","[12, 0, 0, 14]",3
1,187,122,100,135,2,"[13, 12, 0, 13]","[11, 13, 12, 0]","[0, 12, 11, 11]","[0, 0, 12, 11]","[12, 11, 11, 0]","[11, 10, 14, 0]","[10, 11, 10, 0]","[0, 11, 10, 11]","[10, 0, 0, 10]","[10, 11, 10, 0]","[0, 10, 0, 0]","[0, 13, 10, 10]","[10, 13, 11, 0]","[0, 0, 0, 0]","[10, 12, 0, 11]","[12, 11, 0, 0]","[12, 12, 0, 12]","[0, 11, 0, 11]","[14, 14, 11, 0]",3
2,151,167,86,144,3,"[14, 12, 11, 0]","[13, 13, 0, 13]","[14, 10, 11, 0]","[0, 0, 13, 10]","[0, 13, 10, 0]","[10, 10, 12, 0]","[0, 11, 10, 11]","[10, 11, 0, 11]","[0, 10, 10, 0]","[10, 0, 11, 10]","[10, 0, 11, 10]","[11, 12, 0, 10]","[0, 0, 10, 0]","[13, 11, 10, 0]","[0, 0, 11, 0]","[13, 12, 0, 11]","[0, 0, 13, 0]","[12, 13, 12, 0]","[14, 13, 12, 0]",3
1,171,151,138,105,0,"[0, 13, 13, 11]","[12, 12, 12, 0]","[10, 11, 0, 14]","[0, 0, 0, 14]","[14, 0, 11, 10]","[11, 0, 10, 11]","[0, 11, 10, 0]","[0, 12, 10, 10]","[0, 10, 11, 11]","[0, 10, 10, 10]","[10, 11, 0, 10]","[10, 11, 11, 0]","[12, 12, 10, 0]","[0, 14, 11, 10]","[0, 10, 0, 0]","[0, 13, 10, 13]","[0, 0, 11, 0]","[13, 11, 11, 0]","[13, 10, 0, 14]",1
0,132,114,121,135,1,"[0, 0, 11, 0]","[12, 12, 15, 0]","[0, 14, 12, 0]","[0, 0, 0, 12]","[12, 11, 12, 0]","[11, 11, 0, 10]","[0, 10, 0, 11]","[13, 10, 10, 0]","[0, 12, 10, 10]","[10, 10, 0, 10]","[11, 10, 11, 0]","[10, 0, 0, 10]","[11, 0, 10, 11]","[12, 11, 0, 10]","[0, 10, 11, 0]","[10, 11, 0, 13]","[12, 0, 0, 0]","[0, 0, 12, 11]","[11, 0, 0, 13]",3
3,95,106,149,130,2,"[14, 0, 0, 13]","[12, 0, 0, 10]","[16, 0, 0, 0]","[0, 10, 10, 12]","[0, 11, 0, 12]","[0, 11, 10, 13]","[11, 10, 12, 0]","[12, 10, 0, 10]","[10, 0, 0, 0]","[0, 10, 10, 10]","[10, 0, 10, 10]","[13, 0, 10, 10]","[0, 10, 0, 11]","[10, 12, 0, 13]","[11, 0, 0, 0]","[11, 0, 11, 12]","[0, 0, 10, 0]","[0, 11, 10, 0]","[0, 0, 13, 13]",1
3,160,125,168,119,3,"[12, 14, 10, 0]","[0, 12, 0, 11]","[0, 11, 12, 13]","[0, 11, 13, 10]","[10, 0, 11, 0]","[13, 10, 0, 11]","[0, 11, 11, 11]","[10, 12, 0, 10]","[11, 10, 11, 0]","[10, 0, 10, 10]","[10, 10, 0, 10]","[11, 11, 0, 10]","[0, 10, 0, 0]","[0, 12, 10, 12]","[11, 13, 0, 11]","[11, 0, 11, 13]","[0, 13, 12, 13]","[10, 0, 14, 12]","[0, 0, 0, 11]",4
3,126,129,141,117,0,"[15, 0, 12, 12]","[14, 0, 0, 10]","[12, 12, 0, 0]","[0, 12, 11, 0]","[0, 0, 11, 11]","[11, 11, 11, 0]","[11, 0, 12, 11]","[0, 11, 10, 10]","[0, 11, 10, 10]","[0, 10, 10, 10]","[10, 10, 10, 0]","[10, 0, 11, 10]","[0, 10, 11, 12]","[10, 14, 10, 0]","[0, 0, 0, 13]","[12, 0, 0, 0]","[0, 13, 0, 10]","[12, 12, 0, 11]","[0, 0, 0, 11]",3
1,164,161,157,99,1,"[13, 13, 12, 0]","[14, 0, 10, 11]","[0, 12, 15, 11]","[0, 11, 12, 12]","[0, 0, 10, 0]","[0, 11, 12, 10]","[0, 10, 11, 11]","[0, 11, 10, 11]","[0, 10, 11, 10]","[10, 10, 0, 11]","[0, 10, 0, 0]","[0, 0, 10, 11]","[11, 10, 11, 0]","[13, 10, 0, 10]","[0, 11, 13, 12]","[11, 11, 0, 13]","[16, 10, 0, 12]","[11, 14, 10, 0]","[0, 0, 14, 12]",4
2,147,181,110,102,2,"[0, 13, 14, 11]","[0, 13, 12, 0]","[12, 0, 10, 12]","[12, 12, 0, 0]","[0, 11, 13, 0]","[11, 11, 11, 0]","[0, 10, 11, 11]","[0, 0, 10, 10]","[11, 0, 10, 10]","[10, 11, 10, 0]","[12, 10, 10, 0]","[0, 0, 10, 0]","[0, 12, 0, 10]","[11, 0, 12, 11]","[0, 11, 0, 11]","[11, 11, 11, 0]","[0, 10, 14, 13]","[12, 12, 13, 0]","[0, 0, 10, 11]",4
1,147,99,135,144,3,"[12, 13, 14, 0]","[13, 12, 0, 12]","[0, 0, 0, 0]","[13, 11, 0, 11]","[11, 0, 12, 12]","[0, 11, 10, 0]","[0, 12, 10, 10]","[10, 0, 0, 0]","[10, 10, 12, 0]","[0, 11, 10, 10]","[10, 0, 0, 10]","[10, 11, 11, 0]","[0, 12, 10, 0]","[11, 12, 0, 10]","[11, 10, 0, 10]","[11, 0, 10, 12]","[11, 0, 0, 10]","[0, 11, 0, 14]","[11, 11, 0, 14]",2
0,127,107,142,143,0,"[11, 0, 0, 0]","[12, 12, 0, 0]","[0, 15, 10, 12]","[0, 0, 11, 0]","[11, 10, 0, 0]","[11, 0, 10, 12]","[0, 12, 11, 10]","[10, 0, 11, 10]","[0, 11, 10, 11]","[10, 10, 0, 10]","[10, 0, 12, 10]","[0, 10, 11, 11]","[11, 11, 0, 10]","[11, 0, 0, 0]","[11, 11, 0, 12]","[11, 0, 11, 0]","[12, 11, 0, 11]","[12, 0, 0, 11]","[0, 14, 10, 12]",4
0,109,84,101,133,1,"[0, 0, 0, 0]","[13, 0, 11, 0]","[0, 13, 0, 0]","[0, 12, 10, 14]","[12, 0, 0, 0]","[0, 11, 0, 0]","[10, 11, 0, 0]","[13, 10, 0, 10]","[10, 10, 0, 11]","[10, 11, 0, 10]","[10, 11, 10, 0]","[0, 0, 10, 10]","[0, 10, 11, 13]","[10, 0, 10, 0]","[12, 0, 12, 10]","[10, 0, 0, 12]","[10, 0, 0, 11]","[0, 10, 0, 0]","[13, 0, 10, 0]",3
1,149,147,114,100,2,"[10, 0, 13, 13]","[12, 13, 12, 0]","[0, 12, 11, 15]","[0, 11, 0, 11]","[0, 11, 12, 11]","[10, 0, 0, 0]","[0, 11, 10, 11]","[0, 0, 10, 0]","[11, 11, 0, 10]","[10, 11, 10, 0]","[0, 0, 0, 11]","[0, 10, 0, 10]","[10, 0, 10, 10]","[13, 11, 10, 0]","[0, 12, 11, 12]","[12, 11, 11, 0]","[0, 0, 13, 0]","[0, 13, 0, 0]","[12, 12, 14, 0]",3
0,99,146,110,185,3,"[0, 11, 14, 12]","[15, 11, 0, 0]","[12, 0, 12, 11]","[0, 0, 0, 10]","[0, 11, 0, 0]","[13, 11, 0, 10]","[10, 0, 0, 0]","[11, 10, 10, 0]","[11, 10, 10, 0]","[11, 0, 10, 10]","[10, 0, 11, 10]","[10, 0, 0, 0]","[10, 12, 11, 0]","[10, 11, 13, 0]","[11, 0, 12, 12]","[12, 0, 10, 11]","[14, 0, 10, 11]","[14, 12, 11, 0]","[11, 0, 12, 13]",1
2,150,160,108,124,0,"[13, 11, 13, 0]","[0, 14, 0, 11]","[12, 12, 0, 0]","[0, 12, 10, 12]","[11, 12, 0, 13]","[0, 0, 0, 10]","[10, 11, 11, 0]","[10, 10, 11, 0]","[0, 11, 10, 11]","[11, 0, 10, 10]","[0, 11, 10, 10]","[0, 10, 11, 10]","[11, 10, 12, 0]","[11, 12, 11, 0]","[11, 14, 11, 0]","[0, 0, 0, 11]","[0, 0, 13, 10]","[12, 0, 12, 0]","[12, 0, 15, 0]",2
1,158,114,132,120,1,"[12, 0, 0, 12]","[0, 14, 11, 12]","[0, 0, 0, 0]","[10, 13, 13, 0]","[11, 0, 0, 11]","[0, 12, 13, 10]","[10, 10, 0, 0]","[0, 10, 11, 11]","[10, 10, 0, 10]","[10, 10, 10, 0]","[11, 10, 10, 0]","[0, 11, 10, 12]","[0, 10, 0, 10]","[0, 0, 0, 11]","[11, 13, 10, 0]","[11, 11, 0, 0]","[10, 0, 14, 11]","[14, 10, 0, 12]","[0, 14, 12, 10]",4
2,98,197,74,159,2,"[12, 0, 11, 12]","[12, 13, 11, 0]","[10, 0, 12, 0]","[13, 0, 14, 10]","[12, 10, 12, 0]","[10, 0, 0, 0]","[12, 10, 10, 0]","[0, 12, 11, 10]","[10, 0, 12, 10]","[10, 10, 11, 0]","[11, 0, 11, 10]","[11, 11, 11, 0]","[0, 0, 0, 0]","[12, 11, 10, 0]","[11, 0, 12, 11]","[0, 10, 12, 0]","[0, 0, 10, 0]","[13, 11, 13, 0]","[0, 0, 14, 11]",4
1,148,136,132,114,3,"[14, 15, 10, 0]","[12, 12, 13, 0]","[0, 11, 10, 13]","[13, 11, 13, 0]","[0, 0, 0, 11]","[0, 0, 10, 10]","[0, 0, 11, 0]","[0, 12, 10, 10]","[10, 11, 0, 10]","[0, 11, 10, 10]","[11, 11, 0, 10]","[11, 0, 0, 0]","[10, 0, 12, 0]","[10, 10, 12, 0]","[11, 11, 0, 12]","[12, 11, 0, 11]","[0, 0, 0, 10]","[0, 11, 15, 12]","[0, 11, 10, 13]",2
1,170,119,135,78,0,"[0, 0, 0, 11]","[12, 12, 0, 11]","[0, 15, 10, 12]","[0, 12, 11, 0]","[0, 11, 0, 0]","[0, 11, 10, 12]","[0, 11, 12, 11]","[10, 11, 0, 11]","[0, 11, 10, 10]","[10, 0, 11, 10]","[11, 11, 0, 10]","[10, 12, 11, 0]","[0, 0, 0, 0]","[12, 0, 11, 0]","[0, 10, 11, 11]","[0, 11, 0, 0]","[0, 11, 0, 14]","[13, 10, 12, 0]","[0, 11, 10, 12]",1
0,154,113,149,169,1,"[10, 12, 13, 0]","[14, 10, 0, 10]","[12, 12, 0, 14]","[0, 12, 11, 11]","[12, 10, 0, 12]","[12, 0, 0, 0]","[10, 11, 13, 0]","[0, 10, 11, 0]","[0, 10, 10, 10]","[10, 10, 0, 10]","[10, 0, 10, 10]","[12, 0, 11, 10]","[11, 10, 12, 0]","[12, 0, 10, 12]","[0, 11, 0, 13]","[11, 11, 0, 14]","[10, 14, 0, 11]","[11, 11, 12, 0]","[12, 0, 0, 12]",3
1,161,151,113,140,2,"[0, 0, 12, 0]","[11, 0, 0, 0]","[11, 11, 12, 0]","[14, 12, 11, 0]","[10, 14, 11, 0]","[0, 12, 0, 0]","[11, 13, 10, 0]","[0, 12, 10, 11]","[10, 0, 10, 10]","[0, 10, 10, 11]","[0, 10, 10, 11]","[11, 0, 10, 10]","[10, 10, 0, 12]","[0, 0, 11, 10]","[13, 12, 10, 0]","[14, 11, 11, 0]","[12, 12, 0, 12]","[13, 10, 0, 14]","[0, 12, 13, 12]",3
1,146,91,110,109,3,"[11, 0, 13, 0]","[0, 14, 0, 11]","[0, 0, 0, 12]","[0, 12, 0, 12]","[12, 0, 0, 10]","[12, 11, 0, 10]","[0, 0, 11, 0]","[10, 12, 10, 0]","[0, 10, 10, 0]","[0, 10, 11, 10]","[11, 11, 0, 10]","[10, 10, 0, 0]","[10, 0, 0, 0]","[0, 0, 11, 0]","[0, 10, 0, 0]","[11, 10, 12, 0]","[11, 11, 0, 11]","[0, 13, 13, 11]","[11, 12, 0, 13]",2
1,157,140,89,133,0,"[14, 12, 0, 11]","[11, 11, 12, 0]","[11, 0, 0, 0]","[11, 0, 11, 0]","[11, 10, 12, 0]","[12, 0, 10, 11]","[0, 10, 0, 10]","[10, 10, 10, 0]","[11, 11, 10, 0]","[10, 0, 10, 11]","[10, 0, 11, 10]","[0, 11, 10, 10]","[0, 11, 11, 12]","[0, 11, 0, 0]","[10, 11, 0, 0]","[0, 13, 10, 0]","[12, 13, 12, 0]","[0, 12, 11, 0]","[0, 11, 0, 14]",1
