winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19,winner_position
3,121,135,178,113,2,"[0, 12, 12, 12]","[12, 0, 15, 10]","[11, 12, 0, 11]","[0, 0, 0, 10]","[11, 0, 10, 14]","[12, 10, 0, 12]","[0, 10, 0, 12]","[0, 0, 10, 10]","[10, 0, 12, 10]","[10, 10, 11, 0]","[10, 0, 11, 10]","[11, 0, 11, 10]","[0, 11, 11, 10]","[0, 10, 11, 13]","[0, 11, 11, 0]","[0, 11, 10, 14]","[13, 12, 0, 10]","[13, 0, 0, 10]","[0, 12, 0, 0]",1
3,119,147,183,143,3,"[13, 15, 0, 12]","[0, 12, 12, 14]","[11, 0, 16, 10]","[12, 0, 13, 11]","[0, 0, 0, 13]","[11, 11, 11, 0]","[13, 0, 10, 10]","[10, 10, 10, 0]","[10, 0, 10, 10]","[0, 11, 10, 10]","[11, 0, 10, 0]","[0, 11, 11, 10]","[0, 0, 11, 11]","[14, 11, 0, 10]","[0, 14, 10, 11]","[10, 13, 0, 13]","[0, 0, 0, 13]","[12, 0, 13, 12]","[16, 11, 0, 13]",4
0,146,147,122,154,0,"[0, 12, 12, 14]","[0, 14, 12, 0]","[11, 13, 0, 0]","[10, 0, 12, 13]","[13, 0, 10, 13]","[11, 0, 12, 11]","[12, 10, 12, 0]","[10, 0, 10, 11]","[0, 10, 11, 11]","[10, 10, 0, 10]","[10, 10, 0, 0]","[10, 11, 0, 0]","[13, 10, 10, 0]","[10, 0, 12, 0]","[0, 11, 11, 13]","[11, 10, 0, 14]","[11, 11, 13, 0]","[12, 0, 0, 0]","[0, 14, 10, 12]",4
0,88,143,152,153,1,"[11, 14, 0, 13]","[12, 0, 12, 12]","[12, 0, 0, 12]","[11, 0, 0, 0]","[0, 0, 10, 0]","[12, 0, 10, 11]","[0, 0, 11, 12]","[12, 10, 10, 0]","[10, 10, 10, 0]","[10, 0, 10, 10]","[10, 11, 11, 0]","[10, 10, 0, 10]","[10, 11, 0, 12]","[0, 11, 12, 11]","[10, 0, 12, 0]","[11, 11, 0, 12]","[0, 0, 11, 11]","[12, 0, 11, 12]","[0, 0, 13, 14]",3
1,142,65,119,116,2,"[12, 12, 0, 13]","[0, 0, 0, 10]","[13, 15, 0, 10]","[0, 10, 0, 0]","[11, 0, 12, 10]","[0, 0, 10, 0]","[12, 10, 0, 12]","[0, 10, 0, 10]","[10, 10, 0, 0]","[10, 10, 10, 0]","[0, 11, 10, 10]","[10, 0, 10, 11]","[11, 10, 13, 0]","[0, 0, 0, 11]","[13, 0, 0, 0]","[0, 12, 0, 0]","[14, 10, 0, 11]","[0, 11, 0, 0]","[0, 11, 0, 11]",3
1,137,122,135,132,3,"[0, 13, 0, 0]","[14, 0, 12, 12]","[11, 13, 0, 12]","[0, 10, 11, 13]","[11, 11, 0, 10]","[0, 10, 11, 12]","[10, 0, 10, 0]","[11, 0, 11, 10]","[10, 0, 0, 12]","[10, 10, 0, 10]","[0, 12, 10, 10]","[10, 12, 11, 0]","[0, 10, 0, 11]","[0, 0, 10, 0]","[0, 11, 0, 0]","[12, 0, 11, 13]","[11, 11, 13, 0]","[11, 14, 12, 0]","[11, 0, 0, 10]",2
0,118,130,95,159,0,"[12, 0, 0, 0]","[11, 0, 12, 14]","[11, 0, 0, 0]","[0, 0, 0, 11]","[0, 10, 11, 13]","[11, 0, 10, 12]","[0, 0, 11, 11]","[11, 11, 11, 0]","[12, 10, 10, 0]","[11, 10, 10, 0]","[12, 10, 0, 10]","[10, 11, 0, 0]","[11, 10, 0, 12]","[0, 11, 11, 0]","[10, 11, 11, 0]","[13, 11, 10, 0]","[0, 0, 11, 12]","[12, 13, 12, 0]","[12, 0, 0, 0]",4
3,143,73,184,117,1,"[11, 12, 0, 12]","[14, 11, 0, 13]","[11, 13, 0, 12]","[11, 0, 0, 11]","[0, 0, 10, 11]","[0, 0, 10, 11]","[0, 0, 0, 13]","[0, 11, 11, 11]","[10, 11, 0, 11]","[10, 10, 10, 0]","[0, 10, 11, 10]","[0, 0, 0, 10]","[0, 11, 10, 0]","[11, 11, 11, 0]","[12, 11, 0, 12]","[0, 10, 0, 14]","[0, 11, 0, 10]","[14, 11, 0, 12]","[13, 0, 0, 11]",2
1,146,118,99,106,2,"[11, 11, 15, 0]","[11, 12, 0, 0]","[0, 0, 11, 12]","[0, 0, 0, 0]","[0, 10, 13, 12]","[10, 11, 0, 0]","[0, 11, 0, 0]","[11, 0, 12, 10]","[10, 10, 10, 0]","[0, 10, 10, 10]","[0, 10, 11, 10]","[0, 0, 0, 10]","[10, 11, 11, 0]","[10, 12, 12, 0]","[11, 12, 0, 13]","[0, 13, 13, 10]","[0, 0, 0, 0]","[12, 13, 0, 12]","[10, 0, 0, 0]",3
1,149,147,144,91,3,"[0, 14, 0, 10]","[0, 12, 0, 13]","[10, 0, 0, 12]","[12, 0, 0, 0]","[0, 11, 12, 13]","[10, 11, 0, 10]","[10, 0, 11, 11]","[0, 12, 11, 10]","[0, 10, 10, 11]","[0, 10, 11, 10]","[10, 12, 10, 0]","[0, 12, 10, 10]","[11, 10, 11, 0]","[0, 10, 14, 10]","[0, 0, 12, 11]","[0, 0, 0, 0]","[0, 14, 11, 0]","[14, 11, 12, 0]","[14, 0, 12, 13]",2
