winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1,200,90,148,153,2,"[12, 12, 0, 13]","[0, 12, 13, 13]","[0, 13, 12, 0]","[0, 12, 10, 0]","[10, 12, 0, 13]","[12, 10, 12, 0]","[11, 11, 0, 11]","[10, 10, 0, 11]","[10, 11, 0, 11]","[10, 10, 0, 10]","[11, 10, 0, 11]","[10, 12, 0, 10]","[10, 0, 10, 10]","[12, 0, 10, 0]","[13, 11, 11, 0]","[10, 14, 0, 12]","[0, 14, 0, 11]","[12, 13, 0, 0]","[0, 13, 12, 12]"
3,110,114,137,135,3,"[12, 0, 12, 0]","[11, 0, 11, 16]","[11, 0, 0, 12]","[12, 0, 10, 11]","[12, 12, 0, 10]","[0, 12, 11, 12]","[0, 11, 11, 11]","[10, 0, 0, 0]","[10, 11, 11, 0]","[0, 10, 11, 10]","[10, 10, 11, 11]","[11, 12, 0, 10]","[10, 10, 0, 0]","[0, 11, 0, 12]","[0, 0, 0, 10]","[0, 0, 0, 0]","[0, 11, 12, 12]","[11, 0, 14, 0]","[15, 0, 0, 0]"
3,92,139,164,160,0,"[10, 15, 0, 0]","[12, 0, 11, 14]","[11, 12, 0, 12]","[10, 0, 12, 12]","[10, 11, 12, 0]","[11, 0, 12, 10]","[0, 0, 0, 10]","[10, 11, 0, 12]","[0, 10, 11, 10]","[10, 0, 10, 11]","[10, 10, 10, 0]","[11, 0, 0, 10]","[0, 12, 10, 12]","[10, 0, 12, 0]","[11, 0, 0, 0]","[12, 0, 13, 12]","[0, 11, 0, 12]","[12, 0, 13, 13]","[10, 0, 13, 14]"
0,102,136,101,142,1,"[14, 0, 0, 12]","[16, 12, 0, 10]","[0, 10, 0, 15]","[0, 12, 10, 0]","[0, 15, 11, 0]","[0, 11, 0, 11]","[10, 0, 10, 0]","[0, 0, 10, 0]","[11, 0, 10, 10]","[10, 10, 10, 0]","[10, 0, 10, 0]","[13, 10, 10, 0]","[10, 0, 11, 11]","[11, 11, 0, 10]","[13, 0, 10, 11]","[0, 11, 11, 0]","[10, 0, 0, 0]","[14, 0, 12, 11]","[0, 0, 11, 0]"
0,128,143,148,158,2,"[12, 14, 0, 13]","[10, 0, 14, 10]","[15, 12, 0, 11]","[11, 12, 12, 0]","[0, 12, 10, 11]","[12, 11, 10, 0]","[0, 12, 10, 12]","[10, 12, 0, 10]","[0, 10, 10, 11]","[0, 10, 10, 10]","[10, 0, 10, 0]","[10, 0, 10, 0]","[10, 0, 0, 12]","[10, 12, 0, 10]","[12, 11, 11, 0]","[0, 0, 0, 0]","[12, 0, 11, 10]","[13, 0, 13, 13]","[11, 0, 12, 15]"
0,127,83,128,147,3,"[0, 14, 0, 10]","[16, 11, 0, 10]","[11, 14, 0, 0]","[11, 0, 0, 0]","[11, 11, 0, 0]","[12, 0, 12, 11]","[12, 10, 11, 0]","[10, 0, 0, 0]","[10, 10, 0, 11]","[0, 10, 11, 10]","[10, 0, 10, 12]","[0, 10, 0, 0]","[10, 13, 0, 10]","[0, 0, 0, 10]","[11, 0, 13, 10]","[13, 0, 0, 0]","[0, 11, 14, 11]","[0, 0, 12, 12]","[10, 13, 0, 11]"
0,137,150,63,176,0,"[14, 14, 10, 0]","[10, 0, 12, 13]","[11, 15, 11, 0]","[0, 10, 0, 10]","[11, 0, 0, 10]","[11, 0, 0, 10]","[10, 10, 11, 0]","[10, 10, 11, 0]","[10, 10, 10, 0]","[11, 0, 10, 10]","[10, 10, 10, 0]","[0, 10, 10, 0]","[12, 10, 11, 0]","[11, 0, 12, 10]","[11, 11, 11, 0]","[12, 0, 10, 0]","[0, 10, 0, 0]","[11, 0, 0, 0]","[11, 17, 11, 0]"
2,104,137,132,101,1,"[0, 0, 11, 0]","[13, 0, 13, 12]","[12, 11, 0, 0]","[10, 0, 15, 11]","[0, 0, 10, 11]","[0, 10, 0, 11]","[0, 11, 12, 10]","[0, 10, 10, 12]","[0, 10, 0, 10]","[11, 0, 10, 10]","[10, 10, 0, 0]","[10, 10, 10, 0]","[12, 0, 11, 10]","[0, 10, 0, 11]","[10, 0, 0, 0]","[0, 0, 10, 0]","[0, 11, 0, 0]","[0, 11, 12, 13]","[13, 0, 13, 11]"
1,147,131,146,141,2,"[15, 10, 0, 0]","[13, 0, 11, 0]","[0, 0, 12, 0]","[11, 11, 0, 11]","[11, 0, 10, 11]","[11, 11, 0, 11]","[13, 10, 11, 0]","[11, 12, 10, 10]","[11, 11, 0, 10]","[0, 10, 10, 10]","[0, 10, 10, 0]","[10, 0, 10, 11]","[11, 12, 0, 11]","[13, 0, 10, 12]","[0, 11, 11, 13]","[0, 13, 0, 0]","[0, 12, 0, 12]","[11, 0, 14, 12]","[0, 14, 12, 12]"
0,113,120,119,150,3,"[14, 10, 13, 0]","[10, 0, 0, 13]","[12, 11, 0, 12]","[0, 15, 11, 11]","[0, 13, 10, 11]","[14, 10, 10, 11]","[11, 10, 11, 0]","[11, 11, 0, 10]","[10, 0, 10, 10]","[10, 0, 10, 10]","[10, 10, 0, 10]","[10, 0, 0, 0]","[0, 0, 0, 0]","[0, 11, 11, 0]","[13, 12, 0, 11]","[13, 0, 13, 10]","[12, 0, 10, 0]","[0, 0, 11, 0]","[0, 0, 0, 0]"
