num_players,player_order,rank,wins,outcomes,probability,table_type
5,0,3,6983,17873,0.39070105746097467,trump
5,0,4,7770,18001,0.4316426865174157,trump
5,0,5,8555,18118,0.47218236008389447,trump
5,0,6,9608,18535,0.5183706501213919,trump
5,0,7,10327,18258,0.5656150728447804,trump
5,0,8,11218,18069,0.6208423266367812,trump
5,0,9,12306,18139,0.6784276972269695,trump
5,0,10,13289,18257,0.7278851947198335,trump
5,0,11,14296,18100,0.7898342541436464,trump
5,0,12,15434,18095,0.8529428018789721,trump
5,0,13,16845,18207,0.9251936068545065,trump
5,0,14,18268,18268,1.0,trump
5,1,2,6406,18004,0.3558098200399911,trump
5,1,3,7167,18268,0.39232537770965625,trump
5,1,4,7724,17791,0.434152099376089,trump
5,1,5,8636,17961,0.4808195534769779,trump
5,1,6,9352,17991,0.5198154632871992,trump
5,1,7,10423,18402,0.5664058254537551,trump
5,1,8,11133,18222,0.6109647678630227,trump
5,1,9,12227,18308,0.6678501201660476,trump
5,1,10,13218,18182,0.7269827301726983,trump
5,1,11,14320,17991,0.7959535323217164,trump
5,1,12,15493,18148,0.8537028873705091,trump
5,1,13,16822,18135,0.9275985663082438,trump
5,1,14,18099,18099,1.0,trump
5,2,2,6488,18086,0.3587305097865752,trump
5,2,3,7092,18070,0.3924737133370227,trump
5,2,4,7755,18258,0.4247453171212619,trump
5,2,5,8564,17935,0.47750209088374684,trump
5,2,6,9569,18457,0.5184482852034459,trump
5,2,7,10368,18213,0.5692637127326635,trump
5,2,8,11323,18208,0.6218695079086116,trump
5,2,9,12312,18139,0.678758476211478,trump
5,2,10,13174,18052,0.7297806337247951,trump
5,2,11,13992,17723,0.789482593240422,trump
5,2,12,15575,18230,0.8543609434997257,trump
5,2,13,16882,18268,0.9241296255747755,trump
5,2,14,18366,18366,1.0,trump
5,3,2,6386,17920,0.35636160714285714,trump
5,3,3,7074,18073,0.39141260443755876,trump
5,3,4,7880,18237,0.43208861106541646,trump
5,3,5,8471,17944,0.4720798038341507,trump
5,3,6,9509,18232,0.5215555068012286,trump
5,3,7,10197,17946,0.5682046138415245,trump
5,3,8,11214,18273,0.6136923329502545,trump
5,3,9,12206,18259,0.6684922503970645,trump
5,3,10,13202,18214,0.7248270561106841,trump
5,3,11,14340,18041,0.794856160966687,trump
5,3,12,15561,18165,0.8566473988439306,trump
5,3,13,16678,18008,0.9261439360284318,trump
5,3,14,18073,18073,1.0,trump
5,4,2,6457,18215,0.3544880592917925,trump
5,4,3,7068,18137,0.3897006120086012,trump
5,4,4,7723,18056,0.42772485600354454,trump
5,4,5,8506,18108,0.46973713275900153,trump
5,4,6,9401,18200,0.5165384615384615,trump
5,4,7,10405,18132,0.5738473417163027,trump
5,4,8,11259,18172,0.6195795729694035,trump
5,4,9,12252,18185,0.6737420951333517,trump
5,4,10,13085,17936,0.7295383586083853,trump
5,4,11,14254,18063,0.7891269445828489,trump
5,4,12,15495,18095,0.8563138988670903,trump
5,4,13,16722,18083,0.9247359398329923,trump
5,4,14,18364,18364,1.0,trump
