numMySuit,numAtLeastOppSuit,numTargetHit,numTotal,probability
0,0,641530,641530,1.0
0,1,350915,641530,0.5469970227425062
0,2,36366,641530,0.05668635917260299
0,3,234,641530,0.0003647530123298988
0,4,0,641530,0.0
1,0,1225887,1225887,1.0
1,1,593978,1225887,0.4845291613337934
1,2,44175,1225887,0.036035132112503025
1,3,161,1225887,0.00013133347527137493
1,4,0,1225887,0.0
2,0,839767,839767,1.0
2,1,351417,839767,0.41846964693778155
2,2,17903,839767,0.021319008725039206
2,3,24,839767,2.8579355940397753e-05
3,0,256542,256542,1.0
3,1,90067,256542,0.3510809146260651
3,2,3014,256542,0.011748563588028471
3,3,3,256542,1.1693991627101995e-05
4,0,34663,34663,1.0
4,1,9849,34663,0.2841358220581023
4,2,195,34663,0.005625595014857341
4,3,0,34663,0.0
5,0,1611,1611,1.0
5,1,350,1611,0.21725636250775915
5,2,4,1611,0.002482929857231533
