numMySuit,numAtLeastOppSuit,numTargetHit,numTotal,probability
0,0,69176,69176,1.0
0,1,64757,69176,0.9361194633977102
0,2,44247,69176,0.6396293512200764
0,3,14599,69176,0.21104140164218804
0,4,1535,69176,0.02218977680120273
0,5,41,69176,0.0005926911067422227
0,6,0,69176,0.0
1,0,242455,242455,1.0
1,1,220769,242455,0.910556598131612
1,2,134474,242455,0.5546348806995113
1,3,34608,242455,0.14273988987647193
1,4,2397,242455,0.009886370666721659
1,5,26,242455,0.00010723639438246272
2,0,333947,333947,1.0
2,1,292572,333947,0.8761030942035712
2,2,153434,333947,0.45945614124396983
2,3,29275,333947,0.08766361129161214
2,4,1122,333947,0.003359814581355724
2,5,2,333947,5.988974298316799e-06
3,0,236458,236458,1.0
3,1,196292,236458,0.8301347385159309
3,2,85896,236458,0.3632611288262609
3,3,11312,236458,0.04783936259293405
3,4,224,236458,0.0009473141107511693
4,0,93494,93494,1.0
4,1,72024,93494,0.7703595952681456
4,2,24690,93494,0.2640811175048666
4,3,1888,93494,0.020193809228399685
4,4,7,93494,7.48711147239395e-05
5,0,21530,21530,1.0
5,1,14989,21530,0.6961913608917789
5,2,3780,21530,0.1755689735253135
5,3,154,21530,0.007152810032512773
6,0,2746,2746,1.0
6,1,1644,2746,0.5986890021849963
6,2,268,2746,0.09759650400582666
6,3,2,2746,0.0007283321194464676
7,0,188,188,1.0
7,1,94,188,0.5
7,2,9,188,0.047872340425531915
8,0,6,6,1.0
8,1,0,6,0.0
8,2,0,6,0.0
