numMySuit,numAtLeastOppSuit,numTargetHit,numTotal,probability
0,0,110583,110583,1.0
0,1,109330,110583,0.9886691444435401
0,2,100370,110583,0.9076440320844976
0,3,76491,110583,0.6917066818588752
0,4,43086,110583,0.38962589186402974
0,5,16615,110583,0.15024913413454147
0,6,3993,110583,0.036108624291256344
0,7,589,110583,0.005326315979852237
0,8,56,110583,0.0005064069522440158
0,9,0,110583,0.0
0,10,0,110583,0.0
1,0,497464,497464,1.0
1,1,488510,497464,0.9820007075888909
1,2,435118,497464,0.8746723380988373
1,3,309284,497464,0.6217213707926603
1,4,157136,497464,0.3158741135036907
1,5,52859,497464,0.10625693517520866
1,6,11196,497464,0.022506151198880723
1,7,1458,497464,0.0029308653490503836
1,8,94,497464,0.0001889583969895309
1,9,4,497464,8.040782850618336e-06
1,10,0,497464,0.0
2,0,896554,896554,1.0
2,1,872513,896554,0.9731851065301141
2,2,746204,896554,0.8323023487709608
2,3,488634,896554,0.5450134626581332
2,4,220371,896554,0.24579779912866376
2,5,64057,896554,0.07144801093966453
2,6,11322,896554,0.012628352558797351
2,7,1126,896554,0.0012559198888187437
2,8,75,896554,8.36536338023142e-05
2,9,1,896554,1.1153817840308559e-06
2,10,0,896554,0.0
3,0,847662,847662,1.0
3,1,814317,847662,0.9606623866588333
3,2,661423,847662,0.7802909650308731
3,3,393310,847662,0.463993903230297
3,4,154626,847662,0.18241468887363124
3,5,37523,847662,0.0442664646993731
3,6,5404,847662,0.006375182560973596
3,7,409,847662,0.0004825036394223169
3,8,17,847662,2.0055163496771118e-05
3,9,0,847662,0.0
3,10,0,847662,0.0
4,0,462653,462653,1.0
4,1,435986,462653,0.9423606893287194
4,2,332229,462653,0.718095419245093
4,3,175906,462653,0.3802115192163457
4,4,59214,462653,0.12798793047921445
4,5,11742,462653,0.025379712224928835
4,6,1309,462653,0.0028293342958977895
4,7,64,462653,0.00013833261645336786
4,8,1,462653,2.161447132083873e-06
4,9,0,462653,0.0
5,0,151805,151805,1.0
5,1,139157,151805,0.9166825862125754
5,2,97635,151805,0.6431606337077171
5,3,44920,151805,0.2959059319521755
5,4,12558,151805,0.08272454793979118
5,5,1995,151805,0.013141859622542077
5,6,164,151805,0.001080333322354336
5,7,6,151805,3.952438984223181e-05
5,8,0,151805,0.0
6,0,29721,29721,1.0
6,1,26216,29721,0.8820699168937788
6,2,16531,29721,0.5562060495945628
6,3,6390,29721,0.21499949530634904
6,4,1412,29721,0.04750849567645772
6,5,183,29721,0.0061572625416372265
6,6,6,29721,0.0002018774603815484
6,7,0,29721,0.0
7,0,3309,3309,1.0
7,1,2764,3309,0.8352976730129948
7,2,1505,3309,0.45482018736778485
7,3,462,3309,0.13961922030825022
7,4,74,3309,0.0223632517376851
7,5,10,3309,0.0030220610456331218
7,6,0,3309,0.0
8,0,241,241,1.0
8,1,180,241,0.7468879668049793
8,2,73,241,0.3029045643153527
8,3,12,241,0.04979253112033195
8,4,2,241,0.008298755186721992
8,5,0,241,0.0
9,0,8,8,1.0
9,1,3,8,0.375
9,2,1,8,0.125
9,3,0,8,0.0
9,4,0,8,0.0
