numMySuit,numAtLeastOppSuit,numTargetHit,numTotal,probability
0,0,110583,110583,1.0
0,1,106681,110583,0.9647142870061401
0,2,80924,110583,0.7317942179177631
0,3,26748,110583,0.24188166354683813
0,4,824,110583,0.007451416583019089
1,0,497464,497464,1.0
1,1,470980,497464,0.946761976746056
1,2,318816,497464,0.6408825563256839
1,3,71782,497464,0.14429586864577135
1,4,567,497464,0.001139780969075149
2,0,896554,896554,1.0
2,1,824751,896554,0.9199122417612324
2,2,478403,896554,0.5336019916257135
2,3,63354,896554,0.07066389754549085
3,0,847662,847662,1.0
3,1,748078,847662,0.8825192116669144
3,2,349274,847662,0.4120439514806609
3,3,21039,847662,0.024820034400503975
4,0,462653,462653,1.0
4,1,383842,462653,0.8296541900733378
4,2,132861,462653,0.28717202741579545
4,3,2204,462653,0.004763829479112856
5,0,151805,151805,1.0
5,1,114998,151805,0.757537630512829
5,2,25885,151805,0.17051480517769507
6,0,29721,29721,1.0
6,1,19665,29721,0.6616533764005249
6,2,2291,29721,0.07708354362235456
7,0,3309,3309,1.0
7,1,1795,3309,0.5424599576911454
7,2,67,3309,0.020247809005741916
8,0,241,241,1.0
8,1,99,241,0.4107883817427386
9,0,8,8,1.0
9,1,2,8,0.25
