numMySuit,numAtLeastOppSuit,numTargetHit,numTotal,probability
0,0,110583,110583,1.0
0,1,108016,110583,0.9767866670283859
0,2,90563,110583,0.8189595145727644
0,3,48660,110583,0.4400314695748894
0,4,11243,110583,0.10167023864427624
0,5,708,110583,0.006402430753370771
0,6,8,110583,7.234385032057369e-05
1,0,497464,497464,1.0
1,1,479700,497464,0.9642908833604039
1,2,375602,497464,0.755033530064487
1,3,168713,497464,0.3391461492690928
1,4,27467,497464,0.05521404563948346
1,5,1034,497464,0.00207854236688484
1,6,2,497464,4.020391425309168e-06
2,0,896554,896554,1.0
2,1,848621,896554,0.946536404946049
2,2,607140,896554,0.6771928963564938
2,3,218851,896554,0.24410241881693684
2,4,23729,896554,0.02646689435326818
2,5,410,896554,0.0004573065314526509
3,0,847662,847662,1.0
3,1,781053,847662,0.9214203302731513
3,2,495293,847662,0.584304829047427
3,3,134858,847662,0.15909407287338587
3,4,8880,847662,0.010475873638313385
3,5,64,847662,7.550179198784421e-05
4,0,462653,462653,1.0
4,1,409855,462653,0.8858799143202357
4,2,222333,462653,0.4805610252176037
4,3,42412,462653,0.09167129576594121
4,4,1297,462653,0.002803396930312783
5,0,151805,151805,1.0
5,1,126886,151805,0.8358486215869042
5,2,55943,151805,0.36851882349066234
5,3,6674,151805,0.04396429630117585
5,4,70,151805,0.00046111788149270444
6,0,29721,29721,1.0
6,1,22901,29721,0.7705326200329733
6,2,7688,29721,0.25867231923555734
6,3,478,29721,0.016082904343730022
7,0,3309,3309,1.0
7,1,2252,3309,0.680568147476579
7,2,491,3309,0.14838319734058628
7,3,13,3309,0.003928679359323058
8,0,241,241,1.0
8,1,137,241,0.5684647302904564
8,2,10,241,0.04149377593360996
9,0,8,8,1.0
9,1,2,8,0.25
9,2,0,8,0.0
