numMySuit,numAtLeastOppSuit,numTargetHit,numTotal,probability
0,0,160684,160684,1.0
0,1,153411,160684,0.9547372482636728
0,2,114720,160684,0.7139478728435936
0,3,46704,160684,0.2906574394463668
0,4,6801,160684,0.042325309302730825
0,5,230,160684,0.0014313808468795898
0,6,0,160684,0.0
1,0,627326,627326,1.0
1,1,587083,627326,0.9358499408600951
1,2,401453,627326,0.639943187433647
1,3,133154,627326,0.2122564663348881
1,4,13830,627326,0.02204595377841824
1,5,277,627326,0.0004415567025756943
1,6,0,627326,0.0
2,0,971219,971219,1.0
2,1,884565,971219,0.910778104629337
2,2,538302,971219,0.5542539839109408
2,3,139110,971219,0.14323237086589122
2,4,9637,971219,0.009922581827579567
2,5,85,971219,8.751888091151429e-05
3,0,778013,778013,1.0
3,1,681139,778013,0.8754853710670645
3,2,358388,778013,0.4606452591409141
3,3,68111,778013,0.08754480966256348
3,4,2680,778013,0.0034446725183255294
3,5,8,778013,1.0282604532315013e-05
4,0,353591,353591,1.0
4,1,293648,353591,0.830473626308362
4,2,128068,353591,0.362192476618466
4,3,16643,353591,0.047068505702916645
4,4,310,353591,0.0008767191472633636
5,0,93601,93601,1.0
5,1,72104,93601,0.7703336502815141
5,2,24473,93601,0.2614608818281856
5,3,1974,93601,0.02108951827437741
5,4,15,93601,0.00016025469813356696
6,0,14366,14366,1.0
6,1,9966,14366,0.6937212863705973
6,2,2586,14366,0.18000835305582627
6,3,97,14366,0.006752053459557288
7,0,1157,1157,1.0
7,1,695,1157,0.6006914433880726
7,2,121,1157,0.10458081244598098
7,3,0,1157,0.0
8,0,43,43,1.0
8,1,21,43,0.4883720930232558
8,2,0,43,0.0
