numMySuit,numAtLeastOppSuit,numTargetHit,numTotal,probability
0,0,887459,887459,1.0
0,1,339734,887459,0.3828165582860729
0,2,14690,887459,0.016552877372363117
0,3,20,887459,2.2536252378983142e-05
0,4,0,887459,0.0
1,0,1315527,1315527,1.0
1,1,431966,1315527,0.3283596611852132
1,2,13025,1315527,0.009900975046502277
1,3,10,1315527,7.601516350481594e-06
1,4,0,1315527,0.0
2,0,658110,658110,1.0
2,1,180360,658110,0.27405752837671515
2,2,3578,658110,0.005436781085228913
2,3,3,658110,4.558508456033186e-06
3,0,130268,130268,1.0
3,1,28914,130268,0.22195781005312126
3,2,340,130268,0.002610003991770811
3,3,0,130268,0.0
4,0,8636,8636,1.0
4,1,1489,8636,0.1724177860120426
4,2,11,8636,0.0012737378415933302
4,3,0,8636,0.0
