numMySuit,numAtLeastOppSuit,numTargetHit,numTotal,probability
0,0,49331,49331,1.0
0,1,47638,49331,0.9656808092274635
0,2,37223,49331,0.7545559587277777
0,3,16692,49331,0.3383673552127465
0,4,2750,49331,0.055745879872696684
0,5,107,49331,0.0021690215077740166
0,6,0,49331,0.0
1,0,198367,198367,1.0
1,1,187747,198367,0.9464628693280637
1,2,134113,198367,0.6760852359515443
1,3,48259,198367,0.2432813925703368
1,4,5248,198367,0.026456013348994542
1,5,81,198367,0.0004083340474978197
2,0,318438,318438,1.0
2,1,293175,318438,0.9206658753038268
2,2,185849,318438,0.583626954069552
2,3,50822,318438,0.15959778669631136
2,4,3292,318438,0.01033796217788078
2,5,28,318438,8.792920442911965e-05
3,0,265371,265371,1.0
3,1,234972,265371,0.8854471664198424
3,2,127441,265371,0.4802371020194369
3,3,24278,265371,0.09148701252209171
3,4,762,265371,0.002871451665781114
4,0,126139,126139,1.0
4,1,105376,126139,0.8353958728069828
4,2,46126,126139,0.3656759606465883
4,3,5581,126139,0.04424484100872847
4,4,57,126139,0.00045188244714164535
5,0,35759,35759,1.0
5,1,27605,35759,0.7719734891915322
5,2,9196,35759,0.2571660281327778
5,3,606,35759,0.016946782628149557
6,0,5988,5988,1.0
6,1,4108,5988,0.6860387441549766
6,2,925,5988,0.1544756179024716
6,3,18,5988,0.003006012024048096
7,0,577,577,1.0
7,1,349,577,0.6048526863084922
7,2,34,577,0.058925476603119586
8,0,30,30,1.0
8,1,15,30,0.5
8,2,0,30,0.0
