numMySuit,numAtLeastOppSuit,numTargetHit,numTotal,probability
0,0,132597,132597,1.0
0,1,88901,132597,0.6704601159905579
0,2,11267,132597,0.08497175652541158
0,3,9,132597,6.787483879725786e-05
1,0,338456,338456,1.0
1,1,201076,338456,0.5940979034202378
1,2,15532,338456,0.045890750939560826
2,0,328436,328436,1.0
2,1,167134,328436,0.5088784420709057
2,2,6441,328436,0.019611126673080903
3,0,156143,156143,1.0
3,1,64447,156143,0.4127434467123086
3,2,983,156143,0.006295511166046508
4,0,38928,38928,1.0
4,1,12247,38928,0.3146064529387587
4,2,38,38928,0.0009761611179613645
5,0,5092,5092,1.0
5,1,1121,5092,0.22014925373134328
6,0,342,342,1.0
6,1,46,342,0.13450292397660818
7,0,6,6,1.0
7,1,0,6,0.0
