numMySuit,numAtLeastOppSuit,numTargetHit,numTotal,probability
0,0,49331,49331,1.0
0,1,46751,49331,0.9477002290648882
0,2,31639,49331,0.6413614157426365
0,3,7174,49331,0.14542579716608217
0,4,62,49331,0.0012568162007662524
1,0,198367,198367,1.0
1,1,182436,198367,0.9196892628310153
1,2,105645,198367,0.5325734623198415
1,3,13763,198367,0.06938149994706781
2,0,318438,318438,1.0
2,1,280882,318438,0.8820618142307137
2,2,131323,318438,0.41239738975875995
2,3,7970,318438,0.025028419975002984
3,0,265371,265371,1.0
3,1,220167,265371,0.8296573476378354
3,2,75966,265371,0.2862633822083046
3,3,1259,265371,0.004744301374302391
4,0,126139,126139,1.0
4,1,95532,126139,0.7573549814093976
4,2,21179,126139,0.16790207628092818
5,0,35759,35759,1.0
5,1,23638,35759,0.6610363824491736
5,2,2812,35759,0.07863754579266757
6,0,5988,5988,1.0
6,1,3334,5988,0.5567802271209085
6,2,129,5988,0.02154308617234469
7,0,577,577,1.0
7,1,239,577,0.41421143847487
8,0,30,30,1.0
8,1,10,30,0.3333333333333333
