numMySuit,numAtLeastOppSuit,numTargetHit,numTotal,probability
0,0,49331,49331,1.0
0,1,45879,49331,0.9300237173379822
0,2,26240,49331,0.5319170501307494
0,3,1339,49331,0.02714317569074213
1,0,198367,198367,1.0
1,1,177139,198367,0.8929862325890899
1,2,79426,198367,0.40039925995755343
2,0,318438,318438,1.0
2,1,268538,318438,0.8432975963923903
2,2,83824,318438,0.2632349154309473
3,0,265371,265371,1.0
3,1,205718,265371,0.7752090469569018
3,2,36069,265371,0.1359191471562454
4,0,126139,126139,1.0
4,1,86061,126139,0.6822711453238095
4,2,5284,126139,0.04189029562625358
5,0,35759,35759,1.0
5,1,19937,35759,0.5575379624709863
6,0,5988,5988,1.0
6,1,2522,5988,0.4211756847027388
7,0,577,577,1.0
7,1,148,577,0.2564991334488735
8,0,30,30,1.0
8,1,3,30,0.1
