numMySuit,numAtLeastOppSuit,numTargetHit,numTotal,probability
0,0,230820,230820,1.0
0,1,221444,230820,0.9593796031539727
0,2,179241,230820,0.7765401611645438
0,3,105567,230820,0.45735638159604886
0,4,40942,230820,0.17737631054501343
0,5,9645,230820,0.041785807122433065
0,6,1310,230820,0.005675418074690235
0,7,83,230820,0.0003595875574040378
0,8,1,230820,4.332380209687202e-06
1,0,773453,773453,1.0
1,1,731374,773453,0.9455959185626017
1,2,562947,773453,0.7278360805375375
1,3,303949,773453,0.39297669024491466
1,4,104148,773453,0.1346533014934327
1,5,21441,773453,0.027721141426822315
1,6,2460,773453,0.003180542321252875
1,7,139,773453,0.00017971357018461368
1,8,2,773453,2.58580676524624e-06
2,0,1013359,1013359,1.0
2,1,940096,1013359,0.9277028180536216
2,2,681287,1013359,0.6723056685735262
2,3,332690,1013359,0.3283041844005925
2,4,100714,1013359,0.09938629843915138
2,5,17803,1013359,0.017568305013326964
2,6,1665,1013359,0.0016430504885238104
2,7,81,1013359,7.993218592818537e-05
2,8,2,1013359,1.9736342204490216e-06
3,0,676519,676519,1.0
3,1,611648,676519,0.9041106014760857
3,2,411906,676519,0.6088609484729919
3,3,179785,676519,0.26575011197024767
3,4,47251,676519,0.06984430592488902
3,5,6953,676519,0.010277612306527977
3,6,496,676519,0.0007331649221973071
3,7,12,676519,1.773786102090259e-05
3,8,1,676519,1.478155085075216e-06
4,0,248232,248232,1.0
4,1,217032,248232,0.8743111282993329
4,2,134089,248232,0.5401761255599601
4,3,51667,248232,0.20813996583840924
4,4,11410,248232,0.04596506493925038
4,5,1420,248232,0.005720455058171388
4,6,93,248232,0.00037464952141545005
4,7,1,248232,4.028489477585485e-06
4,8,0,248232,0.0
5,0,51572,51572,1.0
5,1,43341,51572,0.840397890328085
5,2,24301,51572,0.4712053052043745
5,3,7992,51572,0.15496781199100287
5,4,1487,51572,0.028833475529357014
5,5,134,51572,0.0025983091600093075
5,6,5,51572,9.69518343287055e-05
5,7,0,51572,0.0
5,8,0,51572,0.0
6,0,5758,5758,1.0
6,1,4574,5758,0.794373046196596
6,2,2302,5758,0.39979159430357764
6,3,624,5758,0.10837096213963182
6,4,91,5758,0.015804098645362974
6,5,9,5758,0.0015630427231677665
6,6,0,5758,0.0
6,7,0,5758,0.0
7,0,283,283,1.0
7,1,210,283,0.7420494699646644
7,2,86,283,0.303886925795053
7,3,22,283,0.07773851590106007
7,4,0,283,0.0
7,5,0,283,0.0
7,6,0,283,0.0
8,0,4,4,1.0
8,1,2,4,0.5
8,2,1,4,0.25
8,3,0,4,0.0
8,4,0,4,0.0
8,5,0,4,0.0
