winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1,152,78,115,137,2,"[13, 12, 11, 0]","[13, 0, 0, 0]","[0, 12, 0, 13]","[11, 0, 13, 12]","[0, 11, 0, 0]","[10, 11, 0, 0]","[10, 11, 10, 0]","[0, 10, 11, 10]","[12, 10, 0, 10]","[10, 11, 0, 10]","[12, 10, 10, 0]","[11, 0, 0, 0]","[13, 10, 0, 10]","[11, 11, 0, 0]","[0, 0, 0, 10]","[11, 0, 0, 11]","[0, 10, 13, 13]","[0, 12, 0, 0]","[0, 11, 10, 16]"
0,122,111,122,127,3,"[11, 13, 10, 0]","[13, 0, 12, 14]","[0, 0, 0, 0]","[14, 11, 11, 0]","[0, 11, 11, 10]","[0, 0, 0, 13]","[11, 0, 0, 0]","[12, 10, 0, 11]","[10, 11, 10, 0]","[10, 0, 10, 10]","[10, 12, 0, 10]","[12, 0, 11, 10]","[0, 10, 0, 12]","[12, 11, 12, 0]","[0, 11, 0, 10]","[0, 11, 12, 0]","[12, 0, 12, 10]","[0, 0, 0, 12]","[0, 11, 0, 0]"
2,132,135,123,117,0,"[14, 10, 13, 0]","[0, 0, 0, 11]","[10, 0, 0, 0]","[0, 0, 0, 12]","[0, 0, 0, 0]","[0, 11, 11, 13]","[0, 10, 12, 11]","[10, 0, 11, 12]","[12, 10, 10, 0]","[10, 11, 0, 10]","[10, 0, 11, 0]","[11, 11, 11, 0]","[0, 11, 12, 10]","[15, 10, 10, 0]","[13, 12, 0, 10]","[12, 0, 11, 11]","[0, 11, 12, 12]","[0, 12, 11, 0]","[0, 13, 0, 11]"
0,130,120,127,131,1,"[0, 0, 11, 12]","[0, 11, 12, 11]","[13, 11, 11, 0]","[0, 12, 0, 0]","[12, 13, 11, 0]","[0, 0, 12, 0]","[11, 10, 0, 10]","[13, 10, 0, 10]","[0, 10, 12, 10]","[10, 10, 10, 0]","[0, 0, 10, 0]","[13, 10, 0, 10]","[0, 0, 10, 10]","[12, 11, 0, 12]","[12, 10, 0, 11]","[11, 0, 10, 11]","[12, 0, 0, 10]","[0, 12, 0, 0]","[12, 0, 11, 10]"
1,110,97,83,109,2,"[13, 0, 11, 14]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 11, 11, 0]","[0, 11, 0, 12]","[10, 10, 0, 11]","[10, 0, 0, 10]","[11, 0, 10, 12]","[10, 11, 0, 10]","[10, 11, 10, 0]","[0, 0, 10, 0]","[10, 0, 11, 0]","[0, 10, 0, 0]","[0, 10, 0, 0]","[0, 0, 11, 0]","[10, 0, 12, 0]","[12, 13, 11, 0]","[0, 12, 0, 0]","[13, 11, 0, 14]"
1,158,112,136,128,3,"[12, 0, 13, 0]","[0, 0, 12, 13]","[11, 14, 10, 0]","[0, 12, 12, 0]","[15, 11, 10, 0]","[0, 10, 11, 13]","[12, 11, 0, 11]","[0, 0, 0, 10]","[11, 10, 10, 0]","[0, 11, 10, 10]","[11, 11, 10, 0]","[11, 11, 0, 11]","[10, 10, 14, 0]","[0, 11, 0, 11]","[12, 12, 0, 10]","[0, 12, 0, 11]","[0, 0, 0, 12]","[10, 12, 0, 13]","[13, 0, 0, 11]"
1,164,133,114,82,0,"[0, 0, 0, 12]","[12, 14, 12, 0]","[0, 11, 11, 11]","[0, 11, 0, 0]","[0, 0, 0, 0]","[0, 10, 10, 12]","[0, 11, 0, 0]","[12, 10, 10, 0]","[11, 10, 10, 0]","[0, 10, 10, 10]","[11, 10, 0, 11]","[0, 11, 11, 10]","[0, 0, 11, 11]","[13, 10, 12, 0]","[10, 12, 11, 0]","[0, 12, 0, 11]","[13, 11, 13, 0]","[0, 0, 0, 14]","[0, 11, 12, 12]"
3,107,88,159,86,1,"[11, 13, 0, 12]","[0, 0, 0, 11]","[11, 17, 10, 0]","[0, 0, 11, 12]","[0, 13, 11, 11]","[11, 0, 0, 10]","[11, 10, 0, 13]","[0, 10, 11, 11]","[10, 0, 12, 10]","[10, 10, 0, 10]","[0, 11, 10, 11]","[0, 0, 0, 11]","[11, 0, 11, 0]","[0, 0, 0, 13]","[11, 0, 0, 10]","[0, 0, 0, 0]","[0, 11, 0, 0]","[0, 12, 0, 14]","[0, 0, 12, 0]"
3,101,135,156,104,2,"[0, 0, 13, 13]","[12, 0, 0, 0]","[0, 0, 13, 12]","[0, 11, 13, 0]","[11, 0, 13, 11]","[0, 0, 0, 13]","[0, 10, 10, 0]","[0, 10, 11, 10]","[10, 0, 10, 11]","[0, 10, 10, 10]","[12, 0, 10, 10]","[13, 0, 10, 10]","[10, 11, 0, 10]","[13, 10, 10, 0]","[0, 12, 0, 12]","[12, 0, 12, 10]","[0, 14, 0, 12]","[11, 13, 0, 0]","[0, 0, 0, 12]"
3,114,133,160,107,3,"[0, 10, 14, 0]","[12, 12, 0, 15]","[13, 0, 0, 11]","[12, 0, 12, 12]","[10, 0, 13, 11]","[10, 10, 0, 10]","[0, 0, 0, 11]","[10, 11, 0, 10]","[10, 10, 11, 0]","[10, 0, 10, 10]","[10, 12, 10, 0]","[0, 0, 0, 11]","[10, 0, 10, 0]","[0, 12, 10, 0]","[0, 0, 11, 11]","[0, 13, 11, 11]","[0, 13, 10, 11]","[0, 11, 0, 12]","[0, 0, 11, 14]"
1,147,74,144,96,0,"[13, 0, 0, 13]","[0, 13, 11, 14]","[0, 13, 0, 10]","[13, 11, 0, 10]","[0, 14, 0, 10]","[0, 0, 0, 10]","[0, 10, 13, 11]","[12, 10, 10, 0]","[0, 11, 10, 10]","[11, 10, 10, 0]","[0, 11, 0, 10]","[0, 10, 0, 0]","[0, 0, 0, 11]","[10, 0, 10, 0]","[13, 11, 0, 10]","[0, 12, 0, 0]","[0, 0, 10, 13]","[12, 0, 0, 12]","[12, 11, 0, 0]"
1,167,80,94,164,1,"[13, 14, 10, 0]","[11, 0, 12, 13]","[10, 0, 0, 0]","[11, 13, 0, 10]","[10, 12, 0, 12]","[11, 11, 13, 0]","[0, 10, 11, 0]","[11, 10, 0, 12]","[10, 0, 0, 0]","[10, 10, 0, 11]","[11, 10, 11, 0]","[10, 10, 12, 0]","[10, 13, 0, 11]","[11, 11, 0, 11]","[13, 10, 0, 0]","[0, 0, 0, 0]","[0, 11, 11, 14]","[0, 10, 0, 0]","[12, 12, 0, 0]"
1,125,118,99,94,2,"[0, 0, 11, 0]","[0, 0, 11, 0]","[14, 10, 0, 13]","[0, 12, 11, 0]","[0, 0, 0, 11]","[0, 13, 11, 11]","[0, 12, 10, 0]","[10, 0, 10, 0]","[0, 11, 10, 11]","[11, 10, 10, 0]","[0, 11, 10, 11]","[11, 0, 12, 10]","[0, 12, 0, 11]","[13, 10, 0, 10]","[0, 0, 0, 11]","[10, 12, 12, 0]","[13, 0, 0, 0]","[12, 12, 0, 0]","[0, 0, 0, 0]"
