winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
2,123,171,139,122,0,"[0, 13, 14, 10]","[0, 12, 0, 0]","[13, 0, 13, 11]","[14, 10, 0, 12]","[10, 11, 0, 12]","[0, 0, 10, 12]","[10, 0, 10, 12]","[0, 0, 11, 0]","[10, 0, 10, 10]","[10, 10, 10, 0]","[10, 10, 10, 0]","[10, 0, 10, 13]","[13, 10, 11, 0]","[0, 10, 11, 0]","[10, 0, 11, 0]","[12, 0, 0, 12]","[0, 13, 12, 11]","[0, 13, 13, 13]","[0, 11, 15, 11]"
1,123,116,89,109,1,"[12, 0, 0, 0]","[0, 0, 0, 12]","[0, 13, 10, 0]","[0, 0, 10, 12]","[11, 10, 0, 12]","[11, 10, 0, 0]","[11, 0, 10, 10]","[10, 10, 11, 0]","[10, 0, 10, 11]","[10, 11, 10, 0]","[11, 10, 10, 0]","[12, 10, 0, 10]","[0, 0, 10, 0]","[0, 13, 10, 11]","[11, 12, 12, 0]","[0, 0, 0, 11]","[0, 0, 0, 0]","[0, 13, 0, 0]","[0, 11, 13, 0]"
0,155,150,96,164,2,"[17, 0, 0, 0]","[12, 11, 13, 0]","[15, 11, 12, 0]","[0, 10, 0, 11]","[0, 0, 10, 11]","[0, 11, 12, 12]","[11, 11, 0, 11]","[12, 0, 11, 10]","[11, 11, 0, 10]","[0, 10, 11, 10]","[12, 10, 10, 0]","[10, 0, 10, 11]","[11, 0, 11, 10]","[11, 11, 13, 0]","[11, 13, 10, 0]","[10, 12, 0, 0]","[11, 11, 13, 0]","[0, 11, 0, 0]","[10, 12, 14, 0]"
2,119,192,115,122,3,"[0, 10, 14, 14]","[14, 12, 11, 0]","[0, 11, 11, 11]","[0, 0, 0, 0]","[0, 0, 10, 14]","[0, 11, 11, 11]","[0, 0, 10, 0]","[10, 10, 11, 0]","[10, 0, 11, 11]","[11, 0, 10, 10]","[0, 10, 11, 10]","[10, 11, 10, 0]","[10, 10, 12, 0]","[10, 11, 10, 0]","[10, 0, 13, 0]","[11, 0, 12, 12]","[13, 0, 0, 11]","[0, 13, 12, 11]","[13, 10, 13, 0]"
2,92,146,114,114,0,"[12, 10, 12, 0]","[0, 0, 11, 0]","[12, 0, 13, 12]","[14, 10, 12, 0]","[11, 10, 0, 0]","[0, 0, 11, 0]","[11, 0, 11, 10]","[0, 0, 10, 0]","[11, 10, 10, 0]","[11, 0, 10, 10]","[0, 10, 10, 11]","[10, 10, 0, 12]","[12, 10, 0, 12]","[10, 11, 0, 10]","[0, 0, 11, 10]","[0, 0, 0, 0]","[0, 11, 14, 0]","[0, 0, 11, 11]","[0, 0, 0, 16]"
0,134,164,104,169,1,"[12, 0, 14, 12]","[11, 14, 11, 0]","[13, 0, 10, 13]","[0, 11, 13, 0]","[10, 11, 0, 13]","[13, 10, 11, 0]","[10, 0, 0, 0]","[0, 10, 11, 11]","[10, 0, 10, 0]","[10, 10, 0, 11]","[10, 11, 11, 0]","[10, 11, 11, 0]","[11, 10, 10, 0]","[0, 13, 0, 10]","[11, 0, 0, 0]","[13, 11, 11, 0]","[0, 12, 12, 12]","[12, 0, 15, 12]","[13, 0, 14, 10]"
2,121,153,78,147,2,"[0, 10, 12, 13]","[12, 0, 12, 0]","[13, 0, 12, 13]","[11, 0, 0, 0]","[0, 0, 12, 0]","[0, 0, 12, 0]","[0, 12, 11, 10]","[10, 0, 0, 10]","[11, 10, 0, 11]","[10, 11, 10, 0]","[0, 11, 10, 10]","[12, 11, 10, 0]","[10, 0, 0, 11]","[11, 11, 0, 0]","[11, 12, 12, 0]","[10, 0, 13, 0]","[12, 11, 15, 0]","[14, 11, 12, 0]","[0, 11, 0, 0]"
0,148,90,136,162,3,"[12, 12, 0, 13]","[10, 13, 0, 13]","[11, 14, 0, 13]","[12, 10, 0, 13]","[13, 11, 12, 0]","[13, 11, 11, 0]","[0, 10, 0, 0]","[0, 0, 0, 10]","[11, 10, 11, 0]","[0, 11, 10, 10]","[11, 0, 11, 10]","[11, 0, 0, 10]","[11, 0, 13, 10]","[11, 0, 10, 11]","[11, 14, 0, 11]","[10, 11, 12, 0]","[0, 10, 0, 0]","[15, 11, 0, 12]","[0, 0, 0, 0]"
3,103,138,154,92,0,"[15, 0, 11, 13]","[0, 11, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 11]","[0, 0, 12, 12]","[0, 11, 10, 12]","[0, 12, 0, 10]","[10, 0, 10, 0]","[0, 11, 10, 11]","[10, 0, 11, 10]","[0, 10, 12, 10]","[10, 10, 0, 12]","[12, 0, 11, 10]","[10, 13, 0, 11]","[10, 12, 0, 12]","[0, 0, 10, 0]","[0, 0, 11, 0]","[15, 0, 14, 10]","[0, 13, 16, 10]"
3,116,134,146,125,1,"[13, 11, 0, 0]","[0, 0, 0, 12]","[12, 12, 0, 11]","[0, 0, 11, 0]","[0, 0, 12, 0]","[11, 13, 11, 0]","[0, 0, 11, 0]","[0, 0, 10, 10]","[12, 0, 10, 10]","[10, 11, 0, 10]","[10, 10, 0, 12]","[0, 11, 10, 12]","[0, 0, 11, 10]","[10, 12, 0, 11]","[11, 0, 10, 13]","[0, 12, 10, 14]","[12, 0, 13, 11]","[10, 12, 15, 0]","[14, 12, 0, 10]"
