card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
5C,low,False,2,2,1,4,2,10
AD,veryhigh,False,1,1,0,0,2,4
2H,low,False,2,0,0,0,2,3
AH,veryhigh,False,3,1,3,3,4,10
9D,mediumHigh,False,4,0,3,3,4,9
KD,veryhigh,False,4,3,3,2,3,10
KC,veryhigh,True,3,2,3,2,3,9
4S,low,False,1,1,3,2,3,8
9H,mediumHigh,True,4,2,3,2,4,10
QS,high,False,1,1,3,2,4,9
8H,mediumHigh,True,2,0,3,1,4,7
QD,high,False,3,-1,3,1,4,6
6S,mediumlow,True,5,4,1,1,3,10
8S,mediumHigh,True,4,3,0,0,1,5
KS,veryhigh,True,2,2,-1,-1,1,2
3D,low,False,5,2,5,0,4,10
JS,high,False,1,1,3,0,4,7
9D,mediumHigh,False,4,0,3,0,4,6
AC,veryhigh,False,4,3,3,1,4,10
6C,mediumlow,False,3,2,3,1,4,9
8S,mediumHigh,False,2,1,2,1,3,6
3S,low,False,1,0,2,-1,3,3
AS,veryhigh,False,4,4,2,2,1,10
AD,veryhigh,True,3,3,2,2,1,9
7S,mediumlow,False,3,2,2,2,1,8
KH,veryhigh,False,1,1,1,-1,1,3
5D,low,True,1,0,1,-1,1,2
5H,low,False,3,2,2,2,5,10
KD,veryhigh,False,1,1,0,1,5,6
4S,low,False,3,0,0,1,5,5
JH,high,False,3,2,3,1,3,10
QH,high,False,1,1,-1,-1,2,2
7H,mediumlow,False,6,2,2,4,1,10
TH,high,False,4,1,1,2,1,6
QH,high,False,2,2,4,1,5,10
9C,mediumHigh,False,4,1,4,1,4,8
8C,mediumHigh,False,3,0,4,1,4,7
QC,high,False,6,3,2,2,4,10
AC,veryhigh,False,5,2,2,2,4,9
TS,high,False,2,1,2,2,4,8
2C,low,False,4,0,1,0,4,4
KC,veryhigh,True,2,2,3,2,4,10
KH,veryhigh,False,2,1,3,2,4,9
8D,mediumHigh,False,3,0,3,2,4,8
