winner,score1,score2,score3,score0,score4,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
4,118,85,117,133,138,3,"[0, 0, 0, 0, 12]","[14, 10, 0, 14, 11]","[0, 12, 13, 12, 10]","[12, 0, 11, 11, 12]","[10, 10, 0, 0, 11]","[10, 12, 11, 10, 0]","[11, 10, 0, 0, 0]","[0, 0, 10, 0, 10]","[0, 11, 10, 10, 10]","[10, 10, 0, 10, 11]","[11, 11, 10, 0, 10]","[0, 10, 10, 0, 10]","[11, 11, 0, 12, 10]","[10, 0, 0, 11, 11]","[0, 0, 10, 14, 0]","[11, 0, 0, 0, 10]","[11, 0, 0, 13, 0]","[0, 0, 0, 0, 0]","[12, 11, 0, 0, 0]"
3,131,84,162,159,121,4,"[12, 0, 0, 12, 0]","[12, 11, 0, 12, 11]","[13, 0, 0, 0, 12]","[11, 10, 0, 12, 13]","[11, 0, 0, 11, 0]","[10, 11, 0, 10, 0]","[0, 0, 0, 12, 11]","[10, 0, 10, 11, 11]","[0, 10, 0, 0, 10]","[11, 10, 10, 0, 10]","[0, 0, 10, 10, 0]","[12, 10, 10, 10, 0]","[10, 12, 10, 11, 0]","[11, 11, 12, 0, 0]","[0, 10, 10, 12, 11]","[12, 10, 0, 14, 11]","[12, 0, 0, 12, 0]","[0, 14, 0, 13, 10]","[12, 12, 12, 0, 11]"
3,124,135,167,132,128,0,"[0, 0, 12, 13, 0]","[10, 0, 12, 13, 0]","[0, 13, 0, 10, 0]","[10, 12, 0, 12, 12]","[0, 0, 11, 10, 0]","[11, 13, 10, 0, 11]","[0, 0, 10, 10, 0]","[11, 0, 11, 10, 10]","[10, 10, 0, 12, 10]","[10, 0, 11, 10, 10]","[12, 10, 10, 0, 10]","[0, 10, 0, 10, 10]","[12, 0, 12, 10, 10]","[0, 11, 11, 11, 12]","[11, 10, 0, 11, 13]","[0, 0, 0, 12, 10]","[11, 10, 13, 13, 0]","[12, 12, 12, 0, 10]","[12, 13, 0, 0, 0]"
3,154,133,180,151,112,1,"[0, 15, 12, 12, 0]","[0, 11, 14, 10, 0]","[0, 0, 0, 10, 13]","[12, 12, 0, 11, 11]","[11, 11, 0, 10, 13]","[11, 10, 10, 11, 0]","[10, 12, 0, 10, 12]","[10, 0, 10, 10, 11]","[0, 10, 0, 10, 0]","[0, 10, 11, 10, 10]","[0, 11, 10, 10, 10]","[10, 10, 0, 11, 0]","[10, 0, 10, 10, 0]","[13, 0, 11, 10, 11]","[13, 11, 10, 12, 0]","[13, 10, 12, 0, 10]","[10, 0, 11, 12, 11]","[15, 10, 12, 11, 0]","[13, 11, 0, 0, 0]"
2,112,177,175,168,131,2,"[11, 0, 0, 12, 0]","[13, 11, 13, 11, 0]","[12, 0, 13, 11, 11]","[14, 0, 12, 0, 10]","[11, 0, 11, 11, 11]","[0, 12, 0, 10, 0]","[0, 13, 10, 11, 10]","[10, 0, 10, 11, 12]","[10, 0, 10, 10, 10]","[11, 0, 10, 10, 10]","[10, 10, 0, 11, 11]","[0, 11, 11, 11, 10]","[10, 0, 10, 11, 10]","[10, 11, 11, 10, 0]","[10, 10, 10, 0, 13]","[13, 10, 11, 0, 13]","[11, 13, 11, 12, 0]","[0, 0, 10, 10, 0]","[12, 11, 14, 13, 0]"
1,162,152,126,90,106,3,"[0, 11, 0, 0, 12]","[15, 0, 13, 10, 10]","[0, 10, 0, 11, 12]","[0, 15, 11, 11, 10]","[10, 0, 0, 11, 0]","[0, 11, 0, 11, 11]","[0, 11, 10, 0, 10]","[0, 0, 11, 0, 10]","[0, 11, 10, 10, 11]","[10, 10, 10, 10, 0]","[0, 10, 10, 12, 10]","[0, 0, 12, 10, 0]","[10, 12, 10, 10, 0]","[0, 10, 10, 0, 10]","[10, 0, 10, 0, 0]","[0, 12, 11, 0, 0]","[12, 11, 13, 0, 0]","[10, 14, 11, 10, 0]","[13, 14, 0, 10, 0]"
4,127,118,119,99,141,4,"[13, 12, 10, 0, 13]","[0, 0, 0, 0, 11]","[0, 14, 10, 0, 11]","[0, 11, 0, 11, 0]","[0, 0, 10, 10, 10]","[0, 0, 11, 10, 0]","[11, 0, 12, 10, 11]","[0, 0, 0, 11, 10]","[10, 10, 0, 11, 11]","[10, 10, 11, 0, 10]","[11, 10, 10, 10, 0]","[0, 10, 0, 0, 0]","[0, 0, 11, 10, 11]","[0, 11, 0, 0, 10]","[11, 13, 10, 0, 11]","[0, 0, 0, 11, 0]","[11, 11, 0, 0, 11]","[11, 0, 12, 13, 11]","[11, 15, 11, 12, 0]"
3,148,117,157,107,95,0,"[11, 13, 11, 12, 0]","[0, 11, 0, 12, 0]","[13, 11, 0, 0, 0]","[0, 0, 10, 11, 0]","[0, 0, 11, 0, 0]","[12, 10, 0, 11, 0]","[0, 11, 10, 0, 0]","[10, 11, 0, 10, 11]","[0, 11, 10, 10, 10]","[10, 10, 11, 10, 0]","[10, 0, 11, 11, 10]","[10, 0, 10, 0, 10]","[10, 10, 0, 12, 10]","[0, 0, 11, 0, 12]","[0, 13, 10, 12, 11]","[10, 0, 12, 12, 10]","[11, 13, 0, 13, 11]","[0, 13, 0, 11, 0]","[0, 11, 0, 10, 0]"
0,115,177,166,188,144,1,"[14, 0, 14, 10, 12]","[0, 11, 12, 10, 0]","[12, 11, 12, 0, 0]","[11, 11, 0, 12, 13]","[11, 0, 10, 13, 12]","[11, 0, 0, 10, 11]","[12, 0, 11, 10, 10]","[10, 11, 10, 0, 10]","[11, 11, 10, 10, 0]","[0, 10, 11, 10, 10]","[10, 0, 10, 11, 10]","[10, 0, 10, 0, 10]","[10, 0, 11, 12, 10]","[11, 10, 0, 11, 11]","[10, 0, 11, 12, 11]","[11, 14, 10, 11, 0]","[11, 12, 13, 0, 0]","[11, 14, 10, 13, 0]","[12, 0, 12, 11, 14]"
2,118,165,149,140,125,2,"[10, 0, 0, 10, 15]","[0, 10, 11, 11, 13]","[0, 11, 10, 12, 11]","[0, 11, 0, 10, 0]","[0, 0, 12, 0, 11]","[12, 11, 0, 10, 0]","[10, 11, 11, 10, 0]","[10, 10, 12, 10, 0]","[0, 10, 11, 10, 11]","[10, 0, 11, 10, 10]","[10, 0, 0, 0, 11]","[0, 0, 11, 0, 10]","[11, 0, 10, 11, 10]","[11, 10, 11, 0, 0]","[10, 0, 12, 10, 0]","[10, 11, 10, 0, 12]","[11, 11, 11, 12, 0]","[12, 0, 10, 12, 11]","[13, 12, 12, 11, 0]"
