card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
TS,high,False,4,4,1,4,2,10
AC,veryhigh,True,2,3,0,3,0,5
TH,high,False,1,2,0,3,0,4
TD,high,False,3,3,2,3,3,10
TC,high,False,1,2,2,3,1,7
TS,high,True,4,1,2,3,1,6
QH,high,False,2,2,2,3,4,10
7S,mediumlow,True,2,1,1,2,4,7
4D,low,False,1,0,0,2,2,3
