winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
3,134,100,144,138,3,"[0, 13, 0, 0]","[0, 0, 13, 11]","[0, 0, 10, 13]","[0, 11, 11, 12]","[11, 11, 0, 12]","[12, 0, 12, 10]","[11, 0, 12, 10]","[11, 10, 0, 0]","[10, 11, 0, 10]","[10, 0, 10, 10]","[11, 11, 0, 10]","[11, 10, 10, 0]","[13, 11, 0, 10]","[13, 11, 0, 11]","[0, 13, 10, 12]","[0, 10, 0, 0]","[0, 0, 0, 0]","[12, 12, 0, 0]","[13, 0, 12, 13]"
3,125,88,131,114,0,"[14, 0, 0, 0]","[11, 10, 0, 0]","[14, 10, 0, 11]","[0, 11, 0, 14]","[0, 0, 0, 10]","[0, 0, 0, 12]","[10, 11, 12, 0]","[11, 11, 10, 0]","[10, 0, 10, 11]","[10, 10, 0, 10]","[0, 11, 0, 11]","[11, 0, 11, 10]","[11, 0, 0, 10]","[0, 10, 0, 10]","[0, 0, 12, 10]","[0, 0, 11, 0]","[12, 14, 11, 0]","[0, 15, 0, 0]","[0, 12, 11, 12]"
3,99,102,154,112,1,"[12, 0, 0, 0]","[0, 0, 12, 12]","[12, 0, 12, 12]","[0, 0, 0, 12]","[0, 0, 12, 0]","[0, 10, 0, 13]","[0, 11, 0, 0]","[10, 0, 11, 11]","[10, 0, 10, 10]","[0, 10, 10, 10]","[11, 0, 10, 10]","[0, 12, 0, 0]","[11, 10, 0, 11]","[12, 10, 0, 0]","[0, 10, 0, 0]","[13, 0, 0, 13]","[11, 0, 13, 12]","[0, 11, 12, 14]","[10, 15, 0, 14]"
3,132,102,155,125,2,"[10, 0, 13, 12]","[0, 0, 0, 15]","[0, 12, 11, 12]","[14, 11, 12, 0]","[13, 10, 0, 0]","[12, 11, 0, 11]","[0, 0, 11, 0]","[0, 0, 0, 11]","[10, 11, 10, 0]","[10, 10, 0, 10]","[0, 0, 10, 0]","[10, 10, 0, 11]","[10, 10, 0, 13]","[0, 0, 11, 0]","[0, 11, 13, 10]","[0, 11, 11, 11]","[12, 0, 0, 13]","[12, 12, 0, 14]","[12, 13, 0, 12]"
0,102,123,135,157,3,"[0, 0, 12, 0]","[0, 13, 10, 0]","[11, 10, 0, 13]","[12, 12, 0, 12]","[11, 0, 12, 11]","[11, 13, 0, 10]","[10, 0, 11, 11]","[0, 0, 10, 0]","[10, 10, 11, 0]","[10, 0, 10, 10]","[0, 0, 0, 10]","[12, 11, 0, 10]","[13, 11, 10, 0]","[11, 0, 0, 0]","[11, 0, 11, 11]","[12, 10, 0, 15]","[0, 12, 12, 11]","[12, 0, 0, 0]","[11, 0, 14, 11]"
0,105,139,133,168,0,"[14, 0, 12, 0]","[14, 10, 0, 13]","[0, 0, 13, 12]","[0, 0, 14, 0]","[11, 0, 0, 13]","[0, 0, 0, 11]","[13, 10, 0, 10]","[10, 10, 0, 13]","[10, 0, 11, 10]","[10, 0, 11, 10]","[10, 0, 11, 10]","[0, 10, 10, 0]","[12, 10, 0, 10]","[14, 11, 10, 0]","[12, 10, 0, 11]","[13, 10, 11, 0]","[13, 13, 12, 0]","[12, 11, 12, 0]","[0, 0, 12, 10]"
0,131,102,122,138,1,"[11, 12, 13, 0]","[13, 13, 0, 12]","[0, 13, 10, 13]","[0, 10, 0, 11]","[12, 0, 13, 10]","[11, 11, 0, 0]","[0, 0, 0, 0]","[10, 10, 11, 0]","[11, 10, 0, 10]","[11, 10, 0, 10]","[0, 10, 10, 12]","[12, 10, 10, 0]","[0, 11, 11, 11]","[11, 0, 0, 0]","[0, 0, 13, 0]","[0, 0, 11, 10]","[12, 11, 0, 12]","[11, 0, 0, 0]","[13, 0, 0, 11]"
1,142,110,94,138,2,"[0, 12, 0, 0]","[0, 0, 0, 11]","[0, 0, 12, 0]","[0, 10, 13, 12]","[11, 11, 0, 0]","[11, 11, 0, 12]","[10, 0, 11, 0]","[12, 11, 0, 10]","[10, 11, 10, 0]","[11, 10, 10, 0]","[0, 10, 10, 12]","[11, 10, 0, 11]","[10, 13, 0, 0]","[12, 12, 10, 0]","[0, 0, 11, 13]","[16, 10, 0, 0]","[10, 0, 11, 13]","[0, 0, 0, 0]","[14, 11, 12, 0]"
1,158,120,148,129,3,"[0, 13, 10, 15]","[0, 12, 12, 0]","[12, 10, 13, 0]","[12, 14, 0, 11]","[0, 10, 10, 12]","[0, 0, 11, 10]","[12, 10, 0, 11]","[10, 10, 0, 12]","[10, 11, 10, 0]","[10, 0, 10, 10]","[0, 11, 10, 11]","[0, 11, 0, 0]","[0, 12, 0, 11]","[11, 11, 0, 10]","[13, 10, 0, 0]","[13, 0, 12, 11]","[0, 0, 0, 11]","[13, 13, 12, 0]","[13, 0, 10, 13]"
2,124,168,99,77,0,"[0, 16, 11, 10]","[0, 0, 11, 0]","[12, 10, 14, 0]","[0, 11, 0, 12]","[10, 12, 0, 0]","[0, 13, 11, 11]","[0, 10, 11, 12]","[12, 10, 10, 0]","[0, 0, 0, 10]","[0, 10, 10, 10]","[10, 0, 11, 10]","[10, 0, 10, 10]","[0, 10, 0, 0]","[0, 0, 11, 0]","[11, 0, 11, 0]","[0, 0, 14, 0]","[0, 11, 10, 0]","[0, 11, 10, 14]","[12, 0, 13, 0]"
