gameID,player,numTricks,numParticles,lambda,useHeuristic,mcIterations,selfish,score,tricksWon,bid,dealer
40,1,8,500,1.3,False,0,True,0,5,2,1
40,2,8,500,1.3,False,0,True,11,1,1,1
41,0,8,500,1.3,False,50,True,0,3,0,1
41,1,8,500,1.3,False,0,True,0,2,5,1
41,2,8,500,1.3,False,0,True,0,3,4,1
42,0,8,500,1.3,False,50,True,0,2,1,2
42,1,8,500,1.3,False,0,True,13,3,3,2
42,2,8,500,1.3,False,0,True,0,3,5,2
43,0,8,500,1.3,False,50,True,0,2,4,0
43,1,8,500,1.3,False,0,True,0,3,2,0
43,2,8,500,1.3,False,0,True,0,3,1,0
44,0,8,500,1.3,False,50,True,12,2,2,1
44,1,8,500,1.3,False,0,True,0,4,6,1
44,2,8,500,1.3,False,0,True,12,2,2,1
45,0,8,500,1.3,False,50,True,13,3,3,1
45,1,8,500,1.3,False,0,True,0,3,2,1
45,2,8,500,1.3,False,0,True,12,2,2,1
46,0,8,500,1.3,False,50,True,0,3,4,0
46,1,8,500,1.3,False,0,True,0,3,2,0
46,2,8,500,1.3,False,0,True,0,2,3,0
47,0,8,500,1.3,False,50,True,0,0,3,1
47,1,8,500,1.3,False,0,True,0,4,5,1
47,2,8,500,1.3,False,0,True,0,4,1,1
48,0,8,500,1.3,False,50,True,0,4,2,2
48,1,8,500,1.3,False,0,True,0,1,2,2
48,2,8,500,1.3,False,0,True,0,3,5,2
49,0,8,500,1.3,False,50,True,15,5,5,0
49,1,8,500,1.3,False,0,True,12,2,2,0
49,2,8,500,1.3,False,0,True,0,1,2,0
50,0,8,500,1.3,False,50,True,0,6,4,1
50,1,8,500,1.3,False,0,True,10,0,0,1
50,2,8,500,1.3,False,0,True,0,2,3,1
51,0,8,500,1.3,False,50,True,0,4,5,0
51,1,8,500,1.3,False,0,True,11,1,1,0
51,2,8,500,1.3,False,0,True,13,3,3,0
52,0,8,500,1.3,False,50,True,11,1,1,1
52,1,8,500,1.3,False,0,True,0,6,4,1
52,2,8,500,1.3,False,0,True,0,1,2,1
53,0,8,500,1.3,False,50,True,0,2,3,2
53,1,8,500,1.3,False,0,True,0,3,1,2
53,2,8,500,1.3,False,0,True,13,3,3,2
54,0,8,500,1.3,False,50,True,0,3,2,0
