winner,score1,score2,score3,score0,score4,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1,163,145,147,140,137,2,"[0, 0, 10, 0, 14]","[12, 12, 14, 11, 0]","[11, 12, 13, 12, 0]","[11, 11, 0, 12, 11]","[0, 10, 11, 0, 0]","[11, 11, 0, 0, 11]","[10, 0, 11, 12, 10]","[11, 11, 0, 10, 10]","[0, 10, 11, 11, 10]","[10, 10, 10, 10, 0]","[10, 11, 10, 11, 0]","[11, 0, 0, 0, 11]","[10, 0, 10, 10, 14]","[0, 11, 0, 0, 11]","[11, 13, 11, 0, 10]","[12, 10, 10, 11, 0]","[0, 10, 11, 12, 10]","[0, 11, 0, 11, 15]","[10, 10, 13, 14, 0]"
1,166,128,100,101,133,3,"[12, 11, 11, 0, 14]","[11, 0, 11, 0, 13]","[0, 11, 0, 0, 0]","[0, 0, 0, 0, 10]","[12, 12, 11, 10, 0]","[11, 10, 12, 0, 11]","[0, 10, 10, 0, 0]","[10, 10, 10, 0, 11]","[0, 10, 10, 10, 10]","[10, 11, 0, 10, 10]","[11, 11, 10, 0, 10]","[0, 0, 0, 0, 0]","[0, 10, 11, 11, 11]","[0, 0, 0, 10, 10]","[12, 13, 10, 10, 0]","[0, 10, 11, 12, 12]","[0, 12, 11, 13, 0]","[12, 11, 0, 14, 11]","[0, 14, 0, 0, 0]"
4,100,108,113,152,155,4,"[11, 0, 0, 0, 15]","[11, 14, 10, 0, 14]","[13, 0, 12, 10, 0]","[10, 13, 10, 0, 10]","[11, 11, 0, 13, 10]","[10, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 10, 0, 10, 10]","[11, 10, 10, 0, 11]","[10, 11, 10, 0, 10]","[10, 10, 11, 0, 10]","[10, 11, 0, 10, 12]","[11, 0, 0, 11, 10]","[11, 0, 12, 10, 10]","[11, 0, 11, 11, 12]","[0, 10, 0, 12, 10]","[12, 0, 10, 0, 11]","[0, 0, 12, 15, 0]","[0, 0, 0, 11, 0]"
1,145,110,124,133,135,0,"[0, 0, 0, 0, 0]","[0, 12, 0, 12, 0]","[14, 0, 0, 0, 10]","[12, 0, 11, 11, 10]","[0, 11, 12, 11, 11]","[12, 10, 11, 11, 0]","[0, 11, 10, 11, 11]","[10, 0, 0, 10, 11]","[10, 10, 0, 0, 0]","[11, 10, 10, 0, 10]","[10, 10, 11, 0, 10]","[10, 0, 0, 11, 10]","[10, 11, 0, 11, 10]","[0, 10, 10, 14, 0]","[0, 11, 10, 11, 11]","[0, 13, 0, 0, 10]","[10, 12, 0, 0, 10]","[13, 0, 14, 11, 11]","[11, 14, 11, 0, 0]"
1,169,163,161,152,120,1,"[14, 11, 13, 0, 11]","[10, 14, 11, 14, 0]","[11, 0, 0, 11, 12]","[10, 12, 0, 0, 0]","[10, 10, 12, 11, 0]","[0, 11, 10, 13, 10]","[10, 0, 11, 11, 10]","[10, 11, 10, 10, 0]","[10, 10, 10, 10, 0]","[0, 10, 10, 10, 10]","[10, 0, 11, 11, 10]","[11, 10, 11, 0, 11]","[0, 10, 10, 13, 10]","[10, 11, 0, 11, 12]","[12, 12, 0, 10, 0]","[0, 11, 11, 0, 11]","[12, 13, 10, 12, 0]","[0, 13, 11, 14, 0]","[12, 0, 12, 0, 13]"
3,153,101,160,126,119,2,"[0, 0, 0, 12, 11]","[11, 0, 0, 0, 0]","[0, 0, 12, 10, 0]","[11, 11, 0, 11, 11]","[11, 12, 11, 0, 12]","[0, 11, 10, 10, 0]","[10, 0, 0, 0, 10]","[10, 11, 11, 10, 0]","[10, 10, 0, 0, 0]","[10, 10, 0, 10, 10]","[10, 10, 0, 11, 11]","[0, 10, 0, 0, 10]","[10, 10, 0, 11, 12]","[0, 10, 10, 11, 0]","[13, 11, 11, 11, 0]","[0, 11, 11, 11, 0]","[10, 14, 0, 11, 12]","[10, 0, 12, 16, 10]","[0, 12, 13, 15, 10]"
1,169,109,141,147,145,3,"[13, 15, 10, 11, 0]","[11, 12, 13, 12, 0]","[0, 0, 0, 10, 13]","[12, 11, 0, 0, 11]","[0, 10, 0, 13, 11]","[0, 10, 13, 11, 10]","[0, 11, 0, 10, 0]","[11, 10, 0, 10, 12]","[10, 10, 11, 0, 11]","[10, 11, 0, 10, 10]","[10, 11, 11, 0, 10]","[11, 12, 10, 10, 0]","[0, 0, 10, 10, 0]","[11, 0, 0, 0, 10]","[14, 10, 0, 11, 0]","[12, 11, 10, 0, 11]","[0, 0, 11, 10, 12]","[11, 12, 10, 0, 14]","[11, 13, 0, 13, 10]"
1,186,131,121,144,150,4,"[0, 12, 13, 14, 11]","[0, 10, 0, 10, 11]","[12, 12, 0, 0, 0]","[11, 0, 10, 11, 12]","[10, 11, 10, 0, 13]","[0, 10, 0, 11, 0]","[10, 10, 0, 10, 12]","[0, 10, 10, 11, 11]","[10, 10, 0, 0, 11]","[11, 10, 10, 0, 10]","[0, 11, 10, 10, 11]","[11, 10, 10, 0, 0]","[12, 10, 10, 11, 0]","[0, 11, 12, 0, 10]","[12, 10, 10, 0, 0]","[10, 14, 0, 10, 12]","[14, 11, 0, 10, 13]","[10, 0, 12, 13, 13]","[11, 14, 14, 0, 0]"
2,132,150,142,122,117,0,"[11, 0, 0, 13, 12]","[0, 0, 0, 0, 0]","[0, 11, 0, 12, 0]","[11, 0, 11, 0, 0]","[14, 10, 0, 0, 0]","[0, 11, 0, 10, 0]","[10, 11, 11, 10, 0]","[0, 10, 12, 10, 10]","[10, 11, 11, 0, 10]","[10, 0, 10, 11, 10]","[0, 10, 11, 11, 10]","[0, 11, 11, 10, 10]","[0, 11, 13, 10, 10]","[11, 12, 11, 10, 0]","[0, 11, 12, 11, 11]","[10, 13, 12, 0, 0]","[10, 0, 12, 12, 11]","[12, 0, 0, 0, 11]","[13, 0, 13, 12, 12]"
0,106,99,118,148,120,1,"[12, 0, 0, 0, 0]","[0, 10, 0, 0, 12]","[12, 0, 10, 10, 0]","[11, 0, 12, 11, 0]","[0, 0, 0, 10, 12]","[12, 10, 0, 10, 10]","[13, 10, 0, 10, 10]","[10, 11, 10, 0, 0]","[0, 10, 10, 0, 0]","[10, 10, 10, 0, 10]","[11, 10, 0, 10, 11]","[11, 11, 0, 11, 10]","[11, 0, 0, 0, 10]","[0, 0, 11, 0, 11]","[13, 11, 10, 12, 0]","[10, 0, 0, 11, 13]","[0, 0, 0, 0, 11]","[12, 13, 10, 13, 0]","[0, 0, 16, 10, 0]"
