winner,score1,score2,score3,score0,score4,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
4,131,151,127,115,185,1,"[12, 0, 14, 11, 13]","[10, 0, 11, 11, 15]","[10, 0, 12, 10, 13]","[12, 10, 11, 13, 0]","[0, 11, 12, 10, 11]","[10, 0, 0, 0, 10]","[10, 0, 11, 10, 11]","[10, 11, 11, 0, 10]","[11, 10, 10, 10, 0]","[10, 10, 0, 11, 10]","[10, 10, 10, 0, 10]","[0, 0, 0, 10, 11]","[10, 12, 11, 0, 10]","[0, 10, 0, 0, 13]","[0, 11, 13, 10, 12]","[0, 14, 11, 11, 11]","[0, 0, 0, 10, 13]","[0, 10, 0, 0, 0]","[0, 12, 14, 0, 12]"
1,164,129,136,150,161,2,"[0, 11, 12, 15, 12]","[12, 11, 0, 0, 12]","[0, 11, 0, 0, 11]","[0, 11, 12, 11, 11]","[10, 0, 10, 11, 14]","[11, 11, 10, 10, 0]","[10, 13, 0, 10, 10]","[11, 10, 10, 0, 11]","[11, 10, 10, 0, 11]","[10, 0, 11, 10, 10]","[10, 10, 0, 10, 11]","[11, 10, 10, 0, 0]","[11, 11, 10, 11, 0]","[11, 10, 11, 13, 0]","[0, 12, 10, 12, 12]","[11, 12, 0, 11, 12]","[0, 11, 0, 0, 0]","[11, 0, 13, 0, 13]","[10, 0, 0, 12, 11]"
4,144,124,128,151,158,3,"[0, 12, 16, 10, 11]","[12, 0, 12, 11, 10]","[10, 12, 12, 0, 13]","[12, 11, 0, 0, 0]","[0, 11, 0, 11, 0]","[11, 11, 11, 0, 10]","[11, 0, 0, 11, 11]","[0, 10, 0, 0, 11]","[10, 0, 10, 10, 11]","[10, 10, 0, 10, 10]","[11, 10, 0, 0, 0]","[10, 0, 10, 10, 0]","[10, 12, 0, 10, 10]","[11, 0, 10, 11, 0]","[12, 10, 10, 0, 13]","[11, 12, 10, 0, 12]","[10, 0, 11, 10, 12]","[0, 11, 0, 11, 11]","[0, 12, 12, 13, 13]"
0,143,147,137,187,142,4,"[12, 12, 11, 0, 13]","[0, 12, 12, 11, 12]","[13, 11, 11, 0, 11]","[14, 11, 11, 0, 10]","[12, 12, 0, 11, 10]","[13, 10, 0, 10, 0]","[10, 0, 0, 11, 0]","[0, 12, 11, 10, 10]","[10, 0, 11, 10, 10]","[11, 10, 10, 10, 0]","[10, 0, 10, 11, 10]","[0, 10, 11, 11, 10]","[13, 10, 10, 11, 0]","[12, 0, 0, 0, 0]","[11, 10, 14, 0, 11]","[12, 10, 0, 11, 0]","[11, 0, 12, 10, 11]","[10, 0, 13, 10, 13]","[13, 13, 0, 0, 11]"
1,155,151,100,146,119,0,"[12, 10, 15, 0, 12]","[10, 14, 13, 11, 0]","[11, 0, 0, 12, 0]","[12, 10, 10, 10, 0]","[12, 11, 10, 0, 10]","[11, 11, 11, 0, 10]","[10, 0, 10, 0, 0]","[0, 10, 0, 11, 10]","[0, 11, 10, 11, 10]","[0, 10, 10, 11, 0]","[0, 10, 10, 0, 0]","[0, 10, 10, 0, 0]","[11, 0, 0, 11, 11]","[10, 12, 10, 0, 12]","[11, 0, 0, 0, 12]","[0, 12, 10, 0, 12]","[10, 14, 10, 11, 0]","[13, 10, 0, 0, 10]","[13, 0, 12, 12, 10]"
2,139,162,97,162,154,1,"[11, 14, 0, 11, 13]","[10, 11, 0, 0, 0]","[12, 12, 11, 0, 11]","[10, 14, 10, 10, 0]","[11, 11, 13, 0, 10]","[10, 0, 0, 0, 11]","[0, 0, 10, 12, 0]","[10, 10, 11, 0, 10]","[11, 10, 10, 10, 0]","[10, 0, 10, 10, 10]","[10, 0, 10, 11, 11]","[10, 10, 10, 0, 11]","[10, 10, 12, 0, 11]","[0, 0, 0, 11, 10]","[0, 12, 10, 0, 0]","[0, 11, 11, 0, 10]","[12, 0, 13, 10, 13]","[14, 0, 10, 12, 12]","[11, 14, 11, 0, 11]"
0,134,124,145,178,105,2,"[12, 0, 14, 11, 0]","[11, 0, 0, 12, 11]","[14, 10, 13, 10, 0]","[12, 0, 10, 11, 0]","[11, 12, 11, 0, 12]","[11, 11, 0, 12, 10]","[11, 11, 0, 12, 10]","[11, 10, 11, 11, 0]","[10, 10, 0, 10, 10]","[10, 10, 0, 10, 10]","[10, 12, 10, 0, 0]","[10, 12, 10, 0, 10]","[10, 0, 11, 11, 11]","[0, 0, 10, 0, 11]","[10, 11, 0, 13, 0]","[0, 12, 0, 0, 10]","[13, 0, 13, 0, 0]","[12, 13, 11, 11, 0]","[0, 0, 0, 11, 0]"
4,131,161,123,145,181,3,"[11, 13, 0, 0, 13]","[14, 0, 10, 0, 0]","[0, 11, 12, 13, 10]","[0, 10, 0, 12, 11]","[0, 12, 11, 12, 10]","[12, 0, 0, 0, 10]","[11, 0, 11, 10, 12]","[10, 0, 10, 11, 10]","[10, 11, 10, 0, 11]","[10, 11, 0, 10, 10]","[10, 10, 10, 0, 11]","[10, 10, 11, 0, 11]","[0, 10, 11, 10, 12]","[10, 11, 10, 0, 11]","[12, 11, 10, 11, 0]","[0, 0, 10, 0, 12]","[0, 11, 12, 11, 14]","[11, 0, 12, 12, 13]","[14, 0, 11, 11, 0]"
1,179,156,79,148,157,4,"[17, 10, 11, 0, 0]","[11, 13, 12, 0, 13]","[0, 11, 11, 12, 12]","[0, 0, 0, 0, 13]","[0, 10, 0, 0, 10]","[0, 11, 11, 10, 0]","[11, 10, 11, 0, 11]","[0, 10, 10, 11, 11]","[10, 11, 0, 11, 10]","[10, 10, 11, 0, 10]","[10, 10, 10, 0, 10]","[10, 11, 10, 0, 10]","[10, 10, 0, 0, 0]","[11, 10, 10, 0, 11]","[11, 10, 13, 0, 11]","[11, 10, 0, 12, 13]","[0, 0, 11, 0, 12]","[14, 10, 13, 11, 0]","[12, 12, 12, 12, 0]"
2,145,163,154,138,142,0,"[13, 0, 0, 10, 14]","[0, 13, 11, 14, 10]","[10, 0, 12, 14, 11]","[13, 10, 0, 0, 11]","[0, 11, 10, 10, 0]","[0, 12, 10, 0, 10]","[12, 0, 10, 0, 0]","[0, 10, 10, 10, 0]","[11, 10, 10, 11, 0]","[10, 10, 10, 11, 0]","[0, 10, 10, 10, 12]","[10, 0, 12, 10, 10]","[0, 13, 11, 10, 10]","[10, 11, 10, 10, 0]","[13, 0, 12, 10, 10]","[11, 0, 15, 0, 10]","[13, 11, 0, 12, 10]","[0, 11, 0, 12, 11]","[12, 13, 10, 0, 13]"
