winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
2,92,161,146,146,0,"[13, 11, 0, 15]","[10, 0, 14, 12]","[0, 0, 11, 0]","[12, 11, 0, 0]","[0, 11, 12, 11]","[12, 0, 12, 10]","[10, 0, 0, 12]","[0, 11, 0, 0]","[0, 10, 10, 0]","[10, 0, 10, 11]","[11, 0, 11, 10]","[10, 0, 10, 11]","[11, 11, 11, 0]","[0, 0, 0, 11]","[12, 0, 11, 11]","[13, 0, 14, 10]","[12, 0, 12, 10]","[0, 11, 12, 12]","[10, 16, 11, 0]"
2,90,131,112,102,1,"[0, 12, 12, 13]","[12, 12, 0, 12]","[13, 0, 0, 0]","[0, 11, 11, 13]","[11, 0, 0, 0]","[0, 13, 0, 0]","[11, 0, 12, 11]","[10, 0, 10, 10]","[0, 0, 0, 10]","[10, 0, 10, 10]","[0, 10, 10, 10]","[0, 0, 10, 0]","[11, 0, 10, 11]","[10, 11, 12, 0]","[0, 11, 11, 0]","[0, 0, 0, 0]","[0, 0, 11, 0]","[14, 10, 12, 0]","[0, 0, 0, 12]"
1,159,99,92,125,2,"[11, 13, 13, 0]","[0, 12, 11, 13]","[0, 11, 0, 12]","[11, 0, 12, 12]","[12, 12, 0, 11]","[0, 0, 11, 0]","[13, 10, 10, 0]","[11, 10, 0, 0]","[10, 10, 0, 11]","[10, 10, 11, 0]","[0, 10, 11, 10]","[0, 10, 10, 0]","[11, 0, 0, 0]","[11, 13, 0, 11]","[0, 11, 0, 0]","[0, 0, 0, 0]","[13, 0, 10, 0]","[12, 14, 0, 12]","[0, 13, 0, 0]"
2,91,156,135,117,3,"[13, 12, 12, 0]","[0, 11, 13, 0]","[11, 10, 0, 13]","[0, 0, 11, 11]","[11, 0, 10, 0]","[11, 0, 10, 11]","[0, 0, 0, 10]","[10, 0, 10, 10]","[10, 10, 11, 0]","[0, 10, 10, 10]","[0, 0, 10, 0]","[10, 0, 13, 10]","[10, 0, 0, 0]","[10, 12, 0, 12]","[11, 0, 12, 10]","[0, 0, 11, 0]","[0, 0, 12, 11]","[0, 12, 11, 14]","[10, 14, 0, 13]"
0,114,82,110,124,0,"[0, 14, 13, 12]","[14, 0, 0, 0]","[0, 14, 12, 0]","[12, 0, 0, 11]","[0, 0, 0, 10]","[11, 0, 0, 0]","[11, 10, 0, 12]","[0, 0, 10, 0]","[0, 10, 0, 0]","[10, 10, 0, 10]","[10, 0, 0, 11]","[10, 0, 10, 12]","[11, 11, 0, 10]","[12, 0, 11, 11]","[0, 10, 0, 0]","[10, 0, 0, 0]","[0, 12, 11, 0]","[13, 10, 0, 11]","[0, 13, 15, 0]"
0,163,101,152,188,1,"[10, 15, 13, 0]","[0, 11, 0, 13]","[12, 13, 12, 0]","[10, 12, 0, 14]","[11, 0, 13, 10]","[10, 0, 0, 11]","[12, 10, 11, 0]","[0, 11, 10, 11]","[10, 10, 0, 11]","[11, 10, 0, 10]","[10, 11, 0, 10]","[13, 10, 10, 0]","[12, 0, 10, 12]","[10, 12, 0, 11]","[10, 0, 0, 13]","[12, 0, 11, 12]","[13, 11, 11, 0]","[11, 14, 0, 0]","[11, 13, 0, 14]"
1,168,100,155,160,2,"[12, 13, 0, 13]","[14, 11, 0, 10]","[0, 11, 13, 11]","[0, 13, 10, 12]","[11, 12, 0, 12]","[10, 12, 0, 12]","[0, 10, 11, 11]","[11, 11, 0, 10]","[10, 10, 12, 0]","[0, 11, 10, 10]","[11, 0, 10, 11]","[10, 10, 0, 11]","[12, 10, 0, 10]","[10, 0, 0, 0]","[12, 0, 11, 11]","[0, 12, 0, 0]","[13, 11, 12, 0]","[14, 11, 11, 0]","[10, 0, 0, 11]"
3,142,135,165,126,3,"[0, 16, 10, 12]","[0, 12, 11, 12]","[10, 0, 0, 0]","[12, 12, 0, 10]","[12, 11, 0, 12]","[0, 0, 10, 11]","[0, 0, 10, 12]","[10, 0, 13, 10]","[0, 10, 0, 10]","[0, 10, 10, 11]","[11, 0, 11, 10]","[0, 0, 0, 11]","[10, 12, 0, 11]","[10, 11, 0, 11]","[13, 11, 11, 0]","[13, 12, 10, 0]","[12, 13, 10, 0]","[0, 12, 14, 11]","[13, 0, 15, 11]"
1,177,156,110,132,0,"[12, 0, 13, 0]","[0, 13, 0, 0]","[0, 0, 0, 11]","[11, 12, 11, 0]","[15, 10, 11, 0]","[0, 13, 11, 11]","[0, 10, 13, 10]","[11, 10, 11, 0]","[0, 11, 10, 10]","[10, 10, 0, 11]","[10, 10, 10, 0]","[0, 11, 10, 11]","[0, 10, 11, 11]","[11, 0, 12, 11]","[11, 12, 0, 11]","[14, 10, 0, 0]","[13, 13, 10, 0]","[14, 10, 12, 0]","[0, 12, 11, 13]"
1,173,105,142,159,1,"[11, 13, 0, 12]","[12, 11, 0, 13]","[12, 0, 13, 12]","[0, 12, 0, 0]","[11, 11, 0, 0]","[12, 10, 0, 12]","[10, 0, 0, 0]","[11, 0, 10, 10]","[11, 0, 10, 10]","[10, 10, 0, 10]","[0, 10, 0, 10]","[0, 10, 12, 10]","[11, 10, 0, 11]","[0, 13, 10, 11]","[12, 12, 0, 10]","[11, 12, 13, 0]","[13, 13, 10, 0]","[0, 14, 13, 11]","[12, 12, 14, 0]"
3,101,113,161,140,2,"[11, 13, 0, 14]","[0, 0, 13, 14]","[11, 0, 11, 13]","[0, 10, 0, 13]","[12, 11, 0, 0]","[10, 11, 0, 10]","[10, 0, 10, 0]","[11, 0, 0, 10]","[10, 11, 0, 11]","[10, 10, 10, 0]","[0, 0, 0, 11]","[11, 0, 10, 11]","[10, 0, 11, 0]","[12, 0, 10, 10]","[0, 0, 11, 10]","[11, 11, 0, 12]","[0, 0, 0, 12]","[11, 12, 12, 0]","[0, 12, 15, 10]"
1,172,136,155,68,3,"[0, 0, 11, 15]","[12, 14, 0, 0]","[0, 11, 0, 11]","[0, 13, 11, 11]","[12, 12, 11, 0]","[0, 0, 0, 11]","[12, 12, 10, 0]","[0, 10, 11, 10]","[10, 10, 0, 11]","[0, 10, 11, 10]","[10, 11, 0, 11]","[0, 10, 13, 10]","[0, 11, 12, 10]","[0, 11, 10, 11]","[0, 13, 0, 12]","[0, 0, 13, 0]","[12, 0, 12, 11]","[0, 12, 11, 0]","[0, 12, 0, 11]"
1,146,131,122,118,0,"[0, 13, 12, 12]","[11, 0, 0, 13]","[10, 12, 12, 0]","[11, 14, 11, 0]","[11, 0, 10, 12]","[0, 11, 11, 10]","[10, 12, 0, 11]","[0, 10, 10, 0]","[0, 10, 10, 0]","[0, 10, 10, 10]","[11, 0, 0, 10]","[10, 11, 11, 0]","[0, 10, 13, 10]","[10, 11, 0, 11]","[12, 0, 11, 0]","[11, 0, 10, 0]","[11, 12, 0, 12]","[0, 10, 0, 11]","[0, 0, 0, 0]"
0,130,117,162,164,1,"[11, 0, 0, 15]","[12, 12, 0, 12]","[10, 0, 0, 0]","[0, 10, 11, 12]","[11, 11, 0, 11]","[12, 11, 0, 10]","[11, 10, 0, 11]","[11, 10, 10, 0]","[10, 0, 11, 10]","[10, 10, 0, 11]","[10, 11, 10, 0]","[0, 10, 0, 0]","[13, 0, 11, 10]","[10, 11, 0, 12]","[11, 0, 11, 13]","[11, 0, 11, 11]","[11, 0, 12, 0]","[0, 12, 15, 11]","[0, 12, 15, 13]"
1,144,125,135,117,2,"[0, 11, 15, 12]","[11, 13, 0, 10]","[0, 0, 10, 0]","[15, 11, 11, 0]","[0, 0, 11, 0]","[11, 10, 0, 11]","[0, 10, 13, 10]","[10, 11, 0, 12]","[0, 0, 11, 0]","[10, 10, 10, 0]","[0, 11, 10, 11]","[11, 12, 0, 10]","[13, 10, 0, 11]","[11, 0, 0, 11]","[0, 10, 12, 14]","[11, 0, 11, 0]","[0, 0, 0, 11]","[0, 11, 0, 12]","[14, 14, 11, 0]"
