card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
KH,veryhigh,False,2,4,1,2,4,10
7S,mediumlow,False,4,3,1,2,4,9
5S,low,False,2,2,0,2,1,4
4S,low,False,1,1,0,2,0,2
AC,veryhigh,False,2,3,3,1,2,10
KH,veryhigh,True,2,2,3,1,2,9
TS,high,False,4,1,2,1,1,6
AC,veryhigh,False,3,2,4,5,0,10
5D,low,False,4,1,4,5,0,9
4D,low,False,3,0,4,4,0,7
TD,high,False,2,1,3,3,2,10
QC,high,True,1,0,2,1,0,4
AS,veryhigh,False,4,3,2,2,2,10
AC,veryhigh,False,3,2,2,2,2,9
6S,mediumlow,False,3,1,2,2,2,8
2C,low,False,2,0,0,1,2,4
KD,veryhigh,False,1,4,2,2,1,10
AS,veryhigh,False,3,3,2,2,1,9
JC,high,False,2,2,2,2,1,8
3H,low,True,2,1,0,1,1,4
4H,low,False,4,1,4,1,6,10
TH,high,False,3,1,4,1,5,10
5C,low,True,1,0,1,1,3,4
AD,veryhigh,False,4,2,1,6,0,10
8C,mediumHigh,True,2,1,1,6,0,9
5C,low,True,1,0,1,6,0,8
KC,veryhigh,False,4,3,3,1,5,10
KD,veryhigh,False,3,2,3,1,5,9
4H,low,True,2,1,3,1,5,8
AC,veryhigh,False,4,2,1,5,3,10
JC,high,False,3,1,1,5,3,9
7S,mediumlow,False,4,0,1,5,3,8
QH,high,False,5,3,4,0,4,10
2H,low,False,3,2,2,-1,4,6
JS,high,False,2,1,2,-1,3,4
8H,mediumHigh,False,2,0,2,-1,3,3
4D,low,False,4,0,5,6,0,10
8H,mediumHigh,False,4,1,2,6,0,10
9S,mediumHigh,True,3,4,2,2,1,10
AC,veryhigh,False,3,3,2,2,1,9
9D,mediumHigh,False,4,2,2,2,1,8
KD,veryhigh,False,3,1,1,1,1,5
5S,low,False,4,3,2,2,4,10
AH,veryhigh,False,3,2,2,1,3,7
9H,mediumHigh,False,2,1,2,1,3,6
KH,veryhigh,True,5,5,2,0,4,10
QS,high,False,4,4,2,0,4,9
TS,high,False,3,3,1,0,3,6
3H,low,True,3,2,1,0,3,5
2S,low,False,1,1,1,-1,2,2
AS,veryhigh,True,4,5,0,2,5,10
QS,high,True,3,4,0,2,5,9
TS,high,True,2,3,0,2,5,8
AD,veryhigh,False,1,2,0,2,5,7
7H,mediumlow,False,3,1,0,2,5,6
AH,veryhigh,False,4,1,3,7,0,10
5C,low,False,4,0,3,7,0,9
TS,high,False,2,3,3,0,3,10
3D,low,False,1,2,1,-1,2,5
7C,mediumlow,True,2,1,0,-1,1,2
6C,mediumlow,True,2,2,1,3,6,10
9H,mediumHigh,False,3,1,1,3,4,7
4S,low,False,1,0,1,3,1,3
AC,veryhigh,True,2,1,2,5,0,10
8S,mediumHigh,False,2,0,2,5,0,9
KC,veryhigh,False,3,3,3,3,0,10
KH,veryhigh,False,4,2,3,3,0,9
TS,high,True,2,1,3,2,0,7
6C,mediumlow,False,2,0,3,2,0,6
9D,mediumHigh,False,1,-1,3,2,0,5
4H,low,False,1,-2,2,2,-1,2
3D,low,True,4,3,1,3,2,10
3C,low,False,2,2,0,3,0,6
2H,low,False,1,1,-1,2,0,3
3D,low,False,4,6,0,0,3,10
AS,veryhigh,True,3,5,0,0,2,8
AH,veryhigh,False,2,4,0,0,2,7
QD,high,False,3,3,0,0,2,6
QS,high,True,2,2,0,0,2,5
6H,mediumlow,False,1,1,0,0,2,4
