seed,winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1900,0,88,120,104,139,0,"[15, 0, 11, 11]","[0, 12, 0, 10]","[13, 11, 12, 0]","[0, 0, 10, 0]","[11, 0, 0, 0]","[10, 10, 0, 0]","[13, 0, 11, 10]","[0, 10, 11, 10]","[0, 10, 0, 0]","[10, 0, 10, 10]","[0, 11, 11, 10]","[0, 13, 0, 10]","[10, 0, 12, 11]","[10, 11, 11, 0]","[11, 0, 10, 0]","[12, 0, 11, 11]","[0, 0, 0, 11]","[10, 0, 0, 0]","[14, 0, 0, 0]"
1901,0,108,131,83,154,1,"[0, 0, 14, 10]","[11, 11, 0, 0]","[12, 11, 14, 0]","[11, 13, 10, 0]","[13, 0, 13, 10]","[12, 0, 11, 10]","[11, 0, 0, 0]","[10, 10, 11, 0]","[10, 11, 0, 10]","[10, 10, 0, 10]","[11, 10, 0, 11]","[0, 0, 11, 0]","[10, 11, 0, 0]","[0, 11, 11, 11]","[0, 0, 11, 0]","[11, 0, 12, 11]","[11, 0, 0, 0]","[0, 10, 13, 0]","[11, 0, 0, 0]"
1902,0,136,101,84,167,2,"[10, 11, 14, 0]","[12, 12, 0, 0]","[11, 0, 0, 0]","[11, 0, 10, 11]","[10, 14, 11, 0]","[11, 0, 0, 0]","[0, 0, 0, 10]","[0, 10, 11, 10]","[10, 10, 0, 10]","[10, 10, 0, 10]","[10, 11, 0, 10]","[13, 10, 10, 0]","[10, 13, 10, 0]","[0, 0, 10, 0]","[0, 11, 13, 10]","[11, 0, 12, 0]","[12, 12, 0, 13]","[12, 12, 0, 0]","[14, 0, 0, 0]"
1903,0,93,157,112,160,3,"[0, 14, 12, 13]","[12, 0, 12, 0]","[0, 0, 0, 10]","[11, 0, 0, 0]","[12, 11, 0, 0]","[0, 10, 12, 12]","[11, 0, 10, 0]","[11, 0, 11, 10]","[10, 0, 11, 11]","[10, 11, 10, 0]","[11, 10, 10, 0]","[11, 0, 10, 11]","[10, 0, 11, 11]","[12, 0, 0, 0]","[0, 11, 0, 10]","[13, 0, 11, 11]","[14, 0, 11, 0]","[0, 13, 13, 13]","[12, 13, 13, 0]"
1904,2,147,168,150,98,0,"[13, 12, 12, 0]","[0, 12, 12, 14]","[0, 0, 12, 0]","[0, 0, 13, 10]","[13, 13, 10, 0]","[0, 0, 10, 13]","[0, 10, 0, 0]","[0, 10, 12, 11]","[10, 0, 10, 10]","[10, 0, 10, 10]","[10, 0, 11, 10]","[0, 10, 10, 11]","[10, 11, 12, 0]","[10, 11, 0, 0]","[0, 13, 11, 12]","[12, 11, 0, 13]","[0, 12, 10, 11]","[0, 12, 13, 13]","[10, 10, 0, 12]"
1905,2,114,146,136,122,1,"[12, 14, 12, 0]","[11, 0, 0, 0]","[14, 13, 10, 11]","[10, 13, 0, 11]","[0, 11, 11, 12]","[0, 0, 0, 0]","[12, 10, 10, 12]","[0, 10, 12, 10]","[0, 10, 12, 10]","[10, 0, 11, 10]","[10, 11, 11, 0]","[11, 10, 0, 12]","[11, 0, 11, 12]","[10, 0, 10, 13]","[0, 12, 0, 0]","[11, 0, 12, 0]","[0, 0, 0, 12]","[0, 0, 12, 11]","[0, 0, 12, 0]"
1906,0,133,126,102,173,2,"[14, 10, 0, 12]","[0, 0, 14, 0]","[12, 12, 13, 0]","[10, 0, 11, 14]","[11, 0, 0, 0]","[12, 0, 0, 0]","[12, 11, 0, 10]","[10, 11, 11, 11]","[0, 0, 10, 0]","[10, 10, 0, 11]","[11, 0, 10, 10]","[10, 10, 0, 11]","[11, 13, 10, 0]","[0, 12, 11, 12]","[12, 10, 13, 0]","[0, 11, 0, 0]","[11, 10, 12, 0]","[12, 13, 11, 0]","[15, 0, 0, 11]"
1907,0,131,98,131,132,3,"[14, 0, 0, 0]","[0, 14, 10, 0]","[0, 0, 0, 0]","[11, 12, 0, 10]","[0, 11, 12, 0]","[11, 11, 10, 13]","[12, 0, 0, 10]","[10, 0, 0, 10]","[0, 0, 0, 10]","[10, 10, 11, 0]","[10, 0, 11, 10]","[10, 10, 10, 0]","[10, 13, 0, 10]","[0, 14, 11, 10]","[11, 12, 0, 10]","[11, 0, 11, 13]","[12, 12, 0, 12]","[0, 12, 12, 13]","[0, 0, 0, 0]"
1908,1,164,122,118,146,0,"[12, 12, 0, 15]","[11, 13, 12, 0]","[11, 0, 0, 11]","[0, 0, 0, 0]","[11, 13, 11, 0]","[13, 10, 12, 0]","[12, 11, 10, 0]","[0, 10, 10, 11]","[0, 10, 0, 0]","[0, 10, 10, 11]","[11, 0, 10, 0]","[11, 0, 12, 10]","[11, 11, 12, 0]","[10, 13, 0, 11]","[12, 0, 10, 0]","[11, 14, 0, 11]","[0, 11, 0, 14]","[0, 12, 13, 11]","[10, 14, 0, 13]"
1909,1,146,120,107,101,1,"[0, 10, 15, 12]","[14, 10, 0, 11]","[0, 12, 10, 10]","[13, 12, 0, 11]","[0, 13, 0, 10]","[0, 0, 0, 0]","[0, 13, 10, 10]","[10, 10, 11, 0]","[10, 11, 10, 0]","[10, 10, 0, 10]","[0, 0, 11, 10]","[10, 11, 10, 0]","[0, 10, 11, 11]","[0, 0, 10, 0]","[0, 0, 0, 0]","[10, 0, 0, 12]","[0, 0, 0, 0]","[12, 13, 11, 0]","[12, 11, 11, 0]"
