winner,score1,score2,score3,score0,score4,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
4,132,110,101,155,171,2,"[11, 0, 11, 14, 12]","[13, 0, 0, 0, 11]","[11, 0, 12, 11, 10]","[13, 0, 11, 11, 11]","[10, 10, 10, 12, 0]","[0, 12, 0, 11, 0]","[12, 10, 11, 0, 10]","[10, 10, 0, 10, 10]","[0, 10, 0, 0, 10]","[10, 10, 0, 11, 10]","[11, 10, 0, 11, 10]","[11, 0, 0, 0, 10]","[10, 0, 0, 10, 0]","[11, 11, 10, 0, 12]","[0, 0, 12, 0, 10]","[0, 11, 0, 0, 10]","[0, 10, 12, 0, 12]","[11, 17, 10, 0, 10]","[11, 11, 11, 0, 13]"
1,178,117,140,127,159,3,"[0, 13, 0, 14, 11]","[0, 10, 0, 11, 0]","[0, 10, 0, 0, 0]","[0, 14, 0, 12, 10]","[0, 11, 10, 11, 11]","[0, 11, 10, 11, 11]","[10, 12, 10, 12, 0]","[10, 11, 10, 0, 10]","[11, 10, 11, 0, 10]","[11, 10, 0, 10, 10]","[10, 11, 10, 11, 0]","[11, 10, 11, 0, 10]","[11, 11, 0, 10, 11]","[10, 10, 11, 0, 11]","[11, 12, 0, 12, 11]","[11, 12, 11, 0, 11]","[11, 0, 10, 0, 11]","[0, 0, 0, 10, 11]","[10, 0, 13, 16, 10]"
0,145,138,86,167,145,4,"[12, 11, 13, 0, 12]","[11, 13, 11, 0, 11]","[12, 12, 10, 0, 11]","[13, 0, 0, 0, 0]","[11, 11, 0, 12, 11]","[10, 11, 0, 10, 12]","[10, 12, 0, 10, 10]","[0, 11, 10, 0, 11]","[10, 0, 10, 11, 11]","[10, 10, 10, 10, 0]","[10, 10, 0, 10, 12]","[0, 0, 10, 0, 12]","[12, 10, 10, 0, 0]","[11, 10, 0, 12, 10]","[13, 0, 10, 0, 11]","[12, 10, 12, 0, 0]","[0, 14, 10, 11, 0]","[10, 0, 10, 0, 0]","[0, 0, 12, 0, 11]"
1,163,139,147,131,123,0,"[0, 11, 0, 15, 10]","[0, 11, 14, 12, 11]","[12, 12, 0, 10, 13]","[0, 0, 10, 0, 12]","[0, 11, 0, 11, 0]","[12, 12, 10, 10, 0]","[11, 0, 10, 13, 10]","[11, 11, 0, 10, 11]","[10, 11, 10, 0, 10]","[10, 10, 10, 11, 0]","[12, 10, 10, 10, 0]","[10, 10, 10, 0, 11]","[0, 10, 0, 10, 0]","[10, 12, 10, 0, 12]","[12, 11, 10, 0, 12]","[11, 0, 11, 12, 0]","[10, 0, 11, 12, 0]","[0, 10, 13, 0, 0]","[0, 11, 0, 11, 11]"
0,152,144,130,157,117,1,"[0, 11, 13, 12, 11]","[10, 11, 0, 0, 0]","[15, 11, 11, 11, 0]","[12, 10, 0, 0, 0]","[10, 12, 0, 12, 11]","[0, 0, 0, 10, 10]","[11, 11, 10, 0, 11]","[11, 0, 10, 10, 10]","[10, 10, 11, 11, 0]","[10, 10, 10, 10, 0]","[10, 0, 11, 10, 10]","[0, 10, 10, 11, 10]","[12, 10, 11, 0, 10]","[10, 0, 10, 12, 0]","[13, 10, 0, 11, 0]","[12, 0, 13, 10, 12]","[0, 10, 0, 0, 11]","[0, 12, 12, 0, 0]","[11, 14, 12, 0, 11]"
0,143,107,145,186,155,2,"[12, 11, 0, 13, 12]","[13, 12, 10, 11, 0]","[0, 0, 0, 11, 13]","[10, 11, 0, 13, 0]","[11, 0, 12, 11, 11]","[10, 0, 11, 10, 13]","[11, 12, 10, 0, 10]","[10, 11, 0, 0, 0]","[10, 10, 10, 10, 0]","[10, 0, 10, 11, 10]","[10, 11, 10, 0, 10]","[11, 10, 0, 12, 10]","[10, 0, 11, 10, 12]","[0, 10, 0, 10, 0]","[10, 10, 13, 0, 10]","[12, 10, 10, 0, 12]","[11, 13, 0, 11, 11]","[12, 12, 0, 12, 10]","[13, 0, 0, 0, 11]"
3,154,149,162,126,144,3,"[11, 0, 0, 10, 12]","[10, 13, 14, 0, 12]","[12, 11, 0, 0, 10]","[0, 12, 11, 11, 12]","[10, 11, 10, 11, 0]","[0, 11, 12, 0, 10]","[10, 10, 0, 10, 0]","[10, 0, 10, 11, 10]","[11, 0, 10, 10, 11]","[10, 10, 0, 10, 11]","[10, 11, 11, 0, 10]","[11, 10, 0, 10, 12]","[0, 11, 10, 11, 11]","[10, 0, 12, 10, 0]","[0, 11, 11, 12, 11]","[11, 11, 0, 11, 12]","[0, 11, 11, 12, 0]","[0, 0, 13, 11, 0]","[0, 11, 14, 12, 0]"
2,134,177,161,119,166,4,"[11, 14, 11, 0, 14]","[12, 0, 12, 11, 13]","[0, 11, 12, 14, 10]","[11, 0, 0, 12, 11]","[12, 11, 12, 0, 10]","[10, 0, 12, 11, 12]","[11, 10, 0, 0, 0]","[0, 11, 11, 10, 10]","[10, 10, 0, 10, 10]","[10, 10, 11, 0, 10]","[0, 11, 10, 11, 10]","[10, 0, 10, 10, 0]","[0, 12, 10, 11, 0]","[0, 10, 10, 12, 12]","[0, 0, 11, 0, 12]","[12, 11, 12, 12, 0]","[10, 0, 10, 11, 12]","[0, 0, 12, 11, 10]","[0, 13, 11, 15, 10]"
0,142,130,163,180,174,0,"[12, 11, 13, 12, 0]","[12, 0, 11, 12, 0]","[12, 11, 0, 10, 13]","[10, 0, 0, 13, 12]","[12, 10, 10, 0, 13]","[10, 12, 0, 11, 11]","[10, 0, 0, 11, 11]","[12, 0, 10, 10, 10]","[11, 10, 10, 0, 11]","[10, 10, 10, 10, 0]","[11, 0, 11, 10, 10]","[0, 10, 0, 10, 0]","[11, 10, 0, 10, 11]","[0, 11, 11, 10, 12]","[12, 11, 11, 0, 11]","[12, 0, 11, 11, 12]","[0, 11, 12, 11, 12]","[10, 13, 0, 12, 12]","[13, 12, 10, 0, 13]"
1,191,160,155,106,148,1,"[13, 12, 13, 0, 10]","[11, 12, 0, 11, 0]","[12, 11, 0, 0, 11]","[0, 11, 11, 12, 11]","[0, 10, 11, 0, 11]","[10, 10, 11, 13, 0]","[10, 12, 11, 10, 0]","[10, 0, 11, 10, 10]","[0, 11, 10, 11, 10]","[0, 10, 11, 10, 10]","[0, 11, 10, 11, 10]","[10, 10, 11, 0, 11]","[10, 11, 10, 0, 10]","[10, 10, 0, 12, 13]","[0, 11, 0, 10, 0]","[0, 14, 0, 12, 10]","[0, 13, 13, 11, 10]","[10, 0, 15, 10, 0]","[0, 12, 12, 12, 11]"
1,153,111,143,145,133,2,"[12, 0, 10, 0, 11]","[12, 12, 0, 0, 0]","[12, 11, 0, 10, 0]","[13, 0, 0, 11, 12]","[0, 10, 11, 12, 11]","[11, 0, 0, 0, 10]","[10, 0, 10, 13, 10]","[11, 10, 10, 12, 0]","[0, 10, 0, 10, 0]","[10, 0, 10, 11, 10]","[0, 11, 11, 10, 10]","[0, 10, 0, 0, 10]","[11, 10, 0, 12, 11]","[0, 10, 13, 10, 0]","[10, 12, 0, 10, 14]","[0, 12, 0, 0, 10]","[10, 11, 12, 0, 14]","[13, 12, 11, 11, 0]","[10, 12, 13, 11, 0]"
3,133,121,169,169,168,3,"[11, 11, 12, 14, 0]","[12, 0, 13, 11, 0]","[0, 0, 0, 10, 11]","[13, 12, 0, 0, 10]","[13, 10, 0, 11, 10]","[12, 0, 11, 12, 10]","[10, 13, 0, 10, 11]","[0, 0, 10, 0, 10]","[11, 0, 10, 10, 10]","[10, 10, 0, 10, 10]","[11, 10, 11, 10, 0]","[10, 10, 0, 10, 10]","[11, 11, 0, 10, 11]","[12, 0, 10, 11, 10]","[10, 10, 0, 14, 11]","[11, 11, 11, 0, 12]","[0, 13, 11, 13, 10]","[0, 12, 10, 0, 11]","[12, 0, 12, 13, 11]"
3,138,123,155,123,154,4,"[10, 0, 0, 12, 11]","[0, 11, 12, 13, 11]","[0, 0, 0, 10, 10]","[11, 11, 0, 11, 0]","[0, 0, 0, 11, 12]","[0, 10, 0, 10, 13]","[11, 0, 11, 10, 11]","[11, 11, 0, 0, 0]","[11, 11, 10, 0, 10]","[0, 10, 10, 10, 10]","[10, 10, 11, 10, 0]","[10, 10, 11, 0, 10]","[0, 11, 11, 0, 0]","[12, 10, 13, 10, 0]","[0, 0, 11, 11, 10]","[10, 12, 12, 0, 11]","[12, 0, 11, 14, 11]","[0, 11, 0, 12, 10]","[15, 10, 0, 11, 14]"
