seed,winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1967,2,99,135,99,132,3,"[11, 0, 10, 13]","[0, 0, 0, 11]","[11, 11, 12, 0]","[15, 11, 10, 0]","[11, 0, 0, 0]","[0, 11, 0, 11]","[10, 11, 0, 10]","[0, 0, 10, 0]","[11, 0, 0, 11]","[0, 10, 10, 10]","[0, 10, 11, 11]","[10, 0, 10, 11]","[10, 0, 11, 0]","[11, 12, 10, 0]","[0, 0, 11, 0]","[10, 0, 0, 0]","[12, 11, 0, 0]","[10, 0, 14, 0]","[0, 12, 16, 11]"
1968,2,100,137,122,133,0,"[12, 0, 12, 0]","[0, 0, 12, 0]","[0, 0, 12, 11]","[0, 0, 0, 0]","[11, 0, 0, 0]","[12, 11, 0, 12]","[0, 10, 0, 12]","[11, 0, 10, 10]","[11, 0, 10, 10]","[10, 0, 10, 10]","[10, 12, 0, 10]","[0, 11, 10, 10]","[11, 0, 11, 11]","[11, 11, 0, 13]","[11, 13, 11, 0]","[11, 0, 0, 0]","[12, 10, 14, 0]","[0, 12, 12, 0]","[0, 10, 13, 13]"
1969,1,144,130,137,134,1,"[14, 12, 0, 11]","[0, 0, 12, 0]","[10, 0, 0, 0]","[0, 11, 0, 0]","[0, 11, 11, 0]","[11, 11, 0, 11]","[10, 12, 12, 0]","[10, 11, 0, 11]","[10, 11, 10, 11]","[0, 10, 10, 10]","[0, 10, 10, 10]","[11, 10, 11, 0]","[0, 10, 11, 12]","[0, 13, 10, 12]","[10, 0, 10, 14]","[10, 12, 0, 12]","[15, 0, 0, 10]","[12, 0, 12, 0]","[11, 0, 11, 13]"
1970,0,122,134,103,135,2,"[11, 0, 0, 14]","[11, 11, 12, 0]","[12, 12, 12, 0]","[11, 0, 0, 0]","[0, 0, 12, 0]","[0, 0, 10, 0]","[10, 0, 0, 11]","[0, 11, 10, 10]","[10, 11, 11, 10]","[10, 10, 0, 11]","[10, 11, 11, 0]","[0, 10, 10, 0]","[10, 0, 11, 12]","[0, 11, 0, 12]","[0, 10, 0, 12]","[0, 14, 0, 11]","[13, 11, 11, 0]","[13, 0, 14, 0]","[14, 0, 10, 0]"
1971,2,121,156,86,115,3,"[12, 0, 0, 0]","[0, 0, 0, 0]","[0, 13, 11, 12]","[12, 11, 0, 11]","[0, 10, 14, 10]","[0, 11, 10, 11]","[0, 11, 10, 0]","[10, 13, 10, 0]","[10, 10, 11, 11]","[0, 10, 10, 10]","[0, 11, 10, 11]","[0, 0, 11, 0]","[11, 0, 0, 0]","[11, 0, 13, 10]","[0, 0, 13, 0]","[12, 0, 10, 0]","[10, 11, 0, 0]","[16, 10, 12, 0]","[11, 0, 11, 0]"
1972,0,121,77,116,138,0,"[0, 0, 11, 0]","[12, 13, 0, 0]","[11, 0, 0, 11]","[0, 0, 0, 10]","[11, 0, 0, 0]","[0, 10, 0, 11]","[12, 0, 0, 0]","[10, 0, 0, 10]","[0, 10, 10, 10]","[0, 11, 10, 10]","[11, 11, 0, 10]","[0, 0, 0, 10]","[10, 11, 11, 0]","[0, 10, 12, 11]","[12, 0, 11, 12]","[13, 12, 12, 0]","[12, 11, 0, 0]","[11, 11, 0, 0]","[13, 11, 0, 11]"
1973,2,124,180,83,145,1,"[14, 13, 13, 0]","[14, 12, 0, 0]","[0, 10, 0, 15]","[0, 0, 11, 0]","[11, 0, 11, 12]","[0, 0, 11, 0]","[11, 10, 11, 0]","[10, 11, 11, 0]","[10, 10, 11, 0]","[11, 0, 10, 10]","[10, 10, 10, 0]","[10, 12, 11, 10]","[0, 0, 10, 0]","[10, 12, 13, 0]","[10, 0, 11, 0]","[11, 0, 0, 0]","[0, 11, 10, 14]","[0, 13, 12, 11]","[13, 0, 14, 11]"
1974,1,149,86,117,139,2,"[14, 12, 0, 11]","[0, 0, 0, 11]","[12, 10, 0, 12]","[11, 12, 10, 0]","[13, 12, 11, 0]","[0, 0, 11, 0]","[10, 0, 12, 11]","[12, 10, 0, 10]","[11, 10, 11, 10]","[10, 11, 0, 10]","[0, 10, 10, 10]","[12, 0, 0, 0]","[0, 0, 0, 0]","[0, 13, 11, 10]","[10, 0, 10, 0]","[13, 12, 0, 11]","[0, 10, 0, 0]","[11, 15, 0, 11]","[0, 12, 0, 0]"
1975,0,154,104,82,172,3,"[13, 12, 14, 0]","[14, 11, 0, 0]","[11, 11, 13, 0]","[10, 14, 0, 0]","[12, 0, 11, 11]","[0, 10, 0, 15]","[12, 10, 0, 11]","[10, 0, 11, 11]","[10, 10, 10, 0]","[10, 0, 10, 11]","[10, 11, 11, 0]","[10, 10, 0, 0]","[12, 10, 0, 0]","[11, 11, 0, 13]","[0, 0, 0, 10]","[14, 11, 12, 0]","[13, 0, 0, 0]","[0, 11, 0, 0]","[0, 12, 12, 0]"
1976,0,91,118,112,120,0,"[0, 12, 14, 0]","[0, 12, 15, 0]","[0, 12, 11, 13]","[11, 0, 0, 0]","[10, 0, 0, 0]","[10, 0, 0, 11]","[10, 0, 11, 12]","[10, 12, 0, 11]","[0, 0, 11, 0]","[10, 0, 10, 11]","[10, 0, 0, 10]","[11, 10, 12, 0]","[0, 0, 12, 0]","[0, 11, 0, 10]","[14, 11, 0, 10]","[12, 0, 10, 0]","[12, 0, 12, 0]","[0, 11, 0, 13]","[0, 0, 0, 11]"
