winner,score1,score2,score3,score0,score4,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
0,128,113,162,177,145,4,"[12, 12, 13, 0, 12]","[0, 11, 0, 11, 13]","[12, 10, 0, 12, 11]","[10, 0, 0, 0, 10]","[11, 0, 11, 10, 0]","[12, 12, 10, 10, 0]","[12, 0, 12, 10, 10]","[10, 10, 11, 0, 10]","[10, 10, 0, 11, 11]","[10, 10, 11, 0, 10]","[10, 11, 11, 10, 0]","[12, 11, 0, 10, 10]","[11, 0, 11, 11, 11]","[12, 0, 0, 10, 11]","[10, 0, 0, 11, 12]","[12, 10, 11, 11, 0]","[0, 11, 12, 12, 0]","[0, 10, 0, 12, 0]","[11, 0, 0, 11, 14]"
3,121,141,168,137,120,0,"[11, 13, 0, 13, 10]","[14, 0, 12, 0, 0]","[11, 0, 14, 13, 10]","[11, 0, 11, 14, 11]","[0, 12, 0, 12, 0]","[11, 0, 10, 10, 13]","[0, 0, 10, 10, 11]","[0, 11, 0, 0, 10]","[11, 10, 11, 10, 0]","[11, 10, 10, 10, 0]","[0, 10, 10, 11, 10]","[12, 11, 10, 0, 10]","[10, 10, 0, 10, 0]","[0, 0, 10, 10, 0]","[0, 0, 10, 11, 0]","[11, 12, 0, 12, 12]","[11, 0, 12, 11, 12]","[0, 10, 11, 0, 0]","[13, 12, 0, 11, 11]"
3,122,128,160,136,143,1,"[14, 14, 0, 10, 11]","[13, 0, 0, 12, 11]","[12, 12, 11, 0, 0]","[0, 0, 11, 0, 0]","[14, 10, 11, 0, 11]","[10, 0, 10, 13, 11]","[10, 0, 0, 10, 11]","[0, 11, 0, 10, 10]","[10, 10, 10, 12, 0]","[0, 10, 10, 10, 10]","[0, 0, 10, 0, 11]","[11, 0, 0, 10, 0]","[10, 0, 10, 10, 11]","[0, 11, 11, 11, 11]","[10, 0, 0, 0, 0]","[10, 11, 12, 14, 0]","[0, 11, 12, 11, 11]","[0, 12, 10, 15, 11]","[12, 10, 0, 12, 13]"
0,132,142,122,143,128,2,"[13, 12, 0, 12, 11]","[0, 12, 14, 11, 10]","[11, 14, 10, 12, 0]","[10, 0, 10, 0, 12]","[12, 0, 10, 11, 11]","[10, 0, 14, 0, 10]","[11, 0, 10, 11, 0]","[10, 10, 0, 12, 11]","[10, 10, 11, 0, 11]","[10, 0, 10, 10, 10]","[0, 10, 10, 10, 11]","[11, 10, 10, 10, 0]","[0, 10, 0, 0, 10]","[0, 12, 12, 11, 10]","[12, 10, 10, 0, 11]","[11, 10, 0, 0, 0]","[12, 0, 11, 0, 0]","[0, 0, 0, 0, 0]","[0, 12, 0, 12, 0]"
2,140,167,96,135,87,3,"[12, 0, 12, 0, 0]","[13, 12, 12, 0, 10]","[0, 11, 13, 11, 11]","[11, 0, 0, 11, 0]","[10, 0, 11, 10, 0]","[0, 0, 0, 0, 10]","[0, 12, 10, 0, 0]","[0, 10, 10, 0, 0]","[0, 10, 11, 10, 10]","[10, 10, 0, 10, 11]","[11, 10, 10, 11, 0]","[11, 11, 11, 10, 0]","[10, 10, 11, 0, 10]","[0, 11, 10, 0, 0]","[12, 11, 11, 12, 0]","[12, 0, 10, 0, 0]","[0, 11, 13, 11, 0]","[10, 11, 0, 0, 12]","[13, 0, 12, 0, 13]"
1,176,152,162,109,122,4,"[0, 12, 12, 13, 0]","[0, 11, 11, 13, 12]","[12, 10, 12, 0, 14]","[12, 11, 0, 0, 0]","[11, 11, 10, 13, 0]","[11, 0, 10, 10, 0]","[0, 10, 10, 13, 11]","[0, 10, 10, 11, 11]","[11, 0, 10, 10, 10]","[10, 11, 0, 10, 10]","[0, 10, 10, 0, 0]","[10, 0, 0, 10, 0]","[0, 12, 0, 10, 10]","[0, 12, 11, 11, 10]","[11, 12, 10, 0, 11]","[0, 11, 11, 11, 0]","[11, 10, 12, 0, 13]","[10, 13, 0, 15, 10]","[0, 10, 13, 12, 0]"
2,152,157,147,120,146,0,"[13, 12, 0, 14, 11]","[0, 11, 0, 0, 13]","[10, 0, 12, 0, 0]","[13, 12, 10, 0, 10]","[0, 12, 10, 13, 11]","[0, 10, 0, 10, 0]","[10, 0, 10, 11, 0]","[10, 10, 12, 11, 0]","[0, 11, 0, 0, 10]","[0, 10, 10, 10, 10]","[10, 10, 10, 10, 0]","[10, 0, 11, 10, 11]","[10, 11, 10, 0, 12]","[0, 10, 13, 11, 10]","[0, 0, 14, 0, 10]","[11, 10, 13, 11, 0]","[10, 12, 0, 11, 13]","[13, 0, 10, 12, 13]","[0, 11, 12, 13, 12]"
2,121,154,117,122,138,1,"[0, 0, 11, 0, 16]","[0, 13, 11, 14, 10]","[0, 10, 12, 0, 0]","[0, 12, 12, 0, 10]","[10, 0, 0, 10, 10]","[10, 0, 12, 0, 0]","[12, 0, 10, 11, 0]","[11, 0, 10, 10, 10]","[0, 11, 10, 10, 10]","[11, 10, 0, 10, 10]","[10, 0, 11, 10, 10]","[10, 11, 0, 11, 10]","[12, 11, 10, 10, 0]","[0, 0, 11, 11, 10]","[0, 10, 0, 10, 0]","[0, 10, 11, 0, 0]","[12, 13, 12, 0, 10]","[13, 10, 0, 0, 11]","[11, 0, 11, 0, 11]"
4,176,107,148,100,190,2,"[11, 12, 0, 13, 11]","[13, 11, 11, 0, 13]","[11, 11, 0, 12, 11]","[0, 11, 0, 10, 11]","[0, 0, 12, 11, 11]","[0, 11, 10, 11, 11]","[11, 12, 0, 10, 10]","[10, 10, 10, 0, 10]","[0, 10, 10, 10, 12]","[0, 10, 11, 10, 10]","[11, 10, 0, 0, 11]","[0, 10, 0, 0, 10]","[0, 10, 11, 12, 10]","[0, 11, 0, 0, 0]","[10, 0, 11, 13, 0]","[0, 10, 10, 0, 12]","[0, 14, 11, 11, 11]","[12, 0, 0, 13, 13]","[11, 13, 0, 12, 13]"
1,163,143,149,122,159,3,"[13, 13, 0, 12, 11]","[0, 11, 13, 12, 12]","[0, 11, 0, 11, 11]","[10, 0, 0, 14, 0]","[12, 10, 12, 0, 12]","[11, 11, 11, 0, 12]","[0, 12, 11, 10, 11]","[0, 0, 10, 11, 10]","[10, 10, 11, 11, 0]","[10, 10, 10, 0, 10]","[11, 10, 10, 11, 0]","[11, 10, 10, 0, 12]","[11, 12, 0, 10, 11]","[0, 10, 0, 0, 10]","[0, 0, 10, 12, 10]","[10, 10, 0, 0, 0]","[0, 13, 10, 12, 0]","[0, 10, 14, 11, 13]","[13, 0, 11, 12, 14]"
1,165,146,88,154,150,4,"[12, 0, 15, 12, 11]","[11, 10, 12, 0, 11]","[13, 10, 0, 0, 0]","[0, 10, 0, 0, 11]","[10, 13, 11, 12, 0]","[11, 11, 0, 11, 11]","[10, 10, 0, 11, 10]","[11, 10, 11, 0, 10]","[11, 10, 11, 0, 10]","[11, 10, 10, 0, 10]","[10, 10, 0, 10, 10]","[0, 10, 10, 12, 10]","[10, 0, 10, 0, 0]","[0, 0, 0, 10, 12]","[0, 12, 10, 10, 13]","[13, 0, 11, 0, 0]","[10, 12, 11, 0, 10]","[11, 11, 13, 0, 11]","[0, 16, 11, 0, 0]"
1,152,130,118,125,121,0,"[0, 0, 0, 10, 12]","[13, 11, 15, 10, 0]","[0, 10, 0, 11, 10]","[11, 0, 0, 12, 12]","[0, 11, 0, 0, 0]","[10, 14, 10, 0, 10]","[10, 10, 10, 11, 0]","[0, 10, 0, 10, 11]","[0, 10, 0, 10, 0]","[10, 10, 10, 10, 0]","[0, 11, 10, 11, 10]","[0, 10, 10, 0, 11]","[0, 0, 10, 0, 11]","[10, 13, 10, 12, 0]","[11, 0, 11, 0, 0]","[11, 10, 11, 0, 10]","[13, 10, 11, 0, 11]","[12, 0, 12, 11, 13]","[14, 12, 0, 0, 0]"
2,96,189,164,130,142,1,"[10, 0, 14, 11, 13]","[11, 14, 11, 12, 0]","[10, 13, 11, 0, 12]","[11, 0, 11, 11, 11]","[12, 0, 11, 11, 12]","[0, 13, 0, 10, 10]","[0, 0, 14, 10, 10]","[10, 0, 10, 0, 0]","[11, 11, 10, 0, 0]","[0, 10, 10, 11, 10]","[0, 0, 0, 10, 10]","[10, 0, 12, 11, 10]","[11, 0, 12, 11, 10]","[13, 11, 11, 10, 0]","[10, 0, 0, 12, 14]","[0, 0, 11, 11, 0]","[0, 11, 12, 12, 10]","[0, 0, 16, 0, 10]","[11, 13, 13, 11, 0]"
0,141,123,121,154,136,2,"[11, 12, 0, 12, 14]","[14, 10, 12, 0, 11]","[11, 11, 0, 0, 11]","[10, 10, 0, 12, 0]","[0, 0, 12, 10, 10]","[0, 10, 11, 11, 0]","[10, 11, 10, 0, 0]","[0, 11, 10, 0, 0]","[11, 10, 0, 10, 11]","[10, 0, 11, 10, 10]","[10, 0, 11, 10, 10]","[10, 0, 10, 0, 0]","[10, 0, 0, 12, 0]","[0, 10, 0, 0, 11]","[12, 13, 10, 0, 11]","[11, 0, 0, 0, 13]","[0, 10, 13, 11, 12]","[11, 12, 0, 12, 12]","[13, 11, 13, 11, 0]"
