winner,score1,score2,score3,score0,score4,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
4,119,117,150,168,175,2,"[0, 12, 11, 12, 11]","[14, 11, 11, 0, 12]","[12, 0, 11, 10, 11]","[0, 0, 0, 12, 10]","[11, 11, 0, 10, 0]","[10, 12, 0, 10, 12]","[11, 10, 10, 0, 11]","[0, 10, 0, 10, 10]","[10, 0, 11, 10, 11]","[10, 10, 0, 10, 11]","[10, 11, 0, 10, 11]","[10, 11, 10, 0, 11]","[12, 10, 11, 10, 0]","[11, 0, 10, 10, 12]","[12, 0, 0, 0, 11]","[0, 11, 10, 11, 0]","[11, 0, 12, 0, 11]","[13, 0, 0, 10, 10]","[11, 0, 10, 15, 10]"
2,132,170,153,137,132,3,"[0, 12, 14, 12, 11]","[0, 0, 13, 11, 0]","[11, 11, 12, 12, 0]","[11, 0, 13, 11, 10]","[0, 11, 10, 10, 0]","[10, 0, 10, 0, 10]","[0, 10, 11, 11, 0]","[10, 10, 10, 11, 0]","[10, 12, 10, 0, 10]","[10, 10, 0, 10, 10]","[10, 0, 10, 10, 11]","[0, 10, 11, 11, 11]","[11, 10, 12, 0, 11]","[11, 0, 0, 0, 0]","[0, 10, 11, 11, 12]","[11, 12, 0, 10, 13]","[10, 0, 12, 12, 13]","[11, 14, 0, 11, 10]","[11, 0, 11, 0, 0]"
4,130,120,116,129,147,4,"[0, 13, 0, 0, 15]","[0, 11, 0, 0, 0]","[10, 0, 11, 0, 0]","[0, 13, 13, 10, 11]","[12, 12, 10, 0, 11]","[11, 10, 0, 11, 13]","[10, 0, 11, 12, 10]","[0, 0, 10, 10, 0]","[10, 11, 11, 0, 10]","[10, 10, 11, 0, 10]","[0, 10, 10, 11, 11]","[10, 10, 0, 0, 0]","[10, 0, 12, 0, 10]","[0, 10, 10, 13, 0]","[12, 0, 11, 13, 0]","[10, 0, 0, 0, 10]","[0, 0, 0, 11, 11]","[11, 10, 0, 12, 13]","[13, 10, 0, 13, 12]"
2,139,187,141,141,106,0,"[13, 0, 10, 11, 0]","[12, 10, 10, 13, 0]","[11, 11, 11, 0, 0]","[0, 10, 0, 11, 0]","[0, 11, 11, 13, 10]","[0, 11, 11, 10, 12]","[11, 0, 10, 10, 11]","[10, 10, 13, 10, 0]","[10, 0, 10, 10, 10]","[10, 10, 10, 10, 0]","[10, 10, 10, 0, 11]","[0, 0, 10, 10, 10]","[11, 12, 10, 10, 0]","[10, 12, 10, 0, 11]","[10, 11, 14, 0, 10]","[0, 10, 12, 13, 10]","[12, 0, 12, 10, 0]","[0, 11, 0, 0, 11]","[11, 0, 13, 0, 0]"
0,157,127,166,174,143,1,"[10, 11, 0, 10, 0]","[11, 0, 11, 12, 13]","[13, 11, 12, 0, 11]","[0, 11, 0, 0, 12]","[11, 11, 11, 0, 12]","[0, 0, 13, 0, 10]","[10, 11, 0, 12, 11]","[11, 11, 0, 10, 10]","[11, 11, 10, 10, 0]","[10, 10, 0, 10, 10]","[11, 11, 10, 10, 0]","[10, 12, 0, 11, 10]","[10, 0, 10, 11, 12]","[11, 10, 0, 12, 10]","[10, 0, 12, 10, 10]","[0, 14, 0, 11, 12]","[12, 10, 14, 12, 0]","[10, 0, 13, 14, 0]","[13, 13, 11, 11, 0]"
2,122,157,148,151,121,2,"[0, 0, 0, 11, 14]","[11, 11, 11, 13, 0]","[0, 13, 10, 11, 13]","[10, 0, 0, 0, 10]","[0, 12, 11, 10, 11]","[11, 11, 0, 0, 0]","[12, 0, 10, 0, 10]","[0, 10, 11, 10, 10]","[10, 11, 10, 10, 0]","[10, 0, 10, 11, 10]","[11, 11, 10, 10, 0]","[0, 0, 10, 10, 10]","[10, 10, 14, 10, 0]","[13, 0, 10, 0, 0]","[12, 12, 12, 10, 0]","[12, 11, 0, 11, 11]","[15, 10, 0, 0, 11]","[0, 0, 15, 10, 0]","[14, 0, 13, 11, 11]"
1,156,120,128,131,144,3,"[11, 12, 0, 10, 13]","[0, 10, 0, 0, 0]","[0, 15, 10, 11, 10]","[0, 0, 0, 12, 11]","[10, 10, 0, 0, 11]","[12, 12, 10, 11, 0]","[0, 10, 11, 10, 11]","[10, 10, 11, 0, 11]","[10, 10, 10, 0, 10]","[11, 10, 0, 10, 10]","[10, 0, 10, 12, 10]","[11, 10, 0, 10, 11]","[0, 11, 0, 10, 0]","[0, 0, 14, 0, 10]","[11, 0, 10, 0, 12]","[12, 12, 10, 11, 0]","[0, 0, 13, 10, 14]","[11, 11, 11, 0, 0]","[12, 13, 0, 11, 0]"
3,128,156,179,135,118,4,"[12, 0, 0, 10, 11]","[0, 11, 11, 15, 0]","[0, 0, 11, 0, 11]","[11, 10, 0, 0, 11]","[0, 13, 12, 11, 10]","[11, 10, 0, 10, 13]","[0, 10, 12, 11, 11]","[10, 0, 10, 10, 0]","[10, 0, 11, 10, 10]","[11, 10, 10, 0, 10]","[10, 11, 10, 11, 0]","[0, 10, 0, 10, 11]","[11, 10, 10, 12, 0]","[11, 0, 13, 10, 10]","[13, 10, 0, 11, 10]","[11, 12, 11, 11, 0]","[0, 0, 12, 12, 0]","[0, 0, 11, 14, 0]","[14, 11, 12, 11, 0]"
2,141,155,131,135,114,0,"[0, 12, 0, 11, 0]","[12, 11, 11, 0, 11]","[10, 11, 11, 0, 11]","[11, 11, 12, 0, 11]","[12, 11, 0, 10, 11]","[0, 11, 11, 12, 10]","[11, 0, 0, 10, 0]","[10, 12, 0, 11, 10]","[0, 10, 10, 10, 10]","[10, 10, 10, 11, 0]","[0, 11, 11, 10, 10]","[0, 0, 10, 11, 10]","[12, 0, 11, 10, 0]","[0, 10, 11, 0, 10]","[13, 0, 11, 0, 0]","[10, 11, 14, 10, 0]","[0, 10, 12, 0, 0]","[12, 0, 0, 0, 0]","[12, 0, 10, 15, 10]"
4,129,132,160,162,169,1,"[0, 11, 0, 14, 0]","[13, 12, 0, 12, 12]","[11, 0, 13, 12, 10]","[11, 13, 11, 0, 12]","[0, 0, 10, 11, 12]","[11, 10, 0, 12, 11]","[10, 0, 11, 11, 11]","[10, 10, 11, 0, 11]","[10, 10, 10, 11, 0]","[0, 10, 11, 10, 10]","[11, 0, 10, 10, 11]","[11, 11, 0, 10, 10]","[0, 10, 10, 0, 0]","[10, 10, 11, 11, 0]","[10, 11, 12, 0, 10]","[12, 11, 0, 0, 10]","[10, 0, 0, 11, 13]","[12, 0, 12, 11, 13]","[10, 0, 0, 14, 13]"
