winner,score1,score2,score3,score0,score4,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
3,140,91,158,143,147,2,"[12, 0, 10, 12, 13]","[11, 0, 0, 11, 0]","[12, 0, 10, 12, 12]","[11, 11, 0, 11, 10]","[0, 10, 0, 0, 10]","[10, 0, 0, 11, 0]","[10, 0, 0, 0, 10]","[0, 10, 10, 10, 0]","[10, 10, 0, 10, 11]","[10, 10, 10, 10, 0]","[11, 10, 0, 11, 10]","[11, 11, 10, 0, 11]","[0, 10, 10, 13, 11]","[12, 12, 10, 11, 0]","[10, 11, 0, 11, 13]","[0, 0, 0, 13, 10]","[0, 11, 0, 0, 12]","[13, 11, 11, 0, 0]","[0, 13, 10, 12, 14]"
3,130,78,178,128,144,3,"[12, 10, 12, 0, 13]","[0, 12, 11, 11, 12]","[13, 12, 0, 10, 0]","[10, 0, 0, 0, 0]","[0, 10, 0, 12, 0]","[10, 12, 0, 10, 11]","[10, 0, 13, 10, 10]","[11, 0, 0, 10, 0]","[11, 0, 11, 10, 10]","[10, 10, 0, 10, 10]","[10, 11, 10, 0, 10]","[10, 11, 0, 11, 10]","[10, 0, 0, 13, 11]","[0, 10, 0, 10, 0]","[0, 10, 10, 12, 13]","[0, 11, 11, 12, 12]","[0, 11, 0, 12, 12]","[0, 0, 0, 14, 10]","[11, 0, 0, 11, 0]"
0,149,117,141,186,136,4,"[12, 0, 10, 0, 14]","[13, 11, 0, 13, 10]","[10, 15, 11, 11, 0]","[11, 0, 13, 11, 11]","[12, 10, 0, 11, 0]","[10, 0, 10, 0, 11]","[10, 11, 10, 0, 10]","[10, 0, 11, 10, 11]","[11, 10, 0, 10, 10]","[11, 10, 10, 10, 0]","[0, 10, 0, 10, 0]","[10, 11, 10, 11, 0]","[10, 0, 0, 0, 0]","[10, 0, 10, 11, 11]","[11, 12, 0, 10, 11]","[14, 10, 0, 0, 11]","[0, 14, 11, 11, 0]","[11, 13, 11, 0, 12]","[10, 12, 0, 12, 14]"
1,180,121,177,151,104,0,"[0, 12, 0, 10, 0]","[0, 11, 0, 14, 12]","[11, 13, 0, 10, 13]","[12, 11, 13, 11, 0]","[12, 12, 0, 11, 10]","[0, 10, 12, 10, 12]","[10, 11, 0, 10, 13]","[11, 0, 0, 10, 0]","[10, 11, 10, 0, 11]","[10, 11, 10, 10, 0]","[12, 0, 10, 10, 10]","[0, 0, 10, 10, 0]","[11, 10, 10, 0, 12]","[10, 11, 0, 13, 11]","[11, 12, 10, 11, 0]","[10, 10, 14, 10, 0]","[10, 12, 11, 13, 0]","[11, 11, 0, 0, 0]","[0, 12, 11, 14, 0]"
3,99,158,162,123,108,1,"[0, 0, 12, 12, 12]","[12, 10, 12, 12, 0]","[11, 0, 14, 11, 12]","[13, 0, 10, 10, 10]","[0, 0, 11, 0, 0]","[11, 0, 11, 10, 0]","[12, 0, 10, 10, 0]","[0, 10, 12, 11, 10]","[10, 11, 10, 11, 0]","[0, 11, 10, 10, 10]","[10, 0, 10, 11, 11]","[10, 12, 11, 10, 0]","[11, 10, 0, 12, 10]","[0, 10, 0, 0, 0]","[0, 11, 14, 10, 10]","[0, 0, 0, 0, 0]","[11, 0, 0, 0, 12]","[12, 14, 11, 12, 0]","[0, 0, 0, 10, 11]"
1,175,141,154,67,121,2,"[0, 15, 11, 12, 12]","[0, 12, 12, 14, 0]","[0, 0, 0, 12, 10]","[0, 12, 11, 10, 14]","[0, 11, 11, 11, 10]","[0, 0, 0, 12, 11]","[12, 10, 0, 11, 0]","[0, 11, 10, 10, 0]","[11, 10, 11, 10, 0]","[0, 11, 10, 0, 10]","[0, 10, 11, 0, 0]","[11, 10, 11, 0, 10]","[12, 11, 10, 10, 0]","[0, 11, 12, 10, 0]","[10, 14, 0, 0, 11]","[11, 0, 0, 0, 10]","[0, 0, 10, 11, 10]","[0, 14, 11, 11, 13]","[0, 13, 0, 10, 0]"
0,118,128,142,176,73,3,"[12, 0, 0, 11, 0]","[13, 10, 0, 0, 10]","[11, 11, 12, 12, 0]","[11, 0, 11, 0, 0]","[0, 13, 10, 12, 10]","[10, 10, 0, 11, 0]","[11, 12, 10, 11, 0]","[0, 0, 10, 10, 0]","[11, 0, 10, 10, 10]","[10, 10, 0, 10, 11]","[10, 10, 10, 10, 0]","[10, 11, 11, 10, 0]","[10, 10, 11, 11, 0]","[10, 11, 10, 12, 0]","[12, 0, 0, 0, 0]","[0, 10, 13, 0, 0]","[10, 0, 10, 12, 11]","[12, 0, 0, 0, 11]","[13, 0, 0, 0, 10]"
1,154,143,142,109,109,4,"[14, 11, 12, 0, 10]","[0, 11, 12, 11, 12]","[10, 11, 11, 0, 0]","[12, 0, 0, 11, 0]","[11, 11, 0, 0, 0]","[10, 11, 12, 11, 0]","[0, 10, 0, 0, 10]","[0, 0, 10, 10, 0]","[10, 0, 12, 10, 10]","[0, 11, 10, 10, 10]","[10, 0, 10, 10, 10]","[0, 10, 11, 10, 0]","[11, 12, 10, 0, 11]","[0, 11, 11, 12, 0]","[0, 12, 10, 0, 11]","[0, 11, 0, 12, 13]","[10, 11, 0, 12, 12]","[0, 0, 12, 11, 0]","[11, 11, 0, 12, 0]"
2,165,178,155,154,118,0,"[12, 0, 0, 13, 12]","[0, 11, 12, 10, 15]","[10, 0, 0, 12, 0]","[11, 11, 0, 0, 13]","[11, 12, 11, 12, 0]","[0, 10, 11, 12, 10]","[11, 10, 10, 11, 0]","[0, 11, 12, 10, 0]","[11, 10, 11, 10, 0]","[10, 10, 10, 10, 0]","[0, 10, 10, 11, 10]","[11, 0, 11, 10, 11]","[10, 11, 10, 0, 12]","[12, 11, 10, 0, 11]","[0, 12, 11, 11, 0]","[11, 13, 12, 0, 11]","[11, 0, 11, 12, 0]","[10, 13, 13, 11, 0]","[13, 10, 13, 0, 13]"
3,112,114,164,125,140,1,"[0, 0, 14, 11, 10]","[0, 0, 0, 12, 12]","[0, 12, 12, 11, 11]","[10, 0, 11, 0, 0]","[10, 11, 0, 12, 11]","[11, 11, 0, 10, 11]","[10, 0, 0, 10, 0]","[11, 0, 0, 0, 10]","[10, 0, 10, 10, 10]","[10, 0, 10, 10, 10]","[0, 10, 11, 10, 11]","[0, 10, 11, 11, 11]","[10, 0, 0, 13, 0]","[10, 11, 11, 0, 11]","[0, 11, 0, 0, 11]","[11, 0, 0, 11, 0]","[10, 11, 14, 11, 0]","[0, 11, 0, 11, 11]","[12, 14, 10, 11, 0]"
2,100,146,141,120,121,2,"[12, 12, 14, 0, 0]","[12, 0, 0, 12, 0]","[0, 0, 12, 12, 0]","[11, 0, 0, 11, 0]","[12, 0, 11, 10, 12]","[0, 0, 0, 0, 11]","[10, 0, 0, 10, 11]","[10, 10, 0, 13, 10]","[11, 11, 10, 0, 10]","[11, 0, 10, 10, 10]","[10, 0, 12, 10, 10]","[0, 11, 10, 10, 11]","[11, 10, 11, 0, 11]","[0, 11, 11, 10, 0]","[0, 0, 10, 11, 0]","[10, 0, 13, 11, 0]","[0, 11, 10, 0, 0]","[0, 12, 12, 11, 14]","[0, 12, 0, 0, 11]"
4,123,131,110,135,163,3,"[12, 0, 11, 0, 11]","[0, 0, 0, 0, 13]","[11, 0, 0, 10, 0]","[14, 11, 11, 0, 11]","[0, 12, 11, 0, 0]","[0, 0, 10, 0, 10]","[11, 11, 11, 0, 10]","[0, 10, 10, 0, 0]","[11, 0, 11, 10, 10]","[11, 10, 0, 10, 10]","[10, 10, 0, 11, 10]","[10, 0, 10, 0, 0]","[0, 12, 10, 11, 10]","[0, 11, 0, 10, 10]","[11, 11, 0, 12, 10]","[12, 0, 12, 11, 10]","[11, 0, 0, 13, 14]","[0, 12, 13, 12, 10]","[11, 13, 11, 0, 14]"
