seed,winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
160000,3,127,145,146,133,0,"[0, 11, 11, 0]","[10, 0, 14, 12]","[12, 10, 0, 0]","[11, 14, 10, 12]","[0, 11, 0, 0]","[0, 0, 12, 10]","[0, 0, 0, 11]","[12, 0, 10, 10]","[10, 11, 10, 11]","[10, 10, 0, 11]","[10, 0, 11, 10]","[0, 10, 10, 11]","[11, 0, 10, 11]","[13, 11, 11, 0]","[11, 0, 0, 0]","[12, 12, 11, 0]","[0, 12, 13, 13]","[11, 15, 0, 11]","[0, 0, 12, 13]"
160001,3,123,116,161,132,1,"[11, 0, 14, 12]","[0, 11, 0, 11]","[11, 13, 0, 0]","[14, 11, 0, 11]","[14, 12, 0, 10]","[12, 0, 11, 11]","[12, 10, 0, 10]","[0, 10, 11, 10]","[0, 0, 10, 0]","[10, 0, 11, 10]","[10, 10, 0, 11]","[0, 0, 11, 10]","[11, 0, 0, 0]","[0, 10, 0, 11]","[13, 0, 11, 11]","[0, 12, 12, 10]","[0, 12, 12, 12]","[0, 12, 13, 11]","[14, 0, 0, 0]"
160002,1,157,97,73,119,2,"[12, 14, 0, 13]","[0, 11, 0, 0]","[11, 0, 13, 0]","[0, 12, 0, 0]","[10, 0, 11, 12]","[11, 10, 0, 0]","[0, 10, 0, 0]","[10, 10, 11, 12]","[10, 10, 0, 0]","[10, 10, 10, 0]","[10, 0, 10, 12]","[0, 10, 0, 0]","[0, 14, 10, 10]","[12, 10, 11, 0]","[12, 10, 0, 0]","[0, 12, 0, 0]","[11, 14, 10, 0]","[0, 0, 11, 14]","[0, 0, 0, 0]"
160003,1,164,116,90,137,3,"[11, 11, 0, 0]","[13, 10, 0, 11]","[13, 12, 10, 0]","[11, 0, 0, 0]","[12, 0, 11, 11]","[0, 12, 10, 12]","[12, 11, 10, 0]","[0, 10, 10, 12]","[11, 10, 0, 10]","[11, 10, 10, 0]","[0, 11, 10, 11]","[0, 0, 11, 10]","[10, 11, 10, 0]","[0, 10, 0, 0]","[10, 11, 0, 13]","[0, 11, 0, 0]","[12, 0, 10, 0]","[11, 11, 14, 0]","[0, 13, 0, 0]"
160004,0,126,152,111,158,0,"[13, 0, 12, 15]","[12, 11, 0, 11]","[11, 0, 14, 10]","[11, 14, 11, 0]","[10, 12, 0, 13]","[11, 12, 10, 0]","[0, 0, 10, 0]","[11, 0, 0, 0]","[11, 10, 10, 0]","[0, 10, 10, 10]","[10, 10, 0, 10]","[0, 0, 10, 10]","[10, 0, 10, 11]","[0, 0, 11, 11]","[12, 11, 11, 0]","[12, 10, 12, 0]","[0, 15, 10, 10]","[13, 11, 11, 0]","[11, 0, 0, 0]"
160005,0,110,120,111,133,1,"[14, 0, 0, 0]","[0, 12, 0, 0]","[13, 0, 10, 0]","[10, 11, 0, 0]","[10, 0, 0, 14]","[0, 10, 10, 0]","[0, 10, 0, 10]","[11, 10, 10, 12]","[10, 11, 11, 10]","[10, 0, 10, 11]","[11, 11, 0, 10]","[11, 11, 10, 0]","[10, 0, 13, 10]","[0, 0, 12, 0]","[0, 12, 12, 10]","[0, 0, 0, 10]","[0, 0, 0, 0]","[11, 0, 11, 14]","[12, 12, 11, 0]"
160006,2,98,152,70,121,2,"[0, 0, 12, 11]","[0, 12, 11, 12]","[12, 12, 12, 0]","[10, 12, 13, 0]","[0, 0, 11, 0]","[0, 0, 0, 11]","[0, 10, 0, 0]","[0, 0, 10, 11]","[10, 0, 10, 11]","[10, 10, 10, 0]","[10, 0, 0, 0]","[10, 11, 10, 0]","[13, 10, 10, 0]","[0, 0, 11, 0]","[10, 0, 10, 0]","[11, 0, 11, 14]","[13, 11, 0, 0]","[12, 10, 11, 0]","[0, 0, 0, 0]"
160007,0,86,128,63,145,3,"[12, 13, 14, 0]","[11, 0, 12, 0]","[12, 0, 12, 0]","[0, 0, 11, 0]","[12, 10, 11, 0]","[0, 11, 0, 0]","[0, 10, 11, 11]","[11, 0, 0, 10]","[10, 0, 11, 11]","[10, 10, 10, 0]","[11, 11, 0, 10]","[11, 0, 0, 0]","[11, 10, 0, 11]","[0, 0, 13, 0]","[0, 11, 0, 0]","[10, 0, 0, 0]","[11, 0, 0, 0]","[13, 0, 12, 10]","[0, 0, 11, 0]"
160008,0,118,119,131,165,0,"[12, 13, 0, 10]","[11, 0, 0, 0]","[0, 10, 0, 13]","[11, 10, 12, 0]","[12, 11, 11, 0]","[10, 11, 13, 0]","[10, 0, 0, 11]","[10, 11, 0, 10]","[10, 10, 12, 0]","[0, 10, 11, 10]","[0, 10, 0, 10]","[10, 10, 0, 11]","[11, 0, 11, 10]","[12, 0, 11, 11]","[12, 0, 10, 12]","[12, 0, 0, 12]","[0, 12, 0, 0]","[11, 0, 15, 11]","[11, 0, 13, 0]"
160009,1,147,126,97,113,1,"[14, 0, 12, 10]","[14, 11, 11, 0]","[10, 11, 14, 13]","[11, 12, 12, 0]","[0, 12, 11, 0]","[12, 0, 11, 10]","[0, 0, 11, 0]","[10, 11, 12, 0]","[0, 10, 10, 11]","[10, 10, 0, 10]","[11, 11, 0, 10]","[11, 0, 10, 10]","[10, 11, 0, 11]","[0, 0, 0, 0]","[0, 13, 0, 0]","[0, 12, 0, 0]","[0, 11, 0, 0]","[0, 0, 12, 12]","[0, 12, 0, 0]"
