gameID,player,numTricks,numParticles,lambda,useHeuristic,mcIterations,selfish,score,tricksWon,bid,dealer,aggressiveness
1,1,4,1000,1.3,True,1000,True,0,2,0,1,passive
1,2,4,1000,1.3,True,1000,True,10,0,0,1,normal
1,3,4,1000,1.3,True,1000,True,0,0,1,1,normal
2,0,4,1000,1.3,True,1000,True,14,4,4,0,aggressive
2,1,4,1000,1.3,True,1000,True,10,0,0,0,passive
2,2,4,1000,1.3,True,1000,True,10,0,0,0,normal
2,3,4,1000,1.3,True,1000,True,0,0,1,0,normal
3,0,4,1000,1.3,True,1000,True,11,1,1,1,aggressive
3,1,4,1000,1.3,True,1000,True,0,1,0,1,passive
3,2,4,1000,1.3,True,1000,True,12,2,2,1,normal
3,3,4,1000,1.3,True,1000,True,10,0,0,1,normal
4,0,4,1000,1.3,True,1000,True,0,2,4,1,aggressive
4,1,4,1000,1.3,True,1000,True,0,0,1,1,passive
4,2,4,1000,1.3,True,1000,True,0,2,0,1,normal
4,3,4,1000,1.3,True,1000,True,10,0,0,1,normal
5,0,4,1000,1.3,True,1000,True,0,1,2,2,aggressive
5,1,4,1000,1.3,True,1000,True,0,3,2,2,passive
5,2,4,1000,1.3,True,1000,True,0,0,1,2,normal
5,3,4,1000,1.3,True,1000,True,10,0,0,2,normal
6,0,4,1000,1.3,True,1000,True,0,0,2,0,aggressive
6,1,4,1000,1.3,True,1000,True,10,0,0,0,passive
6,2,4,1000,1.3,True,1000,True,10,0,0,0,normal
6,3,4,1000,1.3,True,1000,True,0,4,3,0,normal
7,0,4,1000,1.3,True,1000,True,11,1,1,2,aggressive
7,1,4,1000,1.3,True,1000,True,10,0,0,2,passive
7,2,4,1000,1.3,True,1000,True,0,0,1,2,normal
7,3,4,1000,1.3,True,1000,True,13,3,3,2,normal
8,0,4,1000,1.3,True,1000,True,13,3,3,1,aggressive
8,1,4,1000,1.3,True,1000,True,0,1,0,1,passive
8,2,4,1000,1.3,True,1000,True,10,0,0,1,normal
8,3,4,1000,1.3,True,1000,True,10,0,0,1,normal
9,0,4,1000,1.3,True,1000,True,0,0,1,3,aggressive
9,1,4,1000,1.3,True,1000,True,0,1,0,3,passive
9,2,4,1000,1.3,True,1000,True,0,1,2,3,normal
9,3,4,1000,1.3,True,1000,True,12,2,2,3,normal
10,0,4,1000,1.3,True,1000,True,0,1,2,0,aggressive
10,1,4,1000,1.3,True,1000,True,11,1,1,0,passive
10,2,4,1000,1.3,True,1000,True,0,1,2,0,normal
10,3,4,1000,1.3,True,1000,True,11,1,1,0,normal
11,0,4,1000,1.3,True,1000,True,0,0,1,3,aggressive
11,1,4,1000,1.3,True,1000,True,10,0,0,3,passive
11,2,4,1000,1.3,True,1000,True,12,2,2,3,normal
11,3,4,1000,1.3,True,1000,True,12,2,2,3,normal
12,0,4,1000,1.3,True,1000,True,11,1,1,3,aggressive
12,1,4,1000,1.3,True,1000,True,11,1,1,3,passive
12,2,4,1000,1.3,True,1000,True,11,1,1,3,normal
12,3,4,1000,1.3,True,1000,True,0,1,2,3,normal
13,0,4,1000,1.3,True,1000,True,0,0,1,2,aggressive
13,1,4,1000,1.3,True,1000,True,0,1,0,2,passive
13,2,4,1000,1.3,True,1000,True,11,1,1,2,normal
13,3,4,1000,1.3,True,1000,True,0,2,1,2,normal
14,0,4,1000,1.3,True,1000,True,0,0,1,0,aggressive
14,1,4,1000,1.3,True,1000,True,0,2,0,0,passive
14,2,4,1000,1.3,True,1000,True,0,0,1,0,normal
14,3,4,1000,1.3,True,1000,True,0,2,3,0,normal
15,0,4,1000,1.3,True,1000,True,0,2,3,1,aggressive
15,1,4,1000,1.3,True,1000,True,0,2,0,1,passive
15,2,4,1000,1.3,True,1000,True,10,0,0,1,normal
15,3,4,1000,1.3,True,1000,True,0,0,3,1,normal
16,0,4,1000,1.3,True,1000,True,0,1,3,2,aggressive
16,1,4,1000,1.3,True,1000,True,0,1,0,2,passive
16,2,4,1000,1.3,True,1000,True,12,2,2,2,normal
16,3,4,1000,1.3,True,1000,True,10,0,0,2,normal
17,0,4,1000,1.3,True,1000,True,11,1,1,3,aggressive
17,1,4,1000,1.3,True,1000,True,0,1,0,3,passive
17,2,4,1000,1.3,True,1000,True,11,1,1,3,normal
17,3,4,1000,1.3,True,1000,True,0,1,3,3,normal
18,0,4,1000,1.3,True,1000,True,0,0,1,1,aggressive
18,1,4,1000,1.3,True,1000,True,10,0,0,1,passive
18,2,4,1000,1.3,True,1000,True,0,2,1,1,normal
18,3,4,1000,1.3,True,1000,True,0,2,1,1,normal
19,0,4,1000,1.3,True,1000,True,0,0,3,0,aggressive
19,1,4,1000,1.3,True,1000,True,0,1,0,0,passive
19,2,4,1000,1.3,True,1000,True,12,2,2,0,normal
19,3,4,1000,1.3,True,1000,True,0,1,0,0,normal
20,0,4,1000,1.3,True,1000,True,0,0,1,1,aggressive
20,1,4,1000,1.3,True,1000,True,12,2,2,1,passive
20,2,4,1000,1.3,True,1000,True,0,2,0,1,normal
20,3,4,1000,1.3,True,1000,True,0,0,2,1,normal
21,0,4,1000,1.3,True,1000,True,13,3,3,1,aggressive
21,1,4,1000,1.3,True,1000,True,0,0,1,1,passive
21,2,4,1000,1.3,True,1000,True,10,0,0,1,normal
21,3,4,1000,1.3,True,1000,True,11,1,1,1,normal
22,0,4,1000,1.3,True,1000,True,11,1,1,1,aggressive
22,1,4,1000,1.3,True,1000,True,0,0,1,1,passive
22,2,4,1000,1.3,True,1000,True,0,2,1,1,normal
22,3,4,1000,1.3,True,1000,True,0,1,2,1,normal
23,0,4,1000,1.3,True,1000,True,11,1,1,2,aggressive
23,1,4,1000,1.3,True,1000,True,0,3,0,2,passive
23,2,4,1000,1.3,True,1000,True,0,0,1,2,normal
23,3,4,1000,1.3,True,1000,True,0,0,1,2,normal
24,0,4,1000,1.3,True,1000,True,0,3,2,3,aggressive
24,1,4,1000,1.3,True,1000,True,0,1,0,3,passive
24,2,4,1000,1.3,True,1000,True,10,0,0,3,normal
24,3,4,1000,1.3,True,1000,True,0,0,1,3,normal
25,0,4,1000,1.3,True,1000,True,0,0,1,3,aggressive
25,1,4,1000,1.3,True,1000,True,10,0,0,3,passive
25,2,4,1000,1.3,True,1000,True,0,0,1,3,normal
25,3,4,1000,1.3,True,1000,True,0,4,3,3,normal
26,0,4,1000,1.3,True,1000,True,11,1,1,1,aggressive
26,1,4,1000,1.3,True,1000,True,10,0,0,1,passive
26,2,4,1000,1.3,True,1000,True,0,2,1,1,normal
26,3,4,1000,1.3,True,1000,True,11,1,1,1,normal
