seed,winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1810,2,124,165,123,133,2,"[12, 0, 15, 12]","[12, 15, 10, 0]","[11, 0, 13, 12]","[12, 12, 0, 0]","[0, 10, 11, 0]","[11, 0, 11, 12]","[10, 0, 10, 11]","[10, 10, 0, 12]","[10, 11, 0, 11]","[0, 10, 11, 10]","[0, 10, 11, 11]","[0, 0, 10, 0]","[11, 0, 11, 10]","[10, 0, 15, 10]","[0, 12, 11, 0]","[0, 11, 0, 0]","[12, 0, 12, 0]","[12, 12, 0, 0]","[0, 11, 14, 12]"
1811,2,117,138,68,136,3,"[12, 12, 15, 0]","[0, 11, 0, 0]","[0, 10, 11, 0]","[11, 11, 10, 0]","[11, 0, 0, 0]","[0, 0, 11, 0]","[0, 11, 11, 10]","[11, 10, 10, 0]","[10, 11, 10, 0]","[11, 10, 10, 0]","[0, 10, 10, 11]","[11, 0, 0, 0]","[10, 0, 0, 0]","[12, 0, 0, 10]","[14, 10, 0, 0]","[0, 0, 0, 0]","[11, 0, 13, 13]","[0, 11, 14, 13]","[12, 0, 13, 11]"
1812,1,155,116,93,142,0,"[14, 11, 0, 0]","[10, 12, 15, 0]","[11, 0, 12, 13]","[0, 0, 10, 12]","[11, 12, 11, 0]","[10, 0, 0, 13]","[0, 11, 0, 0]","[12, 10, 0, 10]","[10, 10, 0, 10]","[0, 10, 11, 10]","[10, 11, 11, 0]","[11, 11, 10, 0]","[10, 0, 11, 0]","[10, 10, 0, 13]","[0, 10, 0, 0]","[11, 0, 11, 0]","[0, 13, 0, 0]","[12, 13, 0, 12]","[0, 11, 14, 0]"
1813,1,153,141,122,102,1,"[0, 14, 11, 12]","[0, 12, 12, 14]","[0, 10, 0, 13]","[0, 0, 0, 11]","[11, 10, 11, 0]","[13, 10, 12, 0]","[11, 10, 0, 12]","[0, 10, 0, 10]","[11, 11, 10, 10]","[10, 0, 11, 10]","[11, 10, 10, 0]","[0, 12, 10, 10]","[10, 0, 11, 10]","[0, 10, 0, 10]","[0, 12, 11, 0]","[0, 11, 10, 0]","[0, 11, 11, 0]","[13, 0, 11, 0]","[12, 0, 0, 0]"
1814,0,110,65,122,156,2,"[0, 11, 0, 0]","[11, 13, 0, 12]","[14, 0, 11, 0]","[12, 0, 14, 10]","[0, 0, 10, 0]","[10, 0, 0, 0]","[12, 10, 0, 10]","[10, 0, 10, 0]","[10, 0, 0, 10]","[11, 10, 0, 10]","[10, 11, 0, 10]","[10, 11, 0, 10]","[11, 10, 10, 0]","[0, 12, 10, 11]","[0, 0, 0, 11]","[0, 0, 0, 0]","[10, 11, 0, 13]","[12, 0, 0, 15]","[13, 11, 0, 0]"
1815,1,146,114,108,129,3,"[15, 10, 12, 0]","[0, 12, 13, 11]","[0, 14, 10, 12]","[12, 14, 0, 10]","[0, 11, 13, 0]","[0, 0, 0, 10]","[11, 11, 10, 0]","[10, 0, 0, 0]","[0, 10, 10, 10]","[10, 10, 10, 0]","[0, 0, 0, 11]","[10, 0, 0, 10]","[11, 10, 0, 11]","[11, 11, 0, 0]","[14, 0, 11, 10]","[0, 11, 12, 0]","[12, 11, 0, 13]","[0, 0, 13, 0]","[13, 11, 0, 0]"
1816,1,151,128,89,134,0,"[14, 10, 0, 0]","[0, 13, 11, 0]","[0, 11, 11, 0]","[0, 0, 10, 0]","[11, 14, 0, 10]","[12, 0, 0, 0]","[11, 0, 10, 12]","[10, 10, 0, 0]","[10, 11, 0, 11]","[0, 10, 10, 11]","[10, 0, 11, 10]","[10, 11, 10, 0]","[0, 10, 11, 0]","[0, 11, 11, 11]","[0, 14, 11, 0]","[13, 0, 10, 12]","[11, 13, 0, 12]","[11, 0, 0, 0]","[11, 13, 12, 0]"
1817,0,94,84,132,133,1,"[12, 0, 14, 14]","[13, 11, 12, 0]","[10, 0, 0, 0]","[0, 11, 0, 13]","[11, 10, 0, 11]","[0, 0, 0, 10]","[0, 10, 0, 0]","[10, 12, 0, 10]","[0, 10, 10, 12]","[10, 0, 11, 10]","[11, 0, 0, 0]","[0, 10, 0, 0]","[0, 0, 10, 0]","[10, 0, 0, 12]","[10, 0, 13, 11]","[12, 0, 0, 0]","[0, 0, 0, 16]","[11, 10, 14, 0]","[13, 10, 0, 13]"
1818,0,137,100,86,158,2,"[13, 11, 0, 0]","[0, 13, 0, 0]","[13, 11, 12, 0]","[10, 11, 12, 0]","[0, 11, 0, 12]","[10, 0, 0, 0]","[0, 11, 11, 10]","[12, 0, 10, 10]","[11, 0, 11, 10]","[11, 10, 0, 10]","[0, 0, 10, 0]","[10, 12, 10, 0]","[10, 11, 0, 0]","[12, 0, 0, 0]","[11, 0, 0, 0]","[0, 11, 12, 11]","[11, 0, 0, 11]","[12, 12, 0, 12]","[12, 13, 12, 0]"
1819,2,118,168,98,145,3,"[11, 14, 14, 0]","[12, 0, 0, 0]","[12, 13, 11, 0]","[10, 13, 12, 0]","[0, 12, 11, 0]","[10, 0, 10, 11]","[11, 0, 10, 12]","[11, 0, 10, 11]","[11, 10, 0, 10]","[0, 10, 10, 10]","[11, 10, 0, 11]","[10, 0, 10, 0]","[12, 10, 12, 10]","[0, 0, 0, 0]","[0, 11, 11, 12]","[13, 0, 12, 11]","[0, 0, 12, 0]","[11, 15, 11, 0]","[0, 0, 12, 0]"
1820,0,157,130,147,166,0,"[0, 12, 15, 11]","[0, 11, 16, 12]","[12, 0, 13, 13]","[12, 0, 13, 11]","[11, 12, 0, 11]","[0, 0, 0, 11]","[12, 10, 0, 12]","[11, 10, 0, 0]","[11, 10, 10, 0]","[0, 10, 10, 11]","[11, 11, 10, 0]","[10, 11, 0, 10]","[11, 12, 11, 0]","[14, 0, 11, 0]","[12, 11, 10, 0]","[14, 11, 0, 11]","[0, 11, 0, 10]","[12, 15, 0, 11]","[13, 0, 11, 13]"
1821,2,161,165,122,124,1,"[15, 11, 0, 13]","[0, 13, 14, 11]","[11, 15, 11, 0]","[11, 12, 0, 0]","[0, 12, 11, 12]","[0, 10, 12, 11]","[0, 11, 12, 10]","[11, 10, 0, 12]","[0, 10, 10, 12]","[0, 10, 10, 10]","[10, 12, 0, 10]","[10, 0, 10, 0]","[0, 0, 10, 0]","[10, 0, 13, 11]","[13, 12, 11, 0]","[11, 0, 14, 10]","[10, 0, 13, 0]","[0, 10, 0, 0]","[12, 13, 14, 0]"
1822,3,100,119,137,137,2,"[0, 0, 0, 10]","[12, 0, 0, 0]","[0, 12, 11, 12]","[0, 0, 12, 0]","[12, 0, 10, 14]","[13, 0, 0, 0]","[12, 10, 12, 0]","[10, 0, 10, 10]","[0, 0, 10, 10]","[0, 11, 10, 10]","[10, 10, 11, 0]","[10, 11, 0, 10]","[12, 0, 10, 0]","[11, 14, 0, 10]","[0, 10, 0, 0]","[14, 11, 11, 11]","[10, 0, 12, 13]","[11, 0, 0, 11]","[0, 11, 0, 16]"
1823,1,171,118,99,131,3,"[0, 0, 10, 11]","[0, 11, 12, 0]","[11, 0, 12, 0]","[0, 11, 10, 0]","[10, 0, 10, 13]","[11, 13, 11, 0]","[12, 10, 10, 0]","[0, 11, 10, 11]","[10, 11, 0, 11]","[10, 10, 10, 0]","[0, 11, 0, 0]","[11, 0, 10, 10]","[11, 10, 0, 11]","[10, 12, 0, 11]","[0, 10, 0, 0]","[13, 11, 0, 10]","[11, 14, 0, 11]","[0, 12, 0, 0]","[11, 14, 13, 0]"
1824,2,121,170,111,133,0,"[0, 12, 12, 13]","[0, 11, 11, 15]","[0, 12, 13, 10]","[10, 0, 10, 13]","[0, 11, 12, 0]","[11, 0, 0, 0]","[12, 0, 10, 11]","[10, 11, 10, 0]","[11, 10, 11, 0]","[0, 10, 10, 11]","[10, 11, 11, 0]","[10, 0, 0, 0]","[11, 0, 0, 0]","[0, 11, 11, 12]","[10, 10, 13, 0]","[11, 0, 14, 0]","[0, 12, 10, 14]","[13, 0, 0, 0]","[14, 0, 12, 12]"
18000,1,141,134,134,136,0,"[12, 0, 10, 11]","[16, 11, 12, 0]","[11, 11, 14, 0]","[12, 0, 0, 0]","[15, 10, 0, 10]","[11, 0, 0, 0]","[0, 11, 12, 11]","[0, 11, 11, 11]","[0, 10, 0, 10]","[0, 10, 10, 10]","[0, 0, 10, 10]","[10, 10, 11, 0]","[0, 10, 11, 13]","[11, 0, 12, 11]","[13, 11, 0, 12]","[12, 0, 11, 0]","[0, 10, 0, 0]","[13, 14, 0, 10]","[0, 12, 10, 15]"
18001,2,110,156,123,124,1,"[12, 0, 11, 11]","[0, 0, 0, 0]","[11, 17, 10, 0]","[12, 0, 0, 0]","[11, 11, 13, 0]","[12, 0, 12, 11]","[11, 0, 10, 10]","[0, 0, 10, 11]","[0, 10, 10, 11]","[10, 0, 10, 10]","[0, 0, 0, 10]","[0, 10, 10, 0]","[10, 11, 0, 12]","[0, 12, 10, 11]","[0, 11, 11, 13]","[11, 0, 12, 0]","[0, 13, 12, 0]","[12, 15, 0, 0]","[12, 0, 15, 13]"
18002,0,133,137,59,165,2,"[10, 0, 11, 16]","[12, 0, 0, 11]","[11, 0, 12, 0]","[13, 10, 13, 0]","[13, 12, 11, 0]","[10, 11, 11, 0]","[10, 11, 0, 11]","[0, 10, 0, 0]","[0, 0, 0, 10]","[10, 10, 10, 0]","[10, 11, 11, 0]","[10, 0, 10, 0]","[11, 11, 0, 11]","[11, 11, 0, 0]","[12, 11, 12, 0]","[11, 12, 12, 0]","[11, 0, 12, 0]","[0, 0, 12, 0]","[0, 13, 0, 0]"
