winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
3,99,125,191,123,1,"[0, 12, 0, 12]","[0, 0, 12, 11]","[0, 10, 13, 0]","[11, 0, 13, 10]","[14, 11, 0, 10]","[0, 11, 11, 10]","[10, 0, 12, 12]","[10, 10, 0, 13]","[10, 0, 0, 10]","[10, 10, 0, 11]","[10, 0, 10, 10]","[0, 10, 10, 11]","[11, 0, 10, 11]","[13, 0, 10, 11]","[12, 13, 0, 11]","[0, 0, 0, 14]","[0, 0, 11, 0]","[12, 12, 0, 13]","[0, 0, 13, 11]"
1,175,86,141,149,2,"[10, 15, 0, 14]","[15, 10, 0, 10]","[0, 0, 11, 0]","[10, 0, 12, 13]","[12, 11, 0, 10]","[12, 11, 0, 11]","[0, 10, 11, 13]","[12, 11, 10, 0]","[11, 10, 0, 11]","[11, 10, 10, 0]","[0, 10, 10, 11]","[11, 10, 0, 11]","[0, 10, 11, 13]","[11, 10, 0, 12]","[0, 12, 11, 12]","[10, 13, 0, 0]","[0, 0, 0, 0]","[12, 11, 0, 0]","[12, 11, 0, 0]"
3,121,121,162,102,3,"[11, 0, 12, 16]","[11, 11, 0, 15]","[0, 0, 11, 0]","[13, 0, 12, 11]","[0, 0, 0, 11]","[12, 12, 0, 10]","[0, 0, 10, 0]","[0, 10, 0, 11]","[11, 10, 11, 0]","[10, 0, 10, 10]","[10, 0, 10, 11]","[12, 10, 0, 11]","[0, 11, 11, 12]","[0, 11, 11, 11]","[0, 11, 0, 0]","[0, 0, 11, 11]","[0, 10, 12, 0]","[0, 14, 0, 10]","[12, 11, 0, 12]"
1,132,89,120,108,0,"[0, 12, 0, 13]","[0, 12, 13, 12]","[0, 0, 0, 11]","[11, 0, 0, 0]","[12, 11, 0, 0]","[0, 0, 0, 0]","[10, 11, 13, 0]","[11, 11, 11, 0]","[0, 11, 10, 11]","[10, 10, 10, 0]","[10, 10, 0, 11]","[11, 10, 10, 0]","[11, 0, 0, 0]","[11, 0, 11, 13]","[0, 11, 0, 12]","[0, 0, 11, 0]","[0, 13, 0, 10]","[11, 10, 0, 14]","[0, 0, 0, 13]"
2,111,135,115,67,1,"[0, 11, 10, 17]","[12, 11, 11, 0]","[13, 11, 0, 14]","[0, 11, 11, 0]","[0, 11, 11, 11]","[12, 0, 0, 11]","[0, 0, 11, 0]","[0, 10, 11, 10]","[10, 0, 10, 0]","[10, 10, 10, 0]","[10, 0, 12, 10]","[0, 11, 0, 10]","[0, 0, 0, 11]","[0, 0, 0, 0]","[0, 0, 11, 0]","[0, 0, 0, 0]","[0, 0, 12, 0]","[0, 14, 0, 11]","[0, 11, 15, 10]"
3,141,144,173,94,2,"[13, 11, 0, 12]","[0, 12, 0, 0]","[0, 11, 12, 14]","[12, 0, 12, 11]","[0, 11, 0, 12]","[0, 0, 11, 0]","[0, 11, 10, 13]","[11, 0, 11, 10]","[0, 10, 10, 10]","[11, 10, 10, 0]","[0, 10, 10, 11]","[10, 10, 0, 0]","[0, 10, 10, 11]","[0, 10, 11, 12]","[12, 11, 0, 12]","[14, 0, 11, 10]","[11, 0, 13, 11]","[0, 14, 13, 12]","[0, 0, 0, 12]"
3,123,98,147,96,3,"[13, 0, 12, 11]","[0, 0, 0, 13]","[14, 11, 0, 0]","[0, 0, 11, 0]","[0, 12, 0, 10]","[13, 11, 0, 11]","[0, 12, 10, 0]","[0, 12, 10, 10]","[0, 10, 0, 0]","[0, 10, 10, 10]","[10, 0, 10, 10]","[0, 10, 0, 12]","[12, 0, 10, 11]","[11, 0, 0, 0]","[11, 11, 0, 13]","[0, 0, 0, 11]","[0, 10, 13, 12]","[0, 0, 12, 0]","[12, 14, 0, 13]"
1,158,117,123,92,0,"[0, 12, 13, 0]","[12, 0, 13, 13]","[0, 0, 0, 0]","[13, 10, 0, 11]","[0, 11, 0, 0]","[0, 11, 0, 0]","[0, 0, 0, 10]","[10, 11, 12, 0]","[0, 10, 10, 12]","[11, 10, 0, 10]","[11, 10, 0, 10]","[0, 10, 10, 0]","[0, 12, 11, 10]","[0, 10, 12, 0]","[10, 13, 0, 12]","[0, 15, 11, 10]","[0, 13, 11, 0]","[12, 0, 0, 13]","[13, 0, 14, 12]"
1,139,92,134,128,1,"[11, 0, 12, 13]","[0, 11, 0, 0]","[0, 11, 0, 11]","[16, 10, 0, 0]","[12, 11, 0, 11]","[0, 0, 11, 11]","[0, 11, 11, 10]","[0, 13, 0, 10]","[10, 0, 11, 10]","[10, 10, 0, 10]","[11, 10, 10, 0]","[11, 10, 0, 0]","[0, 11, 0, 0]","[0, 0, 0, 11]","[12, 0, 12, 10]","[13, 11, 12, 0]","[0, 10, 0, 0]","[12, 10, 0, 13]","[10, 0, 13, 14]"
3,98,88,146,102,2,"[0, 0, 11, 14]","[11, 13, 0, 11]","[0, 0, 12, 0]","[0, 0, 0, 10]","[12, 0, 0, 10]","[11, 12, 0, 11]","[0, 10, 0, 0]","[0, 0, 0, 10]","[10, 0, 10, 10]","[0, 10, 10, 10]","[12, 0, 10, 10]","[0, 10, 0, 0]","[11, 10, 11, 0]","[12, 10, 11, 0]","[11, 0, 0, 11]","[0, 0, 0, 12]","[0, 10, 13, 15]","[0, 0, 0, 0]","[12, 13, 0, 12]"
3,112,111,130,125,3,"[0, 0, 13, 0]","[0, 13, 0, 0]","[0, 0, 10, 12]","[12, 10, 10, 0]","[0, 0, 12, 11]","[10, 0, 0, 12]","[0, 11, 11, 10]","[11, 11, 0, 10]","[10, 11, 0, 10]","[0, 10, 10, 11]","[10, 0, 11, 11]","[12, 0, 10, 10]","[11, 0, 0, 10]","[11, 11, 0, 11]","[0, 0, 12, 0]","[12, 11, 0, 0]","[14, 12, 12, 0]","[0, 12, 0, 0]","[12, 0, 0, 12]"
