winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1,141,106,125,129,1,"[0, 10, 12, 0]","[11, 0, 0, 11]","[11, 0, 11, 0]","[0, 0, 0, 12]","[0, 11, 12, 10]","[0, 10, 12, 0]","[0, 11, 10, 10]","[10, 0, 11, 10]","[10, 10, 0, 10]","[10, 10, 0, 11]","[10, 10, 0, 10]","[11, 11, 0, 10]","[0, 0, 0, 11]","[12, 11, 11, 0]","[11, 11, 12, 0]","[10, 12, 0, 0]","[0, 10, 15, 10]","[12, 0, 0, 0]","[11, 14, 0, 10]"
0,109,100,111,142,2,"[12, 0, 0, 12]","[11, 0, 0, 0]","[0, 11, 0, 0]","[11, 13, 12, 0]","[0, 12, 13, 0]","[12, 11, 0, 11]","[0, 10, 11, 12]","[0, 0, 10, 10]","[10, 0, 11, 11]","[10, 10, 0, 10]","[0, 10, 10, 12]","[12, 0, 11, 10]","[10, 0, 12, 11]","[10, 12, 10, 0]","[0, 10, 0, 0]","[11, 0, 0, 12]","[10, 0, 0, 0]","[12, 10, 0, 0]","[11, 0, 0, 0]"
3,99,70,146,69,3,"[0, 0, 0, 0]","[0, 0, 0, 13]","[0, 0, 0, 11]","[0, 0, 0, 0]","[0, 13, 0, 0]","[12, 10, 0, 13]","[11, 0, 11, 12]","[0, 10, 13, 10]","[10, 10, 0, 0]","[0, 10, 11, 10]","[0, 0, 11, 0]","[11, 11, 0, 10]","[0, 10, 11, 11]","[0, 0, 0, 12]","[0, 0, 0, 11]","[0, 0, 0, 11]","[12, 12, 13, 0]","[0, 0, 0, 10]","[13, 13, 0, 12]"
1,155,111,131,66,0,"[0, 13, 10, 14]","[0, 14, 11, 11]","[0, 11, 0, 0]","[0, 11, 0, 0]","[0, 13, 0, 11]","[0, 11, 11, 11]","[0, 0, 0, 0]","[10, 0, 11, 10]","[0, 10, 0, 0]","[11, 0, 10, 10]","[0, 11, 11, 10]","[11, 0, 11, 10]","[10, 11, 0, 11]","[0, 10, 0, 10]","[0, 0, 0, 0]","[12, 11, 12, 0]","[0, 14, 11, 11]","[0, 15, 0, 0]","[12, 0, 13, 12]"
1,170,117,104,112,1,"[0, 17, 11, 12]","[0, 0, 11, 12]","[0, 11, 11, 0]","[0, 0, 10, 0]","[0, 10, 11, 11]","[10, 0, 11, 0]","[12, 10, 0, 10]","[0, 10, 10, 13]","[0, 11, 11, 10]","[10, 10, 0, 11]","[11, 10, 10, 0]","[10, 10, 0, 0]","[10, 0, 0, 0]","[12, 11, 0, 0]","[12, 11, 0, 13]","[0, 13, 10, 12]","[13, 13, 11, 0]","[12, 11, 0, 0]","[0, 12, 0, 0]"
0,120,106,122,164,2,"[13, 14, 12, 0]","[14, 0, 11, 0]","[0, 0, 14, 0]","[12, 0, 13, 10]","[0, 12, 0, 11]","[10, 11, 0, 11]","[10, 0, 0, 0]","[12, 0, 10, 10]","[10, 10, 0, 10]","[10, 10, 10, 0]","[0, 11, 0, 10]","[0, 10, 0, 0]","[12, 0, 12, 10]","[11, 10, 0, 0]","[12, 11, 0, 12]","[13, 0, 0, 10]","[12, 10, 0, 13]","[13, 0, 13, 0]","[0, 11, 11, 15]"
1,119,90,112,77,3,"[10, 0, 13, 14]","[0, 11, 11, 0]","[11, 0, 12, 12]","[12, 12, 12, 0]","[0, 0, 0, 10]","[0, 11, 0, 0]","[11, 0, 11, 12]","[0, 0, 0, 10]","[0, 10, 0, 0]","[0, 10, 10, 10]","[0, 11, 10, 11]","[12, 10, 0, 10]","[10, 0, 0, 0]","[0, 12, 0, 0]","[0, 0, 11, 12]","[11, 10, 0, 0]","[0, 12, 0, 0]","[0, 10, 0, 0]","[0, 0, 0, 11]"
0,103,121,157,177,0,"[0, 0, 11, 10]","[12, 0, 0, 0]","[13, 12, 13, 0]","[0, 0, 0, 11]","[12, 0, 12, 0]","[10, 0, 11, 14]","[12, 0, 11, 10]","[10, 11, 10, 0]","[11, 11, 10, 0]","[10, 0, 10, 10]","[0, 11, 0, 11]","[12, 10, 0, 10]","[11, 0, 10, 13]","[14, 10, 0, 11]","[11, 13, 0, 12]","[0, 13, 11, 11]","[13, 0, 12, 11]","[11, 0, 0, 11]","[15, 12, 0, 12]"
2,140,142,109,89,1,"[12, 0, 0, 0]","[0, 0, 12, 0]","[12, 0, 11, 11]","[0, 0, 0, 11]","[0, 11, 12, 12]","[0, 10, 14, 11]","[11, 11, 11, 0]","[0, 10, 0, 0]","[0, 12, 10, 10]","[10, 11, 0, 10]","[11, 10, 11, 0]","[0, 10, 0, 0]","[11, 11, 0, 10]","[0, 10, 12, 11]","[0, 12, 0, 0]","[0, 10, 12, 0]","[0, 12, 13, 10]","[11, 0, 12, 13]","[11, 0, 12, 0]"
0,110,116,112,148,2,"[10, 0, 13, 12]","[12, 0, 14, 11]","[12, 11, 12, 0]","[0, 0, 10, 0]","[0, 0, 0, 12]","[11, 11, 0, 0]","[11, 0, 0, 0]","[11, 11, 0, 11]","[10, 11, 0, 10]","[11, 10, 10, 0]","[11, 10, 0, 10]","[12, 0, 10, 10]","[0, 0, 13, 0]","[11, 12, 10, 0]","[0, 11, 0, 0]","[12, 0, 11, 12]","[14, 10, 13, 0]","[0, 13, 0, 12]","[0, 0, 0, 12]"
