winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
3,115,102,143,127,0,"[13, 0, 13, 10]","[12, 0, 0, 0]","[11, 14, 0, 12]","[0, 11, 13, 11]","[11, 0, 11, 11]","[0, 10, 0, 13]","[0, 12, 11, 0]","[11, 10, 11, 0]","[11, 10, 0, 11]","[11, 0, 10, 10]","[11, 0, 10, 10]","[0, 10, 12, 10]","[0, 12, 11, 0]","[13, 10, 0, 10]","[0, 0, 0, 12]","[12, 0, 0, 0]","[0, 0, 0, 11]","[11, 0, 0, 0]","[0, 16, 0, 12]"
0,127,119,100,176,1,"[0, 15, 0, 11]","[13, 0, 0, 11]","[13, 0, 0, 11]","[11, 0, 12, 11]","[11, 10, 13, 0]","[11, 12, 0, 0]","[0, 12, 10, 12]","[11, 0, 10, 0]","[11, 0, 10, 11]","[10, 0, 10, 10]","[11, 10, 10, 0]","[13, 10, 10, 0]","[11, 13, 0, 10]","[11, 11, 0, 0]","[0, 11, 0, 0]","[13, 11, 11, 0]","[13, 0, 0, 0]","[0, 0, 12, 13]","[13, 12, 11, 0]"
0,104,92,98,124,2,"[0, 11, 10, 13]","[11, 13, 0, 0]","[0, 0, 12, 0]","[12, 0, 0, 0]","[0, 0, 13, 11]","[11, 0, 12, 11]","[0, 0, 11, 10]","[0, 11, 12, 10]","[11, 10, 0, 0]","[11, 10, 10, 0]","[0, 0, 0, 11]","[13, 10, 0, 10]","[0, 10, 0, 11]","[0, 0, 12, 0]","[10, 0, 0, 0]","[10, 16, 0, 11]","[12, 0, 0, 0]","[11, 0, 0, 0]","[12, 13, 0, 0]"
1,139,116,115,137,3,"[0, 11, 11, 0]","[0, 0, 13, 14]","[13, 0, 0, 0]","[13, 10, 0, 12]","[13, 10, 12, 0]","[11, 10, 12, 0]","[0, 0, 0, 11]","[10, 10, 10, 0]","[0, 10, 12, 10]","[10, 11, 0, 10]","[0, 11, 10, 11]","[10, 10, 0, 12]","[11, 12, 10, 0]","[0, 12, 0, 0]","[0, 12, 0, 11]","[10, 0, 14, 0]","[12, 10, 0, 0]","[12, 0, 0, 11]","[12, 0, 12, 13]"
3,130,115,178,91,0,"[0, 0, 12, 11]","[12, 11, 0, 14]","[0, 0, 12, 0]","[13, 0, 13, 10]","[0, 10, 0, 11]","[11, 0, 0, 12]","[0, 10, 12, 10]","[0, 0, 10, 0]","[0, 10, 0, 11]","[0, 10, 10, 11]","[10, 11, 0, 10]","[11, 11, 11, 0]","[12, 10, 0, 12]","[0, 0, 11, 10]","[11, 12, 0, 11]","[0, 0, 12, 10]","[0, 11, 12, 11]","[11, 11, 0, 13]","[0, 13, 0, 11]"
1,162,111,135,147,1,"[0, 12, 13, 12]","[12, 12, 13, 0]","[13, 12, 11, 0]","[12, 0, 0, 10]","[0, 11, 0, 11]","[10, 14, 0, 0]","[10, 0, 10, 12]","[11, 10, 0, 10]","[10, 0, 11, 10]","[10, 10, 10, 0]","[10, 11, 11, 0]","[0, 10, 11, 11]","[0, 11, 10, 12]","[13, 11, 0, 11]","[12, 12, 11, 0]","[0, 0, 0, 12]","[12, 0, 0, 0]","[12, 12, 0, 14]","[0, 14, 0, 10]"
3,121,90,133,112,2,"[0, 0, 12, 11]","[10, 0, 0, 0]","[11, 0, 11, 15]","[0, 10, 0, 15]","[0, 0, 0, 11]","[12, 10, 10, 0]","[0, 10, 13, 10]","[0, 11, 11, 10]","[11, 11, 0, 10]","[11, 10, 0, 10]","[10, 0, 10, 10]","[13, 10, 0, 0]","[0, 11, 0, 10]","[11, 0, 0, 0]","[0, 0, 0, 10]","[12, 13, 11, 0]","[0, 12, 0, 0]","[0, 13, 12, 11]","[11, 0, 0, 0]"
3,121,102,171,137,3,"[15, 12, 0, 10]","[0, 11, 13, 13]","[0, 0, 10, 13]","[12, 12, 0, 12]","[0, 13, 12, 0]","[0, 10, 0, 12]","[11, 12, 10, 0]","[10, 0, 10, 0]","[10, 10, 0, 11]","[11, 0, 10, 10]","[0, 10, 11, 10]","[0, 0, 0, 10]","[11, 0, 0, 10]","[11, 10, 0, 12]","[10, 10, 0, 0]","[11, 11, 0, 12]","[0, 0, 0, 14]","[13, 0, 12, 12]","[12, 0, 14, 10]"
3,123,123,182,86,0,"[11, 12, 0, 0]","[10, 0, 12, 14]","[12, 11, 0, 12]","[11, 11, 0, 13]","[0, 11, 0, 0]","[0, 12, 11, 11]","[0, 0, 10, 0]","[10, 0, 11, 12]","[0, 10, 10, 10]","[11, 10, 0, 10]","[0, 0, 0, 10]","[11, 10, 0, 12]","[0, 10, 11, 11]","[0, 13, 0, 10]","[0, 0, 13, 10]","[0, 0, 11, 11]","[0, 13, 13, 11]","[10, 0, 11, 13]","[0, 0, 10, 12]"
0,157,136,62,174,1,"[13, 0, 12, 12]","[12, 10, 12, 0]","[0, 13, 0, 0]","[12, 10, 0, 14]","[12, 14, 10, 0]","[11, 11, 11, 0]","[0, 11, 10, 11]","[12, 11, 0, 0]","[10, 10, 10, 0]","[10, 10, 10, 0]","[10, 11, 10, 0]","[0, 0, 10, 0]","[13, 0, 0, 0]","[12, 11, 0, 0]","[0, 12, 0, 0]","[13, 11, 0, 13]","[11, 0, 14, 0]","[11, 0, 13, 12]","[12, 12, 14, 0]"
