winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1,149,138,136,123,0,"[0, 12, 0, 16]","[12, 0, 12, 0]","[12, 13, 0, 12]","[12, 14, 0, 11]","[11, 0, 12, 0]","[11, 0, 11, 12]","[0, 11, 12, 0]","[10, 11, 11, 0]","[10, 10, 10, 0]","[10, 10, 10, 0]","[10, 0, 12, 0]","[0, 10, 0, 0]","[0, 10, 13, 10]","[0, 12, 12, 10]","[0, 0, 0, 13]","[13, 0, 11, 13]","[0, 11, 0, 12]","[0, 13, 12, 13]","[12, 12, 0, 14]"
3,109,138,168,121,1,"[0, 11, 14, 13]","[12, 0, 12, 14]","[11, 0, 0, 0]","[0, 11, 0, 12]","[10, 0, 0, 0]","[12, 0, 12, 10]","[0, 10, 12, 11]","[0, 10, 11, 11]","[11, 0, 10, 10]","[10, 10, 10, 0]","[10, 0, 12, 10]","[11, 10, 0, 10]","[0, 10, 11, 10]","[0, 11, 0, 0]","[11, 12, 0, 11]","[10, 0, 10, 13]","[0, 0, 13, 12]","[0, 14, 0, 10]","[13, 0, 11, 11]"
3,100,137,140,96,2,"[12, 13, 0, 13]","[0, 13, 12, 13]","[0, 0, 13, 0]","[0, 10, 12, 12]","[0, 0, 13, 12]","[0, 0, 0, 11]","[0, 0, 11, 11]","[11, 10, 0, 10]","[10, 12, 0, 10]","[10, 11, 10, 0]","[0, 10, 10, 11]","[10, 0, 10, 0]","[0, 0, 11, 0]","[11, 10, 0, 0]","[0, 0, 12, 10]","[10, 0, 12, 14]","[12, 0, 0, 0]","[0, 11, 11, 13]","[10, 0, 0, 0]"
2,165,171,150,117,3,"[12, 0, 11, 14]","[14, 10, 12, 0]","[11, 12, 0, 0]","[0, 11, 0, 12]","[12, 0, 11, 12]","[0, 11, 11, 12]","[0, 10, 11, 12]","[10, 0, 13, 10]","[11, 10, 10, 0]","[0, 11, 10, 10]","[10, 0, 11, 10]","[0, 10, 12, 11]","[10, 12, 12, 0]","[12, 10, 0, 11]","[15, 11, 10, 0]","[0, 12, 11, 11]","[0, 10, 0, 0]","[0, 12, 14, 11]","[0, 13, 12, 14]"
3,140,120,147,77,0,"[0, 11, 12, 15]","[0, 0, 10, 0]","[11, 12, 0, 11]","[11, 0, 10, 13]","[0, 12, 13, 10]","[11, 0, 0, 10]","[0, 0, 0, 10]","[11, 11, 10, 0]","[0, 11, 10, 11]","[0, 10, 10, 11]","[10, 0, 12, 10]","[10, 10, 0, 0]","[0, 10, 11, 11]","[13, 11, 10, 0]","[0, 10, 0, 12]","[0, 10, 0, 0]","[0, 11, 12, 12]","[0, 11, 0, 0]","[0, 0, 0, 11]"
2,98,126,122,119,1,"[12, 14, 0, 12]","[0, 0, 0, 0]","[0, 0, 10, 0]","[10, 0, 11, 10]","[14, 0, 12, 10]","[0, 11, 13, 10]","[10, 10, 0, 0]","[12, 10, 11, 0]","[10, 10, 0, 10]","[10, 10, 10, 0]","[10, 11, 11, 0]","[10, 0, 10, 0]","[0, 11, 10, 12]","[0, 0, 0, 0]","[0, 11, 14, 11]","[0, 0, 0, 11]","[0, 0, 0, 12]","[10, 0, 0, 13]","[11, 0, 14, 11]"
3,103,99,148,132,2,"[11, 14, 0, 13]","[0, 13, 0, 0]","[14, 0, 0, 0]","[10, 0, 12, 14]","[11, 0, 0, 10]","[12, 0, 12, 11]","[0, 0, 0, 10]","[10, 12, 0, 11]","[10, 0, 10, 10]","[0, 10, 11, 10]","[0, 11, 10, 10]","[10, 0, 10, 11]","[11, 10, 10, 0]","[0, 10, 0, 0]","[0, 11, 12, 11]","[10, 0, 12, 12]","[12, 12, 0, 0]","[11, 0, 0, 0]","[0, 0, 0, 15]"
3,124,67,132,124,3,"[0, 0, 0, 0]","[0, 0, 0, 11]","[0, 14, 0, 0]","[13, 0, 12, 11]","[0, 0, 10, 13]","[12, 11, 11, 0]","[11, 0, 0, 10]","[12, 11, 0, 10]","[11, 10, 0, 10]","[0, 10, 10, 11]","[0, 10, 0, 10]","[10, 12, 0, 10]","[11, 11, 0, 10]","[11, 0, 12, 0]","[10, 14, 0, 0]","[11, 0, 0, 0]","[0, 10, 12, 13]","[12, 0, 0, 13]","[0, 11, 0, 0]"
2,110,145,138,121,0,"[13, 0, 15, 11]","[12, 0, 15, 11]","[0, 0, 13, 13]","[11, 13, 11, 0]","[0, 0, 0, 11]","[0, 0, 0, 0]","[10, 11, 0, 11]","[0, 10, 10, 0]","[0, 10, 11, 11]","[10, 10, 0, 10]","[10, 10, 10, 0]","[0, 10, 0, 0]","[0, 11, 12, 11]","[10, 0, 10, 12]","[0, 0, 10, 0]","[10, 0, 15, 12]","[13, 11, 0, 0]","[10, 0, 13, 12]","[12, 14, 0, 13]"
3,106,140,140,138,1,"[12, 11, 0, 13]","[14, 0, 12, 0]","[11, 0, 14, 12]","[0, 0, 11, 13]","[12, 0, 11, 13]","[0, 0, 11, 0]","[0, 0, 12, 0]","[10, 0, 11, 10]","[10, 10, 0, 10]","[10, 10, 0, 11]","[11, 10, 10, 0]","[10, 10, 0, 0]","[0, 11, 10, 11]","[14, 0, 0, 11]","[0, 10, 11, 11]","[0, 11, 0, 0]","[0, 11, 13, 0]","[12, 0, 14, 11]","[12, 12, 0, 14]"
1,159,105,117,131,2,"[13, 10, 11, 0]","[11, 14, 0, 0]","[10, 12, 0, 10]","[0, 10, 15, 10]","[11, 0, 12, 11]","[10, 0, 13, 12]","[12, 11, 10, 0]","[0, 11, 11, 10]","[10, 11, 0, 10]","[10, 10, 10, 0]","[11, 11, 0, 10]","[10, 0, 0, 11]","[11, 0, 0, 10]","[0, 0, 11, 0]","[0, 11, 12, 0]","[0, 11, 0, 0]","[0, 12, 0, 0]","[0, 12, 0, 10]","[12, 13, 0, 13]"
