seed,winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
20000,0,96,89,90,123,0,"[0, 10, 0, 0]","[0, 0, 0, 10]","[0, 12, 0, 0]","[12, 11, 0, 14]","[11, 11, 0, 12]","[0, 11, 12, 0]","[10, 0, 13, 0]","[11, 0, 0, 0]","[11, 0, 10, 11]","[10, 0, 10, 10]","[10, 10, 0, 10]","[11, 10, 10, 0]","[0, 0, 10, 0]","[10, 0, 0, 0]","[15, 10, 0, 11]","[0, 0, 0, 0]","[0, 11, 13, 12]","[0, 0, 11, 0]","[12, 0, 0, 0]"
20001,0,123,112,105,145,1,"[0, 0, 0, 0]","[14, 0, 14, 10]","[10, 0, 13, 0]","[11, 12, 0, 10]","[0, 0, 10, 0]","[10, 0, 0, 0]","[0, 11, 12, 11]","[11, 10, 0, 10]","[10, 0, 10, 10]","[10, 0, 11, 10]","[11, 10, 0, 10]","[0, 10, 10, 0]","[0, 10, 0, 0]","[11, 11, 0, 10]","[11, 0, 10, 0]","[0, 12, 0, 11]","[12, 12, 0, 13]","[12, 13, 11, 0]","[12, 12, 11, 0]"
20002,1,150,104,123,103,2,"[14, 10, 0, 12]","[0, 0, 11, 13]","[0, 10, 0, 0]","[11, 0, 0, 0]","[12, 13, 0, 11]","[11, 13, 10, 0]","[11, 0, 10, 0]","[0, 10, 10, 11]","[11, 11, 10, 0]","[11, 10, 0, 10]","[0, 10, 10, 10]","[0, 11, 11, 10]","[0, 14, 10, 0]","[11, 0, 0, 0]","[11, 0, 12, 11]","[0, 0, 0, 11]","[0, 14, 10, 11]","[0, 13, 0, 0]","[0, 11, 0, 13]"
20003,1,161,124,134,147,3,"[13, 13, 0, 12]","[12, 12, 0, 14]","[13, 11, 13, 0]","[10, 12, 13, 0]","[11, 11, 0, 12]","[11, 13, 10, 0]","[0, 12, 12, 10]","[10, 0, 10, 11]","[0, 0, 10, 10]","[0, 10, 10, 10]","[10, 10, 0, 10]","[0, 0, 11, 10]","[13, 0, 11, 0]","[11, 12, 0, 11]","[11, 12, 11, 0]","[10, 11, 0, 0]","[0, 11, 0, 12]","[12, 0, 0, 12]","[0, 11, 13, 0]"
20004,0,137,111,115,182,0,"[11, 12, 0, 14]","[13, 12, 0, 0]","[13, 0, 12, 11]","[13, 0, 10, 10]","[0, 12, 12, 11]","[0, 10, 0, 11]","[12, 0, 0, 0]","[12, 11, 0, 10]","[10, 11, 10, 0]","[0, 10, 10, 11]","[10, 0, 10, 11]","[10, 10, 11, 0]","[10, 0, 0, 0]","[11, 12, 0, 0]","[11, 0, 0, 0]","[12, 13, 0, 12]","[10, 12, 12, 14]","[11, 12, 12, 0]","[13, 0, 12, 0]"
20005,0,123,125,134,154,1,"[0, 12, 0, 14]","[12, 12, 12, 0]","[12, 10, 0, 13]","[11, 12, 12, 0]","[11, 0, 11, 11]","[12, 0, 12, 10]","[0, 12, 0, 0]","[11, 10, 11, 0]","[10, 10, 0, 0]","[10, 0, 10, 10]","[10, 0, 10, 10]","[11, 10, 10, 12]","[10, 12, 0, 10]","[10, 0, 12, 0]","[0, 11, 11, 11]","[0, 0, 0, 11]","[0, 0, 0, 0]","[11, 0, 14, 11]","[13, 12, 0, 11]"
20006,0,143,131,136,145,2,"[13, 11, 0, 11]","[0, 0, 0, 0]","[12, 0, 0, 0]","[0, 10, 15, 0]","[11, 11, 12, 0]","[0, 0, 11, 12]","[10, 11, 0, 13]","[0, 10, 11, 11]","[10, 11, 0, 11]","[11, 10, 0, 10]","[11, 0, 10, 10]","[10, 0, 11, 11]","[0, 10, 11, 10]","[0, 10, 11, 12]","[11, 11, 0, 14]","[12, 0, 0, 11]","[10, 13, 12, 0]","[13, 12, 13, 0]","[11, 13, 14, 0]"
20007,2,110,165,125,148,3,"[11, 0, 16, 0]","[0, 14, 12, 10]","[11, 0, 11, 14]","[10, 0, 12, 12]","[12, 0, 13, 0]","[10, 12, 12, 0]","[11, 0, 10, 12]","[11, 0, 11, 10]","[0, 11, 11, 10]","[10, 0, 10, 11]","[0, 0, 0, 10]","[0, 10, 10, 0]","[13, 10, 0, 10]","[12, 10, 13, 0]","[13, 10, 13, 0]","[0, 11, 11, 12]","[12, 0, 0, 0]","[12, 10, 0, 14]","[0, 12, 0, 0]"
20008,1,155,115,142,145,0,"[0, 14, 11, 11]","[0, 12, 0, 0]","[13, 0, 0, 10]","[10, 0, 14, 13]","[0, 10, 0, 0]","[11, 0, 0, 11]","[10, 12, 11, 0]","[11, 10, 0, 10]","[10, 10, 0, 10]","[0, 10, 10, 10]","[10, 11, 0, 11]","[11, 0, 10, 0]","[0, 10, 11, 10]","[10, 12, 0, 11]","[12, 11, 0, 12]","[11, 0, 10, 11]","[13, 10, 11, 0]","[13, 11, 14, 0]","[0, 12, 13, 12]"
20009,0,141,123,109,177,1,"[0, 11, 0, 0]","[15, 10, 0, 0]","[11, 0, 11, 12]","[13, 11, 12, 0]","[11, 11, 12, 0]","[10, 0, 13, 11]","[0, 11, 10, 0]","[10, 11, 11, 0]","[10, 11, 0, 10]","[11, 0, 10, 10]","[11, 10, 0, 10]","[0, 10, 11, 0]","[11, 11, 0, 0]","[10, 0, 11, 12]","[14, 11, 0, 10]","[0, 11, 12, 11]","[13, 0, 0, 12]","[14, 12, 10, 0]","[13, 0, 0, 11]"
