card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
KS,veryhigh,False,2,4,3,3,1,10
7H,mediumlow,False,4,3,3,3,1,9
JH,high,False,3,2,3,1,0,5
AH,veryhigh,False,1,3,0,5,1,10
8S,mediumHigh,False,3,2,0,5,1,9
7C,mediumlow,False,2,1,0,4,0,6
AS,veryhigh,False,3,3,1,2,6,10
KD,veryhigh,False,2,2,1,2,6,9
AH,veryhigh,False,5,2,3,5,1,10
QD,high,False,4,1,3,5,1,9
4H,low,False,4,0,3,5,1,8
2D,low,False,3,0,3,4,4,10
AD,veryhigh,False,5,5,3,1,0,10
2D,low,False,4,4,3,1,0,9
8D,mediumHigh,False,3,3,3,0,0,7
JS,high,False,1,2,3,0,-1,5
5D,low,False,2,1,2,0,-1,3
2S,low,False,3,1,5,0,3,10
7H,mediumlow,True,3,2,2,3,4,10
9H,mediumHigh,True,2,1,2,2,4,8
JS,high,False,4,0,2,2,4,7
QC,high,False,2,-1,2,2,4,6
4C,low,False,1,-2,1,2,4,4
AS,veryhigh,False,3,5,0,1,6,10
JS,high,False,2,4,0,1,6,9
AD,veryhigh,False,4,3,0,0,6,7
8D,mediumHigh,False,3,2,0,0,6,6
6D,mediumlow,False,2,1,-1,0,5,3
4S,low,False,3,3,3,0,5,10
3D,low,True,3,2,3,-1,4,7
9S,mediumHigh,False,2,1,3,-1,3,5
AC,veryhigh,False,4,2,2,4,1,10
TS,high,False,2,1,2,4,1,9
8D,mediumHigh,True,2,0,2,4,1,8
TS,high,False,3,3,2,3,0,10
4D,low,True,3,2,2,3,0,9
3S,low,False,2,1,0,1,0,4
JC,high,False,3,1,4,5,1,10
2S,low,False,2,0,1,4,0,4
8H,mediumHigh,False,3,2,3,2,4,10
JC,high,False,2,1,3,2,4,9
KH,veryhigh,False,2,0,3,2,4,8
5D,low,True,3,-1,3,2,4,7
5D,low,False,3,1,1,6,3,10
8S,mediumHigh,False,1,0,0,3,3,5
7H,mediumlow,False,4,2,5,1,3,10
3S,low,False,3,1,4,0,2,6
