winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
0,98,88,111,135,0,"[14, 13, 0, 11]","[0, 0, 0, 14]","[0, 0, 0, 0]","[0, 0, 10, 0]","[11, 11, 0, 11]","[10, 12, 11, 0]","[0, 0, 0, 11]","[11, 0, 11, 10]","[12, 10, 10, 0]","[10, 10, 0, 11]","[11, 11, 0, 10]","[10, 10, 0, 11]","[0, 0, 10, 12]","[10, 11, 0, 0]","[10, 0, 0, 0]","[0, 0, 12, 0]","[14, 0, 10, 0]","[12, 10, 14, 0]","[0, 0, 0, 10]"
0,102,108,126,171,1,"[12, 10, 0, 11]","[0, 0, 10, 14]","[12, 11, 12, 0]","[0, 0, 0, 12]","[12, 14, 10, 0]","[0, 0, 11, 0]","[10, 12, 10, 0]","[11, 0, 10, 0]","[10, 0, 10, 11]","[11, 10, 0, 10]","[10, 0, 0, 0]","[0, 10, 0, 10]","[11, 11, 0, 0]","[10, 0, 0, 12]","[14, 11, 11, 0]","[12, 0, 11, 11]","[12, 0, 0, 11]","[12, 13, 0, 11]","[12, 0, 13, 13]"
1,174,123,138,128,2,"[0, 13, 13, 13]","[0, 13, 11, 0]","[0, 12, 13, 10]","[11, 0, 11, 13]","[10, 11, 0, 12]","[10, 12, 0, 10]","[12, 0, 0, 0]","[10, 11, 0, 11]","[10, 10, 0, 11]","[10, 10, 10, 0]","[10, 0, 10, 11]","[0, 10, 10, 10]","[10, 12, 0, 10]","[0, 12, 0, 0]","[12, 10, 12, 0]","[12, 13, 11, 0]","[0, 10, 12, 12]","[11, 15, 10, 0]","[0, 0, 0, 15]"
1,147,127,143,117,3,"[14, 10, 12, 0]","[0, 12, 14, 12]","[16, 11, 0, 11]","[0, 0, 11, 11]","[0, 0, 0, 10]","[0, 11, 11, 11]","[10, 0, 0, 12]","[0, 10, 11, 10]","[0, 10, 0, 0]","[10, 0, 10, 10]","[10, 0, 10, 11]","[0, 12, 11, 10]","[10, 12, 0, 10]","[11, 10, 0, 13]","[12, 10, 12, 0]","[11, 0, 0, 0]","[13, 12, 11, 0]","[0, 11, 14, 12]","[0, 16, 0, 0]"
2,125,153,147,87,0,"[14, 11, 0, 0]","[11, 0, 12, 13]","[0, 11, 13, 10]","[0, 13, 11, 12]","[0, 0, 10, 0]","[0, 0, 10, 0]","[0, 11, 11, 11]","[0, 10, 10, 10]","[0, 0, 10, 0]","[10, 0, 10, 10]","[10, 11, 0, 10]","[10, 10, 0, 11]","[11, 0, 10, 11]","[11, 12, 11, 0]","[0, 10, 11, 12]","[10, 0, 0, 0]","[0, 12, 12, 12]","[0, 0, 0, 12]","[0, 14, 12, 13]"
1,152,122,144,135,1,"[11, 0, 14, 11]","[12, 15, 0, 0]","[11, 0, 11, 11]","[0, 0, 0, 11]","[13, 0, 11, 11]","[12, 10, 12, 0]","[0, 11, 0, 0]","[0, 11, 11, 10]","[10, 10, 0, 10]","[10, 10, 10, 0]","[0, 0, 10, 0]","[10, 10, 10, 0]","[10, 10, 0, 11]","[12, 12, 0, 11]","[12, 0, 10, 13]","[0, 13, 11, 10]","[0, 10, 12, 12]","[0, 16, 0, 11]","[12, 14, 0, 12]"
2,152,182,133,111,2,"[0, 16, 10, 11]","[0, 12, 13, 10]","[13, 12, 12, 0]","[0, 0, 11, 0]","[10, 0, 13, 12]","[0, 13, 11, 11]","[10, 11, 0, 10]","[0, 0, 10, 11]","[10, 10, 10, 0]","[11, 10, 10, 0]","[10, 0, 11, 11]","[0, 10, 11, 10]","[10, 0, 13, 10]","[0, 12, 11, 11]","[0, 10, 11, 13]","[10, 13, 0, 13]","[0, 10, 14, 0]","[13, 0, 0, 0]","[14, 13, 11, 0]"
1,163,110,112,135,3,"[11, 14, 13, 0]","[12, 10, 0, 14]","[13, 11, 0, 12]","[12, 11, 10, 0]","[0, 15, 10, 11]","[0, 13, 10, 11]","[10, 12, 10, 0]","[10, 0, 0, 10]","[0, 10, 0, 0]","[0, 11, 10, 10]","[10, 0, 10, 11]","[10, 0, 0, 0]","[11, 11, 0, 0]","[0, 11, 0, 0]","[12, 0, 12, 11]","[13, 10, 0, 12]","[11, 0, 13, 10]","[0, 12, 12, 0]","[0, 12, 0, 0]"
2,123,157,103,102,0,"[13, 15, 11, 0]","[0, 0, 0, 0]","[11, 0, 14, 12]","[0, 0, 11, 14]","[0, 12, 11, 11]","[11, 0, 11, 0]","[11, 10, 0, 0]","[0, 10, 10, 10]","[0, 10, 10, 0]","[10, 0, 10, 10]","[0, 0, 0, 10]","[10, 12, 10, 0]","[0, 11, 11, 10]","[0, 12, 11, 0]","[13, 10, 13, 0]","[12, 10, 0, 0]","[11, 0, 12, 12]","[0, 11, 12, 14]","[0, 0, 0, 0]"
2,142,154,125,113,1,"[13, 12, 0, 13]","[11, 14, 10, 0]","[12, 13, 11, 0]","[0, 0, 11, 12]","[0, 0, 10, 11]","[10, 12, 0, 12]","[13, 10, 11, 0]","[0, 11, 11, 10]","[10, 0, 11, 10]","[11, 10, 0, 10]","[10, 0, 10, 10]","[0, 0, 10, 0]","[0, 10, 0, 0]","[12, 0, 13, 0]","[0, 0, 12, 0]","[0, 12, 11, 12]","[0, 11, 12, 12]","[0, 15, 11, 0]","[11, 12, 0, 13]"
3,133,114,141,109,2,"[0, 11, 11, 11]","[11, 16, 0, 10]","[0, 10, 12, 15]","[12, 0, 0, 11]","[12, 0, 11, 10]","[0, 10, 0, 11]","[0, 11, 10, 0]","[10, 0, 13, 10]","[10, 10, 10, 0]","[10, 11, 10, 0]","[10, 10, 0, 0]","[0, 0, 10, 10]","[0, 11, 10, 10]","[0, 10, 0, 0]","[0, 0, 0, 10]","[13, 10, 0, 10]","[0, 13, 0, 11]","[11, 0, 0, 12]","[10, 0, 17, 0]"
3,102,138,156,150,3,"[0, 13, 13, 13]","[11, 13, 0, 11]","[0, 0, 12, 0]","[10, 0, 0, 12]","[13, 0, 12, 10]","[0, 0, 10, 10]","[10, 0, 11, 0]","[11, 11, 0, 10]","[0, 10, 0, 0]","[11, 10, 10, 0]","[0, 10, 0, 10]","[11, 0, 11, 11]","[10, 0, 11, 13]","[10, 0, 0, 11]","[11, 13, 0, 11]","[0, 12, 12, 11]","[13, 10, 11, 0]","[13, 0, 12, 12]","[16, 0, 13, 11]"
2,76,137,125,119,0,"[0, 0, 14, 0]","[10, 0, 15, 10]","[0, 12, 11, 14]","[11, 0, 11, 0]","[14, 0, 11, 11]","[0, 11, 10, 0]","[10, 0, 0, 0]","[10, 11, 0, 0]","[10, 10, 0, 10]","[10, 10, 0, 10]","[10, 0, 12, 10]","[10, 0, 0, 0]","[0, 0, 10, 0]","[0, 0, 11, 0]","[0, 0, 0, 11]","[12, 0, 10, 10]","[0, 0, 12, 10]","[12, 10, 0, 14]","[0, 12, 10, 15]"
1,156,117,143,144,1,"[10, 0, 0, 14]","[12, 17, 0, 10]","[0, 11, 10, 0]","[13, 11, 0, 0]","[13, 0, 10, 12]","[10, 0, 10, 0]","[0, 11, 11, 10]","[11, 10, 0, 10]","[11, 0, 10, 11]","[10, 10, 10, 0]","[0, 0, 11, 0]","[0, 10, 11, 10]","[10, 12, 0, 10]","[11, 0, 11, 11]","[10, 12, 0, 10]","[0, 13, 11, 11]","[11, 14, 0, 12]","[12, 13, 0, 0]","[0, 12, 12, 12]"
