card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
9S,mediumHigh,False,1,3,4,0,2,10
QD,high,True,2,2,4,0,1,8
TD,high,True,1,1,4,0,1,7
5H,low,False,5,0,4,0,1,6
AC,veryhigh,False,4,2,3,4,2,10
3C,low,False,3,1,3,4,2,9
4S,low,False,3,0,2,3,2,6
KH,veryhigh,False,2,5,1,1,4,10
AS,veryhigh,False,4,4,1,1,4,9
AC,veryhigh,False,1,3,1,1,4,8
9S,mediumHigh,False,3,2,1,1,4,7
8S,mediumHigh,False,2,2,2,3,5,10
KS,veryhigh,False,4,4,2,2,0,10
AC,veryhigh,False,3,3,2,2,0,9
AD,veryhigh,False,1,2,2,2,0,8
4C,low,False,2,1,2,2,0,7
8S,mediumHigh,False,3,0,2,2,-1,5
JC,high,True,7,7,1,0,1,10
TD,high,False,1,6,0,0,1,8
KC,veryhigh,True,5,5,0,0,0,6
5H,low,False,1,4,0,0,0,5
6C,mediumlow,True,3,3,0,-1,0,3
TC,high,True,2,2,0,-1,0,2
AC,veryhigh,False,6,1,3,3,4,10
5S,low,False,2,0,3,3,4,9
AH,veryhigh,False,2,2,2,4,0,10
4C,low,False,4,1,2,4,0,9
7S,mediumlow,True,1,0,1,4,0,7
KC,veryhigh,False,3,1,2,3,5,10
2S,low,False,1,0,2,3,5,9
KD,veryhigh,False,2,4,0,6,1,10
AH,veryhigh,False,1,3,0,6,1,9
7S,mediumlow,False,5,2,0,6,1,8
2S,low,False,3,1,0,4,0,4
4S,low,False,2,0,0,4,-1,2
TC,high,False,4,1,2,6,0,10
2S,low,True,1,0,0,5,-3,3
KC,veryhigh,False,5,2,3,1,5,10
JC,high,False,4,1,3,1,4,8
QD,high,False,4,3,4,0,2,10
4D,low,False,3,2,4,-1,2,8
4H,low,True,2,1,2,-1,2,5
6D,mediumlow,False,2,0,1,-1,1,2
7D,mediumlow,False,1,4,2,1,2,10
KH,veryhigh,True,2,3,2,0,2,8
