seed,winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
160011,1,200,116,89,172,3,"[13, 13, 0, 11]","[0, 11, 13, 11]","[11, 12, 0, 14]","[0, 10, 0, 0]","[11, 10, 15, 0]","[10, 0, 0, 0]","[0, 10, 11, 0]","[10, 11, 0, 10]","[10, 11, 0, 10]","[10, 11, 10, 0]","[10, 10, 10, 0]","[11, 10, 11, 0]","[12, 10, 0, 11]","[13, 10, 10, 0]","[13, 10, 0, 11]","[12, 14, 11, 0]","[11, 13, 13, 0]","[15, 10, 0, 0]","[0, 14, 12, 11]"
160012,0,134,100,126,155,0,"[13, 12, 11, 14]","[14, 11, 0, 13]","[0, 12, 0, 11]","[0, 0, 14, 0]","[10, 0, 0, 0]","[13, 0, 0, 0]","[12, 0, 10, 12]","[11, 10, 0, 11]","[0, 10, 10, 10]","[0, 10, 10, 10]","[10, 10, 11, 11]","[10, 11, 0, 0]","[10, 0, 12, 11]","[0, 0, 10, 0]","[12, 11, 12, 0]","[12, 13, 0, 10]","[0, 0, 0, 13]","[14, 12, 0, 0]","[14, 12, 0, 0]"
160013,0,141,124,71,173,1,"[13, 11, 14, 0]","[13, 14, 0, 0]","[13, 11, 0, 11]","[0, 11, 12, 0]","[11, 11, 11, 0]","[11, 0, 0, 0]","[11, 0, 11, 0]","[10, 10, 0, 13]","[10, 0, 10, 10]","[10, 10, 10, 0]","[10, 10, 10, 0]","[12, 10, 11, 0]","[0, 0, 0, 0]","[11, 11, 11, 0]","[0, 10, 0, 0]","[0, 10, 12, 14]","[11, 0, 0, 0]","[14, 0, 12, 11]","[13, 12, 0, 12]"
160014,1,154,129,93,105,2,"[11, 12, 0, 0]","[0, 15, 12, 10]","[0, 0, 10, 0]","[0, 12, 0, 0]","[13, 12, 10, 0]","[13, 0, 0, 0]","[0, 12, 11, 10]","[0, 0, 11, 10]","[0, 10, 10, 0]","[11, 10, 0, 10]","[10, 10, 12, 10]","[0, 13, 10, 10]","[0, 13, 10, 11]","[10, 10, 10, 0]","[12, 12, 0, 11]","[14, 0, 0, 11]","[0, 0, 0, 0]","[11, 13, 11, 0]","[0, 0, 12, 0]"
160015,0,137,110,101,194,3,"[13, 13, 13, 0]","[12, 12, 0, 0]","[11, 14, 0, 12]","[11, 0, 11, 0]","[0, 11, 10, 11]","[12, 10, 0, 10]","[11, 0, 10, 12]","[12, 0, 10, 10]","[0, 10, 10, 11]","[10, 10, 0, 10]","[10, 10, 0, 0]","[11, 0, 10, 10]","[12, 10, 12, 0]","[10, 11, 13, 0]","[12, 0, 0, 0]","[13, 13, 11, 0]","[12, 13, 0, 0]","[11, 0, 0, 0]","[11, 0, 0, 15]"
160016,1,157,110,88,102,0,"[11, 12, 0, 11]","[13, 0, 11, 0]","[13, 12, 12, 0]","[0, 13, 10, 12]","[11, 10, 12, 0]","[0, 12, 0, 11]","[10, 11, 11, 0]","[10, 12, 10, 0]","[11, 10, 0, 0]","[0, 10, 10, 11]","[0, 10, 10, 11]","[0, 0, 0, 11]","[11, 10, 12, 0]","[0, 0, 0, 11]","[0, 0, 0, 0]","[0, 0, 0, 0]","[12, 12, 12, 0]","[0, 12, 0, 10]","[0, 11, 0, 0]"
160017,2,115,194,110,107,1,"[11, 15, 10, 0]","[10, 0, 15, 11]","[0, 0, 15, 0]","[11, 13, 0, 11]","[11, 0, 10, 14]","[11, 10, 12, 0]","[0, 10, 12, 11]","[10, 0, 11, 10]","[0, 10, 11, 10]","[11, 0, 10, 10]","[10, 11, 11, 0]","[0, 12, 10, 10]","[0, 0, 10, 0]","[0, 11, 11, 12]","[12, 10, 13, 11]","[0, 0, 10, 0]","[10, 13, 11, 0]","[0, 0, 12, 0]","[0, 0, 0, 0]"
160018,0,145,84,121,151,2,"[0, 0, 0, 13]","[12, 13, 0, 0]","[0, 13, 0, 0]","[0, 11, 14, 11]","[10, 0, 11, 0]","[10, 11, 0, 0]","[10, 12, 11, 0]","[10, 0, 0, 11]","[10, 0, 0, 0]","[10, 10, 0, 10]","[0, 10, 11, 10]","[11, 10, 0, 11]","[11, 10, 0, 10]","[11, 10, 0, 12]","[10, 12, 0, 10]","[0, 13, 10, 0]","[11, 0, 12, 13]","[11, 0, 15, 0]","[14, 10, 0, 10]"
160019,0,119,116,65,132,3,"[0, 0, 0, 12]","[12, 12, 13, 0]","[0, 0, 12, 0]","[10, 14, 0, 10]","[10, 13, 11, 0]","[13, 11, 0, 0]","[0, 0, 0, 12]","[0, 0, 0, 10]","[10, 10, 12, 0]","[10, 0, 10, 10]","[11, 10, 10, 0]","[10, 0, 10, 11]","[0, 0, 0, 0]","[10, 0, 0, 0]","[11, 12, 0, 0]","[14, 12, 11, 0]","[0, 13, 13, 0]","[11, 12, 0, 0]","[0, 0, 14, 0]"
160020,1,161,144,156,99,0,"[12, 12, 0, 0]","[0, 13, 0, 13]","[11, 12, 13, 0]","[11, 12, 0, 11]","[11, 11, 13, 0]","[0, 12, 11, 0]","[10, 0, 10, 13]","[0, 11, 11, 10]","[0, 11, 10, 10]","[10, 0, 10, 10]","[0, 0, 11, 10]","[0, 11, 0, 10]","[10, 0, 0, 11]","[0, 11, 12, 10]","[0, 11, 14, 10]","[12, 11, 0, 11]","[0, 13, 13, 12]","[12, 0, 16, 0]","[0, 10, 0, 15]"
