winner,score1,score2,score3,score0,score4,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
3,141,140,165,113,153,1,"[0, 0, 10, 0, 15]","[14, 0, 10, 12, 12]","[0, 0, 10, 10, 0]","[10, 11, 0, 13, 11]","[0, 11, 0, 11, 11]","[0, 11, 11, 10, 11]","[11, 10, 0, 11, 11]","[0, 11, 11, 11, 10]","[0, 10, 12, 10, 10]","[11, 0, 10, 10, 10]","[10, 10, 0, 11, 10]","[11, 0, 10, 10, 0]","[0, 11, 10, 10, 11]","[11, 11, 12, 10, 0]","[0, 11, 11, 0, 0]","[0, 11, 11, 13, 10]","[11, 10, 0, 0, 11]","[11, 0, 0, 13, 0]","[13, 13, 12, 0, 10]"
1,156,130,108,131,143,2,"[13, 12, 0, 12, 0]","[12, 12, 10, 0, 13]","[0, 11, 0, 0, 0]","[11, 10, 12, 0, 12]","[0, 0, 11, 10, 11]","[0, 0, 11, 0, 13]","[0, 12, 11, 0, 0]","[0, 10, 10, 0, 0]","[0, 0, 10, 0, 10]","[10, 11, 0, 10, 10]","[11, 11, 0, 10, 10]","[11, 10, 0, 12, 10]","[10, 13, 0, 10, 11]","[11, 11, 0, 10, 0]","[0, 10, 11, 0, 11]","[13, 12, 11, 10, 0]","[15, 0, 10, 11, 11]","[14, 11, 11, 0, 11]","[0, 0, 12, 13, 10]"
4,106,129,70,132,154,3,"[0, 0, 10, 15, 0]","[14, 11, 10, 0, 12]","[10, 12, 0, 0, 13]","[0, 10, 12, 0, 10]","[10, 0, 0, 0, 11]","[12, 11, 12, 0, 10]","[11, 10, 12, 0, 10]","[10, 0, 10, 0, 0]","[10, 0, 10, 11, 11]","[11, 10, 0, 10, 10]","[0, 10, 10, 0, 0]","[11, 10, 0, 0, 10]","[10, 0, 11, 11, 10]","[0, 11, 0, 0, 11]","[11, 0, 0, 11, 0]","[0, 0, 11, 0, 10]","[0, 11, 10, 0, 12]","[12, 0, 11, 0, 0]","[0, 0, 0, 12, 14]"
2,119,156,125,104,145,4,"[0, 0, 11, 11, 0]","[11, 12, 0, 13, 11]","[0, 11, 11, 13, 11]","[0, 0, 11, 12, 10]","[10, 11, 0, 0, 12]","[11, 10, 0, 0, 0]","[10, 0, 12, 11, 10]","[0, 0, 10, 10, 10]","[0, 10, 10, 10, 11]","[10, 10, 11, 0, 10]","[10, 10, 10, 0, 12]","[0, 10, 10, 12, 11]","[11, 10, 0, 0, 0]","[10, 0, 12, 0, 0]","[10, 0, 0, 0, 12]","[0, 0, 13, 11, 0]","[0, 13, 12, 10, 12]","[11, 0, 11, 0, 13]","[0, 12, 12, 12, 0]"
2,161,175,119,134,98,0,"[14, 12, 13, 0, 0]","[11, 13, 11, 12, 0]","[11, 15, 10, 12, 0]","[11, 12, 12, 0, 11]","[12, 11, 10, 0, 12]","[0, 0, 0, 10, 11]","[12, 10, 10, 0, 11]","[0, 10, 12, 10, 11]","[10, 11, 11, 0, 10]","[10, 0, 10, 10, 11]","[0, 11, 10, 10, 11]","[10, 10, 11, 10, 0]","[10, 0, 10, 10, 0]","[10, 10, 0, 12, 0]","[0, 10, 10, 0, 0]","[13, 11, 13, 0, 10]","[0, 0, 0, 12, 0]","[0, 15, 11, 11, 0]","[0, 0, 11, 0, 0]"
0,140,137,128,178,156,1,"[12, 14, 0, 11, 11]","[12, 11, 12, 0, 13]","[14, 10, 10, 0, 12]","[0, 12, 0, 12, 0]","[10, 10, 11, 0, 12]","[10, 11, 10, 0, 11]","[0, 0, 0, 0, 11]","[10, 0, 10, 10, 11]","[10, 10, 10, 0, 11]","[11, 10, 0, 10, 10]","[11, 0, 11, 10, 10]","[11, 10, 0, 11, 10]","[0, 0, 10, 12, 11]","[10, 0, 13, 10, 11]","[12, 10, 0, 11, 0]","[10, 0, 0, 10, 0]","[10, 11, 11, 0, 12]","[13, 10, 14, 10, 0]","[12, 11, 15, 11, 0]"
4,117,138,128,118,154,2,"[0, 0, 12, 12, 0]","[13, 0, 11, 0, 12]","[10, 0, 0, 0, 0]","[0, 11, 13, 12, 10]","[0, 11, 12, 10, 12]","[10, 11, 0, 10, 13]","[11, 11, 10, 0, 11]","[10, 0, 10, 0, 0]","[0, 0, 0, 10, 10]","[11, 10, 10, 10, 0]","[10, 0, 0, 11, 10]","[0, 10, 13, 10, 10]","[10, 11, 0, 0, 10]","[0, 12, 11, 10, 10]","[0, 10, 11, 11, 11]","[0, 10, 0, 0, 11]","[12, 0, 11, 10, 0]","[11, 10, 14, 0, 12]","[10, 0, 0, 12, 12]"
1,153,145,119,142,116,3,"[10, 14, 0, 11, 13]","[13, 13, 11, 0, 0]","[10, 0, 10, 11, 0]","[11, 12, 0, 11, 11]","[0, 0, 10, 0, 10]","[0, 13, 10, 0, 10]","[0, 0, 11, 10, 0]","[10, 0, 10, 11, 10]","[10, 10, 10, 10, 0]","[10, 11, 0, 10, 10]","[11, 10, 11, 0, 10]","[11, 10, 10, 0, 0]","[0, 11, 10, 10, 0]","[0, 10, 0, 13, 0]","[11, 0, 10, 0, 11]","[0, 11, 10, 0, 11]","[13, 0, 11, 10, 10]","[10, 14, 11, 12, 0]","[12, 14, 0, 0, 10]"
4,153,129,122,153,167,4,"[13, 12, 10, 0, 12]","[10, 11, 0, 15, 10]","[0, 11, 0, 11, 0]","[0, 11, 11, 11, 12]","[12, 0, 11, 10, 11]","[12, 0, 10, 10, 11]","[10, 10, 0, 0, 10]","[10, 10, 10, 0, 0]","[10, 10, 0, 11, 11]","[10, 10, 10, 0, 10]","[10, 11, 11, 10, 0]","[0, 0, 10, 10, 10]","[0, 0, 10, 0, 12]","[0, 10, 0, 0, 10]","[11, 11, 0, 10, 13]","[11, 12, 11, 0, 10]","[11, 10, 12, 12, 0]","[10, 14, 0, 12, 12]","[13, 0, 13, 0, 13]"
1,166,131,143,139,122,0,"[0, 15, 10, 0, 0]","[10, 13, 10, 0, 12]","[0, 10, 0, 0, 13]","[0, 10, 11, 11, 11]","[11, 0, 0, 0, 10]","[13, 12, 10, 10, 0]","[10, 10, 0, 11, 0]","[11, 0, 10, 10, 11]","[10, 11, 10, 11, 0]","[11, 10, 10, 10, 0]","[0, 11, 11, 10, 10]","[10, 10, 0, 11, 11]","[10, 0, 0, 13, 10]","[12, 10, 11, 12, 0]","[10, 11, 12, 0, 10]","[10, 0, 0, 10, 0]","[11, 10, 11, 13, 0]","[0, 12, 0, 0, 12]","[0, 11, 15, 11, 12]"
4,108,142,128,137,167,1,"[0, 0, 0, 11, 12]","[0, 11, 0, 0, 0]","[0, 0, 0, 10, 13]","[10, 0, 11, 11, 10]","[10, 11, 0, 0, 0]","[0, 11, 11, 10, 13]","[11, 10, 0, 11, 10]","[11, 11, 11, 0, 10]","[10, 10, 10, 0, 0]","[10, 0, 10, 10, 10]","[10, 0, 10, 10, 11]","[10, 11, 10, 0, 11]","[12, 12, 0, 10, 10]","[11, 0, 11, 10, 11]","[0, 0, 10, 10, 12]","[10, 10, 12, 10, 0]","[12, 11, 10, 0, 12]","[0, 0, 12, 0, 11]","[10, 0, 14, 15, 11]"
3,128,134,157,157,100,2,"[0, 0, 12, 11, 0]","[10, 0, 11, 0, 0]","[11, 12, 0, 11, 0]","[0, 11, 13, 13, 10]","[10, 11, 12, 0, 11]","[11, 10, 0, 10, 12]","[10, 0, 0, 0, 0]","[10, 0, 10, 10, 0]","[0, 11, 10, 10, 10]","[10, 10, 0, 10, 10]","[10, 10, 10, 10, 0]","[11, 10, 0, 10, 0]","[10, 12, 10, 0, 11]","[11, 0, 10, 11, 11]","[11, 10, 11, 12, 0]","[0, 11, 14, 10, 0]","[11, 10, 0, 0, 0]","[10, 0, 0, 15, 11]","[11, 0, 11, 14, 14]"
0,133,159,137,178,169,3,"[12, 11, 0, 0, 12]","[10, 0, 12, 11, 12]","[10, 13, 10, 0, 11]","[12, 11, 0, 11, 13]","[10, 0, 10, 15, 10]","[10, 0, 10, 13, 11]","[10, 0, 10, 10, 11]","[0, 11, 10, 11, 10]","[0, 0, 10, 0, 11]","[10, 10, 10, 0, 10]","[10, 0, 11, 11, 10]","[0, 10, 0, 10, 10]","[11, 10, 10, 12, 0]","[11, 12, 11, 10, 0]","[12, 10, 10, 12, 0]","[11, 13, 10, 0, 13]","[11, 11, 13, 0, 12]","[14, 0, 0, 11, 0]","[14, 11, 12, 0, 13]"
4,149,158,125,134,166,4,"[13, 12, 11, 0, 12]","[11, 11, 12, 0, 14]","[12, 0, 12, 11, 13]","[0, 12, 12, 10, 12]","[10, 0, 12, 10, 12]","[11, 10, 0, 11, 13]","[0, 0, 10, 0, 10]","[10, 0, 11, 10, 11]","[0, 10, 10, 10, 10]","[10, 10, 10, 0, 11]","[10, 10, 11, 10, 0]","[0, 10, 0, 10, 0]","[12, 11, 11, 0, 10]","[12, 0, 11, 10, 11]","[12, 10, 0, 10, 0]","[0, 11, 0, 0, 0]","[0, 11, 0, 11, 0]","[11, 10, 12, 0, 14]","[0, 11, 13, 12, 13]"
2,108,157,142,140,156,0,"[13, 0, 13, 11, 11]","[12, 0, 12, 0, 12]","[10, 11, 13, 0, 12]","[12, 11, 10, 11, 0]","[0, 0, 0, 0, 14]","[0, 11, 11, 12, 10]","[12, 10, 0, 10, 0]","[0, 0, 11, 10, 10]","[11, 10, 10, 0, 10]","[10, 0, 10, 10, 10]","[10, 10, 0, 10, 10]","[0, 0, 10, 11, 0]","[11, 11, 0, 10, 10]","[0, 0, 0, 10, 0]","[0, 10, 11, 0, 0]","[13, 0, 11, 13, 10]","[13, 11, 12, 0, 12]","[13, 0, 10, 12, 13]","[0, 13, 13, 12, 12]"
3,111,98,178,144,134,1,"[14, 0, 12, 12, 0]","[0, 15, 10, 13, 11]","[0, 0, 0, 12, 10]","[11, 10, 0, 0, 0]","[12, 10, 0, 11, 12]","[0, 11, 0, 11, 11]","[0, 12, 0, 10, 0]","[11, 11, 10, 0, 10]","[11, 10, 0, 10, 11]","[10, 0, 10, 10, 11]","[12, 0, 10, 10, 10]","[0, 10, 0, 10, 0]","[10, 10, 0, 12, 11]","[11, 12, 10, 0, 11]","[10, 0, 13, 11, 0]","[11, 0, 0, 10, 0]","[10, 0, 13, 13, 12]","[0, 0, 10, 11, 0]","[11, 0, 0, 12, 14]"
