winner,score1,score2,score3,score0,score4,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1,163,89,136,141,122,1,"[10, 14, 12, 0, 12]","[13, 10, 0, 0, 0]","[11, 0, 0, 0, 12]","[11, 12, 0, 12, 10]","[13, 0, 11, 0, 0]","[10, 11, 11, 11, 0]","[0, 0, 0, 0, 0]","[10, 12, 0, 10, 10]","[10, 11, 0, 10, 11]","[0, 10, 10, 10, 10]","[10, 0, 11, 10, 11]","[10, 12, 0, 10, 11]","[0, 10, 11, 10, 0]","[10, 13, 0, 11, 11]","[0, 11, 13, 10, 0]","[10, 13, 0, 11, 12]","[0, 13, 10, 11, 12]","[0, 11, 0, 0, 0]","[13, 0, 0, 10, 0]"
2,113,189,156,121,142,2,"[10, 0, 12, 12, 13]","[13, 13, 12, 11, 0]","[0, 10, 0, 14, 11]","[10, 0, 11, 0, 0]","[0, 13, 11, 10, 12]","[11, 13, 11, 0, 10]","[0, 0, 11, 11, 10]","[11, 11, 10, 0, 10]","[0, 10, 10, 11, 11]","[10, 10, 10, 10, 0]","[10, 0, 11, 0, 0]","[0, 11, 10, 10, 11]","[10, 11, 0, 11, 10]","[0, 11, 12, 11, 11]","[0, 0, 11, 11, 0]","[13, 0, 10, 10, 13]","[0, 0, 11, 11, 0]","[13, 0, 10, 13, 10]","[10, 0, 16, 0, 10]"
4,120,125,90,136,163,3,"[11, 0, 11, 16, 0]","[0, 0, 11, 10, 10]","[13, 11, 12, 0, 11]","[13, 12, 0, 0, 10]","[0, 0, 0, 10, 0]","[11, 0, 0, 10, 10]","[10, 11, 10, 0, 13]","[11, 10, 10, 0, 11]","[0, 0, 10, 0, 10]","[0, 10, 10, 10, 10]","[11, 11, 10, 0, 10]","[0, 10, 11, 11, 11]","[10, 0, 10, 12, 10]","[11, 0, 10, 0, 0]","[0, 11, 0, 0, 12]","[13, 10, 10, 0, 12]","[0, 10, 0, 0, 12]","[10, 14, 0, 11, 11]","[12, 0, 0, 0, 0]"
3,114,162,175,150,155,4,"[12, 0, 13, 12, 11]","[0, 13, 11, 12, 12]","[10, 14, 0, 13, 0]","[13, 0, 10, 13, 10]","[12, 10, 0, 13, 11]","[10, 0, 10, 13, 11]","[0, 11, 11, 0, 0]","[10, 0, 11, 11, 11]","[10, 10, 10, 10, 0]","[10, 10, 10, 10, 0]","[10, 11, 10, 11, 0]","[0, 11, 10, 10, 12]","[0, 13, 10, 11, 10]","[10, 0, 11, 12, 12]","[11, 11, 0, 0, 11]","[10, 0, 11, 0, 13]","[0, 0, 0, 12, 10]","[11, 0, 12, 12, 11]","[11, 0, 12, 0, 10]"
2,136,156,108,126,147,0,"[0, 15, 10, 11, 0]","[0, 11, 0, 0, 10]","[11, 12, 0, 12, 13]","[0, 11, 14, 11, 10]","[11, 0, 11, 11, 0]","[12, 10, 11, 0, 10]","[10, 0, 11, 10, 0]","[10, 10, 13, 0, 10]","[10, 0, 0, 0, 10]","[10, 10, 10, 0, 10]","[10, 0, 10, 10, 10]","[0, 0, 10, 0, 10]","[0, 11, 11, 11, 10]","[0, 10, 12, 10, 0]","[10, 11, 12, 0, 11]","[11, 0, 10, 11, 11]","[0, 11, 0, 0, 10]","[10, 0, 11, 0, 0]","[11, 14, 0, 11, 12]"
4,119,131,162,136,163,1,"[15, 0, 11, 0, 0]","[10, 13, 0, 13, 11]","[0, 11, 0, 11, 13]","[12, 10, 0, 12, 12]","[12, 0, 0, 10, 0]","[0, 0, 0, 10, 0]","[0, 12, 11, 11, 10]","[11, 10, 10, 0, 0]","[10, 0, 11, 10, 11]","[0, 10, 10, 11, 10]","[10, 0, 11, 11, 10]","[0, 10, 10, 0, 11]","[10, 10, 0, 0, 11]","[0, 11, 11, 12, 11]","[12, 0, 11, 11, 10]","[12, 10, 12, 0, 12]","[10, 0, 0, 15, 10]","[12, 0, 11, 13, 10]","[0, 12, 12, 12, 11]"
1,165,126,120,156,98,2,"[11, 11, 0, 0, 12]","[11, 12, 0, 10, 12]","[11, 11, 12, 0, 0]","[0, 12, 0, 12, 0]","[12, 10, 10, 12, 0]","[0, 0, 0, 0, 10]","[0, 10, 11, 0, 0]","[0, 0, 10, 10, 0]","[11, 10, 0, 10, 11]","[11, 0, 10, 10, 10]","[10, 10, 0, 0, 0]","[11, 10, 12, 0, 10]","[10, 10, 0, 12, 0]","[0, 12, 0, 0, 10]","[13, 12, 10, 10, 0]","[11, 13, 10, 11, 0]","[10, 0, 14, 12, 12]","[13, 10, 13, 11, 0]","[11, 12, 14, 0, 11]"
1,141,136,132,126,131,3,"[0, 0, 10, 0, 0]","[11, 13, 14, 10, 0]","[10, 0, 10, 13, 0]","[10, 10, 0, 11, 13]","[10, 10, 10, 14, 0]","[10, 0, 12, 10, 11]","[11, 10, 12, 10, 0]","[0, 10, 0, 0, 10]","[0, 10, 0, 10, 10]","[10, 10, 0, 10, 11]","[10, 11, 11, 0, 10]","[10, 11, 0, 0, 10]","[0, 0, 11, 10, 10]","[10, 11, 13, 0, 10]","[0, 0, 10, 10, 0]","[0, 11, 0, 0, 0]","[12, 0, 10, 0, 14]","[0, 13, 13, 11, 11]","[12, 11, 0, 13, 11]"
4,138,145,112,151,164,4,"[11, 12, 14, 13, 0]","[10, 11, 0, 11, 11]","[10, 14, 0, 11, 13]","[0, 12, 13, 0, 10]","[12, 0, 13, 11, 10]","[11, 12, 10, 11, 0]","[0, 0, 0, 10, 10]","[0, 0, 10, 0, 11]","[11, 10, 10, 11, 0]","[10, 10, 10, 0, 10]","[10, 0, 10, 10, 10]","[10, 10, 11, 0, 10]","[11, 0, 0, 0, 10]","[0, 10, 12, 10, 12]","[0, 0, 0, 0, 10]","[11, 11, 11, 0, 12]","[12, 11, 10, 14, 0]","[10, 0, 0, 0, 14]","[12, 15, 11, 0, 11]"
4,132,168,141,108,171,0,"[12, 0, 13, 11, 12]","[0, 15, 12, 11, 11]","[11, 13, 0, 12, 12]","[11, 11, 14, 0, 11]","[0, 0, 0, 11, 11]","[0, 10, 11, 11, 12]","[0, 10, 0, 10, 0]","[10, 0, 10, 10, 11]","[10, 10, 11, 10, 0]","[10, 10, 11, 10, 0]","[11, 10, 0, 11, 10]","[10, 0, 11, 11, 11]","[12, 10, 11, 0, 10]","[0, 10, 11, 0, 11]","[0, 10, 11, 0, 0]","[0, 0, 11, 0, 12]","[0, 13, 11, 11, 12]","[11, 0, 10, 12, 13]","[0, 0, 10, 0, 12]"
