winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
2,124,136,134,114,2,"[12, 14, 14, 0]","[0, 14, 14, 11]","[0, 12, 12, 12]","[14, 0, 0, 0]","[0, 0, 0, 0]","[0, 11, 12, 11]","[12, 10, 11, 0]","[10, 10, 0, 11]","[0, 11, 10, 10]","[10, 10, 11, 0]","[0, 10, 10, 12]","[11, 0, 10, 11]","[0, 10, 0, 0]","[10, 0, 11, 13]","[0, 0, 0, 11]","[11, 12, 0, 12]","[11, 0, 11, 0]","[0, 0, 0, 10]","[13, 0, 10, 10]"
3,134,139,172,100,3,"[13, 0, 0, 14]","[0, 11, 0, 12]","[13, 0, 12, 11]","[10, 0, 0, 15]","[11, 11, 13, 0]","[10, 0, 11, 0]","[0, 0, 0, 0]","[0, 10, 10, 10]","[10, 11, 11, 0]","[0, 10, 10, 10]","[0, 0, 0, 11]","[11, 0, 10, 11]","[0, 11, 11, 11]","[11, 10, 0, 14]","[0, 11, 14, 10]","[11, 13, 0, 11]","[0, 10, 12, 10]","[0, 14, 12, 11]","[0, 12, 13, 11]"
3,132,124,167,113,0,"[14, 12, 10, 0]","[0, 11, 11, 12]","[0, 0, 0, 11]","[0, 12, 11, 11]","[11, 12, 0, 10]","[10, 10, 13, 0]","[10, 0, 0, 12]","[11, 10, 10, 0]","[0, 10, 11, 10]","[10, 10, 0, 10]","[0, 0, 0, 10]","[10, 0, 0, 0]","[0, 10, 12, 10]","[10, 0, 10, 12]","[0, 0, 0, 11]","[14, 0, 12, 11]","[0, 13, 11, 12]","[0, 12, 13, 11]","[13, 10, 0, 14]"
1,163,101,162,92,1,"[0, 11, 0, 12]","[10, 12, 0, 14]","[10, 12, 0, 0]","[10, 10, 0, 13]","[10, 10, 0, 13]","[0, 11, 12, 11]","[10, 0, 13, 10]","[0, 10, 11, 10]","[10, 10, 0, 10]","[10, 10, 10, 0]","[10, 0, 0, 10]","[0, 11, 10, 11]","[0, 0, 10, 0]","[0, 11, 0, 12]","[0, 12, 10, 14]","[12, 12, 12, 0]","[0, 10, 13, 11]","[0, 11, 0, 0]","[0, 0, 0, 11]"
3,133,90,170,98,2,"[12, 0, 0, 0]","[0, 12, 15, 12]","[0, 0, 11, 11]","[12, 13, 0, 11]","[11, 0, 12, 11]","[10, 11, 0, 11]","[0, 11, 0, 0]","[10, 0, 10, 13]","[11, 10, 0, 11]","[0, 10, 10, 10]","[10, 0, 10, 10]","[10, 10, 0, 11]","[0, 10, 10, 12]","[0, 10, 0, 0]","[0, 11, 0, 10]","[0, 0, 12, 12]","[0, 0, 0, 13]","[0, 12, 0, 0]","[12, 13, 0, 12]"
1,158,115,122,132,3,"[0, 14, 11, 0]","[10, 0, 0, 0]","[14, 12, 0, 11]","[10, 11, 0, 13]","[0, 12, 10, 11]","[10, 13, 10, 0]","[12, 0, 10, 10]","[12, 10, 10, 0]","[10, 0, 10, 12]","[0, 10, 10, 10]","[10, 0, 0, 0]","[10, 0, 0, 0]","[12, 0, 10, 10]","[10, 12, 0, 10]","[0, 11, 12, 12]","[0, 10, 0, 0]","[0, 14, 10, 0]","[12, 15, 0, 10]","[0, 14, 12, 13]"
3,144,144,157,99,0,"[12, 15, 11, 0]","[10, 14, 11, 0]","[0, 14, 11, 13]","[11, 0, 14, 11]","[0, 0, 12, 10]","[12, 11, 0, 0]","[0, 12, 10, 10]","[0, 0, 10, 0]","[11, 11, 0, 10]","[0, 10, 10, 10]","[10, 11, 0, 10]","[0, 10, 10, 13]","[0, 0, 10, 10]","[0, 0, 0, 10]","[12, 11, 0, 11]","[10, 0, 12, 14]","[11, 13, 0, 11]","[0, 0, 11, 14]","[0, 12, 12, 0]"
2,124,142,101,137,1,"[10, 12, 12, 0]","[0, 0, 10, 12]","[0, 13, 11, 0]","[0, 13, 0, 0]","[0, 0, 0, 11]","[0, 10, 10, 14]","[11, 12, 11, 0]","[0, 11, 10, 0]","[10, 0, 11, 10]","[10, 10, 10, 0]","[10, 0, 11, 10]","[10, 0, 10, 11]","[12, 11, 10, 0]","[10, 0, 0, 0]","[13, 11, 0, 10]","[14, 11, 12, 0]","[14, 10, 0, 11]","[0, 0, 14, 0]","[13, 0, 0, 12]"
3,150,151,157,112,2,"[12, 0, 13, 13]","[0, 12, 11, 12]","[0, 0, 0, 10]","[0, 11, 0, 14]","[0, 12, 11, 11]","[0, 11, 12, 0]","[12, 12, 10, 0]","[11, 11, 0, 10]","[10, 12, 0, 10]","[10, 10, 0, 10]","[0, 0, 0, 10]","[11, 12, 10, 0]","[12, 0, 11, 10]","[13, 11, 10, 0]","[0, 11, 12, 12]","[11, 0, 12, 12]","[10, 0, 14, 13]","[0, 13, 13, 10]","[0, 12, 12, 0]"
3,133,82,146,107,3,"[11, 0, 0, 0]","[0, 13, 12, 10]","[13, 0, 13, 0]","[11, 12, 0, 12]","[10, 13, 0, 10]","[10, 0, 0, 11]","[0, 10, 0, 0]","[0, 10, 0, 0]","[10, 11, 0, 11]","[0, 10, 11, 10]","[10, 10, 0, 10]","[10, 11, 10, 0]","[0, 10, 0, 13]","[0, 0, 0, 11]","[11, 0, 0, 13]","[0, 0, 11, 12]","[0, 11, 12, 10]","[0, 0, 0, 13]","[11, 12, 13, 0]"
