winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
3,120,113,125,113,0,"[0, 11, 11, 0]","[11, 0, 0, 11]","[11, 0, 12, 14]","[11, 0, 14, 11]","[0, 0, 10, 0]","[0, 10, 0, 11]","[0, 0, 12, 0]","[0, 11, 0, 11]","[0, 10, 11, 11]","[10, 0, 10, 10]","[10, 10, 10, 0]","[11, 11, 10, 0]","[0, 11, 0, 0]","[0, 13, 0, 0]","[13, 11, 0, 11]","[0, 0, 13, 12]","[11, 11, 0, 0]","[11, 0, 0, 10]","[14, 11, 0, 13]"
3,126,112,134,118,1,"[13, 0, 13, 11]","[0, 11, 0, 14]","[14, 10, 11, 0]","[0, 0, 12, 11]","[0, 10, 13, 10]","[12, 10, 0, 11]","[10, 11, 0, 11]","[0, 0, 0, 11]","[11, 11, 0, 10]","[10, 10, 10, 0]","[11, 0, 11, 10]","[0, 12, 10, 10]","[13, 10, 0, 0]","[12, 0, 0, 11]","[0, 10, 11, 14]","[0, 11, 11, 0]","[0, 10, 0, 0]","[12, 0, 0, 0]","[0, 0, 10, 0]"
1,139,135,120,93,2,"[12, 11, 16, 0]","[13, 12, 11, 0]","[0, 13, 11, 12]","[12, 0, 12, 0]","[0, 0, 0, 10]","[0, 12, 12, 10]","[0, 13, 10, 10]","[0, 10, 0, 10]","[0, 11, 10, 11]","[11, 10, 0, 10]","[0, 10, 11, 0]","[10, 0, 10, 0]","[0, 10, 10, 0]","[11, 0, 11, 11]","[0, 0, 0, 14]","[0, 0, 0, 10]","[12, 14, 0, 0]","[12, 0, 0, 0]","[0, 13, 11, 12]"
2,101,167,106,126,3,"[13, 0, 10, 0]","[13, 11, 12, 0]","[0, 0, 0, 0]","[11, 11, 0, 13]","[0, 0, 0, 10]","[10, 0, 13, 11]","[0, 0, 10, 0]","[0, 11, 10, 10]","[10, 10, 11, 0]","[0, 10, 11, 10]","[11, 0, 10, 10]","[10, 0, 10, 10]","[11, 10, 11, 0]","[0, 0, 13, 0]","[12, 11, 12, 0]","[0, 14, 11, 12]","[12, 0, 0, 10]","[0, 0, 11, 10]","[13, 13, 12, 0]"
0,106,110,112,137,0,"[0, 0, 13, 0]","[11, 0, 0, 0]","[12, 14, 0, 11]","[12, 0, 12, 10]","[11, 12, 12, 0]","[0, 0, 0, 11]","[10, 0, 10, 0]","[0, 10, 0, 0]","[0, 10, 11, 11]","[11, 0, 10, 10]","[11, 0, 0, 0]","[0, 11, 10, 11]","[0, 0, 10, 10]","[11, 11, 0, 0]","[12, 11, 0, 10]","[11, 13, 0, 13]","[12, 0, 10, 15]","[13, 0, 12, 0]","[0, 14, 0, 0]"
2,111,156,97,132,1,"[0, 0, 0, 13]","[12, 0, 14, 0]","[11, 0, 0, 0]","[0, 11, 12, 12]","[11, 12, 13, 0]","[0, 10, 0, 0]","[0, 0, 10, 0]","[0, 10, 0, 11]","[11, 0, 10, 11]","[10, 10, 10, 0]","[10, 0, 10, 0]","[11, 10, 10, 0]","[10, 0, 11, 11]","[0, 12, 11, 12]","[11, 0, 10, 14]","[13, 12, 10, 0]","[11, 11, 13, 0]","[11, 0, 12, 13]","[0, 13, 0, 0]"
1,146,134,107,100,2,"[0, 0, 11, 0]","[10, 0, 0, 0]","[0, 11, 13, 11]","[12, 11, 13, 0]","[11, 0, 0, 0]","[0, 12, 10, 0]","[14, 10, 10, 0]","[0, 0, 10, 0]","[10, 11, 0, 11]","[0, 10, 10, 10]","[0, 11, 10, 11]","[10, 11, 0, 10]","[0, 11, 12, 0]","[10, 11, 13, 0]","[0, 12, 0, 0]","[0, 0, 0, 11]","[11, 14, 0, 11]","[0, 11, 11, 15]","[12, 0, 11, 17]"
3,106,124,152,129,3,"[13, 0, 12, 15]","[14, 12, 0, 0]","[11, 0, 12, 12]","[13, 0, 0, 12]","[12, 0, 0, 0]","[11, 10, 0, 11]","[10, 0, 0, 11]","[0, 0, 11, 0]","[0, 11, 10, 10]","[0, 10, 10, 10]","[10, 10, 0, 10]","[0, 10, 0, 11]","[10, 11, 12, 0]","[12, 0, 10, 12]","[0, 11, 12, 11]","[0, 0, 13, 0]","[13, 0, 10, 12]","[0, 11, 12, 0]","[0, 10, 0, 15]"
2,120,126,111,110,0,"[0, 12, 0, 15]","[12, 0, 0, 13]","[0, 0, 10, 12]","[12, 11, 11, 0]","[10, 0, 12, 0]","[0, 10, 11, 11]","[0, 0, 0, 0]","[10, 12, 11, 0]","[0, 10, 0, 11]","[10, 0, 11, 10]","[11, 10, 10, 0]","[10, 11, 12, 0]","[0, 11, 0, 0]","[0, 10, 12, 11]","[0, 0, 14, 0]","[12, 10, 0, 14]","[0, 0, 0, 0]","[12, 13, 12, 0]","[11, 0, 0, 14]"
2,123,145,130,69,1,"[0, 0, 12, 12]","[0, 15, 11, 11]","[12, 0, 0, 10]","[0, 0, 0, 0]","[0, 11, 0, 0]","[0, 12, 0, 11]","[0, 12, 0, 10]","[0, 0, 10, 10]","[0, 11, 10, 11]","[10, 11, 10, 0]","[0, 10, 10, 10]","[12, 10, 11, 0]","[0, 10, 10, 11]","[10, 0, 12, 11]","[0, 10, 12, 0]","[0, 0, 12, 0]","[13, 0, 10, 12]","[12, 0, 15, 11]","[0, 11, 0, 0]"
1,164,112,129,115,2,"[13, 0, 0, 0]","[12, 11, 0, 0]","[11, 13, 0, 10]","[13, 11, 12, 0]","[0, 10, 10, 11]","[0, 11, 0, 10]","[0, 10, 10, 13]","[11, 10, 11, 0]","[0, 0, 12, 10]","[11, 10, 10, 0]","[10, 10, 0, 10]","[11, 10, 0, 11]","[0, 11, 12, 10]","[12, 11, 10, 0]","[0, 10, 0, 0]","[11, 0, 0, 11]","[0, 0, 12, 12]","[0, 12, 0, 11]","[0, 14, 13, 10]"
3,113,119,146,91,3,"[0, 12, 12, 16]","[12, 0, 0, 15]","[0, 0, 0, 13]","[12, 0, 12, 11]","[0, 11, 0, 11]","[0, 0, 10, 0]","[0, 0, 10, 0]","[0, 0, 11, 0]","[10, 11, 0, 0]","[0, 10, 10, 11]","[10, 0, 10, 11]","[0, 11, 0, 11]","[11, 11, 10, 0]","[12, 10, 0, 11]","[13, 12, 11, 0]","[11, 14, 0, 12]","[0, 11, 11, 13]","[0, 0, 12, 11]","[0, 0, 0, 0]"
2,125,146,95,128,0,"[12, 0, 13, 0]","[14, 10, 11, 0]","[12, 0, 11, 0]","[10, 14, 0, 11]","[0, 11, 11, 0]","[0, 0, 12, 0]","[0, 0, 0, 10]","[11, 10, 0, 10]","[10, 10, 11, 0]","[11, 0, 10, 10]","[10, 10, 10, 0]","[0, 0, 10, 0]","[0, 11, 0, 13]","[13, 0, 11, 10]","[11, 10, 12, 0]","[0, 12, 11, 10]","[14, 0, 13, 10]","[0, 11, 0, 0]","[0, 16, 0, 11]"
1,170,114,76,138,1,"[13, 12, 0, 12]","[13, 11, 13, 0]","[0, 12, 0, 0]","[13, 10, 13, 0]","[11, 12, 0, 12]","[11, 12, 0, 0]","[12, 0, 11, 10]","[0, 10, 0, 0]","[0, 10, 10, 11]","[0, 10, 10, 10]","[10, 10, 11, 0]","[10, 0, 10, 0]","[10, 0, 0, 0]","[11, 11, 11, 0]","[0, 11, 0, 10]","[0, 11, 0, 0]","[13, 0, 11, 0]","[0, 14, 14, 11]","[11, 14, 0, 0]"
0,111,128,117,137,2,"[0, 13, 13, 0]","[13, 11, 0, 0]","[0, 0, 0, 10]","[0, 11, 0, 12]","[10, 13, 0, 12]","[11, 10, 10, 0]","[0, 0, 0, 10]","[10, 0, 12, 10]","[0, 0, 12, 10]","[10, 10, 10, 0]","[12, 10, 10, 0]","[12, 0, 10, 11]","[10, 11, 10, 0]","[0, 0, 0, 10]","[12, 12, 0, 10]","[12, 10, 0, 12]","[0, 0, 15, 0]","[12, 0, 14, 0]","[13, 0, 12, 10]"
1,144,135,100,128,3,"[0, 12, 12, 0]","[12, 0, 11, 0]","[14, 14, 10, 0]","[0, 11, 0, 12]","[11, 10, 0, 0]","[13, 0, 11, 10]","[0, 11, 0, 0]","[12, 10, 0, 10]","[11, 10, 0, 10]","[10, 0, 10, 10]","[0, 0, 0, 11]","[10, 11, 11, 0]","[10, 0, 11, 11]","[14, 10, 11, 0]","[0, 11, 10, 0]","[11, 0, 13, 13]","[0, 11, 11, 13]","[0, 11, 0, 0]","[0, 12, 14, 0]"
2,110,169,146,148,0,"[11, 11, 0, 16]","[0, 0, 11, 12]","[0, 13, 10, 0]","[12, 11, 11, 0]","[12, 0, 12, 10]","[10, 12, 12, 0]","[11, 0, 13, 10]","[12, 10, 11, 0]","[0, 0, 10, 0]","[11, 0, 10, 10]","[10, 0, 12, 10]","[11, 10, 0, 10]","[10, 10, 10, 0]","[0, 10, 11, 11]","[0, 11, 0, 11]","[0, 12, 12, 12]","[13, 0, 0, 10]","[12, 0, 13, 11]","[13, 0, 11, 13]"
0,129,91,120,131,1,"[12, 12, 0, 13]","[11, 0, 0, 13]","[11, 11, 0, 0]","[0, 0, 12, 0]","[13, 11, 11, 0]","[0, 10, 10, 0]","[11, 10, 0, 0]","[10, 10, 12, 0]","[10, 0, 0, 10]","[10, 10, 10, 0]","[10, 10, 0, 10]","[0, 0, 0, 0]","[0, 0, 0, 0]","[10, 11, 0, 13]","[0, 11, 0, 11]","[0, 12, 0, 13]","[12, 0, 12, 12]","[11, 0, 12, 12]","[0, 11, 12, 13]"
0,120,150,116,163,2,"[15, 10, 0, 0]","[12, 14, 11, 0]","[12, 0, 10, 0]","[13, 11, 11, 0]","[0, 10, 13, 11]","[0, 12, 0, 10]","[0, 10, 0, 12]","[11, 0, 10, 11]","[10, 11, 10, 0]","[10, 11, 10, 0]","[10, 0, 10, 10]","[0, 0, 10, 10]","[10, 0, 13, 10]","[12, 0, 10, 11]","[14, 10, 10, 0]","[0, 0, 12, 13]","[12, 11, 10, 0]","[11, 10, 0, 18]","[11, 0, 0, 0]"
3,106,177,180,146,3,"[13, 13, 13, 0]","[12, 0, 12, 12]","[0, 0, 11, 11]","[0, 11, 0, 11]","[0, 12, 0, 14]","[0, 0, 11, 11]","[12, 0, 11, 11]","[10, 0, 10, 10]","[10, 11, 11, 0]","[10, 0, 10, 10]","[10, 0, 12, 10]","[0, 12, 11, 10]","[10, 0, 12, 10]","[11, 0, 13, 11]","[0, 11, 14, 11]","[12, 0, 13, 11]","[13, 11, 13, 0]","[11, 11, 0, 15]","[12, 14, 0, 12]"
1,149,133,77,140,0,"[13, 13, 11, 0]","[0, 10, 13, 11]","[10, 13, 0, 14]","[0, 0, 12, 0]","[14, 11, 10, 0]","[0, 11, 11, 0]","[0, 0, 0, 10]","[10, 11, 11, 0]","[10, 0, 10, 10]","[0, 10, 11, 10]","[11, 10, 11, 0]","[11, 11, 10, 0]","[0, 0, 12, 0]","[11, 0, 0, 0]","[14, 10, 11, 0]","[11, 0, 0, 0]","[0, 14, 0, 11]","[13, 11, 0, 0]","[12, 14, 0, 11]"
3,97,112,169,127,1,"[0, 0, 12, 0]","[0, 0, 0, 12]","[13, 13, 0, 11]","[0, 0, 12, 12]","[12, 0, 0, 0]","[0, 10, 0, 11]","[11, 0, 12, 10]","[0, 11, 10, 10]","[11, 0, 11, 10]","[10, 10, 0, 11]","[11, 0, 10, 10]","[12, 10, 0, 11]","[0, 0, 0, 10]","[11, 10, 0, 12]","[11, 11, 0, 12]","[0, 11, 10, 15]","[0, 0, 10, 0]","[12, 0, 12, 12]","[13, 11, 13, 0]"
1,158,110,113,81,2,"[0, 12, 0, 0]","[11, 0, 0, 0]","[11, 0, 0, 0]","[11, 12, 0, 0]","[0, 10, 12, 12]","[0, 12, 10, 11]","[0, 11, 10, 12]","[0, 0, 0, 10]","[0, 10, 0, 0]","[0, 10, 11, 10]","[10, 0, 0, 0]","[0, 10, 10, 12]","[0, 12, 11, 11]","[12, 0, 10, 11]","[0, 12, 13, 0]","[13, 11, 11, 0]","[13, 11, 0, 12]","[0, 12, 12, 12]","[0, 13, 0, 0]"
2,101,130,120,125,3,"[0, 11, 0, 0]","[0, 0, 11, 0]","[13, 0, 12, 12]","[14, 12, 0, 10]","[0, 11, 0, 0]","[12, 0, 13, 10]","[0, 0, 10, 0]","[10, 12, 0, 10]","[10, 10, 10, 0]","[10, 0, 10, 10]","[10, 10, 10, 0]","[10, 0, 10, 10]","[12, 0, 0, 0]","[0, 11, 10, 0]","[0, 0, 11, 11]","[0, 11, 0, 13]","[13, 0, 12, 11]","[0, 13, 11, 13]","[11, 0, 0, 10]"
1,138,103,129,103,0,"[0, 12, 0, 0]","[12, 10, 12, 0]","[0, 13, 0, 0]","[0, 0, 0, 10]","[0, 12, 11, 11]","[11, 0, 10, 10]","[0, 0, 0, 13]","[11, 0, 12, 10]","[0, 10, 11, 0]","[10, 10, 0, 10]","[10, 12, 0, 10]","[0, 0, 0, 10]","[13, 10, 0, 11]","[0, 11, 10, 0]","[11, 13, 0, 11]","[12, 0, 12, 11]","[13, 0, 0, 0]","[0, 14, 11, 0]","[0, 11, 14, 12]"
1,166,115,121,136,1,"[11, 0, 13, 12]","[10, 13, 0, 0]","[0, 0, 0, 11]","[12, 11, 0, 11]","[13, 11, 0, 0]","[13, 10, 0, 0]","[12, 10, 12, 0]","[0, 10, 0, 11]","[0, 10, 12, 10]","[0, 10, 10, 10]","[0, 11, 10, 10]","[11, 10, 10, 0]","[0, 11, 12, 11]","[10, 13, 0, 11]","[12, 11, 0, 11]","[11, 14, 0, 0]","[11, 11, 13, 0]","[0, 0, 12, 0]","[10, 0, 11, 13]"
