winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
3,169,101,182,113,3,"[12, 0, 0, 11]","[0, 0, 14, 11]","[0, 12, 12, 12]","[0, 11, 0, 14]","[12, 12, 0, 11]","[12, 11, 11, 0]","[10, 10, 10, 0]","[10, 10, 0, 11]","[0, 10, 11, 10]","[0, 10, 10, 10]","[0, 11, 10, 11]","[11, 11, 0, 10]","[0, 10, 0, 12]","[12, 12, 11, 0]","[0, 12, 12, 11]","[12, 11, 0, 12]","[0, 0, 0, 14]","[12, 0, 0, 10]","[10, 16, 0, 12]"
3,137,133,150,97,0,"[15, 11, 0, 0]","[0, 0, 0, 11]","[12, 12, 0, 12]","[12, 0, 12, 11]","[0, 0, 12, 10]","[11, 11, 11, 0]","[0, 11, 10, 11]","[0, 10, 10, 11]","[0, 11, 10, 11]","[10, 0, 11, 10]","[10, 0, 11, 11]","[0, 10, 12, 10]","[13, 0, 10, 0]","[0, 12, 0, 0]","[0, 11, 0, 11]","[0, 13, 11, 11]","[0, 0, 13, 10]","[14, 11, 0, 10]","[0, 14, 0, 0]"
1,176,114,110,104,1,"[13, 0, 11, 0]","[13, 14, 0, 10]","[0, 12, 0, 0]","[0, 11, 12, 14]","[0, 12, 0, 11]","[0, 10, 0, 0]","[0, 12, 11, 11]","[0, 10, 0, 0]","[10, 0, 10, 11]","[10, 11, 0, 10]","[10, 11, 11, 0]","[0, 12, 11, 10]","[0, 11, 0, 0]","[0, 11, 0, 0]","[14, 0, 10, 10]","[0, 0, 16, 11]","[11, 12, 0, 12]","[13, 13, 11, 0]","[10, 14, 11, 0]"
1,138,102,131,119,2,"[0, 0, 12, 0]","[0, 0, 0, 12]","[12, 0, 12, 0]","[11, 12, 0, 13]","[11, 0, 0, 10]","[11, 10, 10, 0]","[0, 0, 10, 10]","[0, 10, 10, 10]","[10, 11, 0, 10]","[10, 10, 11, 0]","[0, 0, 0, 10]","[10, 0, 13, 10]","[0, 12, 12, 10]","[11, 13, 0, 11]","[0, 14, 0, 10]","[11, 11, 12, 0]","[0, 12, 0, 0]","[10, 12, 0, 0]","[12, 11, 0, 15]"
2,138,155,124,118,3,"[0, 10, 0, 0]","[0, 0, 12, 13]","[0, 11, 12, 11]","[0, 0, 0, 11]","[10, 12, 11, 0]","[0, 10, 12, 11]","[10, 0, 11, 12]","[0, 10, 10, 11]","[11, 10, 10, 0]","[10, 0, 10, 10]","[0, 10, 10, 11]","[0, 10, 11, 10]","[11, 10, 11, 0]","[11, 12, 11, 0]","[0, 10, 12, 0]","[14, 10, 0, 12]","[12, 0, 0, 0]","[14, 13, 0, 12]","[15, 0, 12, 0]"
2,112,155,114,110,0,"[13, 13, 0, 13]","[0, 12, 11, 12]","[13, 0, 0, 10]","[11, 0, 13, 0]","[0, 0, 12, 0]","[10, 11, 11, 0]","[11, 0, 12, 11]","[0, 11, 11, 10]","[11, 10, 10, 0]","[10, 11, 10, 0]","[0, 10, 10, 10]","[10, 0, 12, 10]","[0, 10, 10, 14]","[10, 0, 0, 0]","[0, 0, 11, 13]","[0, 0, 11, 11]","[0, 10, 0, 0]","[0, 0, 0, 0]","[11, 14, 11, 0]"
0,131,116,140,141,1,"[0, 11, 11, 15]","[14, 0, 0, 0]","[11, 0, 14, 12]","[12, 0, 12, 12]","[0, 11, 11, 0]","[0, 11, 11, 12]","[13, 10, 11, 0]","[0, 11, 0, 11]","[10, 10, 0, 11]","[10, 11, 0, 10]","[0, 10, 0, 0]","[0, 10, 0, 10]","[11, 0, 10, 10]","[12, 11, 0, 0]","[12, 11, 12, 0]","[0, 0, 12, 0]","[14, 0, 0, 11]","[12, 14, 0, 13]","[10, 0, 12, 13]"
1,144,92,143,124,2,"[0, 0, 13, 0]","[12, 11, 0, 15]","[13, 0, 0, 11]","[0, 0, 11, 11]","[11, 12, 0, 11]","[12, 10, 10, 0]","[0, 11, 0, 10]","[10, 10, 0, 10]","[0, 10, 12, 0]","[10, 11, 0, 10]","[10, 0, 11, 10]","[10, 13, 10, 0]","[12, 10, 0, 10]","[0, 11, 13, 10]","[0, 0, 0, 10]","[0, 11, 0, 0]","[0, 0, 0, 12]","[13, 11, 12, 0]","[11, 13, 0, 13]"
3,99,142,147,135,3,"[13, 0, 12, 12]","[0, 12, 12, 14]","[12, 13, 0, 10]","[0, 11, 0, 13]","[11, 0, 10, 0]","[11, 0, 13, 11]","[11, 0, 11, 11]","[11, 0, 10, 0]","[10, 0, 10, 0]","[10, 0, 10, 10]","[0, 0, 10, 0]","[11, 0, 0, 10]","[0, 0, 10, 12]","[11, 0, 11, 11]","[11, 13, 0, 10]","[0, 10, 12, 13]","[0, 11, 11, 0]","[0, 13, 0, 0]","[13, 16, 0, 10]"
1,146,92,102,108,0,"[0, 13, 0, 0]","[0, 11, 11, 14]","[0, 12, 14, 0]","[0, 14, 0, 0]","[0, 11, 0, 14]","[11, 12, 10, 0]","[12, 12, 0, 10]","[11, 10, 0, 10]","[0, 0, 0, 0]","[10, 0, 11, 10]","[10, 0, 10, 0]","[10, 10, 12, 0]","[10, 10, 0, 10]","[13, 11, 0, 10]","[0, 10, 0, 0]","[10, 0, 11, 14]","[11, 0, 13, 0]","[0, 10, 0, 0]","[0, 0, 0, 10]"
2,108,204,156,94,1,"[0, 0, 11, 0]","[12, 0, 13, 12]","[0, 11, 11, 11]","[0, 13, 12, 0]","[13, 11, 11, 0]","[12, 0, 10, 0]","[12, 0, 11, 11]","[0, 10, 11, 11]","[0, 10, 10, 10]","[10, 10, 0, 11]","[0, 10, 10, 10]","[0, 0, 11, 10]","[11, 0, 10, 12]","[0, 11, 12, 11]","[11, 0, 11, 12]","[0, 10, 14, 11]","[0, 0, 11, 0]","[0, 12, 11, 12]","[13, 0, 14, 12]"
3,79,93,169,145,2,"[11, 0, 0, 0]","[0, 14, 12, 11]","[0, 0, 12, 12]","[13, 13, 0, 11]","[10, 0, 14, 12]","[0, 0, 10, 13]","[0, 10, 0, 11]","[10, 0, 10, 0]","[10, 10, 0, 11]","[11, 10, 0, 10]","[11, 10, 0, 10]","[10, 0, 10, 11]","[10, 0, 13, 10]","[11, 12, 0, 10]","[0, 0, 0, 10]","[0, 0, 12, 0]","[11, 0, 0, 13]","[13, 0, 0, 14]","[14, 0, 0, 0]"
2,131,153,120,128,3,"[13, 0, 12, 13]","[11, 0, 11, 16]","[11, 0, 0, 11]","[12, 11, 10, 0]","[0, 10, 0, 13]","[12, 10, 0, 0]","[11, 13, 10, 0]","[10, 10, 10, 0]","[0, 0, 10, 0]","[0, 11, 10, 10]","[11, 0, 11, 10]","[0, 10, 10, 10]","[10, 12, 10, 0]","[0, 11, 13, 0]","[0, 0, 0, 0]","[13, 11, 12, 0]","[0, 0, 12, 11]","[0, 10, 12, 14]","[14, 12, 0, 12]"
