seed,winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
20129,1,170,161,109,122,1,"[0, 13, 11, 0]","[12, 12, 12, 0]","[11, 12, 11, 0]","[0, 12, 12, 10]","[0, 11, 0, 0]","[0, 11, 10, 13]","[11, 11, 0, 11]","[0, 10, 0, 10]","[10, 0, 12, 10]","[10, 10, 0, 10]","[10, 11, 0, 11]","[10, 11, 11, 0]","[10, 0, 10, 12]","[11, 11, 10, 0]","[0, 10, 12, 0]","[0, 0, 12, 10]","[15, 0, 11, 12]","[12, 12, 14, 0]","[0, 13, 13, 0]"
20130,2,134,145,135,115,2,"[11, 0, 14, 11]","[13, 12, 14, 0]","[0, 11, 0, 0]","[12, 11, 11, 0]","[0, 10, 12, 0]","[0, 0, 0, 11]","[10, 0, 11, 13]","[11, 10, 0, 12]","[12, 0, 10, 10]","[0, 10, 10, 10]","[10, 0, 11, 11]","[0, 11, 10, 10]","[0, 0, 11, 10]","[0, 10, 0, 12]","[0, 11, 11, 0]","[11, 0, 10, 13]","[0, 12, 0, 12]","[12, 12, 0, 0]","[13, 14, 10, 0]"
20131,0,122,110,102,125,3,"[0, 0, 0, 11]","[14, 11, 0, 14]","[0, 0, 12, 0]","[11, 11, 0, 13]","[10, 12, 11, 0]","[0, 13, 10, 0]","[0, 10, 0, 0]","[11, 0, 11, 10]","[10, 10, 0, 0]","[10, 10, 10, 0]","[11, 0, 10, 10]","[11, 0, 10, 10]","[11, 0, 13, 10]","[0, 0, 12, 11]","[0, 11, 0, 13]","[12, 13, 11, 0]","[0, 10, 0, 0]","[0, 11, 0, 0]","[14, 0, 0, 0]"
20132,0,132,153,76,181,0,"[12, 14, 13, 0]","[14, 0, 15, 10]","[14, 11, 0, 12]","[0, 0, 12, 0]","[10, 0, 0, 0]","[11, 10, 0, 0]","[11, 10, 10, 0]","[11, 0, 10, 11]","[10, 10, 11, 0]","[0, 11, 10, 10]","[10, 10, 11, 0]","[11, 0, 0, 10]","[11, 10, 12, 0]","[0, 10, 0, 0]","[12, 11, 11, 0]","[12, 12, 11, 0]","[12, 13, 0, 11]","[10, 0, 15, 12]","[10, 0, 12, 0]"
20133,1,161,148,75,136,1,"[15, 13, 12, 0]","[12, 11, 12, 0]","[0, 13, 10, 0]","[0, 0, 11, 11]","[12, 11, 10, 0]","[10, 11, 0, 10]","[0, 11, 10, 12]","[10, 11, 10, 0]","[10, 11, 10, 0]","[10, 10, 10, 0]","[11, 10, 0, 10]","[0, 0, 0, 10]","[0, 0, 10, 0]","[11, 10, 11, 0]","[0, 12, 0, 10]","[12, 11, 11, 0]","[12, 0, 10, 12]","[0, 0, 0, 0]","[11, 16, 11, 0]"
20134,1,143,85,122,137,2,"[11, 12, 12, 0]","[13, 12, 0, 13]","[13, 0, 0, 10]","[0, 11, 0, 12]","[10, 0, 11, 0]","[10, 0, 10, 13]","[10, 11, 0, 0]","[12, 10, 10, 0]","[0, 12, 10, 10]","[10, 10, 0, 11]","[0, 10, 0, 10]","[10, 10, 0, 11]","[11, 11, 0, 10]","[0, 0, 11, 0]","[0, 0, 10, 11]","[13, 10, 0, 0]","[0, 10, 0, 0]","[0, 0, 11, 0]","[14, 14, 0, 11]"
20135,0,140,151,90,168,3,"[10, 17, 0, 13]","[14, 10, 11, 0]","[14, 12, 12, 0]","[0, 12, 0, 10]","[11, 0, 0, 0]","[10, 0, 11, 11]","[0, 0, 10, 0]","[12, 10, 10, 0]","[10, 11, 11, 10]","[10, 11, 10, 0]","[0, 0, 10, 10]","[10, 11, 10, 0]","[11, 12, 10, 0]","[11, 0, 0, 0]","[11, 11, 11, 0]","[11, 0, 12, 11]","[12, 11, 0, 0]","[0, 12, 11, 12]","[11, 0, 12, 13]"
20136,0,114,102,137,141,0,"[0, 13, 0, 11]","[11, 12, 0, 14]","[13, 13, 11, 0]","[12, 11, 0, 11]","[10, 0, 0, 11]","[11, 0, 10, 14]","[10, 13, 0, 10]","[10, 0, 0, 0]","[10, 10, 0, 0]","[0, 10, 11, 10]","[0, 0, 10, 0]","[10, 11, 0, 10]","[10, 0, 0, 0]","[0, 11, 12, 10]","[0, 0, 13, 11]","[10, 0, 13, 12]","[0, 10, 12, 0]","[10, 0, 0, 13]","[14, 0, 10, 0]"
20137,0,133,98,113,168,1,"[15, 0, 10, 0]","[11, 14, 13, 11]","[11, 0, 11, 0]","[12, 12, 0, 12]","[13, 12, 11, 0]","[0, 10, 0, 11]","[0, 0, 0, 11]","[10, 11, 0, 10]","[10, 10, 10, 0]","[11, 10, 0, 10]","[10, 10, 10, 0]","[0, 10, 0, 11]","[11, 10, 0, 13]","[0, 12, 11, 11]","[10, 0, 0, 0]","[12, 0, 0, 0]","[12, 12, 12, 0]","[10, 0, 0, 13]","[10, 0, 10, 0]"
20138,1,157,125,77,142,2,"[13, 0, 0, 11]","[10, 10, 13, 0]","[0, 10, 0, 0]","[12, 12, 12, 0]","[11, 0, 12, 10]","[12, 10, 0, 0]","[0, 10, 11, 11]","[10, 0, 11, 10]","[10, 10, 10, 0]","[10, 10, 10, 0]","[10, 10, 11, 0]","[0, 10, 12, 10]","[11, 10, 12, 0]","[10, 11, 0, 0]","[11, 0, 0, 0]","[0, 12, 11, 12]","[12, 10, 0, 0]","[0, 10, 0, 13]","[0, 12, 0, 0]"
