winner,score1,score2,score3,score0,score4,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
4,144,124,156,119,165,1,"[0, 10, 14, 10, 11]","[11, 0, 13, 12, 11]","[10, 0, 12, 0, 0]","[11, 11, 0, 12, 13]","[0, 11, 0, 0, 11]","[10, 10, 0, 12, 12]","[0, 0, 0, 0, 10]","[11, 0, 10, 10, 10]","[10, 10, 11, 10, 0]","[0, 11, 10, 10, 10]","[10, 11, 11, 10, 0]","[11, 10, 0, 11, 10]","[0, 13, 10, 11, 10]","[0, 10, 12, 0, 11]","[0, 0, 10, 11, 0]","[14, 0, 0, 0, 11]","[0, 12, 11, 12, 10]","[11, 12, 0, 12, 13]","[10, 13, 0, 13, 12]"
2,160,167,146,141,137,2,"[11, 10, 11, 15, 0]","[0, 11, 14, 12, 12]","[12, 0, 11, 11, 0]","[0, 10, 13, 10, 0]","[13, 11, 12, 0, 10]","[11, 10, 0, 0, 10]","[11, 10, 12, 10, 0]","[10, 0, 10, 10, 11]","[10, 11, 0, 10, 10]","[10, 10, 10, 0, 10]","[10, 10, 10, 11, 0]","[10, 11, 10, 10, 0]","[10, 10, 0, 11, 10]","[0, 0, 12, 0, 10]","[0, 0, 10, 0, 13]","[12, 12, 0, 11, 10]","[0, 11, 15, 11, 11]","[11, 11, 17, 0, 10]","[0, 12, 0, 14, 10]"
2,120,165,138,155,118,3,"[11, 0, 14, 11, 0]","[11, 12, 0, 11, 11]","[11, 12, 10, 0, 11]","[0, 0, 12, 11, 0]","[10, 0, 0, 0, 10]","[11, 11, 10, 11, 0]","[12, 10, 10, 0, 0]","[0, 11, 10, 11, 10]","[10, 0, 11, 11, 10]","[0, 10, 10, 10, 11]","[10, 0, 11, 10, 11]","[0, 10, 10, 11, 10]","[13, 0, 0, 10, 11]","[12, 11, 10, 10, 0]","[14, 10, 11, 0, 10]","[10, 10, 12, 0, 13]","[10, 0, 0, 11, 0]","[10, 0, 12, 10, 0]","[0, 13, 12, 0, 0]"
2,144,168,107,130,165,4,"[0, 14, 14, 10, 10]","[11, 0, 0, 0, 10]","[12, 10, 11, 0, 14]","[0, 0, 10, 0, 10]","[0, 0, 0, 12, 10]","[10, 11, 0, 0, 14]","[10, 12, 0, 10, 10]","[10, 0, 12, 10, 10]","[0, 10, 10, 11, 11]","[10, 10, 10, 0, 11]","[11, 11, 10, 10, 0]","[0, 10, 11, 0, 10]","[11, 10, 11, 0, 0]","[0, 13, 10, 11, 11]","[11, 10, 11, 0, 12]","[13, 0, 11, 10, 12]","[11, 0, 12, 0, 0]","[0, 11, 14, 11, 10]","[10, 12, 11, 12, 0]"
1,159,107,119,124,142,0,"[13, 14, 0, 10, 12]","[12, 0, 0, 0, 12]","[11, 13, 0, 11, 0]","[0, 0, 11, 0, 11]","[11, 11, 11, 0, 0]","[0, 10, 0, 11, 11]","[0, 11, 10, 0, 0]","[0, 10, 10, 10, 11]","[11, 10, 10, 11, 0]","[10, 10, 10, 11, 0]","[0, 11, 10, 10, 10]","[13, 10, 10, 0, 10]","[0, 0, 0, 10, 10]","[12, 0, 12, 10, 10]","[11, 11, 0, 0, 0]","[0, 0, 13, 11, 10]","[10, 14, 0, 0, 11]","[0, 12, 0, 0, 11]","[10, 12, 0, 14, 13]"
1,145,128,131,110,141,1,"[13, 11, 11, 0, 12]","[0, 10, 11, 11, 13]","[0, 11, 12, 13, 10]","[0, 11, 0, 11, 0]","[10, 0, 11, 0, 12]","[10, 0, 0, 10, 0]","[12, 10, 11, 0, 10]","[0, 0, 10, 0, 10]","[10, 12, 10, 10, 0]","[0, 10, 10, 10, 10]","[10, 10, 0, 10, 10]","[11, 10, 0, 0, 10]","[11, 12, 0, 10, 0]","[0, 0, 10, 0, 10]","[11, 11, 0, 12, 12]","[12, 0, 11, 0, 0]","[0, 14, 0, 12, 10]","[0, 13, 10, 11, 12]","[0, 0, 11, 11, 0]"
1,148,127,121,127,144,2,"[0, 11, 10, 11, 0]","[0, 10, 12, 0, 0]","[13, 10, 11, 0, 0]","[0, 11, 10, 12, 13]","[12, 10, 10, 0, 0]","[13, 10, 11, 11, 0]","[11, 11, 0, 10, 10]","[0, 0, 0, 10, 10]","[0, 11, 10, 10, 11]","[10, 10, 0, 10, 10]","[0, 10, 0, 0, 11]","[10, 10, 0, 10, 0]","[11, 12, 0, 10, 11]","[0, 0, 11, 0, 10]","[0, 0, 10, 0, 12]","[12, 11, 0, 12, 11]","[12, 11, 11, 0, 13]","[11, 0, 10, 0, 11]","[12, 0, 11, 15, 11]"
1,183,119,135,168,162,3,"[0, 12, 0, 12, 13]","[12, 12, 11, 0, 11]","[0, 0, 11, 10, 13]","[10, 12, 10, 13, 0]","[12, 12, 12, 0, 10]","[0, 11, 0, 0, 10]","[10, 12, 10, 12, 0]","[11, 10, 0, 11, 11]","[10, 0, 11, 10, 10]","[10, 10, 0, 10, 10]","[11, 11, 10, 0, 10]","[10, 10, 10, 0, 10]","[12, 10, 0, 12, 10]","[13, 11, 11, 0, 10]","[0, 10, 12, 12, 11]","[10, 0, 0, 11, 0]","[12, 12, 11, 11, 0]","[13, 13, 0, 11, 11]","[12, 15, 0, 0, 12]"
0,132,155,130,157,153,4,"[13, 0, 13, 13, 11]","[0, 11, 14, 0, 0]","[11, 12, 12, 12, 0]","[12, 11, 10, 0, 11]","[11, 11, 10, 0, 12]","[0, 11, 10, 10, 0]","[10, 11, 0, 10, 10]","[0, 10, 10, 10, 0]","[10, 0, 11, 11, 10]","[10, 0, 10, 10, 11]","[11, 0, 11, 10, 10]","[0, 11, 11, 10, 11]","[0, 0, 10, 0, 10]","[11, 0, 0, 0, 10]","[13, 10, 0, 0, 10]","[10, 0, 13, 11, 12]","[11, 12, 0, 11, 14]","[13, 10, 0, 12, 11]","[11, 12, 10, 0, 0]"
2,161,163,98,102,124,0,"[12, 11, 0, 15, 11]","[11, 11, 11, 0, 12]","[12, 11, 0, 0, 11]","[10, 0, 14, 10, 12]","[0, 11, 0, 0, 11]","[0, 12, 10, 0, 0]","[0, 12, 11, 10, 11]","[0, 10, 10, 10, 11]","[10, 11, 10, 0, 11]","[10, 10, 10, 10, 0]","[0, 10, 10, 0, 0]","[0, 0, 10, 10, 0]","[14, 10, 10, 10, 0]","[10, 11, 13, 0, 10]","[0, 0, 10, 0, 0]","[0, 0, 0, 11, 12]","[0, 10, 11, 0, 0]","[13, 11, 12, 12, 0]","[0, 10, 11, 0, 12]"
