winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
2,118,144,90,120,2,"[12, 13, 12, 0]","[11, 0, 0, 12]","[0, 11, 13, 11]","[0, 15, 12, 0]","[10, 0, 0, 13]","[10, 0, 0, 0]","[0, 11, 10, 0]","[10, 0, 10, 0]","[10, 11, 0, 10]","[0, 0, 11, 10]","[0, 0, 10, 10]","[10, 0, 10, 0]","[10, 12, 0, 11]","[0, 11, 10, 0]","[11, 13, 10, 0]","[12, 0, 11, 13]","[0, 11, 0, 0]","[14, 10, 13, 0]","[0, 0, 12, 0]"
2,111,168,127,168,3,"[0, 0, 16, 0]","[12, 0, 11, 16]","[13, 0, 10, 13]","[13, 11, 11, 0]","[11, 12, 11, 0]","[13, 0, 10, 10]","[10, 0, 10, 0]","[10, 0, 11, 11]","[0, 10, 10, 10]","[0, 10, 10, 11]","[11, 0, 11, 10]","[10, 12, 0, 11]","[10, 10, 0, 14]","[11, 10, 0, 0]","[10, 0, 10, 0]","[11, 13, 10, 0]","[12, 0, 12, 0]","[11, 13, 0, 11]","[0, 10, 15, 10]"
1,175,147,106,146,0,"[0, 0, 12, 13]","[12, 0, 13, 13]","[11, 11, 0, 13]","[12, 0, 0, 0]","[11, 11, 11, 0]","[11, 10, 0, 12]","[0, 10, 0, 0]","[10, 12, 10, 0]","[0, 11, 10, 10]","[10, 10, 0, 10]","[10, 10, 12, 0]","[10, 10, 10, 0]","[0, 10, 10, 0]","[0, 14, 10, 11]","[11, 11, 0, 13]","[13, 11, 11, 0]","[0, 12, 13, 11]","[14, 10, 12, 0]","[11, 12, 13, 0]"
1,188,124,176,113,1,"[14, 11, 0, 13]","[0, 13, 11, 13]","[11, 12, 11, 0]","[0, 12, 11, 12]","[0, 14, 0, 11]","[12, 10, 11, 0]","[0, 10, 0, 11]","[0, 10, 11, 10]","[11, 0, 11, 10]","[10, 10, 10, 0]","[10, 10, 0, 10]","[0, 11, 11, 10]","[12, 10, 0, 10]","[10, 10, 0, 13]","[0, 12, 0, 11]","[0, 11, 10, 15]","[10, 12, 0, 13]","[0, 10, 14, 14]","[13, 0, 13, 0]"
1,173,130,125,136,2,"[0, 15, 11, 12]","[0, 0, 0, 0]","[11, 13, 11, 0]","[17, 10, 0, 10]","[11, 10, 0, 0]","[0, 12, 10, 10]","[13, 11, 10, 0]","[0, 10, 0, 11]","[10, 11, 10, 0]","[10, 10, 10, 0]","[0, 10, 11, 11]","[10, 11, 0, 10]","[11, 10, 13, 0]","[11, 0, 10, 12]","[11, 0, 11, 13]","[0, 13, 10, 12]","[10, 14, 0, 12]","[11, 0, 0, 12]","[0, 13, 13, 0]"
3,151,79,154,126,3,"[11, 14, 0, 10]","[0, 0, 0, 0]","[11, 10, 0, 14]","[0, 12, 11, 11]","[0, 11, 13, 11]","[11, 10, 0, 10]","[11, 10, 0, 12]","[0, 12, 0, 0]","[10, 10, 0, 12]","[10, 10, 10, 0]","[0, 0, 0, 10]","[11, 10, 0, 11]","[12, 0, 10, 10]","[0, 10, 13, 10]","[12, 11, 0, 10]","[0, 0, 11, 11]","[14, 11, 11, 0]","[0, 0, 0, 12]","[13, 10, 0, 0]"
2,122,134,131,128,0,"[0, 11, 16, 11]","[0, 15, 0, 10]","[0, 0, 11, 10]","[11, 12, 0, 14]","[13, 0, 13, 0]","[0, 0, 0, 0]","[10, 10, 14, 0]","[11, 10, 12, 0]","[0, 10, 0, 10]","[10, 0, 10, 10]","[11, 11, 0, 10]","[0, 10, 0, 0]","[0, 12, 10, 12]","[13, 10, 0, 12]","[0, 0, 0, 10]","[13, 0, 10, 0]","[13, 11, 11, 0]","[12, 0, 14, 10]","[11, 0, 13, 12]"
2,131,141,106,139,1,"[14, 0, 0, 11]","[0, 0, 12, 0]","[13, 0, 11, 12]","[11, 13, 0, 10]","[13, 10, 0, 10]","[10, 0, 11, 12]","[0, 11, 10, 10]","[0, 10, 11, 0]","[10, 10, 0, 10]","[10, 10, 0, 10]","[12, 10, 10, 0]","[10, 10, 10, 0]","[11, 12, 10, 0]","[0, 0, 12, 0]","[0, 11, 11, 11]","[0, 0, 11, 10]","[0, 13, 11, 0]","[13, 11, 11, 0]","[12, 0, 0, 0]"
1,161,110,143,100,2,"[11, 0, 0, 13]","[0, 13, 0, 15]","[0, 0, 12, 0]","[12, 14, 10, 0]","[11, 0, 14, 11]","[12, 0, 11, 12]","[0, 10, 0, 0]","[0, 11, 10, 12]","[10, 11, 0, 10]","[0, 10, 10, 10]","[10, 10, 0, 10]","[10, 10, 10, 0]","[0, 12, 0, 0]","[12, 11, 0, 10]","[0, 14, 0, 0]","[12, 11, 11, 0]","[0, 0, 11, 14]","[0, 11, 0, 11]","[0, 13, 11, 15]"
0,125,102,120,127,3,"[11, 14, 0, 0]","[10, 14, 0, 12]","[0, 0, 13, 11]","[11, 0, 13, 0]","[12, 10, 13, 0]","[11, 12, 0, 11]","[0, 0, 0, 10]","[11, 10, 0, 10]","[0, 10, 0, 0]","[0, 10, 10, 11]","[10, 0, 10, 11]","[0, 10, 10, 0]","[0, 0, 10, 10]","[13, 0, 0, 11]","[12, 0, 12, 10]","[0, 12, 0, 0]","[0, 11, 0, 0]","[14, 0, 0, 13]","[12, 12, 11, 0]"
