winner,score1,score2,score3,score0,score4,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1,174,99,153,139,135,4,"[11, 13, 12, 11, 0]","[13, 12, 10, 0, 0]","[10, 12, 0, 13, 12]","[0, 10, 0, 11, 0]","[0, 10, 0, 10, 0]","[10, 0, 12, 12, 11]","[0, 11, 0, 10, 0]","[0, 0, 0, 10, 11]","[10, 10, 0, 11, 11]","[11, 10, 10, 0, 10]","[11, 10, 10, 10, 0]","[11, 0, 0, 10, 0]","[0, 10, 10, 10, 13]","[10, 11, 11, 0, 12]","[11, 13, 11, 0, 11]","[10, 15, 0, 10, 11]","[0, 0, 0, 12, 10]","[10, 16, 13, 0, 10]","[11, 11, 0, 13, 13]"
2,151,155,122,146,133,0,"[15, 0, 11, 0, 10]","[0, 11, 0, 13, 0]","[14, 11, 0, 10, 11]","[11, 0, 12, 10, 11]","[0, 12, 10, 0, 0]","[10, 10, 11, 0, 0]","[10, 11, 11, 11, 0]","[10, 11, 0, 10, 11]","[11, 10, 11, 0, 10]","[11, 10, 10, 10, 0]","[0, 10, 10, 11, 11]","[10, 0, 11, 0, 10]","[0, 10, 0, 12, 0]","[11, 12, 11, 0, 10]","[12, 10, 11, 0, 12]","[10, 0, 12, 11, 13]","[0, 10, 13, 12, 0]","[0, 0, 0, 12, 11]","[11, 13, 11, 0, 13]"
2,142,154,112,132,127,1,"[13, 0, 0, 0, 10]","[0, 13, 0, 0, 0]","[12, 11, 13, 0, 11]","[11, 12, 12, 0, 11]","[10, 13, 11, 11, 0]","[10, 0, 12, 11, 10]","[10, 10, 10, 0, 12]","[11, 10, 0, 10, 0]","[0, 10, 10, 0, 0]","[0, 10, 10, 10, 10]","[10, 0, 10, 11, 11]","[11, 10, 0, 11, 10]","[0, 11, 10, 10, 10]","[0, 10, 0, 0, 0]","[12, 0, 10, 0, 0]","[10, 10, 12, 0, 0]","[0, 0, 10, 14, 10]","[0, 12, 13, 11, 10]","[12, 0, 11, 13, 12]"
0,90,118,135,173,151,2,"[13, 11, 10, 0, 12]","[10, 0, 0, 0, 0]","[11, 11, 14, 10, 0]","[11, 13, 11, 11, 0]","[0, 0, 11, 0, 11]","[12, 11, 0, 10, 11]","[11, 10, 10, 0, 12]","[10, 0, 0, 11, 10]","[0, 10, 10, 11, 10]","[10, 0, 10, 10, 11]","[10, 0, 0, 10, 0]","[10, 0, 0, 0, 10]","[11, 0, 10, 0, 10]","[0, 0, 10, 0, 10]","[12, 0, 0, 11, 0]","[11, 12, 0, 12, 10]","[11, 12, 0, 11, 10]","[10, 0, 10, 12, 12]","[10, 0, 12, 16, 12]"
2,104,166,159,140,152,3,"[0, 0, 11, 0, 11]","[16, 10, 0, 10, 11]","[0, 10, 14, 11, 13]","[0, 0, 13, 0, 11]","[12, 0, 12, 10, 11]","[10, 11, 11, 11, 0]","[10, 12, 11, 10, 0]","[0, 10, 0, 10, 10]","[10, 0, 10, 11, 11]","[0, 10, 10, 11, 10]","[10, 10, 0, 12, 10]","[10, 10, 11, 0, 0]","[0, 10, 10, 12, 10]","[0, 0, 10, 12, 10]","[11, 0, 10, 11, 12]","[11, 0, 11, 0, 0]","[11, 11, 0, 15, 10]","[14, 0, 12, 0, 12]","[15, 0, 10, 13, 0]"
3,153,118,167,123,143,4,"[11, 0, 11, 14, 11]","[10, 11, 12, 14, 0]","[0, 11, 0, 11, 12]","[0, 0, 0, 11, 12]","[11, 11, 11, 11, 0]","[10, 0, 10, 12, 12]","[0, 11, 12, 11, 10]","[10, 10, 0, 0, 10]","[0, 10, 11, 10, 11]","[0, 10, 10, 10, 10]","[11, 10, 10, 10, 0]","[11, 12, 10, 0, 10]","[13, 10, 11, 10, 0]","[12, 11, 0, 10, 10]","[0, 14, 10, 11, 0]","[0, 0, 0, 10, 11]","[0, 12, 0, 0, 12]","[10, 10, 0, 12, 0]","[14, 0, 0, 0, 12]"
3,123,148,161,158,143,0,"[11, 11, 14, 0, 0]","[12, 0, 12, 11, 14]","[0, 0, 11, 0, 12]","[0, 10, 12, 0, 11]","[11, 0, 0, 11, 0]","[0, 11, 0, 0, 11]","[12, 0, 10, 12, 10]","[0, 11, 11, 10, 11]","[0, 10, 11, 11, 10]","[10, 0, 10, 10, 10]","[11, 0, 11, 10, 10]","[10, 10, 0, 10, 11]","[11, 11, 0, 10, 11]","[11, 12, 0, 10, 10]","[11, 11, 11, 13, 0]","[11, 11, 11, 12, 0]","[13, 0, 0, 11, 0]","[11, 15, 11, 10, 0]","[13, 0, 13, 10, 12]"
3,116,102,170,133,109,1,"[0, 0, 0, 0, 0]","[11, 0, 14, 12, 0]","[13, 10, 0, 12, 11]","[12, 11, 11, 0, 11]","[0, 10, 0, 12, 0]","[0, 10, 10, 0, 0]","[10, 13, 11, 10, 0]","[10, 0, 10, 12, 0]","[0, 0, 11, 10, 0]","[0, 10, 10, 11, 10]","[11, 10, 0, 10, 0]","[10, 11, 0, 10, 11]","[12, 10, 0, 12, 10]","[11, 0, 0, 10, 10]","[0, 10, 14, 11, 10]","[12, 0, 11, 10, 13]","[11, 0, 0, 13, 12]","[0, 11, 0, 0, 11]","[10, 0, 0, 15, 0]"
0,142,140,138,156,146,2,"[11, 0, 15, 13, 0]","[10, 11, 11, 0, 0]","[14, 10, 12, 0, 11]","[0, 0, 0, 11, 11]","[10, 11, 0, 10, 14]","[11, 12, 0, 10, 12]","[0, 11, 0, 0, 10]","[0, 11, 11, 10, 10]","[0, 10, 10, 10, 11]","[10, 10, 10, 10, 0]","[10, 11, 0, 10, 11]","[11, 0, 10, 0, 11]","[10, 10, 0, 0, 10]","[11, 12, 0, 10, 12]","[13, 0, 10, 0, 0]","[11, 11, 12, 11, 0]","[10, 0, 14, 11, 12]","[14, 0, 11, 11, 11]","[0, 12, 14, 11, 0]"
2,140,158,79,123,132,3,"[11, 12, 11, 0, 14]","[0, 0, 14, 0, 0]","[13, 11, 11, 0, 0]","[11, 0, 12, 11, 11]","[10, 0, 13, 11, 11]","[0, 10, 0, 0, 10]","[0, 10, 11, 0, 0]","[0, 0, 10, 0, 11]","[10, 11, 0, 0, 0]","[11, 10, 10, 0, 0]","[11, 10, 10, 0, 11]","[10, 11, 10, 0, 11]","[12, 11, 0, 10, 10]","[0, 0, 10, 11, 0]","[0, 0, 0, 11, 10]","[0, 11, 10, 0, 0]","[11, 10, 13, 0, 11]","[0, 10, 13, 13, 11]","[13, 13, 0, 12, 11]"
