card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
2S,low,False,4,3,2,3,1,10
TD,high,False,2,2,2,2,1,8
QS,high,False,3,1,-1,2,1,4
2H,low,True,1,0,-1,2,1,3
5D,low,True,2,1,2,4,4,10
9H,mediumHigh,False,5,2,3,2,2,10
KH,veryhigh,False,4,1,3,2,2,9
5C,low,False,2,0,3,2,2,8
2S,low,True,1,-1,2,1,1,4
3H,low,True,2,3,2,1,5,10
AC,veryhigh,False,4,2,1,1,5,8
QS,high,False,3,1,1,1,5,7
TH,high,True,1,0,1,1,5,6
KS,veryhigh,False,5,2,2,4,1,10
TD,high,False,2,1,2,4,1,9
7C,mediumlow,True,2,0,2,4,1,8
9C,mediumHigh,True,1,-1,0,3,1,4
3H,low,False,4,0,4,3,4,10
KD,veryhigh,False,6,4,0,4,4,10
TD,high,False,5,3,0,4,4,9
7C,mediumlow,False,1,2,0,3,4,7
2D,low,False,4,1,0,3,3,5
3D,low,False,3,0,0,2,3,3
8S,mediumHigh,False,4,2,4,3,2,10
QC,high,False,3,1,4,2,2,8
9S,mediumHigh,False,2,0,4,0,1,4
9C,mediumHigh,False,3,1,3,4,4,10
3D,low,False,2,0,1,3,1,3
5C,low,False,6,1,4,4,2,10
9D,mediumHigh,False,1,0,4,1,-1,3
3C,low,False,4,4,0,4,1,10
KD,veryhigh,True,3,3,-1,3,1,7
AD,veryhigh,True,2,2,-1,3,1,6
8H,mediumHigh,False,1,1,-1,3,1,5
2D,low,True,1,0,-1,3,1,4
TC,high,False,3,-1,-1,3,1,3
4C,low,False,2,-2,-1,3,1,2
2C,low,True,2,3,2,2,2,10
KH,veryhigh,False,1,2,0,1,2,6
5D,low,False,1,1,0,1,2,5
QS,high,False,2,0,-1,1,1,2
6D,mediumlow,False,2,3,3,4,1,10
4H,low,False,2,2,2,4,1,8
KS,veryhigh,False,3,1,1,2,1,4
6C,mediumlow,True,1,0,1,2,1,3
3H,low,False,3,2,4,1,2,10
9H,mediumHigh,False,1,1,4,1,0,7
7H,mediumlow,True,5,4,1,1,3,10
6C,mediumlow,False,1,3,0,1,1,6
2H,low,True,3,2,0,0,0,3
7H,mediumlow,False,5,1,7,0,1,10
2C,low,False,2,0,6,-1,1,7
2H,low,True,5,5,2,1,1,10
8H,mediumHigh,True,4,4,2,1,0,8
AD,veryhigh,False,2,3,-1,0,0,3
4H,low,True,1,2,-1,0,0,2
8C,mediumHigh,False,4,1,4,5,1,10
5H,low,False,4,0,4,5,-1,7
6H,mediumlow,True,1,2,4,1,2,10
QC,high,False,2,1,0,1,0,3
4D,low,False,1,0,0,1,0,2
QD,high,False,2,5,1,3,0,10
8H,mediumHigh,True,5,4,1,3,0,9
3H,low,True,4,3,-1,3,-1,5
4H,low,True,2,2,-1,1,-1,2
4S,low,False,2,3,1,2,6,10
QC,high,False,3,2,1,1,6,8
6C,mediumlow,False,1,1,0,1,5,5
3S,low,False,3,3,3,3,0,10
3H,low,False,3,2,3,2,0,8
JH,high,False,4,2,3,3,1,10
5S,low,False,5,1,3,3,1,9
5H,low,False,3,0,3,3,0,7
8C,mediumHigh,False,3,1,3,1,7,10
3H,low,False,2,0,2,0,3,3
7S,mediumlow,False,4,1,4,4,2,10
5S,low,False,2,0,4,2,-3,2
3D,low,False,3,3,3,2,3,10
KC,veryhigh,False,2,2,3,2,2,8
8S,mediumHigh,False,4,3,4,2,0,10
9H,mediumHigh,False,2,2,3,1,-1,6
QH,high,False,1,1,3,1,-1,5
9S,mediumHigh,False,3,0,3,0,-1,3
JD,high,False,1,4,1,4,2,10
JC,high,True,4,3,1,4,2,9
8S,mediumHigh,False,3,2,1,4,2,8
4C,low,True,3,1,1,4,2,7
8C,mediumHigh,True,2,0,1,3,1,4
JH,high,False,1,-1,1,2,1,2
AC,veryhigh,False,4,4,0,3,2,10
AH,veryhigh,False,3,3,0,3,2,9
4C,low,False,3,2,0,3,2,8
9C,mediumHigh,False,2,1,0,1,1,4
9S,mediumHigh,False,1,0,0,1,1,3
AH,veryhigh,False,4,4,1,3,1,10
KH,veryhigh,False,3,3,1,3,1,9
QH,high,False,2,2,1,2,0,6
5D,low,False,1,1,1,0,0,3
QS,high,False,2,4,2,2,1,10
6S,mediumlow,False,1,3,2,2,1,9
JH,high,False,3,2,2,1,0,6
TC,high,True,2,1,2,1,0,5
KC,veryhigh,True,1,0,2,1,0,4
KH,veryhigh,False,2,-1,2,1,0,3
KH,veryhigh,False,5,3,2,4,0,10
9D,mediumHigh,False,2,2,2,4,0,9
8H,mediumHigh,False,4,1,2,3,0,7
4H,low,False,3,0,0,3,0,4
5D,low,False,2,1,3,4,3,10
5S,low,False,3,0,2,1,3,5
KD,veryhigh,False,5,4,1,3,3,10
JD,high,False,4,3,1,3,2,8
5D,low,False,3,2,0,2,2,5
8D,mediumHigh,False,2,1,0,2,1,3
8H,mediumHigh,True,1,0,0,2,1,2
TH,high,True,2,4,2,2,1,10
9S,mediumHigh,False,2,3,1,2,1,8
KD,veryhigh,False,3,2,-1,2,1,5
5C,low,False,3,2,2,2,5,10
KD,veryhigh,False,2,1,1,0,5,6
6C,mediumlow,False,2,0,1,0,5,5
AH,veryhigh,False,4,2,3,3,1,10
TC,high,False,4,1,3,3,1,9
5H,low,False,2,0,2,3,-1,5
5D,low,False,4,5,2,1,1,10
AH,veryhigh,True,4,4,2,0,1,8
JH,high,True,3,3,2,0,1,7
7S,mediumlow,False,1,2,2,0,1,6
5H,low,True,2,1,-1,0,1,2
8S,mediumHigh,False,2,2,5,1,4,10
KD,veryhigh,False,2,1,3,1,3,6
6C,mediumlow,False,4,0,3,1,3,5
7C,mediumlow,True,2,1,5,2,3,10
2H,low,False,3,1,5,2,3,10
8D,mediumHigh,True,1,0,4,1,2,6
KC,veryhigh,False,3,4,2,1,4,10
AH,veryhigh,False,5,3,2,1,4,9
9D,mediumHigh,True,2,2,2,1,4,8
KH,veryhigh,False,4,1,1,1,4,6
4H,low,False,3,0,1,1,3,4
8C,mediumHigh,False,1,-1,1,1,3,3
KD,veryhigh,False,4,4,1,2,5,10
7S,mediumlow,False,4,3,1,2,5,9
TD,high,False,3,2,0,2,4,6
AS,veryhigh,False,3,1,0,2,4,5
AD,veryhigh,False,2,0,0,2,4,4
9S,mediumHigh,False,2,-1,0,2,4,3
4D,low,False,2,2,2,6,1,10
8D,mediumHigh,False,1,1,2,4,0,6
2S,low,False,2,0,2,2,0,3
QC,high,True,3,2,3,3,1,10
3C,low,True,2,1,3,3,1,9
6D,mediumlow,False,2,0,3,3,0,7
2D,low,False,1,-1,1,1,0,2
AD,veryhigh,False,5,2,0,6,1,10
6S,mediumlow,False,1,1,0,6,1,9
7H,mediumlow,True,1,0,0,6,-1,6
2S,low,False,5,2,1,3,5,10
QH,high,False,2,1,1,2,1,4
9H,mediumHigh,False,1,0,1,2,1,3
AD,veryhigh,False,1,4,1,4,0,10
AC,veryhigh,True,3,3,1,4,0,9
KC,veryhigh,True,2,2,1,4,0,8
8S,mediumHigh,False,4,1,1,4,0,7
3S,low,False,3,0,0,3,-1,3
9C,mediumHigh,True,2,1,3,3,2,10
3H,low,False,5,0,3,1,1,6
JH,high,False,4,1,3,4,4,10
4D,low,False,3,0,3,4,4,9
AH,veryhigh,False,3,-1,3,3,1,4
3H,low,False,2,-2,3,3,1,3
7H,mediumlow,False,4,0,2,6,1,10
TS,high,True,4,3,3,1,4,10
TH,high,False,2,2,-1,-1,3,2
6S,mediumlow,False,4,3,2,3,1,10
AD,veryhigh,False,4,2,2,2,1,8
8S,mediumHigh,False,3,1,2,2,1,7
QC,high,False,1,4,3,2,0,10
AS,veryhigh,False,3,3,2,2,-1,7
3S,low,False,2,2,2,2,-1,6
9S,mediumHigh,False,1,1,2,-1,-1,2
6D,mediumlow,False,3,4,4,0,1,10
QH,high,False,4,3,3,0,0,7
AD,veryhigh,False,2,2,3,0,0,6
8H,mediumHigh,False,3,1,3,0,0,5
8D,mediumHigh,False,1,0,2,0,0,3
6S,mediumlow,False,2,0,6,3,2,10
JD,high,True,3,2,5,0,4,10
2H,low,False,2,1,5,0,4,9
4C,low,False,2,0,3,-1,4,5
JD,high,True,4,3,2,3,1,10
2S,low,False,1,2,0,2,1,6
3S,low,False,5,1,5,2,1,10
7S,mediumlow,False,4,0,4,2,1,8
8C,mediumHigh,False,4,3,4,2,0,10
6C,mediumlow,False,3,2,3,2,-1,7
3C,low,False,1,1,1,2,-3,2
8C,mediumHigh,False,2,0,2,4,5,10
TD,high,False,3,-1,1,4,1,4
AC,veryhigh,False,5,2,2,2,3,10
3C,low,False,4,1,2,2,3,9
2H,low,False,1,0,1,2,3,7
7C,mediumlow,False,3,1,1,6,3,10
