winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1,140,124,127,120,2,"[12, 10, 0, 14]","[0, 11, 12, 13]","[0, 0, 11, 12]","[12, 11, 0, 12]","[0, 0, 12, 0]","[10, 12, 11, 0]","[0, 10, 11, 0]","[10, 0, 10, 11]","[11, 10, 11, 0]","[10, 10, 0, 10]","[10, 11, 0, 10]","[0, 0, 10, 0]","[0, 10, 13, 10]","[11, 12, 0, 10]","[0, 11, 12, 0]","[0, 0, 0, 0]","[10, 12, 0, 13]","[14, 10, 0, 0]","[10, 0, 11, 12]"
2,115,153,96,135,3,"[0, 0, 10, 0]","[0, 0, 11, 0]","[0, 14, 12, 0]","[15, 11, 0, 10]","[11, 12, 0, 12]","[10, 0, 11, 10]","[10, 0, 10, 0]","[11, 10, 10, 0]","[10, 11, 0, 0]","[0, 10, 10, 11]","[11, 0, 11, 10]","[0, 10, 10, 10]","[10, 0, 12, 12]","[13, 0, 0, 10]","[11, 0, 0, 11]","[12, 0, 11, 0]","[0, 11, 12, 0]","[11, 12, 12, 0]","[0, 14, 11, 0]"
3,107,87,141,95,0,"[10, 0, 13, 16]","[0, 0, 0, 13]","[12, 10, 0, 0]","[0, 0, 0, 0]","[11, 10, 0, 11]","[0, 0, 10, 0]","[10, 10, 0, 12]","[10, 11, 0, 10]","[0, 11, 11, 10]","[0, 10, 10, 10]","[10, 11, 0, 10]","[11, 11, 0, 10]","[0, 0, 10, 0]","[0, 0, 0, 11]","[10, 0, 0, 0]","[0, 0, 13, 0]","[11, 0, 10, 15]","[0, 13, 10, 13]","[0, 10, 0, 0]"
0,125,118,118,156,1,"[12, 11, 0, 11]","[0, 0, 0, 12]","[12, 0, 11, 14]","[11, 0, 0, 13]","[14, 10, 12, 0]","[10, 13, 0, 11]","[10, 0, 10, 0]","[10, 10, 0, 11]","[0, 0, 10, 0]","[10, 10, 10, 0]","[10, 11, 11, 0]","[11, 10, 10, 0]","[0, 11, 10, 11]","[11, 0, 0, 0]","[13, 10, 0, 13]","[0, 14, 0, 10]","[10, 0, 13, 0]","[0, 0, 10, 12]","[12, 15, 11, 0]"
2,122,161,64,119,2,"[12, 12, 11, 0]","[12, 0, 12, 0]","[14, 13, 10, 0]","[0, 10, 10, 0]","[0, 0, 0, 10]","[0, 11, 0, 0]","[0, 0, 12, 0]","[10, 10, 0, 0]","[10, 0, 10, 10]","[0, 11, 10, 10]","[0, 0, 10, 0]","[0, 12, 10, 11]","[11, 11, 11, 0]","[12, 10, 11, 0]","[11, 11, 10, 0]","[13, 0, 11, 12]","[14, 11, 11, 0]","[0, 0, 12, 0]","[0, 0, 0, 11]"
2,115,155,129,84,3,"[0, 0, 0, 13]","[12, 14, 10, 0]","[0, 0, 10, 15]","[0, 0, 11, 10]","[0, 12, 10, 11]","[11, 11, 10, 0]","[10, 12, 0, 11]","[0, 10, 0, 0]","[10, 10, 12, 0]","[0, 10, 10, 10]","[0, 0, 10, 0]","[10, 0, 13, 10]","[10, 12, 10, 0]","[0, 0, 11, 0]","[10, 0, 0, 13]","[0, 0, 11, 10]","[11, 0, 0, 0]","[0, 11, 12, 14]","[0, 13, 15, 12]"
3,92,135,147,122,0,"[0, 0, 11, 10]","[15, 0, 12, 11]","[12, 0, 0, 0]","[0, 12, 11, 0]","[13, 0, 11, 11]","[12, 0, 0, 0]","[13, 11, 0, 10]","[10, 10, 0, 12]","[0, 11, 10, 10]","[10, 11, 10, 0]","[0, 10, 0, 10]","[0, 0, 12, 0]","[0, 0, 0, 11]","[13, 0, 11, 11]","[11, 0, 11, 12]","[0, 12, 12, 12]","[0, 0, 14, 13]","[0, 15, 0, 0]","[13, 0, 10, 14]"
3,120,106,146,105,1,"[0, 0, 0, 0]","[14, 0, 0, 10]","[11, 0, 0, 15]","[0, 12, 11, 0]","[12, 10, 12, 0]","[0, 0, 0, 10]","[0, 0, 11, 0]","[0, 10, 10, 11]","[0, 12, 10, 10]","[10, 10, 10, 0]","[0, 10, 10, 11]","[0, 10, 10, 11]","[10, 11, 12, 0]","[12, 10, 0, 11]","[0, 14, 10, 11]","[11, 11, 0, 13]","[14, 0, 0, 11]","[0, 0, 0, 12]","[11, 0, 0, 10]"
2,146,163,124,102,2,"[0, 10, 13, 14]","[0, 12, 14, 10]","[0, 12, 11, 14]","[12, 0, 0, 0]","[0, 0, 10, 0]","[0, 0, 12, 0]","[0, 11, 10, 12]","[0, 13, 10, 10]","[10, 11, 0, 10]","[10, 10, 11, 0]","[0, 10, 11, 11]","[11, 10, 0, 11]","[0, 10, 0, 11]","[10, 0, 13, 0]","[11, 10, 13, 0]","[13, 13, 10, 0]","[12, 0, 0, 0]","[13, 0, 12, 10]","[0, 14, 13, 11]"
0,118,122,128,133,3,"[13, 11, 15, 0]","[13, 11, 0, 11]","[0, 0, 12, 0]","[0, 10, 0, 10]","[10, 0, 0, 0]","[0, 14, 10, 11]","[11, 0, 0, 0]","[10, 11, 0, 10]","[10, 0, 10, 10]","[10, 0, 10, 10]","[10, 0, 11, 10]","[0, 0, 10, 10]","[0, 0, 11, 0]","[0, 0, 10, 11]","[0, 14, 11, 10]","[10, 12, 0, 0]","[13, 12, 0, 10]","[12, 12, 12, 0]","[11, 11, 0, 15]"
