winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
3,121,109,167,135,3,"[13, 0, 0, 0]","[10, 0, 11, 14]","[12, 0, 10, 14]","[10, 0, 0, 11]","[12, 11, 11, 0]","[0, 11, 12, 11]","[11, 0, 11, 10]","[10, 0, 10, 10]","[10, 11, 10, 0]","[0, 10, 10, 10]","[10, 10, 0, 10]","[0, 10, 13, 10]","[0, 10, 0, 10]","[13, 11, 0, 10]","[0, 13, 11, 11]","[13, 0, 0, 12]","[0, 12, 0, 0]","[11, 0, 0, 11]","[0, 12, 0, 13]"
1,146,123,138,52,0,"[0, 12, 12, 14]","[0, 10, 11, 11]","[0, 14, 0, 11]","[0, 0, 13, 0]","[0, 11, 0, 0]","[0, 0, 0, 11]","[11, 12, 0, 0]","[10, 12, 0, 10]","[0, 11, 10, 11]","[10, 0, 11, 10]","[0, 10, 0, 11]","[10, 0, 11, 11]","[0, 10, 11, 0]","[11, 0, 0, 0]","[0, 12, 0, 10]","[0, 0, 12, 0]","[0, 11, 10, 0]","[0, 11, 10, 16]","[0, 10, 12, 12]"
1,128,103,120,113,1,"[10, 0, 0, 11]","[11, 0, 12, 14]","[0, 12, 0, 0]","[0, 10, 0, 0]","[0, 0, 10, 11]","[0, 12, 13, 10]","[10, 10, 0, 0]","[0, 10, 0, 0]","[10, 0, 12, 10]","[10, 10, 0, 11]","[10, 10, 0, 10]","[0, 10, 0, 10]","[10, 0, 11, 12]","[0, 12, 10, 11]","[14, 11, 0, 10]","[0, 11, 12, 0]","[11, 0, 12, 0]","[17, 10, 11, 0]","[0, 0, 0, 0]"
1,154,134,132,77,2,"[0, 11, 0, 11]","[10, 0, 0, 0]","[12, 0, 13, 12]","[0, 11, 0, 12]","[0, 10, 0, 0]","[0, 11, 10, 11]","[13, 11, 10, 0]","[10, 11, 10, 0]","[10, 11, 0, 11]","[10, 10, 11, 0]","[0, 11, 11, 10]","[0, 10, 13, 10]","[0, 13, 11, 10]","[0, 11, 0, 10]","[12, 13, 10, 0]","[0, 0, 11, 0]","[0, 0, 12, 10]","[0, 10, 12, 11]","[0, 0, 0, 14]"
3,125,138,162,112,3,"[10, 0, 0, 0]","[12, 11, 14, 0]","[0, 11, 14, 10]","[11, 11, 0, 11]","[0, 10, 11, 12]","[12, 0, 11, 11]","[12, 0, 11, 11]","[10, 0, 12, 10]","[10, 11, 0, 10]","[0, 10, 10, 11]","[11, 0, 10, 10]","[11, 0, 10, 11]","[0, 13, 0, 0]","[0, 0, 0, 11]","[0, 0, 11, 10]","[0, 11, 0, 0]","[0, 12, 13, 10]","[0, 13, 11, 13]","[13, 12, 0, 11]"
1,148,101,136,99,0,"[12, 11, 0, 0]","[12, 15, 12, 0]","[0, 10, 0, 14]","[0, 0, 0, 11]","[0, 0, 12, 0]","[0, 0, 0, 11]","[10, 0, 0, 10]","[0, 10, 0, 0]","[0, 11, 11, 10]","[10, 0, 10, 10]","[10, 0, 11, 10]","[11, 11, 11, 0]","[11, 10, 12, 0]","[0, 11, 11, 12]","[0, 10, 11, 13]","[10, 12, 0, 10]","[0, 14, 0, 0]","[13, 10, 0, 12]","[0, 13, 0, 13]"
3,114,113,169,109,1,"[0, 12, 12, 14]","[10, 0, 14, 14]","[0, 11, 10, 0]","[0, 12, 0, 0]","[0, 0, 0, 11]","[0, 0, 0, 11]","[0, 11, 12, 11]","[10, 0, 11, 10]","[11, 0, 11, 10]","[11, 10, 0, 10]","[11, 0, 10, 10]","[10, 10, 0, 12]","[11, 0, 0, 11]","[12, 0, 10, 10]","[0, 10, 0, 11]","[12, 13, 0, 0]","[0, 11, 12, 0]","[0, 14, 11, 13]","[11, 0, 0, 11]"
3,120,84,157,121,2,"[0, 12, 0, 12]","[10, 0, 0, 17]","[10, 0, 0, 13]","[10, 0, 11, 0]","[0, 13, 10, 11]","[10, 0, 0, 0]","[10, 0, 10, 0]","[10, 13, 0, 10]","[11, 11, 0, 10]","[0, 10, 10, 10]","[12, 0, 10, 10]","[0, 0, 0, 10]","[0, 0, 11, 0]","[0, 10, 11, 11]","[13, 11, 0, 11]","[0, 15, 0, 0]","[12, 0, 0, 11]","[0, 14, 11, 11]","[13, 11, 0, 10]"
3,134,89,150,116,3,"[0, 11, 0, 0]","[0, 11, 0, 12]","[11, 0, 11, 0]","[12, 10, 0, 13]","[12, 11, 0, 11]","[13, 11, 0, 10]","[12, 11, 0, 11]","[11, 10, 0, 11]","[10, 10, 11, 0]","[10, 0, 10, 10]","[0, 0, 11, 0]","[0, 0, 0, 0]","[0, 0, 11, 10]","[0, 11, 12, 12]","[0, 11, 11, 13]","[0, 0, 0, 13]","[13, 12, 0, 11]","[12, 0, 12, 0]","[0, 15, 0, 13]"
2,122,130,115,126,0,"[0, 11, 0, 0]","[0, 0, 12, 11]","[12, 11, 0, 13]","[14, 11, 0, 11]","[11, 11, 0, 11]","[12, 0, 10, 12]","[0, 11, 12, 10]","[10, 11, 10, 0]","[11, 11, 10, 0]","[10, 0, 10, 10]","[12, 10, 10, 0]","[10, 0, 10, 0]","[0, 12, 10, 0]","[0, 0, 13, 0]","[0, 0, 0, 10]","[14, 11, 12, 0]","[0, 0, 0, 12]","[10, 0, 0, 15]","[0, 12, 11, 0]"
2,122,152,143,113,1,"[0, 12, 0, 0]","[0, 12, 0, 0]","[13, 0, 11, 13]","[0, 0, 14, 11]","[12, 0, 13, 10]","[0, 11, 12, 11]","[13, 10, 11, 0]","[10, 0, 11, 10]","[10, 11, 0, 10]","[10, 0, 10, 10]","[11, 0, 10, 11]","[11, 0, 11, 11]","[12, 0, 12, 10]","[0, 10, 13, 11]","[0, 12, 12, 11]","[0, 10, 0, 0]","[0, 10, 12, 0]","[11, 11, 0, 14]","[0, 13, 0, 0]"
