winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1,163,120,106,93,2,"[0, 11, 15, 12]","[12, 12, 0, 0]","[0, 10, 0, 13]","[0, 0, 0, 0]","[12, 10, 0, 0]","[11, 0, 10, 14]","[0, 0, 0, 11]","[0, 10, 10, 0]","[0, 11, 10, 10]","[11, 10, 10, 0]","[0, 10, 10, 12]","[11, 12, 10, 0]","[10, 11, 10, 0]","[13, 10, 10, 0]","[0, 12, 11, 10]","[0, 10, 14, 0]","[13, 11, 0, 12]","[0, 0, 0, 12]","[0, 13, 0, 0]"
1,157,100,132,125,3,"[0, 13, 11, 0]","[0, 0, 0, 12]","[10, 10, 0, 16]","[12, 0, 0, 0]","[0, 12, 10, 0]","[10, 0, 0, 0]","[10, 10, 0, 11]","[10, 11, 10, 0]","[10, 10, 12, 0]","[0, 10, 11, 10]","[10, 10, 0, 10]","[0, 11, 0, 10]","[10, 12, 11, 0]","[12, 0, 10, 12]","[10, 10, 0, 0]","[11, 0, 15, 11]","[0, 13, 10, 14]","[10, 14, 0, 13]","[0, 11, 0, 13]"
3,150,81,184,128,0,"[11, 13, 14, 0]","[10, 0, 0, 14]","[0, 12, 13, 13]","[0, 13, 0, 12]","[11, 0, 0, 10]","[12, 0, 0, 10]","[10, 12, 0, 12]","[10, 11, 12, 0]","[0, 11, 10, 11]","[10, 10, 0, 10]","[10, 10, 0, 11]","[10, 10, 0, 10]","[0, 10, 11, 12]","[0, 0, 11, 11]","[10, 13, 0, 12]","[14, 11, 0, 10]","[0, 0, 0, 10]","[0, 14, 0, 0]","[10, 0, 10, 16]"
2,103,140,123,109,1,"[0, 0, 0, 12]","[0, 0, 15, 0]","[0, 0, 13, 0]","[0, 12, 0, 11]","[12, 0, 0, 11]","[11, 10, 0, 11]","[11, 12, 10, 0]","[11, 0, 10, 12]","[11, 0, 10, 11]","[10, 10, 0, 10]","[0, 10, 10, 0]","[0, 11, 10, 10]","[0, 0, 10, 12]","[11, 0, 0, 0]","[11, 11, 0, 12]","[10, 0, 12, 0]","[11, 15, 11, 0]","[0, 0, 15, 0]","[0, 12, 14, 11]"
0,107,121,116,155,2,"[16, 10, 0, 11]","[0, 12, 13, 10]","[14, 0, 0, 0]","[11, 0, 11, 0]","[0, 10, 10, 0]","[12, 10, 0, 10]","[12, 0, 10, 11]","[0, 13, 10, 10]","[10, 10, 0, 0]","[10, 10, 10, 0]","[0, 11, 10, 10]","[10, 10, 0, 11]","[12, 11, 0, 11]","[14, 0, 10, 10]","[10, 0, 0, 11]","[0, 0, 11, 0]","[12, 0, 12, 11]","[12, 0, 0, 0]","[0, 0, 14, 0]"
1,149,122,124,100,3,"[12, 12, 0, 15]","[0, 14, 11, 0]","[0, 0, 12, 11]","[10, 11, 0, 13]","[10, 0, 15, 11]","[0, 12, 11, 10]","[0, 0, 10, 0]","[10, 0, 10, 11]","[0, 11, 11, 10]","[0, 10, 10, 11]","[10, 11, 11, 0]","[0, 10, 0, 10]","[10, 11, 11, 0]","[0, 10, 0, 0]","[14, 0, 0, 0]","[0, 11, 0, 0]","[0, 12, 10, 0]","[12, 14, 0, 11]","[12, 0, 0, 11]"
1,148,129,111,90,0,"[0, 12, 0, 13]","[0, 0, 0, 0]","[13, 12, 0, 0]","[10, 13, 12, 0]","[0, 0, 10, 11]","[13, 11, 0, 11]","[11, 0, 0, 0]","[0, 11, 10, 0]","[0, 10, 10, 11]","[10, 0, 11, 10]","[11, 11, 0, 10]","[0, 10, 10, 11]","[11, 11, 10, 0]","[0, 0, 11, 0]","[11, 10, 12, 0]","[0, 12, 10, 12]","[0, 13, 11, 11]","[0, 12, 12, 11]","[0, 0, 0, 0]"
3,146,110,161,142,1,"[11, 0, 0, 11]","[0, 0, 0, 11]","[10, 13, 13, 0]","[0, 0, 0, 11]","[11, 11, 0, 11]","[11, 11, 0, 11]","[11, 10, 13, 0]","[10, 11, 10, 0]","[11, 0, 10, 10]","[10, 10, 0, 10]","[10, 10, 10, 0]","[0, 10, 10, 12]","[0, 13, 10, 11]","[11, 10, 11, 0]","[11, 0, 12, 13]","[13, 11, 0, 13]","[0, 0, 11, 13]","[0, 14, 0, 11]","[12, 12, 0, 13]"
1,121,119,117,92,2,"[0, 10, 0, 0]","[0, 0, 11, 0]","[0, 0, 11, 12]","[0, 11, 10, 0]","[12, 14, 10, 0]","[0, 12, 11, 10]","[0, 10, 0, 11]","[0, 10, 10, 10]","[10, 11, 0, 10]","[10, 0, 10, 10]","[0, 11, 11, 10]","[11, 11, 10, 0]","[0, 10, 11, 10]","[0, 0, 0, 0]","[12, 0, 0, 0]","[13, 11, 0, 12]","[12, 0, 14, 12]","[0, 0, 0, 10]","[12, 0, 0, 0]"
3,109,121,133,105,3,"[13, 12, 11, 0]","[0, 0, 13, 0]","[11, 0, 11, 12]","[0, 12, 0, 0]","[0, 12, 10, 11]","[0, 12, 11, 10]","[13, 10, 0, 11]","[11, 10, 0, 10]","[0, 10, 10, 10]","[10, 0, 10, 10]","[12, 0, 10, 10]","[11, 0, 11, 10]","[0, 10, 0, 0]","[0, 10, 0, 0]","[0, 0, 10, 13]","[11, 0, 0, 14]","[0, 0, 0, 0]","[0, 0, 0, 12]","[13, 11, 14, 0]"
3,112,142,164,156,0,"[0, 0, 14, 0]","[0, 10, 13, 12]","[11, 0, 13, 14]","[12, 0, 0, 0]","[11, 0, 10, 11]","[0, 12, 0, 0]","[10, 11, 0, 13]","[10, 11, 10, 0]","[11, 10, 11, 0]","[10, 0, 10, 11]","[11, 10, 0, 11]","[11, 0, 11, 11]","[10, 11, 0, 12]","[13, 0, 11, 11]","[12, 0, 0, 12]","[0, 11, 13, 11]","[0, 12, 11, 12]","[12, 14, 0, 10]","[12, 0, 15, 13]"
1,136,121,130,112,1,"[0, 0, 12, 12]","[0, 11, 0, 0]","[0, 11, 10, 0]","[0, 11, 12, 11]","[12, 0, 0, 0]","[12, 11, 0, 11]","[0, 12, 10, 0]","[10, 11, 0, 10]","[0, 0, 10, 0]","[11, 10, 0, 10]","[11, 0, 10, 10]","[0, 11, 10, 10]","[0, 10, 0, 0]","[10, 0, 13, 11]","[10, 0, 12, 10]","[11, 11, 0, 11]","[11, 0, 11, 12]","[0, 15, 11, 12]","[14, 12, 0, 0]"
0,147,115,131,148,2,"[0, 10, 12, 0]","[12, 0, 0, 0]","[10, 12, 0, 14]","[13, 11, 0, 11]","[0, 11, 0, 0]","[12, 10, 10, 0]","[0, 12, 11, 11]","[10, 0, 10, 12]","[11, 10, 0, 10]","[11, 10, 10, 0]","[10, 10, 0, 10]","[11, 0, 11, 10]","[0, 0, 0, 10]","[0, 11, 14, 10]","[15, 11, 0, 0]","[11, 0, 13, 11]","[11, 13, 12, 0]","[0, 16, 12, 10]","[11, 0, 0, 12]"
3,144,84,168,112,3,"[0, 0, 0, 13]","[0, 0, 0, 12]","[0, 10, 13, 12]","[12, 11, 0, 11]","[0, 10, 0, 0]","[12, 13, 0, 10]","[10, 0, 11, 11]","[10, 0, 10, 10]","[0, 10, 0, 10]","[0, 11, 10, 10]","[10, 10, 0, 11]","[0, 10, 0, 10]","[11, 0, 0, 0]","[0, 10, 12, 12]","[0, 12, 13, 11]","[11, 11, 0, 13]","[12, 12, 0, 0]","[11, 0, 15, 0]","[13, 14, 0, 12]"
1,164,113,147,158,0,"[13, 0, 0, 0]","[12, 0, 11, 12]","[12, 13, 13, 0]","[0, 10, 14, 12]","[13, 0, 11, 11]","[11, 12, 0, 10]","[11, 11, 0, 12]","[0, 11, 11, 10]","[10, 10, 10, 0]","[0, 10, 10, 10]","[10, 11, 0, 11]","[10, 10, 12, 0]","[10, 12, 0, 10]","[12, 0, 11, 0]","[0, 13, 10, 0]","[11, 0, 0, 14]","[0, 11, 0, 13]","[10, 16, 0, 12]","[13, 14, 0, 10]"
