card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
6C,mediumlow,False,5,4,1,4,0,10
4C,low,False,4,3,1,3,0,8
7C,mediumlow,False,3,2,0,2,-1,4
3C,low,False,2,2,1,2,4,10
3D,low,True,2,1,-2,0,2,2
AC,veryhigh,False,5,2,2,3,2,10
AH,veryhigh,False,2,1,2,3,2,9
8S,mediumHigh,False,3,0,2,3,2,8
2H,low,False,4,3,1,5,0,10
QH,high,False,3,2,-1,5,-1,6
7H,mediumlow,False,2,1,-1,4,-1,4
6S,mediumlow,True,1,0,-2,4,-1,2
AS,veryhigh,True,4,4,2,0,5,10
8D,mediumHigh,False,1,3,2,0,5,9
KS,veryhigh,True,2,2,0,0,5,6
5H,low,False,4,1,0,0,5,5
6H,mediumlow,False,3,0,0,0,4,3
5C,low,False,4,0,4,4,1,10
QC,high,False,2,-1,4,3,0,7
3S,low,False,3,2,2,5,0,10
8D,mediumHigh,False,3,1,2,4,0,8
AH,veryhigh,True,1,0,0,2,0,3
3D,low,False,2,-1,0,2,0,2
QD,high,False,4,4,0,3,4,10
JD,high,False,2,3,0,1,1,4
9H,mediumHigh,True,1,2,0,0,1,2
8S,mediumHigh,False,2,3,1,3,5,10
7C,mediumlow,True,2,2,1,3,4,8
KS,veryhigh,False,1,1,0,2,3,4
3D,low,False,2,0,0,2,3,3
3H,low,False,1,-1,0,2,3,2
6D,mediumlow,False,4,2,1,5,4,10
QC,high,False,4,1,1,4,4,8
TH,high,True,1,0,1,3,4,6
2H,low,False,5,3,2,2,1,10
7H,mediumlow,False,1,2,0,0,-1,3
2D,low,False,1,1,0,0,-1,2
AH,veryhigh,False,6,3,4,1,1,10
KH,veryhigh,False,5,2,4,1,1,9
2H,low,False,4,1,2,1,0,5
8H,mediumHigh,False,3,0,2,1,-1,3
QH,high,False,3,6,1,0,1,10
9C,mediumHigh,False,2,5,1,0,1,9
TD,high,True,4,4,1,-1,1,7
9D,mediumHigh,True,3,3,1,-1,1,6
7S,mediumlow,False,1,2,1,-1,1,5
QD,high,True,2,1,1,-2,1,3
AD,veryhigh,True,1,0,1,-2,1,2
AD,veryhigh,False,2,3,5,0,3,10
9S,mediumHigh,False,2,2,5,0,3,9
8C,mediumHigh,True,3,1,5,0,3,8
4D,low,False,1,0,2,0,1,2
3C,low,False,4,2,1,4,2,10
9H,mediumHigh,False,1,1,1,4,1,8
2C,low,False,3,0,1,4,0,6
7S,mediumlow,False,4,4,1,2,4,10
AD,veryhigh,False,1,3,0,2,2,6
TS,high,False,3,2,0,2,2,5
AH,veryhigh,False,3,2,3,3,1,10
6H,mediumlow,False,2,1,3,3,1,9
3C,low,True,1,0,2,3,1,7
5H,low,False,5,2,3,3,1,10
2S,low,False,2,1,2,3,0,7
TH,high,False,3,0,1,2,-1,3
8S,mediumHigh,False,4,4,3,2,3,10
2C,low,True,3,3,2,1,2,6
TS,high,False,3,2,1,1,2,4
3S,low,False,2,1,1,1,2,3
JS,high,False,3,3,0,5,3,10
AD,veryhigh,False,3,2,0,5,3,9
5S,low,False,2,1,0,5,3,8
JH,high,False,3,0,0,4,3,6
3H,low,False,2,-1,0,3,3,4
8C,mediumHigh,True,2,1,2,7,1,10
6C,mediumlow,True,3,2,1,4,5,10
9C,mediumHigh,True,2,1,1,3,2,5
JC,high,True,1,0,1,3,2,4
4C,low,False,2,2,5,0,1,10
9C,mediumHigh,False,1,1,2,0,0,5
QC,high,False,2,5,1,2,4,10
JH,high,False,3,4,1,2,4,9
3D,low,True,4,3,1,2,3,7
KD,veryhigh,True,2,2,1,2,2,5
3H,low,False,2,1,1,2,1,3
5C,low,False,1,0,1,2,1,2
TS,high,False,2,4,5,2,0,10
JS,high,False,1,3,5,2,0,9
7H,mediumlow,False,2,2,2,1,0,4
KH,veryhigh,False,2,2,4,4,1,10
8C,mediumHigh,False,3,1,4,4,1,9
JS,high,True,2,0,3,4,1,7
AH,veryhigh,False,4,4,2,2,3,10
8H,mediumHigh,False,3,3,2,2,3,9
KC,veryhigh,False,1,2,2,2,3,8
JD,high,True,2,1,2,2,3,7
4S,low,False,3,0,2,1,3,5
TC,high,False,1,3,1,3,2,10
3H,low,True,4,2,1,3,2,9
7S,mediumlow,False,2,1,1,0,0,3
TD,high,False,3,3,3,2,3,10
AS,veryhigh,True,2,2,3,0,1,5
7H,mediumlow,False,3,1,3,0,1,4
8H,mediumHigh,False,2,0,2,0,1,2
KC,veryhigh,False,3,3,3,5,1,10
AC,veryhigh,False,2,2,3,5,1,9
7C,mediumlow,False,1,1,3,5,1,8
3S,low,False,2,0,3,1,0,2
8H,mediumHigh,False,5,0,3,4,4,10
2H,low,True,3,2,1,6,2,10
8S,mediumHigh,False,2,1,1,3,-1,3
TD,high,False,2,1,3,2,6,10
9S,mediumHigh,False,2,0,2,0,3,3
4D,low,False,1,3,1,4,1,10
JH,high,False,2,2,1,0,1,5
KS,veryhigh,True,1,1,1,0,1,4
6H,mediumlow,False,1,0,1,0,1,3
5D,low,True,3,2,1,4,5,10
2S,low,False,1,1,0,1,4,4
3C,low,False,1,0,0,1,3,2
AH,veryhigh,False,6,3,2,4,3,10
AC,veryhigh,False,2,2,2,4,3,9
KS,veryhigh,True,1,1,2,4,3,8
2C,low,False,1,0,2,4,3,7
8H,mediumHigh,False,4,0,4,1,7,10
8C,mediumHigh,False,6,1,5,1,2,10
3C,low,False,3,0,2,0,1,4
4S,low,False,2,2,4,1,2,10
QD,high,False,2,1,2,-1,1,4
8S,mediumHigh,False,1,0,1,-1,1,2
AD,veryhigh,False,5,3,3,4,1,10
KD,veryhigh,False,4,2,3,4,1,9
6D,mediumlow,False,3,1,3,4,1,8
9C,mediumHigh,True,2,0,3,4,1,7
5H,low,False,3,1,3,1,7,10
5S,low,False,4,0,2,1,5,6
TS,high,False,3,1,4,2,4,10
4S,low,False,1,0,4,2,3,8
6H,mediumlow,True,2,1,3,4,3,10
5S,low,False,2,0,1,3,2,5
JD,high,False,2,3,2,5,1,10
9H,mediumHigh,False,5,2,2,5,1,9
KC,veryhigh,False,6,2,2,6,1,10
