winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1,161,114,136,122,1,"[10, 0, 11, 0]","[0, 12, 0, 0]","[14, 10, 11, 0]","[0, 10, 0, 0]","[11, 11, 0, 11]","[10, 10, 0, 13]","[0, 0, 13, 10]","[0, 11, 10, 10]","[0, 10, 11, 10]","[10, 10, 0, 10]","[11, 10, 0, 11]","[10, 10, 10, 0]","[10, 0, 0, 11]","[0, 11, 10, 12]","[0, 10, 0, 0]","[10, 0, 12, 13]","[14, 11, 0, 12]","[12, 14, 12, 0]","[0, 11, 14, 13]"
0,160,147,134,172,2,"[13, 14, 0, 13]","[14, 12, 10, 0]","[13, 10, 14, 0]","[14, 11, 11, 0]","[10, 11, 12, 0]","[11, 11, 11, 0]","[10, 11, 0, 10]","[10, 0, 0, 11]","[10, 0, 10, 11]","[11, 10, 10, 0]","[0, 10, 11, 10]","[0, 10, 11, 11]","[0, 11, 12, 10]","[10, 0, 0, 12]","[0, 0, 11, 11]","[12, 0, 12, 11]","[10, 12, 0, 13]","[13, 12, 12, 0]","[11, 15, 0, 11]"
1,140,82,99,115,3,"[0, 12, 0, 0]","[0, 11, 0, 0]","[14, 0, 12, 10]","[12, 0, 10, 0]","[0, 10, 0, 13]","[0, 14, 10, 10]","[11, 10, 0, 10]","[0, 10, 10, 10]","[10, 0, 10, 0]","[0, 10, 10, 10]","[11, 0, 10, 11]","[10, 10, 10, 0]","[0, 10, 0, 0]","[10, 11, 0, 0]","[0, 0, 0, 11]","[12, 10, 0, 0]","[0, 12, 0, 0]","[13, 10, 0, 14]","[12, 0, 0, 0]"
1,162,115,135,122,0,"[11, 14, 14, 0]","[0, 0, 10, 12]","[13, 10, 0, 12]","[0, 15, 10, 11]","[11, 13, 0, 12]","[0, 10, 14, 11]","[11, 12, 0, 11]","[0, 10, 0, 0]","[10, 0, 10, 0]","[10, 0, 10, 11]","[11, 10, 10, 0]","[11, 10, 12, 0]","[0, 12, 0, 10]","[11, 0, 12, 11]","[10, 12, 13, 0]","[0, 11, 0, 12]","[0, 0, 0, 0]","[13, 11, 0, 10]","[0, 12, 0, 12]"
1,143,118,106,121,1,"[12, 0, 12, 13]","[0, 10, 0, 0]","[12, 0, 0, 0]","[11, 0, 0, 0]","[11, 12, 0, 10]","[12, 10, 0, 12]","[10, 12, 10, 0]","[11, 0, 0, 0]","[10, 0, 10, 10]","[0, 10, 10, 10]","[10, 10, 11, 0]","[0, 11, 11, 10]","[0, 10, 10, 0]","[0, 11, 0, 0]","[0, 11, 12, 0]","[11, 12, 10, 0]","[0, 0, 10, 13]","[11, 11, 0, 14]","[0, 13, 12, 14]"
3,110,96,152,117,2,"[0, 0, 11, 0]","[14, 10, 0, 11]","[0, 14, 0, 10]","[12, 0, 0, 11]","[0, 10, 11, 12]","[11, 11, 0, 11]","[13, 10, 0, 11]","[0, 0, 0, 10]","[11, 0, 11, 10]","[10, 10, 10, 0]","[11, 0, 10, 10]","[11, 0, 10, 11]","[11, 11, 0, 10]","[0, 0, 10, 0]","[0, 0, 0, 11]","[13, 10, 0, 12]","[0, 12, 12, 12]","[0, 0, 0, 0]","[0, 12, 11, 0]"
2,134,182,138,110,3,"[0, 0, 12, 0]","[15, 0, 12, 10]","[10, 0, 12, 15]","[0, 12, 13, 10]","[0, 0, 10, 0]","[0, 10, 11, 12]","[10, 10, 12, 0]","[10, 0, 0, 0]","[11, 11, 10, 0]","[0, 10, 11, 10]","[11, 0, 10, 11]","[12, 11, 0, 10]","[10, 12, 0, 10]","[10, 0, 13, 11]","[0, 11, 11, 12]","[11, 13, 11, 0]","[0, 11, 11, 15]","[0, 12, 13, 12]","[0, 11, 10, 0]"
2,110,161,113,135,0,"[11, 14, 0, 11]","[12, 0, 12, 0]","[14, 0, 11, 12]","[0, 11, 14, 0]","[0, 0, 10, 0]","[11, 11, 10, 0]","[11, 0, 11, 11]","[0, 0, 11, 0]","[0, 10, 10, 12]","[10, 0, 11, 10]","[11, 11, 0, 10]","[0, 10, 12, 0]","[11, 10, 0, 0]","[10, 0, 12, 12]","[11, 0, 11, 11]","[11, 10, 0, 0]","[0, 12, 0, 11]","[0, 11, 13, 13]","[12, 0, 13, 0]"
3,113,136,155,98,1,"[10, 0, 12, 14]","[0, 12, 12, 12]","[0, 12, 14, 10]","[15, 0, 10, 11]","[0, 13, 11, 11]","[10, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 10]","[10, 0, 10, 11]","[11, 10, 0, 10]","[0, 11, 10, 11]","[0, 10, 11, 10]","[10, 0, 10, 0]","[0, 0, 11, 0]","[0, 11, 11, 11]","[10, 11, 0, 13]","[0, 0, 0, 10]","[12, 12, 0, 0]","[0, 11, 14, 11]"
3,86,123,170,73,2,"[0, 0, 0, 0]","[11, 0, 0, 0]","[0, 0, 12, 10]","[0, 0, 11, 12]","[10, 11, 0, 13]","[11, 0, 12, 11]","[10, 11, 0, 10]","[0, 10, 11, 10]","[10, 0, 12, 10]","[0, 10, 10, 10]","[11, 11, 10, 0]","[0, 0, 10, 11]","[0, 0, 0, 11]","[0, 10, 0, 14]","[10, 0, 12, 13]","[0, 12, 11, 0]","[0, 0, 0, 11]","[0, 0, 0, 11]","[0, 11, 12, 13]"
