winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
3,112,99,141,93,2,"[12, 0, 0, 12]","[13, 12, 11, 0]","[12, 0, 0, 0]","[0, 0, 0, 10]","[10, 11, 0, 12]","[0, 0, 0, 0]","[0, 12, 0, 10]","[0, 11, 10, 11]","[0, 10, 0, 0]","[0, 10, 10, 10]","[0, 10, 10, 12]","[0, 0, 10, 10]","[0, 12, 11, 11]","[0, 0, 12, 0]","[11, 11, 0, 11]","[11, 0, 0, 10]","[12, 0, 14, 10]","[12, 0, 11, 0]","[0, 13, 0, 12]"
2,162,170,98,104,3,"[11, 12, 11, 0]","[15, 0, 13, 0]","[0, 10, 11, 0]","[0, 10, 13, 0]","[10, 12, 12, 0]","[11, 0, 11, 13]","[10, 0, 10, 10]","[10, 11, 0, 11]","[0, 11, 11, 10]","[0, 10, 10, 10]","[0, 10, 10, 10]","[11, 11, 0, 0]","[0, 0, 11, 0]","[0, 11, 11, 0]","[0, 11, 11, 0]","[0, 11, 0, 11]","[14, 10, 0, 11]","[12, 11, 14, 0]","[0, 11, 11, 12]"
3,148,131,156,75,0,"[0, 0, 11, 12]","[0, 11, 0, 13]","[0, 14, 12, 10]","[0, 13, 12, 10]","[13, 12, 0, 10]","[0, 11, 0, 0]","[10, 0, 10, 11]","[10, 10, 11, 0]","[0, 10, 11, 10]","[10, 0, 10, 10]","[11, 10, 0, 11]","[10, 0, 10, 0]","[0, 10, 11, 0]","[11, 0, 11, 12]","[0, 12, 0, 11]","[0, 11, 0, 0]","[0, 13, 0, 12]","[0, 0, 11, 12]","[0, 11, 11, 12]"
3,135,93,150,148,1,"[10, 0, 0, 15]","[0, 11, 0, 11]","[13, 0, 14, 11]","[0, 11, 12, 12]","[10, 12, 0, 11]","[12, 11, 0, 0]","[12, 10, 0, 0]","[11, 0, 10, 11]","[0, 10, 10, 11]","[10, 10, 0, 10]","[10, 0, 11, 0]","[0, 10, 11, 12]","[11, 13, 0, 10]","[11, 0, 0, 0]","[0, 13, 12, 10]","[13, 12, 0, 0]","[11, 0, 0, 13]","[0, 0, 13, 0]","[14, 12, 0, 13]"
3,121,128,153,123,2,"[12, 13, 0, 12]","[0, 0, 0, 0]","[0, 11, 0, 0]","[13, 12, 0, 10]","[13, 10, 0, 12]","[11, 0, 12, 12]","[0, 11, 10, 11]","[11, 0, 10, 12]","[10, 10, 11, 0]","[10, 10, 10, 0]","[0, 11, 10, 11]","[0, 0, 11, 0]","[10, 0, 0, 12]","[0, 0, 11, 11]","[11, 11, 0, 12]","[0, 10, 11, 0]","[10, 0, 11, 12]","[0, 12, 10, 13]","[12, 0, 11, 13]"
1,162,136,156,158,3,"[0, 13, 12, 0]","[13, 11, 11, 0]","[11, 15, 0, 12]","[10, 0, 12, 12]","[11, 0, 0, 11]","[0, 0, 10, 12]","[12, 0, 11, 11]","[0, 10, 12, 11]","[10, 0, 10, 11]","[10, 11, 0, 10]","[10, 10, 0, 11]","[10, 12, 0, 10]","[0, 10, 11, 11]","[0, 11, 13, 10]","[12, 12, 0, 11]","[11, 12, 10, 0]","[12, 11, 13, 0]","[14, 12, 11, 0]","[12, 12, 0, 13]"
3,155,163,166,96,0,"[0, 0, 0, 14]","[13, 0, 11, 13]","[0, 12, 13, 13]","[0, 11, 14, 10]","[0, 0, 12, 10]","[11, 10, 0, 11]","[12, 10, 0, 11]","[11, 0, 10, 10]","[0, 11, 10, 10]","[10, 10, 0, 11]","[0, 11, 10, 10]","[0, 10, 11, 10]","[0, 10, 12, 0]","[0, 11, 12, 11]","[13, 10, 11, 0]","[14, 12, 11, 0]","[0, 12, 12, 0]","[0, 0, 14, 10]","[12, 15, 0, 12]"
3,139,108,154,126,1,"[11, 0, 0, 14]","[12, 13, 0, 12]","[13, 10, 12, 0]","[11, 12, 0, 11]","[0, 14, 0, 0]","[11, 12, 11, 0]","[11, 10, 11, 0]","[0, 0, 10, 11]","[10, 0, 11, 10]","[0, 0, 10, 11]","[10, 11, 0, 10]","[0, 0, 10, 0]","[0, 12, 11, 10]","[10, 12, 0, 11]","[0, 0, 0, 11]","[14, 10, 11, 0]","[13, 11, 0, 12]","[0, 0, 0, 14]","[0, 12, 11, 17]"
1,134,89,83,117,2,"[15, 11, 0, 0]","[12, 11, 0, 0]","[0, 0, 12, 10]","[12, 15, 0, 10]","[11, 0, 0, 0]","[11, 12, 0, 10]","[0, 10, 0, 0]","[0, 0, 0, 10]","[11, 0, 0, 0]","[0, 10, 10, 10]","[0, 10, 11, 11]","[11, 10, 0, 11]","[12, 0, 0, 0]","[10, 11, 11, 0]","[0, 10, 12, 11]","[12, 10, 11, 0]","[0, 0, 12, 0]","[0, 14, 0, 0]","[0, 0, 10, 0]"
1,139,134,105,70,3,"[0, 11, 11, 13]","[0, 0, 15, 0]","[0, 0, 11, 0]","[0, 0, 0, 0]","[12, 0, 0, 10]","[0, 11, 13, 10]","[0, 11, 0, 0]","[0, 0, 10, 0]","[0, 0, 10, 10]","[0, 10, 10, 11]","[11, 11, 0, 10]","[10, 0, 10, 10]","[0, 12, 10, 11]","[0, 12, 12, 10]","[0, 11, 0, 0]","[14, 13, 0, 10]","[12, 10, 11, 0]","[0, 10, 0, 0]","[11, 17, 11, 0]"
