winner,score1,score2,score3,score0,score4,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1,164,144,132,139,100,1,"[0, 12, 11, 0, 15]","[11, 0, 15, 11, 0]","[11, 10, 0, 13, 12]","[11, 12, 0, 13, 10]","[0, 14, 10, 11, 10]","[10, 10, 0, 0, 11]","[10, 11, 0, 0, 0]","[10, 11, 10, 10, 0]","[11, 10, 10, 11, 0]","[10, 10, 10, 10, 0]","[11, 10, 10, 11, 0]","[11, 10, 10, 0, 11]","[0, 11, 11, 10, 11]","[11, 11, 12, 11, 0]","[0, 0, 0, 10, 10]","[11, 12, 11, 0, 0]","[0, 0, 0, 0, 0]","[11, 0, 13, 11, 10]","[0, 10, 11, 0, 0]"
1,158,134,116,130,153,2,"[11, 13, 11, 0, 12]","[12, 10, 0, 0, 11]","[0, 0, 0, 11, 10]","[10, 12, 11, 0, 11]","[11, 10, 10, 0, 0]","[12, 0, 12, 10, 11]","[10, 12, 10, 0, 11]","[10, 10, 11, 10, 0]","[10, 10, 0, 11, 10]","[0, 10, 11, 0, 10]","[10, 0, 12, 10, 10]","[0, 0, 0, 0, 10]","[0, 11, 10, 10, 12]","[0, 0, 12, 11, 0]","[11, 12, 11, 10, 0]","[0, 13, 0, 11, 0]","[13, 12, 0, 10, 11]","[10, 12, 0, 0, 12]","[0, 11, 13, 12, 12]"
4,154,144,121,155,178,3,"[12, 0, 11, 13, 12]","[13, 11, 11, 0, 11]","[11, 12, 0, 12, 13]","[10, 0, 11, 13, 10]","[0, 11, 12, 11, 10]","[10, 11, 13, 0, 10]","[10, 11, 10, 0, 11]","[11, 10, 0, 10, 12]","[10, 0, 10, 11, 11]","[0, 10, 10, 10, 10]","[10, 10, 10, 0, 12]","[0, 10, 12, 0, 0]","[0, 0, 0, 10, 10]","[13, 10, 10, 10, 0]","[11, 10, 0, 0, 11]","[11, 11, 0, 0, 0]","[13, 0, 13, 11, 10]","[10, 12, 11, 0, 14]","[0, 15, 0, 10, 11]"
2,163,168,133,134,140,4,"[12, 0, 11, 0, 0]","[13, 0, 11, 12, 11]","[10, 0, 11, 14, 11]","[0, 11, 10, 11, 12]","[10, 12, 0, 11, 12]","[12, 10, 11, 10, 0]","[0, 10, 0, 0, 11]","[11, 10, 12, 0, 10]","[10, 10, 0, 11, 11]","[0, 10, 10, 10, 10]","[10, 10, 0, 0, 10]","[0, 10, 11, 11, 10]","[0, 0, 11, 10, 0]","[0, 10, 12, 11, 10]","[11, 11, 10, 0, 11]","[0, 11, 11, 11, 0]","[11, 11, 14, 11, 0]","[11, 14, 12, 0, 0]","[13, 13, 11, 0, 11]"
4,143,117,169,154,172,0,"[13, 13, 0, 13, 11]","[13, 11, 11, 10, 0]","[0, 11, 10, 11, 12]","[11, 0, 0, 0, 11]","[13, 10, 0, 11, 0]","[0, 10, 0, 0, 10]","[12, 0, 11, 10, 10]","[0, 10, 10, 11, 11]","[10, 11, 10, 0, 10]","[10, 10, 10, 10, 0]","[11, 0, 10, 10, 11]","[10, 0, 11, 11, 10]","[10, 12, 0, 10, 12]","[0, 0, 11, 10, 12]","[10, 0, 0, 0, 14]","[11, 10, 11, 14, 0]","[0, 10, 12, 12, 12]","[10, 13, 0, 14, 12]","[10, 12, 0, 12, 14]"
4,122,141,109,149,162,1,"[14, 11, 11, 0, 13]","[11, 10, 11, 13, 0]","[11, 11, 13, 11, 0]","[11, 0, 11, 12, 12]","[0, 0, 11, 0, 11]","[0, 0, 0, 11, 10]","[0, 10, 0, 0, 11]","[10, 12, 11, 0, 10]","[11, 10, 11, 10, 0]","[10, 0, 10, 10, 10]","[10, 0, 11, 10, 11]","[0, 0, 10, 0, 10]","[0, 12, 0, 0, 10]","[11, 0, 10, 0, 10]","[11, 12, 0, 11, 11]","[0, 11, 10, 0, 0]","[12, 12, 0, 10, 12]","[12, 0, 0, 11, 11]","[15, 11, 11, 0, 10]"
0,135,131,129,148,109,2,"[15, 10, 13, 0, 11]","[0, 12, 0, 10, 13]","[0, 13, 10, 0, 12]","[11, 0, 12, 10, 0]","[11, 12, 11, 12, 0]","[0, 10, 13, 11, 10]","[0, 0, 10, 0, 10]","[10, 0, 0, 11, 10]","[11, 10, 11, 10, 0]","[10, 0, 10, 10, 10]","[10, 10, 0, 0, 0]","[0, 10, 10, 0, 11]","[11, 0, 0, 12, 0]","[0, 12, 0, 11, 0]","[11, 0, 11, 0, 0]","[11, 13, 0, 10, 12]","[12, 11, 0, 0, 0]","[14, 12, 10, 10, 0]","[11, 0, 10, 12, 10]"
1,177,140,95,107,104,3,"[0, 13, 10, 0, 12]","[0, 0, 10, 12, 14]","[11, 10, 0, 0, 0]","[0, 11, 10, 11, 0]","[0, 10, 13, 0, 11]","[11, 10, 0, 0, 0]","[11, 10, 10, 11, 0]","[10, 10, 10, 0, 13]","[10, 10, 0, 10, 11]","[10, 10, 10, 10, 0]","[0, 11, 10, 10, 10]","[11, 11, 10, 10, 0]","[0, 0, 11, 0, 10]","[0, 13, 0, 10, 11]","[10, 11, 0, 0, 12]","[11, 12, 0, 0, 0]","[0, 0, 10, 0, 0]","[0, 13, 11, 0, 0]","[12, 12, 15, 11, 0]"
3,157,77,158,157,109,4,"[13, 12, 0, 12, 10]","[15, 10, 0, 11, 0]","[11, 13, 0, 13, 11]","[0, 0, 12, 10, 12]","[10, 0, 0, 11, 0]","[0, 11, 0, 13, 11]","[11, 10, 0, 0, 0]","[10, 10, 10, 11, 0]","[11, 10, 0, 10, 11]","[11, 10, 10, 0, 10]","[10, 0, 0, 11, 0]","[10, 11, 0, 0, 10]","[0, 0, 13, 10, 0]","[11, 0, 0, 0, 10]","[0, 11, 11, 11, 0]","[0, 12, 10, 14, 11]","[11, 11, 0, 11, 0]","[13, 14, 11, 10, 0]","[10, 12, 0, 0, 13]"
4,144,158,103,126,186,0,"[10, 0, 11, 0, 14]","[0, 0, 13, 10, 12]","[10, 0, 0, 12, 13]","[10, 0, 12, 14, 11]","[11, 12, 0, 0, 10]","[10, 12, 10, 0, 0]","[10, 10, 0, 10, 11]","[12, 10, 0, 11, 10]","[10, 11, 11, 0, 10]","[11, 0, 10, 10, 10]","[10, 10, 10, 0, 11]","[0, 0, 10, 0, 10]","[0, 11, 12, 10, 10]","[0, 10, 12, 0, 0]","[11, 12, 12, 0, 10]","[11, 13, 10, 0, 10]","[0, 10, 12, 0, 11]","[0, 11, 13, 11, 12]","[0, 12, 0, 15, 11]"
