winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
0,149,118,144,152,1,"[13, 0, 14, 11]","[11, 12, 0, 15]","[13, 10, 0, 11]","[13, 11, 12, 0]","[0, 0, 0, 11]","[0, 11, 13, 10]","[0, 0, 0, 11]","[10, 12, 10, 0]","[0, 12, 10, 10]","[10, 11, 0, 10]","[11, 11, 10, 0]","[11, 0, 10, 10]","[11, 0, 0, 0]","[11, 0, 0, 0]","[0, 10, 14, 12]","[11, 14, 11, 0]","[13, 12, 0, 11]","[0, 10, 14, 12]","[14, 13, 0, 10]"
2,94,147,136,144,2,"[11, 0, 0, 13]","[0, 0, 10, 11]","[12, 10, 12, 0]","[11, 0, 0, 0]","[0, 10, 11, 13]","[11, 0, 11, 11]","[11, 11, 10, 0]","[10, 10, 0, 0]","[10, 0, 10, 11]","[10, 0, 10, 11]","[10, 10, 0, 10]","[10, 0, 11, 10]","[0, 10, 13, 10]","[12, 10, 0, 0]","[0, 0, 12, 0]","[0, 11, 12, 14]","[11, 12, 12, 0]","[0, 0, 0, 11]","[15, 0, 13, 11]"
1,147,123,144,89,3,"[12, 0, 11, 0]","[0, 0, 0, 11]","[0, 16, 12, 0]","[13, 0, 12, 11]","[0, 12, 0, 0]","[0, 10, 12, 12]","[10, 10, 11, 0]","[10, 0, 0, 11]","[11, 10, 0, 11]","[0, 11, 10, 10]","[0, 11, 10, 10]","[0, 10, 0, 11]","[10, 0, 10, 0]","[12, 11, 0, 10]","[0, 10, 11, 13]","[0, 14, 11, 12]","[0, 12, 13, 10]","[0, 0, 0, 0]","[11, 10, 0, 12]"
2,117,136,100,108,0,"[11, 0, 12, 14]","[0, 15, 10, 0]","[0, 12, 0, 0]","[0, 11, 11, 0]","[0, 0, 0, 11]","[0, 12, 0, 0]","[0, 11, 0, 0]","[10, 0, 11, 10]","[10, 0, 11, 10]","[10, 0, 10, 11]","[10, 0, 0, 0]","[10, 0, 12, 10]","[13, 11, 10, 0]","[0, 10, 11, 11]","[0, 12, 0, 10]","[12, 11, 12, 0]","[0, 0, 12, 13]","[12, 12, 14, 0]","[10, 0, 0, 0]"
2,100,153,112,94,1,"[0, 12, 0, 11]","[10, 0, 16, 0]","[10, 0, 13, 0]","[0, 0, 11, 0]","[12, 12, 0, 12]","[0, 0, 0, 11]","[0, 0, 0, 0]","[10, 10, 0, 0]","[10, 10, 0, 11]","[10, 0, 11, 10]","[11, 10, 11, 0]","[0, 10, 11, 11]","[0, 13, 10, 11]","[10, 0, 11, 11]","[0, 0, 10, 0]","[0, 12, 11, 12]","[0, 0, 13, 0]","[0, 11, 12, 12]","[11, 0, 13, 0]"
3,146,158,170,91,2,"[12, 0, 11, 15]","[12, 14, 11, 0]","[12, 0, 14, 0]","[0, 13, 10, 12]","[0, 11, 13, 11]","[0, 10, 12, 11]","[0, 10, 12, 12]","[10, 0, 13, 10]","[10, 0, 10, 11]","[0, 10, 10, 10]","[0, 11, 10, 11]","[0, 11, 10, 11]","[0, 11, 0, 11]","[11, 10, 0, 12]","[12, 11, 0, 10]","[0, 12, 11, 12]","[12, 0, 0, 0]","[0, 12, 11, 0]","[0, 0, 0, 11]"
0,119,99,110,133,3,"[0, 13, 13, 0]","[11, 0, 13, 0]","[10, 0, 0, 12]","[0, 16, 10, 0]","[10, 11, 0, 11]","[10, 0, 0, 12]","[12, 12, 10, 0]","[0, 0, 0, 11]","[10, 0, 10, 10]","[0, 11, 10, 10]","[10, 10, 0, 11]","[0, 0, 0, 11]","[10, 12, 11, 0]","[0, 0, 11, 0]","[13, 12, 0, 11]","[12, 12, 0, 11]","[12, 0, 0, 0]","[0, 10, 0, 0]","[13, 0, 11, 0]"
2,136,137,115,129,0,"[12, 11, 0, 12]","[11, 12, 14, 0]","[0, 0, 0, 11]","[11, 12, 13, 0]","[10, 13, 0, 12]","[0, 11, 12, 0]","[12, 0, 10, 11]","[0, 10, 10, 0]","[0, 10, 10, 11]","[10, 0, 10, 11]","[10, 0, 0, 0]","[10, 0, 10, 13]","[0, 10, 10, 0]","[10, 11, 0, 13]","[11, 11, 14, 0]","[0, 11, 0, 11]","[0, 14, 13, 10]","[11, 0, 11, 0]","[11, 0, 0, 0]"
3,107,114,154,114,1,"[10, 0, 14, 0]","[0, 0, 0, 15]","[12, 0, 0, 0]","[0, 11, 13, 11]","[0, 10, 11, 0]","[10, 12, 0, 0]","[11, 0, 11, 12]","[0, 10, 10, 12]","[0, 11, 10, 10]","[0, 10, 10, 10]","[11, 10, 11, 0]","[11, 10, 0, 10]","[12, 0, 0, 0]","[12, 11, 0, 11]","[11, 0, 11, 12]","[14, 0, 13, 10]","[0, 0, 0, 13]","[0, 0, 0, 13]","[0, 12, 0, 15]"
1,166,128,136,128,2,"[0, 12, 0, 0]","[0, 12, 0, 0]","[11, 11, 0, 11]","[0, 0, 11, 11]","[0, 11, 11, 12]","[11, 11, 0, 13]","[13, 0, 0, 10]","[11, 10, 0, 11]","[11, 11, 0, 10]","[11, 10, 10, 0]","[0, 11, 10, 11]","[0, 10, 10, 11]","[11, 0, 0, 0]","[12, 10, 12, 0]","[0, 11, 12, 13]","[13, 10, 11, 0]","[0, 12, 14, 12]","[12, 0, 14, 11]","[12, 14, 13, 0]"
0,76,132,145,148,3,"[12, 0, 0, 0]","[0, 0, 10, 14]","[0, 0, 0, 14]","[13, 0, 10, 12]","[0, 12, 10, 12]","[12, 10, 12, 0]","[0, 0, 10, 11]","[10, 0, 0, 10]","[0, 10, 10, 10]","[0, 11, 10, 10]","[10, 10, 0, 10]","[11, 10, 0, 10]","[10, 0, 12, 0]","[11, 0, 13, 10]","[11, 0, 0, 0]","[11, 0, 0, 11]","[11, 0, 12, 11]","[14, 13, 11, 0]","[12, 0, 12, 0]"
0,104,100,119,153,0,"[0, 0, 12, 0]","[13, 10, 0, 0]","[0, 14, 0, 0]","[13, 12, 0, 10]","[0, 11, 0, 0]","[0, 13, 10, 11]","[10, 0, 11, 10]","[10, 11, 0, 11]","[11, 10, 0, 11]","[11, 0, 10, 10]","[10, 0, 12, 10]","[10, 0, 10, 0]","[0, 11, 12, 10]","[12, 0, 12, 11]","[12, 0, 11, 0]","[12, 0, 0, 0]","[0, 12, 0, 11]","[15, 0, 0, 14]","[14, 0, 0, 0]"
0,130,122,142,165,1,"[16, 12, 11, 0]","[13, 12, 0, 12]","[12, 0, 13, 0]","[15, 12, 0, 0]","[12, 11, 0, 10]","[0, 12, 13, 10]","[10, 11, 10, 0]","[11, 0, 0, 0]","[11, 0, 10, 11]","[10, 0, 10, 10]","[10, 10, 0, 12]","[0, 10, 11, 10]","[0, 11, 10, 10]","[0, 0, 12, 0]","[11, 0, 11, 13]","[11, 0, 11, 10]","[12, 0, 0, 11]","[11, 13, 0, 13]","[0, 16, 0, 10]"
