card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
QH,high,False,3,3,2,2,2,10
7H,mediumlow,False,2,2,2,2,2,9
JD,high,False,1,1,2,1,-1,4
JS,high,True,2,0,2,1,-1,3
KH,veryhigh,False,2,5,1,1,2,10
QD,high,False,4,4,1,1,2,9
KC,veryhigh,True,2,3,0,-1,2,5
AD,veryhigh,False,2,2,0,-1,2,4
6H,mediumlow,False,1,1,0,-1,2,3
2D,low,True,4,2,1,4,5,10
4D,low,True,1,1,-1,2,4,4
4C,low,False,2,0,-1,2,3,2
4D,low,False,1,1,4,3,3,10
4H,low,False,3,0,4,1,2,6
JD,high,False,2,4,2,1,4,10
AS,veryhigh,False,4,3,2,1,3,8
TH,high,False,1,2,2,1,3,7
JS,high,False,3,1,2,1,0,3
TH,high,False,2,5,3,1,0,10
QS,high,True,3,4,1,1,0,7
AD,veryhigh,False,3,3,1,1,0,6
TS,high,True,2,2,1,1,0,5
2H,low,False,1,1,1,1,0,4
2D,low,False,2,0,0,1,0,2
2H,low,False,4,4,1,5,1,10
AD,veryhigh,False,3,3,0,5,1,8
9D,mediumHigh,False,2,2,0,5,1,7
5D,low,False,1,1,0,4,1,5
5H,low,False,3,0,0,3,1,3
QD,high,False,5,2,1,6,2,10
KS,veryhigh,False,1,1,1,5,0,6
2C,low,True,1,0,1,5,0,5
6H,mediumlow,False,2,1,5,1,4,10
6C,mediumlow,True,2,0,5,1,4,9
4D,low,True,5,5,1,1,4,10
JD,high,True,4,4,1,0,3,7
7D,mediumlow,True,2,3,0,-1,2,3
9D,mediumHigh,True,1,2,0,-1,2,2
7S,mediumlow,False,2,0,4,4,0,10
KH,veryhigh,False,2,4,3,1,1,10
KD,veryhigh,True,3,3,3,1,1,9
TC,high,False,3,2,3,1,1,8
5C,low,False,1,1,2,0,1,5
3D,low,False,2,2,3,2,5,10
5S,low,False,3,1,3,1,5,8
8S,mediumHigh,False,2,0,3,0,5,6
AC,veryhigh,False,5,4,3,2,2,10
8H,mediumHigh,False,2,3,3,2,2,9
JD,high,True,3,2,2,2,0,5
8C,mediumHigh,False,2,1,1,1,0,2
8D,mediumHigh,False,3,3,1,1,6,10
4S,low,True,3,2,1,1,6,9
5H,low,False,2,1,1,1,5,7
5S,low,True,2,0,1,-1,4,3
AD,veryhigh,False,4,2,6,0,4,10
8D,mediumHigh,False,3,1,4,0,3,6
9C,mediumHigh,False,3,3,3,1,2,10
KS,veryhigh,False,5,2,3,0,2,8
AD,veryhigh,False,1,1,3,0,2,7
4S,low,False,4,0,3,0,2,6
9D,mediumHigh,False,3,2,2,3,5,10
TC,high,False,2,1,2,2,2,5
6H,mediumlow,True,1,0,1,2,2,3
8D,mediumHigh,False,1,-1,1,2,2,2
2H,low,False,2,1,3,3,4,10
4H,low,False,1,0,0,3,4,6
TC,high,False,2,1,2,5,0,10
8S,mediumHigh,True,2,0,2,5,0,9
KH,veryhigh,False,1,-1,2,3,0,6
9D,mediumHigh,False,3,-2,2,3,0,5
AH,veryhigh,False,4,2,3,3,3,10
4H,low,False,3,1,3,3,3,9
9S,mediumHigh,False,5,0,3,3,3,8
QH,high,False,2,-1,1,0,3,2
7H,mediumlow,False,4,1,2,4,4,10
7S,mediumlow,False,1,0,1,3,3,6
AD,veryhigh,False,4,4,2,4,1,10
JS,high,False,2,3,2,4,1,9
AH,veryhigh,False,1,2,2,4,1,8
9S,mediumHigh,False,1,1,2,4,1,7
3C,low,True,1,0,1,3,0,3
7D,mediumlow,False,2,1,6,0,4,10
QS,high,False,4,0,6,0,4,9
QS,high,False,2,3,3,2,3,10
QD,high,False,6,2,2,2,3,8
JD,high,False,5,1,2,2,3,7
TH,high,True,1,0,2,2,3,6
9H,mediumHigh,False,3,5,2,0,2,10
AS,veryhigh,False,4,4,2,0,1,8
AH,veryhigh,False,2,3,2,0,1,7
6S,mediumlow,False,3,2,2,0,1,6
JH,high,False,1,1,1,0,1,4
7S,mediumlow,False,2,0,1,0,0,2
TD,high,False,1,3,1,3,4,10
2C,low,True,2,2,1,1,4,7
JH,high,False,3,1,1,1,3,5
5C,low,True,1,0,1,1,3,4
TS,high,False,5,3,3,2,1,10
AC,veryhigh,True,3,2,3,2,1,9
5S,low,False,4,1,3,2,1,8
7C,mediumlow,True,2,0,3,0,1,5
9C,mediumHigh,False,4,3,3,1,2,10
4S,low,True,2,2,2,0,0,5
4H,low,False,1,1,2,0,-1,3
5S,low,False,3,2,3,4,0,10
JS,high,False,2,1,3,3,-1,7
9D,mediumHigh,True,2,0,2,3,-2,4
4S,low,False,3,0,3,7,2,10
8S,mediumHigh,True,3,5,2,1,1,10
AD,veryhigh,False,3,4,1,1,1,8
TS,high,True,1,3,0,-1,1,4
4D,low,False,2,2,-1,-1,1,2
5D,low,False,4,1,5,0,6,10
2D,low,False,3,0,4,0,6,8
6H,mediumlow,True,4,5,0,3,3,10
JS,high,False,3,4,0,3,2,8
TC,high,False,2,3,0,3,2,7
4H,low,True,3,2,0,3,2,6
AH,veryhigh,True,1,1,0,0,2,2
AS,veryhigh,False,4,3,2,3,1,10
AC,veryhigh,False,2,2,2,3,1,9
2S,low,False,3,1,2,3,1,8
7H,mediumlow,True,1,0,1,2,1,5
7C,mediumlow,False,2,2,4,1,2,10
KC,veryhigh,False,2,3,4,0,2,10
8C,mediumHigh,False,1,2,4,0,2,9
4H,low,True,4,1,4,0,2,8
3H,low,True,2,0,1,-1,2,3
4H,low,False,4,3,3,4,1,10
QH,high,False,3,2,1,3,1,6
5H,low,False,2,1,1,3,1,5
2H,low,False,1,0,0,3,1,3
9S,mediumHigh,False,2,2,5,0,2,10
7H,mediumlow,True,2,1,4,0,2,8
8H,mediumHigh,True,1,0,3,-2,0,2
5H,low,False,4,3,1,2,6,10
JC,high,False,3,2,0,2,4,6
QH,high,False,2,1,0,2,3,4
